Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1571968800000,0.46,1.2798,0.46,0.728,8113952.88,6284339.3,0.877474
1571976000000,0.7255,0.835,0.6821,0.8262,1262310.35,942861.32,0.756446
1571983200000,0.8316,0.8319,0.7616,0.77,808583.96,640245.24,0.795788
1571990400000,0.77,0.7948,0.755,0.7762,354018.41,273655.71,0.774911
1571997600000,0.78,0.8289,0.7678,0.7936,625580.96,497796.24,0.798495
1572004800000,0.7937,0.9447,0.7814,0.936,2304206.5,2021244.53,0.862628
1572012000000,0.9362,1.09,0.9235,1.0036,3104498.58,3089737.89,1.008324
1572019200000,1.0036,1.2779,0.99,1.2141,5286687.81,6221813.03,1.137822
1572026400000,1.2151,1.3149,1.1158,1.2154,3527547.74,4346146.11,1.21535
1572033600000,1.2107,1.644,1.08,1.3459,3655418.79,4654359.36,1.36322
1572040800000,1.3561,1.4435,1.2287,1.2983,2771821.94,3627723.37,1.336264
1572048000000,1.2966,1.3612,1.01,1.09,3602437.87,4143230.61,1.184871
1572055200000,1.0888,1.2356,1.055,1.1891,2549038.29,2923634.33,1.145831
1572062400000,1.1837,1.1996,1.0824,1.1762,1372556.83,1575710.19,1.14096
1572069600000,1.1762,1.1983,1.1204,1.1477,536795.75,620793.72,1.15926
1572076800000,1.1477,1.19,1.123,1.139,604641.0,696019.89,1.156556
1572084000000,1.14,1.1635,1.11,1.1416,633049.8,717412.5,1.136749
1572091200000,1.1369,1.142,1.083,1.0844,556351.1,620174.28,1.112957
1572098400000,1.085,1.0899,0.9626,1.0287,1080786.78,1106332.78,1.024677
1572105600000,1.029,1.049,0.9729,0.9978,677279.61,686110.47,1.010843
1572112800000,0.9913,1.0005,0.9355,0.9832,261788.5,255718.6,0.967925
1572120000000,0.9898,1.0186,0.9655,0.976,253934.83,253510.12,0.992207
1572127200000,0.9721,0.9965,0.9535,0.9762,271390.78,263147.61,0.975002
1572134400000,0.975,0.9996,0.8687,0.8852,714887.77,665321.35,0.93469
1572141600000,0.8811,0.8958,0.8432,0.8535,482403.93,415427.01,0.869663
1572148800000,0.8577,0.8735,0.8112,0.8112,452935.86,381093.11,0.843628
1572156000000,0.8112,0.8555,0.8091,0.8412,480810.26,402422.28,0.833012
1572163200000,0.8428,0.865,0.818,0.8328,367653.44,308792.32,0.841542
1572170400000,0.8276,0.836,0.7711,0.7961,572729.81,461078.95,0.803031
1572177600000,0.798,0.9057,0.7834,0.8967,1246332.28,1055082.71,0.844005
1572184800000,0.8967,0.9039,0.8417,0.8558,900794.14,784036.78,0.872382
1572192000000,0.8512,0.8611,0.798,0.8224,793931.93,649975.83,0.829152
1572199200000,0.82,0.8239,0.798,0.8061,411373.75,334213.61,0.810787
1572206400000,0.8061,0.85,0.8051,0.8377,350108.62,289406.64,0.828349
1572213600000,0.834,0.8398,0.8067,0.8068,231064.68,189465.73,0.823829
1572220800000,0.8127,0.8273,0.7335,0.7504,612489.36,469954.64,0.780257
1572228000000,0.7505,0.8157,0.7505,0.7833,355672.67,279011.28,0.784194
1572235200000,0.7843,0.7939,0.772,0.772,217802.35,170028.76,0.783361
1572242400000,0.772,0.8485,0.7587,0.8305,719285.82,587514.56,0.803879
1572249600000,0.83,0.8301,0.7888,0.8257,187214.33,151370.44,0.8094
1572256800000,0.8257,0.84,0.8074,0.8333,324949.15,267836.94,0.82362
1572264000000,0.8333,1.0707,0.8274,0.9387,1837470.51,1708626.12,0.952154
1572271200000,0.9404,0.98,0.8822,0.9301,1075872.05,1007389.45,0.931088
1572278400000,0.934,1.0749,0.934,1.0263,2011123.58,2037999.04,1.00737
1572285600000,1.0254,1.0475,0.9554,0.9593,834228.66,830426.68,1.002795
1572292800000,0.958,0.976,0.9183,0.9427,455184.61,430546.18,0.947093
1572300000000,0.9428,0.9653,0.875,0.9079,407658.36,372467.86,0.919948
1572307200000,0.9105,0.9495,0.8857,0.9078,476848.57,438421.99,0.917604
1572314400000,0.9079,0.9178,0.84,0.853,694845.87,602032.12,0.87868
1572321600000,0.8535,0.8889,0.8314,0.879,374453.78,323732.19,0.859835
1572328800000,0.8753,0.9652,0.8745,0.9652,1034636.87,959223.95,0.91972
1572336000000,0.9656,0.9656,0.9126,0.915,349920.44,328960.17,0.938746
1572343200000,0.9151,0.95,0.9053,0.918,338939.11,313886.25,0.927662
1572350400000,0.9154,0.9154,0.88,0.8805,282377.33,253298.88,0.89762
1572357600000,0.8805,0.9141,0.855,0.8808,678600.51,599463.11,0.88455
1572364800000,0.8809,0.9026,0.8735,0.8861,184414.09,163571.67,0.888087
1572372000000,0.8871,0.9051,0.8651,0.8748,203356.26,179158.39,0.8852
1572379200000,0.869,0.896,0.867,0.87,187285.63,163941.54,0.881504
1572386400000,0.8716,0.8755,0.8661,0.8694,111867.85,97208.8,0.870804
1572393600000,0.868,0.9,0.8661,0.8999,184553.56,163345.61,0.882794
1572400800000,0.8998,0.9036,0.87,0.8991,154171.28,136561.51,0.886799
1572408000000,0.8968,0.9,0.8661,0.8741,152514.63,134938.43,0.882747
1572415200000,0.871,0.8735,0.8173,0.8351,561271.84,471270.79,0.844531
1572422400000,0.8357,0.869,0.835,0.8455,174238.05,147839.22,0.852242
1572429600000,0.8483,0.8579,0.8095,0.8306,267055.97,222677.56,0.833501
1572436800000,0.8366,0.8462,0.8161,0.8163,81556.6,67562.63,0.831753
1572444000000,0.8163,0.8346,0.8001,0.83,241009.22,197512.77,0.817112
1572451200000,0.8316,0.84,0.8165,0.8277,109917.41,90763.79,0.82824
1572458400000,0.8277,0.8365,0.8189,0.8319,126090.92,104412.96,0.82767
1572465600000,0.8304,0.8304,0.82,0.8262,45658.03,37573.66,0.825068
1572472800000,0.8262,0.8649,0.8254,0.8565,183076.35,156003.03,0.845805
1572480000000,0.853,0.8565,0.8273,0.8335,64612.31,54316.31,0.841731
1572487200000,0.8339,0.8388,0.827,0.83,43719.42,36351.26,0.832927
1572494400000,0.83,0.8501,0.8294,0.8491,61462.17,51722.05,0.839804
1572501600000,0.8489,0.8489,0.8338,0.8373,67746.37,56837.93,0.841047
1572508800000,0.8401,0.8401,0.81,0.8146,110520.33,91081.64,0.824547
1572516000000,0.814,0.8167,0.7755,0.8055,310994.87,248138.45,0.795953
1572523200000,0.8084,0.815,0.8,0.8085,187248.59,150848.21,0.8075
1572530400000,0.8095,0.8139,0.801,0.8088,124033.0,99990.4,0.807449
1572537600000,0.8082,0.8175,0.7928,0.8109,106454.77,85714.34,0.805137
1572544800000,0.8113,0.82,0.8066,0.8125,54335.12,44213.55,0.813303
1572552000000,0.8121,0.8125,0.7902,0.7999,77648.71,62043.17,0.800974
1572559200000,0.7983,0.8023,0.7953,0.7999,29830.51,23832.55,0.798796
1572566400000,0.7998,0.815,0.7699,0.8073,185966.36,147216.2,0.792373
1572573600000,0.8023,0.8073,0.7887,0.789,42665.19,34001.59,0.798344
1572580800000,0.789,0.8011,0.7887,0.8005,43078.66,34335.85,0.794941
1572588000000,0.8005,0.8023,0.7825,0.7895,45528.51,36141.23,0.792183
1572595200000,0.7901,0.7993,0.7881,0.7927,40617.97,32288.89,0.793731
1572602400000,0.7909,0.7988,0.7892,0.7947,56815.31,45117.81,0.794049
1572609600000,0.7947,0.85,0.7938,0.834,654173.26,541688.37,0.822952
1572616800000,0.834,0.8615,0.8316,0.8366,451757.72,383312.81,0.846571
1572624000000,0.8367,0.8554,0.8343,0.8432,189151.11,160162.97,0.844969
1572631200000,0.8435,0.844,0.8211,0.8329,125065.34,104090.48,0.83223
1572638400000,0.8347,0.8396,0.8213,0.8285,102774.21,85307.16,0.830416
1572645600000,0.8283,0.8349,0.8228,0.8324,38778.53,32148.4,0.828806
1572652800000,0.8324,0.8508,0.822,0.8336,196647.68,164948.4,0.836401
