Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1591948800000,1.154,1.279,1.122,1.181,77718.659,94448.09,1.200746
1591956000000,1.191,1.227,1.171,1.191,124006.858,148099.06,1.199
1591963200000,1.188,1.345,1.162,1.31,242689.001,303903.52,1.254062
1591970400000,1.31,1.332,1.218,1.247,376403.903,477226.18,1.274711
1591977600000,1.245,1.305,1.222,1.256,419179.7,532484.49,1.263557
1591984800000,1.256,1.29,1.232,1.279,216975.181,275004.25,1.260734
1591992000000,1.276,1.298,1.257,1.266,216901.305,276634.34,1.277598
1591999200000,1.266,1.292,1.253,1.279,110325.836,140549.06,1.2725
1592006400000,1.282,1.296,1.252,1.275,154101.74,196948.07,1.273971
1592013600000,1.275,1.283,1.228,1.25,371840.539,465972.86,1.255119
1592020800000,1.249,1.255,1.211,1.236,112685.187,138336.0,1.232788
1592028000000,1.234,1.26,1.225,1.254,49569.305,61555.27,1.242367
1592035200000,1.254,1.261,1.236,1.247,39181.485,49102.22,1.24846
1592042400000,1.245,1.258,1.217,1.234,69235.186,85717.71,1.237463
1592049600000,1.235,1.236,1.171,1.208,216412.915,259846.3,1.202689
1592056800000,1.208,1.232,1.202,1.214,74131.418,90265.54,1.217061
1592064000000,1.215,1.217,1.178,1.181,154318.098,183450.79,1.197383
1592071200000,1.181,1.193,1.179,1.183,54554.161,64771.26,1.186021
1592078400000,1.183,1.221,1.18,1.204,91756.715,110179.8,1.200991
1592085600000,1.205,1.209,1.184,1.203,51990.22,62223.7,1.196488
1592092800000,1.204,1.207,1.19,1.197,52458.759,62936.77,1.198411
1592100000000,1.198,1.199,1.162,1.163,121601.899,142622.11,1.1805
1592107200000,1.165,1.173,1.15,1.161,105758.838,122571.1,1.161489
1592114400000,1.161,1.176,1.121,1.172,138901.807,160609.51,1.148318
1592121600000,1.173,1.173,1.13,1.13,70220.701,80821.77,1.1515
1592128800000,1.131,1.163,1.129,1.16,55623.876,63607.28,1.146111
1592136000000,1.16,1.249,1.156,1.23,241085.57,291175.22,1.203738
1592143200000,1.23,1.24,1.175,1.193,197241.69,236650.14,1.207147
1592150400000,1.193,1.227,1.192,1.219,151136.366,182695.87,1.21006
1592157600000,1.219,1.238,1.206,1.226,70319.79,85673.49,1.221994
1592164800000,1.226,1.238,1.193,1.21,111572.376,135265.02,1.215418
1592172000000,1.207,1.216,1.167,1.171,223374.642,265658.09,1.19189
1592179200000,1.171,1.218,1.163,1.164,169170.441,201051.87,1.190594
1592186400000,1.164,1.171,1.1,1.133,172512.156,196386.82,1.134849
1592193600000,1.129,1.158,1.09,1.092,200746.282,226678.53,1.125079
1592200800000,1.098,1.15,1.051,1.143,279568.94,308419.08,1.099411
1592208000000,1.141,1.15,1.118,1.118,87530.285,99294.97,1.134667
1592215200000,1.12,1.128,1.086,1.12,153310.388,170725.92,1.107
1592222400000,1.117,1.151,1.1,1.134,152892.492,171896.16,1.1255
1592229600000,1.135,1.212,1.134,1.187,222449.064,260892.09,1.1745
1592236800000,1.186,1.206,1.166,1.178,171123.694,203063.06,1.18604
1592244000000,1.178,1.189,1.155,1.181,107479.29,125617.87,1.171985
1592251200000,1.182,1.185,1.151,1.169,77443.071,90531.39,1.167715
1592258400000,1.169,1.175,1.151,1.165,46564.403,54011.01,1.162972
1592265600000,1.165,1.174,1.141,1.17,111110.818,127981.61,1.157442
1592272800000,1.17,1.202,1.17,1.201,110383.028,130513.42,1.186153
1592280000000,1.205,1.23,1.183,1.206,249721.839,300579.36,1.2065
1592287200000,1.206,1.229,1.183,1.192,201724.144,243384.08,1.206166
1592294400000,1.191,1.2,1.18,1.199,92941.668,110412.99,1.189792
1592301600000,1.2,1.211,1.189,1.198,58809.726,70476.11,1.200002
1592308800000,1.198,1.266,1.19,1.264,189323.785,232893.24,1.227303
1592316000000,1.266,1.267,1.202,1.233,244973.683,301214.13,1.233467
1592323200000,1.236,1.241,1.219,1.23,64511.664,79337.86,1.229943
1592330400000,1.228,1.244,1.222,1.24,45629.783,56268.84,1.23292
1592337600000,1.243,1.243,1.224,1.23,52528.745,64906.74,1.233102
1592344800000,1.226,1.258,1.207,1.256,112907.788,138126.58,1.231695
1592352000000,1.255,1.256,1.221,1.227,87446.618,108450.97,1.238024
1592359200000,1.227,1.228,1.192,1.198,81685.067,98814.68,1.209516
1592366400000,1.198,1.205,1.176,1.183,113147.084,134584.11,1.1905
1592373600000,1.185,1.219,1.185,1.217,80877.194,96917.46,1.202284
1592380800000,1.219,1.223,1.206,1.211,48825.477,59227.32,1.214471
1592388000000,1.212,1.215,1.199,1.211,81717.248,98856.75,1.206996
1592395200000,1.201,1.215,1.172,1.189,97674.784,116463.08,1.19347
1592402400000,1.189,1.194,1.178,1.183,66522.291,78647.71,1.186
1592409600000,1.183,1.189,1.175,1.188,48139.653,56736.18,1.181885
1592416800000,1.19,1.192,1.176,1.177,31296.935,37010.67,1.184099
1592424000000,1.176,1.197,1.162,1.192,43941.827,51624.99,1.179252
1592431200000,1.196,1.198,1.186,1.195,41926.764,49993.88,1.191994
1592438400000,1.193,1.194,1.166,1.17,105899.718,124745.34,1.179696
1592445600000,1.17,1.187,1.164,1.181,70653.645,82900.21,1.1755
1592452800000,1.185,1.185,1.167,1.176,25889.161,30315.16,1.1757
1592460000000,1.174,1.175,1.163,1.167,28262.006,33040.45,1.168861
1592467200000,1.17,1.173,1.163,1.167,29468.064,34393.75,1.167988
1592474400000,1.163,1.169,1.16,1.16,22005.059,25586.45,1.164586
1592481600000,1.161,1.165,1.15,1.156,75189.5,86959.72,1.157471
1592488800000,1.153,1.197,1.151,1.18,84802.598,99774.02,1.174707
1592496000000,1.18,1.18,1.155,1.163,67537.36,78780.53,1.166977
1592503200000,1.164,1.173,1.151,1.173,47502.669,55113.1,1.161716
1592510400000,1.171,1.175,1.14,1.148,72345.683,83490.26,1.157258
1592517600000,1.148,1.173,1.145,1.151,60381.535,69650.16,1.159027
1592524800000,1.151,1.175,1.142,1.151,31445.629,36587.23,1.1585
1592532000000,1.152,1.17,1.146,1.154,45717.347,52953.94,1.158009
1592539200000,1.151,1.162,1.146,1.161,41086.184,47466.42,1.153784
1592546400000,1.162,1.167,1.156,1.16,11366.968,13200.22,1.161504
1592553600000,1.156,1.224,1.154,1.207,175943.73,210059.03,1.190148
1592560800000,1.207,1.215,1.173,1.174,177994.883,212667.44,1.194639
1592568000000,1.174,1.211,1.171,1.205,110955.561,132426.9,1.191265
1592575200000,1.206,1.209,1.186,1.193,69409.31,83333.61,1.197326
1592582400000,1.197,1.199,1.175,1.179,70165.942,82893.82,1.186836
1592589600000,1.176,1.202,1.16,1.174,72672.402,85505.75,1.181003
1592596800000,1.172,1.186,1.166,1.179,85717.397,100755.93,1.176016
1592604000000,1.179,1.207,1.179,1.195,58452.86,69638.1,1.193533
1592611200000,1.193,1.256,1.19,1.236,345518.481,425034.93,1.224009
1592618400000,1.235,1.241,1.209,1.232,190140.005,233396.52,1.224981
1592625600000,1.229,1.258,1.217,1.258,139881.333,173621.79,1.236642
1592632800000,1.258,1.303,1.243,1.281,388864.431,498298.29,1.273133
1592640000000,1.281,1.296,1.254,1.282,184058.486,234828.0,1.274999
1592647200000,1.278,1.284,1.227,1.254,238648.566,298394.76,1.255013
1592654400000,1.254,1.256,1.236,1.243,77617.662,96564.61,1.245795
1592661600000,1.247,1.271,1.216,1.245,133114.308,165213.42,1.243499
1592668800000,1.245,1.275,1.239,1.27,116285.021,146311.5,1.256931
1592676000000,1.27,1.282,1.253,1.27,129849.639,165145.37,1.2675
1592683200000,1.271,1.29,1.263,1.263,87292.38,111585.15,1.276713
1592690400000,1.267,1.295,1.267,1.289,83521.399,107287.85,1.281548
1592697600000,1.294,1.303,1.266,1.267,157774.915,204086.64,1.285114
1592704800000,1.267,1.28,1.254,1.264,79363.006,100520.93,1.267005
1592712000000,1.261,1.28,1.259,1.269,66444.127,84246.44,1.269669
1592719200000,1.269,1.274,1.248,1.263,44885.435,56514.54,1.260933
1592726400000,1.265,1.268,1.247,1.247,58629.192,73635.3,1.257838
1592733600000,1.247,1.26,1.244,1.254,35044.471,43905.65,1.252075
1592740800000,1.251,1.262,1.239,1.244,86305.539,107736.66,1.250571
1592748000000,1.241,1.264,1.241,1.257,33435.361,41912.67,1.252982
1592755200000,1.256,1.257,1.231,1.237,92973.12,115566.08,1.243615
1592762400000,1.232,1.251,1.231,1.24,45859.198,56733.18,1.241208
1592769600000,1.24,1.253,1.236,1.24,27523.603,34196.66,1.2445
1592776800000,1.24,1.243,1.219,1.228,53639.485,65727.81,1.2308
1592784000000,1.228,1.253,1.224,1.253,79549.7,98050.81,1.238044
1592791200000,1.254,1.277,1.225,1.238,233153.016,290361.3,1.251121
1592798400000,1.239,1.239,1.21,1.229,184777.943,225718.53,1.224209
1592805600000,1.23,1.241,1.22,1.239,88642.382,109040.32,1.230307
1592812800000,1.239,1.259,1.239,1.249,94269.843,117966.71,1.249333
1592820000000,1.249,1.254,1.228,1.229,78602.573,97273.39,1.241347
1592827200000,1.228,1.247,1.226,1.235,70407.506,87068.96,1.236643
1592834400000,1.235,1.237,1.222,1.228,58684.3,72247.35,1.229385
