Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1616068800000,0.085,1.0,0.085,0.2915,422704983.71,151927198.38,0.547069
1616069700000,0.2915,0.3078,0.2358,0.2542,149266286.53,39885594.11,0.271724
1616070600000,0.2542,0.2714,0.252,0.2671,90793188.8,23705618.42,0.26183
1616071500000,0.2673,0.2932,0.265,0.2735,96123425.21,26732700.65,0.279206
1616072400000,0.2731,0.2737,0.2603,0.266,39066415.88,10440999.25,0.266808
1616073300000,0.2659,0.2685,0.2414,0.2463,56186593.57,14183365.36,0.254777
1616074200000,0.2463,0.2547,0.2354,0.2367,67906848.83,16764942.43,0.245284
1616075100000,0.2367,0.2384,0.2235,0.2269,64882779.19,15038860.71,0.230847
1616076000000,0.2269,0.238,0.2232,0.233,44784526.94,10381475.26,0.230629
1616076900000,0.233,0.2426,0.2304,0.2309,36416827.4,8642414.65,0.236534
1616077800000,0.2306,0.2317,0.216,0.22,39379682.0,8737789.7,0.223664
1616078700000,0.22,0.2215,0.208,0.2165,37004866.93,7916399.72,0.21469
1616079600000,0.2168,0.221,0.2056,0.2083,31200237.58,6648801.95,0.213362
1616080500000,0.2082,0.217,0.2065,0.2104,25880873.52,5475065.27,0.211777
1616081400000,0.2101,0.2175,0.2085,0.2118,16009141.23,3411058.49,0.213018
1616082300000,0.2118,0.228,0.2111,0.2246,30520138.56,6749003.39,0.219776
1616083200000,0.2246,0.231,0.2068,0.2077,38213732.87,8425024.6,0.219282
1616084100000,0.2077,0.215,0.2062,0.2103,17411953.17,3663512.66,0.210636
1616085000000,0.2103,0.2157,0.207,0.2126,13074776.55,2766643.12,0.211348
1616085900000,0.2125,0.2138,0.2072,0.2088,13053431.41,2738404.67,0.210487
1616086800000,0.2088,0.2102,0.1952,0.2009,26818773.52,5390907.85,0.20254
1616087700000,0.2009,0.201,0.191,0.1973,23656339.18,4624206.02,0.195896
1616088600000,0.1974,0.2047,0.195,0.2047,18097512.51,3597542.38,0.199652
