Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1547632800000,0.5355,0.5355,0.5003,0.5066,63365.33,32460.05,0.517262
1547636400000,0.5146,0.5162,0.498,0.498,153229.7,77159.69,0.50731
1547640000000,0.498,0.5021,0.4836,0.4887,185102.78,92128.99,0.492816
1547643600000,0.4887,0.4973,0.4869,0.4869,67053.33,32949.82,0.492132
1547647200000,0.4914,0.492,0.4668,0.4746,168009.3,80173.42,0.47895
1547650800000,0.476,0.4845,0.476,0.479,83996.24,40331.29,0.480338
1547654400000,0.4782,0.4821,0.4677,0.48,78048.67,36982.75,0.474884
1547658000000,0.482,0.52,0.4791,0.5043,132251.61,66074.53,0.500064
1547661600000,0.505,0.519,0.5007,0.5016,58508.99,29491.02,0.509907
1547665200000,0.5,0.51,0.4944,0.5041,67946.15,33845.71,0.502203
1547668800000,0.5031,0.52,0.5012,0.5127,102787.08,52938.34,0.510788
1547672400000,0.5097,0.5129,0.5024,0.5117,25010.78,12719.97,0.507622
1547676000000,0.5077,0.5098,0.4854,0.4858,73998.35,36545.37,0.497814
1547679600000,0.4862,0.4954,0.4851,0.4895,84352.0,41212.68,0.490313
1547683200000,0.4895,0.4895,0.4711,0.4711,140573.77,67840.62,0.4803
1547686800000,0.4711,0.4821,0.4701,0.48,103557.49,49381.14,0.476188
1547690400000,0.4823,0.485,0.4776,0.4804,35019.29,16840.8,0.481299
1547694000000,0.4804,0.4844,0.4639,0.4677,110171.68,51901.22,0.474161
1547697600000,0.4685,0.4745,0.4653,0.4682,57024.8,26734.69,0.4699
1547701200000,0.4675,0.4802,0.4654,0.4711,35763.96,16823.68,0.472853
1547704800000,0.4729,0.4807,0.4721,0.4791,30642.75,14619.13,0.47646
1547708400000,0.4791,0.4877,0.472,0.4724,48521.0,23164.83,0.480046
1547712000000,0.4738,0.4803,0.4711,0.4795,12886.71,6124.32,0.475599
1547715600000,0.4787,0.48,0.4736,0.4736,17016.01,8137.91,0.476923
1547719200000,0.4759,0.4862,0.4703,0.476,27645.93,13121.23,0.47825
1547722800000,0.4753,0.4753,0.4705,0.4726,24212.52,11450.24,0.47281
1547726400000,0.4734,0.4753,0.4703,0.4753,8339.26,3941.3,0.472742
1547730000000,0.4752,0.4819,0.4718,0.4807,11363.83,5433.82,0.476762
1547733600000,0.4806,0.4938,0.4765,0.4904,45610.61,22089.54,0.485119
1547737200000,0.4924,0.4953,0.485,0.4874,68042.19,33438.19,0.490166
1547740800000,0.4874,0.4915,0.4789,0.4836,62680.02,30357.69,0.485193
1547744400000,0.4825,0.4836,0.473,0.4745,82174.27,39088.48,0.478267
1547748000000,0.4745,0.4777,0.4706,0.473,162680.61,77193.92,0.474155
1547751600000,0.4723,0.4748,0.471,0.4735,73935.29,35080.27,0.4729
1547755200000,0.4735,0.4794,0.4708,0.4775,179212.46,85086.66,0.475077
1547758800000,0.4789,0.4837,0.4749,0.4751,32775.19,15715.9,0.479412
1547762400000,0.4752,0.4776,0.4741,0.476,13130.34,6248.65,0.475853
1547766000000,0.4769,0.4773,0.4724,0.4756,28745.37,13633.0,0.474825
1547769600000,0.4762,0.4762,0.4718,0.4733,13154.52,6232.44,0.473909
1547773200000,0.4734,0.475,0.4723,0.4734,16702.52,7904.04,0.47365
1547776800000,0.4734,0.4757,0.4727,0.4745,4399.2,2084.86,0.474209
1547780400000,0.4749,0.4756,0.4678,0.4707,18126.01,8530.32,0.471614
1547784000000,0.4686,0.4707,0.4605,0.4687,53418.31,24866.51,0.4656
1547787600000,0.4688,0.4692,0.4601,0.4692,81490.77,37901.56,0.464648
1547791200000,0.4691,0.4729,0.4653,0.4703,14537.79,6849.2,0.469096
