Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1612418400000,0.25,18.8264,0.25,3.2245,8768486.96,39039495.0,9.588525
1612419300000,3.2499,4.83,2.9255,4.8262,4969484.22,19615228.04,3.844624
1612420200000,4.8262,7.3045,4.4,5.1,6544425.57,35141497.18,5.85423
1612421100000,5.1046,5.3778,4.1664,4.9793,3037491.54,14458084.35,4.771376
1612422000000,4.9913,5.2,4.6151,4.6675,1570230.61,7712626.67,4.914035
1612422900000,4.6675,5.0541,4.65,4.6774,838449.28,4075710.09,4.852077
1612423800000,4.6702,4.7819,4.1664,4.33,1037460.37,4682128.99,4.472004
1612424700000,4.3303,4.3497,3.8555,3.9761,1440404.88,5905413.78,4.095145
1612425600000,3.9761,4.5,3.7,4.4257,1123799.0,4484089.21,4.09135
1612426500000,4.4257,4.4584,4.01,4.0321,675443.28,2820099.82,4.235465
1612427400000,4.031,4.15,3.76,3.9398,499666.23,1984914.51,3.954579
1612428300000,3.9534,3.986,3.8,3.8526,302097.07,1174784.19,3.892208
1612429200000,3.8526,4.2,3.8512,4.0,610350.16,2484406.86,4.030241
1612430100000,4.0039,4.1,3.9,3.9276,299836.33,1197799.47,4.001293
1612431000000,3.9276,4.35,3.9112,4.0783,562912.83,2339837.37,4.134478
1612431900000,4.077,5.36,4.0556,5.2,2174729.47,10551363.67,4.723562
1612432800000,5.2,5.2139,4.4,4.6381,2117021.67,10055156.82,4.791786
1612433700000,4.6319,4.78,4.2813,4.411,828840.74,3718682.36,4.531125
1612434600000,4.4117,4.6888,4.34,4.4343,673018.63,3035211.08,4.514496
1612435500000,4.4359,4.6,4.1366,4.3717,524322.33,2297782.14,4.368129
1612436400000,4.3715,4.3975,4.2406,4.3788,262805.32,1137418.79,4.31902
1612437300000,4.3753,4.5713,4.31,4.3368,633878.81,2821721.0,4.441112
1612438200000,4.3386,4.4401,4.322,4.3997,324636.78,1423035.96,4.381903
1612439100000,4.4015,4.5756,4.3254,4.4518,636418.68,2850651.91,4.450743
1612440000000,4.4481,4.4481,4.0073,4.1561,641090.76,2717697.38,4.218532
1612440900000,4.1563,4.35,4.035,4.1598,465734.75,1934523.65,4.192501
1612441800000,4.1519,4.2962,4.1439,4.1793,218012.69,918251.25,4.220494
1612442700000,4.1653,4.187,4.07,4.1757,199743.81,824703.9,4.128417
1612443600000,4.1757,4.2,4.06,4.1114,165562.96,681626.68,4.129246
1612444500000,4.1114,4.119,3.9,3.9465,348011.63,1395692.73,4.006288
1612445400000,3.9476,4.1225,3.9,4.1005,352713.16,1416929.9,4.009537
1612446300000,4.1012,4.1012,3.95,3.9659,243316.49,975733.02,4.02361
