Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1612418400000,0.25,18.8264,0.25,4.9793,23319888.29,108254304.57,9.652234
1612422000000,4.9913,5.2,3.8555,3.9761,4886545.14,22375879.53,4.535072
1612425600000,3.9761,4.5,3.7,3.8526,2601005.58,10463887.72,4.101113
1612429200000,3.8526,5.36,3.8512,5.2,3647828.79,16573407.37,4.625348
1612432800000,5.2,5.2139,4.1366,4.3717,4143203.37,19106832.4,4.65607
1612436400000,4.3715,4.5756,4.2406,4.4518,1857739.59,8232827.67,4.408048
1612440000000,4.4481,4.4481,4.0073,4.1757,1524582.01,6395176.18,4.218813
1612443600000,4.1757,4.2,3.9,3.9659,1109604.24,4469982.32,4.047103
1612447200000,3.965,4.2,3.7109,3.9163,1820500.0,7122348.48,3.955487
1612450800000,3.9163,4.2,3.8119,4.1309,1788028.03,7129258.99,4.004489
1612454400000,4.1318,4.248,3.8,3.8059,1606129.94,6395203.5,4.032409
1612458000000,3.805,3.92,3.785,3.8328,665825.74,2557914.17,3.85286
1612461600000,3.8328,3.8715,3.78,3.8002,580871.79,2216097.44,3.826053
1612465200000,3.8007,3.82,3.3211,3.423,1221451.19,4328839.47,3.563642
1612468800000,3.423,3.546,3.1613,3.28,1276299.34,4254525.81,3.353727
1612472400000,3.2765,3.3908,3.17,3.2945,1027872.76,3358619.66,3.280392
1612476000000,3.295,3.3274,3.02,3.2776,1003408.12,3159754.71,3.17361
1612479600000,3.2557,3.2557,3.02,3.0605,863454.77,2704181.81,3.133659
1612483200000,3.0606,3.85,3.0524,3.7395,1905686.78,6589579.87,3.462514
1612486800000,3.7395,3.7459,3.251,3.2989,1438532.97,4952628.16,3.493322
1612490400000,3.2848,3.39,3.2,3.3867,558524.26,1843287.49,3.291843
1612494000000,3.3721,3.5331,3.2495,3.319,763538.43,2588324.7,3.391705
1612497600000,3.3041,3.491,3.2,3.315,562804.4,1881139.31,3.345513
1612501200000,3.315,3.4636,3.3101,3.3226,449714.5,1521778.51,3.386892
1612504800000,3.3211,3.4,3.21,3.3229,644955.52,2126204.59,3.305
1612508400000,3.3231,3.3299,3.2402,3.26,284331.58,935274.89,3.284132
1612512000000,3.263,3.3407,3.2401,3.301,347617.42,1139745.7,3.290711
1612515600000,3.3015,3.4975,3.265,3.3943,671606.3,2276909.05,3.382633
1612519200000,3.3943,3.42,3.2859,3.3124,421469.87,1408511.18,3.352909
1612522800000,3.3075,3.3728,3.285,3.3221,446157.03,1483108.84,3.328998
1612526400000,3.3221,3.4069,3.3008,3.3406,374039.41,1253080.66,3.354022
1612530000000,3.3398,3.3501,3.2533,3.29,344045.96,1136917.71,3.300765
1612533600000,3.2901,3.3,3.21,3.2619,354201.85,1153071.24,3.254472
1612537200000,3.2616,3.31,3.225,3.242,341983.25,1115594.41,3.267712
1612540800000,3.2421,3.4433,3.242,3.3404,624048.58,2094663.41,3.345908
1612544400000,3.3407,3.8,3.3201,3.63,997722.74,3591006.87,3.567515
1612548000000,3.6339,3.9092,3.6266,3.6333,755867.8,2853619.33,3.7679
1612551600000,3.6334,3.801,3.5,3.7542,308090.95,1128069.07,3.648683
1612555200000,3.7538,3.9,3.6206,3.849,298116.46,1125212.27,3.759071
1612558800000,3.8489,4.4785,3.845,4.23,1936267.38,8215282.82,4.173916
1612562400000,4.23,4.5517,4.1,4.366,1116300.29,4857438.0,4.326496
1612566000000,4.3507,5.9362,4.35,5.4999,4743580.31,24734726.19,5.175998
1612569600000,5.5,5.5572,4.688,4.8015,3212303.08,16137070.53,5.11718
1612573200000,4.805,4.8664,4.1103,4.3759,1827522.15,8178995.84,4.479409
1612576800000,4.376,5.2596,4.3756,4.8051,1781389.19,8643862.87,4.831812
1612580400000,4.8231,5.14,4.6,4.73,708805.93,3467063.06,4.8707
1612584000000,4.7215,4.8,4.446,4.5328,572733.0,2625948.59,4.622683
1612587600000,4.5311,4.8897,4.3889,4.7057,472670.36,2173792.63,4.639955
1612591200000,4.7057,5.36,4.6255,4.9419,1571925.18,7878087.31,4.997234
1612594800000,4.9419,5.2,4.85,5.0999,997531.68,5016688.11,5.02522
1612598400000,5.1,5.1845,4.9,4.944,593022.0,2975375.24,5.043896
1612602000000,4.9306,5.54,4.82,5.21,1487004.43,7786985.69,5.184291
1612605600000,5.2169,5.8249,5.1104,5.684,1811979.28,9912763.11,5.469708
1612609200000,5.6867,7.0889,5.6771,6.5701,6166765.47,39726626.03,6.410625
1612612800000,6.5779,6.89,6.045,6.1615,3532462.17,22825730.44,6.473821
1612616400000,6.1729,8.6,6.1466,8.1,6175721.73,46362262.54,7.416496
1612620000000,8.1063,9.5001,7.8158,8.0279,9827793.94,84783058.34,8.65827
1612623600000,8.0336,8.5389,7.2061,7.7808,5457914.75,42482135.82,7.872185
1612627200000,7.8371,8.8,7.7865,7.929,4183228.82,34705061.46,8.294095
1612630800000,7.9224,8.4799,7.8458,8.2,2073343.2,16993326.24,8.167966
1612634400000,8.176,8.235,7.5,7.7526,1771760.74,13836975.16,7.858743
1612638000000,7.7496,7.87,6.6529,7.1326,2594842.94,18633668.73,7.249115
1612641600000,7.1369,7.9466,7.1072,7.5593,2443955.26,18395443.51,7.538984
1612645200000,7.5604,8.2889,7.5,7.5624,1833639.28,14491393.07,7.894451
1612648800000,7.5624,7.95,7.2164,7.3197,1269388.63,9664920.11,7.587199
1612652400000,7.32,7.6435,6.9526,7.3618,1049572.16,7659401.2,7.298011
1612656000000,7.3788,8.09,7.361,8.09,1355671.58,10487583.56,7.722721
1612659600000,8.081,8.1,7.5,7.727,941557.45,7342946.24,7.790087
1612663200000,7.7735,7.7999,7.1413,7.4499,685972.8,5111031.81,7.461537
1612666800000,7.4499,7.9016,7.4,7.7289,682043.55,5257933.15,7.655947
1612670400000,7.7293,8.91,7.7,8.137,2700737.4,22701376.58,8.315862
1612674000000,8.1379,8.6,8.0392,8.3559,1339601.09,11231559.55,8.322454
1612677600000,8.3274,8.5,7.9701,8.2006,728331.94,5997023.48,8.23463
1612681200000,8.18,8.2436,7.91,8.0058,757890.67,6109014.1,8.075622
1612684800000,8.0057,8.7402,8.0046,8.5386,1532866.0,12923574.55,8.38754
1612688400000,8.5387,8.5476,8.1481,8.3782,1116398.04,9338371.46,8.3432
1612692000000,8.3799,9.5,8.2103,9.0998,2213242.42,19645297.77,8.86489
1612695600000,9.1017,9.6686,8.8962,8.9849,3382011.0,31315036.64,9.283775
1612699200000,8.991,9.25,8.6,8.9442,2137349.36,19026635.82,8.924945
