Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1622160000000,31.14,33.95,25.98,27.13,308874.95,8799496.36,30.021077
1622246400000,27.13,27.99,21.77,23.19,317875.93,7555131.45,24.848781
1622332800000,23.21,24.16,22.18,23.41,154948.09,3605043.74,23.169642
1622419200000,23.4,24.44,22.38,24.04,133237.05,3108439.58,23.402335
1622505600000,24.07,25.49,23.32,25.29,166243.42,4034372.04,24.381405
1622592000000,25.32,27.83,24.38,27.69,144279.3,3772240.7,26.051497
1622678400000,27.66,31.1,27.65,30.9,197977.54,5837785.77,29.401872
1622764800000,30.92,32.86,27.3,28.05,223950.42,6522910.9,30.122463
1622851200000,28.08,29.86,26.96,27.33,111751.11,3171105.83,28.421989
1622937600000,27.33,27.46,25.43,25.58,150357.03,3921752.71,26.442718
1623024000000,25.59,26.77,24.68,24.73,137593.52,3527178.84,25.749973
1623110400000,24.75,25.88,23.83,25.81,193958.07,4836895.28,24.824558
1623196800000,25.85,28.09,24.88,28.02,176278.34,4689188.42,26.426957
1623283200000,28.03,28.33,26.95,27.34,161356.17,4468925.8,27.637
1623369600000,27.31,28.2,25.47,26.11,244821.16,6523007.39,26.841344
1623456000000,26.12,26.2,25.1,25.77,62946.72,1608187.95,25.64234
1623542400000,25.8,27.19,25.64,27.19,60415.09,1594090.61,26.394868
1623628800000,27.2,28.0,26.84,27.25,88654.83,2416309.77,27.420091
1623715200000,27.25,27.41,26.39,26.43,71620.36,1929719.94,26.911563
1623801600000,26.4,26.72,25.36,25.36,77259.73,2010310.06,26.067396
1623888000000,25.35,25.58,24.66,24.71,84337.47,2131567.62,25.132387
1623974400000,24.75,24.77,24.18,24.27,42108.31,1033871.31,24.46806
1624060800000,24.27,24.38,24.06,24.38,34438.18,832612.46,24.216804
1624147200000,24.38,25.6,24.3,25.22,150086.86,3759848.99,24.967482
1624233600000,25.21,25.36,19.93,20.03,296015.71,6692927.81,22.652363
1624320000000,20.02,31.0,19.27,25.3,669738.13,16468396.16,25.267057
1624406400000,25.3,31.62,22.79,24.4,1361674.13,36119860.07,27.211132
1624492800000,24.44,25.4,22.69,23.25,890562.53,21074954.39,24.055129
1624579200000,23.2,23.82,19.77,19.89,416619.34,8879809.51,21.845116
1624665600000,19.9,21.5,17.8,18.57,978687.03,18658849.58,19.663853
1624752000000,18.54,21.0,18.37,20.15,545005.65,10605354.86,19.720146
1624838400000,20.21,20.48,19.07,19.46,105378.48,2073834.32,19.770433
1624924800000,19.46,21.23,19.41,20.16,90583.27,1854947.67,20.339585
1625011200000,20.2,22.97,18.78,19.62,196200.87,4006530.98,20.879645
1625097600000,19.68,19.71,18.16,18.34,98526.65,1860562.33,18.917766
1625184000000,18.37,18.52,16.93,17.36,83708.79,1459318.75,17.709293
1625270400000,17.38,18.68,17.37,17.97,90406.32,1638118.66,18.043697
1625356800000,17.93,18.72,17.85,18.15,61850.1,1133183.44,18.28898
1625443200000,18.16,18.22,17.04,17.21,64260.66,1121713.1,17.619364
