Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1513134000000,272.0,288.0,272.0,276.0,130.86075,36231.34,280.095238
1513137600000,276.0,288.0,269.99,279.0,606.4813,166729.65,279.005443
1513141200000,279.0,330.0,279.0,302.0,383.76674,113009.56,305.249975
1513144800000,302.0,304.11,286.0,291.13,351.59475,104070.15,294.905538
1513148400000,291.13,296.0,285.0,287.0,165.1242,47851.83,290.552419
1513152000000,287.0,290.0,280.1,280.1,123.97367,35409.3,285.257343
1513155600000,280.1,288.96,278.0,284.19,93.71678,26362.39,283.528154
1513159200000,284.19,287.4,275.2,275.26,325.33309,91114.94,281.543589
1513162800000,275.26,286.98,270.26,280.0,129.29289,35569.87,278.640299
1513166400000,280.0,308.0,280.0,305.0,767.25811,225598.59,294.373357
1513170000000,305.0,325.0,300.0,318.98,668.29285,211505.23,312.543251
1513173600000,318.98,318.98,291.11,291.11,1106.11984,333514.86,305.045
1513177200000,292.0,307.89,291.11,297.0,466.63946,139455.91,299.613505
1513180800000,294.07,297.9,287.54,288.01,256.55492,75583.66,292.877148
1513184400000,288.01,301.63,270.0,282.5,953.75885,269601.84,285.819281
1513188000000,280.0,296.0,260.0,279.81,895.34641,244691.59,277.999987
1513191600000,279.81,294.0,268.89,288.88,467.10171,132250.07,281.347217
1513195200000,288.88,288.88,276.0,278.0,537.60466,151676.15,282.22288
1513198800000,278.0,292.88,277.0,288.66,543.99848,156139.82,285.144403
1513202400000,292.88,301.0,288.66,294.0,304.86198,89868.83,294.832869
1513206000000,293.97,307.89,286.0,290.01,287.47875,84641.42,296.985874
1513209600000,290.01,296.0,283.99,296.0,260.90723,76206.16,289.795401
1513213200000,296.0,298.0,291.09,297.49,387.43553,114066.35,294.519126
1513216800000,297.49,299.0,288.01,288.11,380.08477,112350.12,293.661981
1513220400000,288.11,302.72,288.11,288.11,198.9682,58442.1,295.415
1513224000000,288.11,294.99,288.11,291.4,359.2342,104864.93,291.658839
1513227600000,291.4,295.0,283.0,283.1,334.99456,96814.31,289.237734
1513231200000,283.1,290.0,283.0,283.0,218.35947,62557.73,286.500176
1513234800000,282.05,290.0,280.0,283.04,231.94131,66031.88,285.00603
1513238400000,288.5,290.0,283.0,286.5,234.65118,67356.99,286.479167
1513242000000,286.5,294.99,280.0,285.87,338.97948,96873.65,287.495579
1513245600000,282.13,288.97,282.1,287.0,232.89674,66469.89,285.674367
1513249200000,286.1,288.95,283.61,285.0,210.98231,60338.22,286.287827
1513252800000,287.88,288.8,282.0,284.0,270.06848,76707.34,285.352154
1513256400000,284.0,285.8,275.0,281.85,616.55266,173292.78,280.374733
1513260000000,281.85,282.0,260.98,260.98,698.54236,189147.76,271.514528
1513263600000,260.98,279.0,252.0,275.01,1360.65506,358649.76,265.319386
1513267200000,275.01,278.0,271.2,273.03,631.71742,174239.01,274.61256
1513270800000,273.03,278.7,265.99,265.99,228.38622,62644.18,272.580507
1513274400000,268.0,275.0,257.01,261.2,572.18415,150984.38,266.057044
