Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1596708000000,0.05363,0.12,0.05363,0.05999,2889184.7,174656.53,0.086884
1596711600000,0.05999,0.066,0.05943,0.06112,3110239.3,192114.71,0.062731
1596715200000,0.06112,0.066,0.06112,0.06318,1788685.8,113276.58,0.063626
1596718800000,0.06323,0.06323,0.05888,0.05914,1588368.4,96379.63,0.061018
1596722400000,0.05924,0.06082,0.05914,0.06048,1315028.2,79015.7,0.059999
1596726000000,0.06065,0.06097,0.05872,0.06035,697878.2,41871.42,0.059842
1596729600000,0.06038,0.061,0.05901,0.06069,653380.2,39646.5,0.060002
1596733200000,0.06,0.06005,0.05926,0.05979,172090.9,10226.46,0.059651
1596736800000,0.0594,0.06094,0.05893,0.05988,349323.3,20680.59,0.059939
1596740400000,0.05978,0.05994,0.0584,0.05896,347494.7,20498.53,0.059155
1596744000000,0.05896,0.05896,0.05829,0.05829,251001.6,14679.95,0.058625
1596747600000,0.05829,0.05965,0.05829,0.05854,198806.4,11678.67,0.058975
1596751200000,0.05871,0.05999,0.05856,0.05944,149995.0,8873.36,0.059289
1596754800000,0.0595,0.0595,0.05755,0.05822,685188.0,39905.24,0.058485
1596758400000,0.0579,0.0604,0.05758,0.05951,1017187.6,59906.15,0.059015
1596762000000,0.05951,0.0656,0.0595,0.064,2223069.7,139334.43,0.062675
1596765600000,0.06436,0.06436,0.06217,0.063,1718614.0,108723.92,0.063221
1596769200000,0.06346,0.07099,0.06346,0.0701,4552567.5,304823.35,0.067332
1596772800000,0.07052,0.07401,0.066,0.06826,9113534.2,644736.83,0.070017
1596776400000,0.06765,0.0688,0.06623,0.06762,2653871.3,178364.92,0.067515
1596780000000,0.06763,0.06802,0.06623,0.06732,1912668.8,127938.38,0.067122
1596783600000,0.06731,0.07036,0.0671,0.06927,3134618.5,215576.08,0.068774
1596787200000,0.06927,0.06969,0.06733,0.0678,1395767.8,95613.11,0.068507
1596790800000,0.06781,0.06834,0.06714,0.06731,1711873.9,115940.68,0.067748
1596794400000,0.06752,0.06849,0.06731,0.06731,911637.1,61689.33,0.067904
