Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1621922400000,8.118,11.0,8.118,9.813,687829.59,6829414.26,9.615181
1621923300000,9.831,9.993,9.38,9.49,85932.83,825399.76,9.68868
1621924200000,9.476,9.489,8.83,9.226,135798.35,1243894.03,9.152353
1621925100000,9.227,9.43,9.053,9.42,38246.27,354945.69,9.235751
1621926000000,9.415,9.42,8.948,9.125,40553.7,369126.32,9.175038
1621926900000,9.091,9.598,9.048,9.312,73195.06,686231.96,9.328111
1621927800000,9.309,9.359,9.167,9.192,13392.2,123691.32,9.264279
1621928700000,9.173,9.249,9.083,9.237,12736.6,116518.56,9.164495
1621929600000,9.239,9.268,8.831,8.872,27676.29,248754.56,9.048216
1621930500000,8.859,9.0,8.75,8.918,30608.75,271387.72,8.874809
1621931400000,8.917,8.921,8.75,8.754,37484.88,329068.88,8.8355
1621932300000,8.754,8.936,8.587,8.6,26967.25,235087.76,8.765824
1621933200000,8.589,8.898,8.587,8.842,9735.63,85414.14,8.747853
1621934100000,8.844,8.898,8.65,8.753,9101.24,80064.58,8.773147
1621935000000,8.772,8.936,8.705,8.796,8472.02,74779.1,8.820599
1621935900000,8.796,9.1,8.766,9.088,16904.25,151024.88,8.930874
1621936800000,9.081,9.1,8.216,8.334,42636.27,365722.71,8.647243
1621937700000,8.285,8.531,8.159,8.273,25305.78,211043.68,8.345017
1621938600000,8.259,8.336,8.006,8.226,34023.72,277541.43,8.170821
1621939500000,8.209,8.397,8.15,8.19,19675.29,163650.84,8.27361
1621940400000,8.199,8.387,8.1,8.119,12932.12,106741.03,8.245174
1621941300000,8.125,8.366,8.101,8.321,11134.27,91818.79,8.235163
1621942200000,8.321,8.583,8.267,8.541,10633.65,89060.73,8.424173
1621943100000,8.549,8.609,7.88,7.953,36792.18,307562.0,8.243196
1621944000000,7.951,8.184,7.866,8.131,22910.79,184417.58,8.023607
1621944900000,8.128,8.285,8.025,8.025,12619.76,102903.85,8.158206
1621945800000,8.022,8.025,7.75,7.75,31467.41,247349.83,7.887986
1621946700000,7.777,7.958,7.75,7.916,6460.28,50565.16,7.854943
1621947600000,7.924,8.237,7.924,8.115,8784.66,71271.2,8.086762
1621948500000,8.129,8.538,8.114,8.524,13815.84,115519.95,8.325861
1621949400000,8.524,8.524,8.19,8.494,15374.35,129821.44,8.356693
1621950300000,8.496,8.502,8.292,8.326,10516.97,88528.04,8.394257
1621951200000,8.318,8.5,8.184,8.482,10692.42,89029.06,8.337812
1621952100000,8.499,8.5,8.35,8.394,8612.33,72606.06,8.421999
1621953000000,8.385,8.432,8.266,8.32,10166.92,84767.86,8.34886
1621953900000,8.324,8.353,8.226,8.3,9159.74,76014.39,8.289297
1621954800000,8.278,8.6,8.165,8.495,25612.48,215358.25,8.382235
1621955700000,8.511,8.555,8.241,8.267,9786.35,82418.77,8.3996
1621956600000,8.272,8.513,8.247,8.444,13061.27,108986.88,8.382568
1621957500000,8.444,8.519,8.292,8.509,7156.31,59979.85,8.404014
1621958400000,8.514,9.284,8.2,8.693,53899.68,474703.84,8.742951
1621959300000,8.674,8.736,8.032,8.139,63075.17,525211.26,8.380203
1621960200000,8.149,8.419,8.059,8.208,18355.08,150748.07,8.239409
1621961100000,8.226,8.285,8.058,8.127,8712.62,71150.59,8.17125
1621962000000,8.125,8.26,8.0,8.033,12615.55,101960.84,8.131648
1621962900000,8.023,8.036,7.808,7.962,12365.31,97857.43,7.920715
1621963800000,7.962,8.024,7.834,8.024,2593.09,20548.23,7.92725
1621964700000,8.013,8.313,8.011,8.293,8582.13,70455.97,8.164464
1621965600000,8.266,8.287,8.113,8.16,6468.6,52897.14,8.198671
