Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1621922400000,8.118,11.0,8.118,9.237,1087684.6,10549221.91,9.593524
1621929600000,9.239,9.268,8.587,9.088,166950.31,1475581.62,8.924563
1621936800000,9.081,9.1,7.88,7.953,193133.28,1613141.22,8.482661
1621944000000,7.951,8.538,7.75,8.326,121950.06,990377.04,8.14433
1621951200000,8.318,8.6,8.165,8.509,94247.82,789161.11,8.38093
1621958400000,8.514,9.284,7.808,8.293,180198.63,1512636.22,8.546803
1621965600000,8.266,8.393,7.592,7.793,58124.3,461639.93,7.988966
1621972800000,7.792,8.26,7.715,8.061,36570.16,290563.35,7.991456
1621980000000,8.079,8.277,7.853,8.013,42587.28,342502.83,8.065116
1621987200000,8.043,8.37,7.903,8.163,38174.4,311656.95,8.137062
1621994400000,8.213,8.758,8.028,8.501,50684.68,428038.82,8.394458
1622001600000,8.501,8.609,8.29,8.551,51950.04,440510.06,8.449027
1622008800000,8.551,8.938,8.421,8.603,70233.67,607957.14,8.67976
1622016000000,8.6,8.62,8.213,8.452,51651.61,437847.52,8.412756
1622023200000,8.446,8.481,8.093,8.403,45694.85,378585.56,8.286577
1622030400000,8.425,8.539,7.9,7.95,48849.06,405690.87,8.224629
1622037600000,7.944,8.225,7.932,8.16,25762.4,208658.74,8.082667
1622044800000,8.143,8.5,7.65,7.976,159262.6,1276413.45,8.075151
1622052000000,7.979,8.162,7.65,7.764,62344.66,488449.49,7.907591
1622059200000,7.764,8.078,7.691,7.977,31857.0,251326.14,7.885647
1622066400000,7.977,8.131,7.91,8.03,21382.5,171800.65,8.020748
1622073600000,8.023,8.072,7.62,7.666,65715.53,511660.3,7.846277
1622080800000,7.616,7.775,7.364,7.615,49955.71,379533.42,7.5695
1622088000000,7.622,7.73,7.447,7.7,24194.0,183116.34,7.587096
1622095200000,7.688,7.709,7.579,7.626,17077.05,130505.39,7.643216
1622102400000,7.655,7.88,7.524,7.705,21761.06,169296.64,7.702109
