Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1566518400000,0.45,0.45,0.3967,0.4109,2419868.99,993832.31,0.422246
1566604800000,0.4112,0.4179,0.3708,0.3925,783334.72,314047.44,0.394042
1566691200000,0.3939,0.4153,0.3459,0.3566,1995901.64,754770.18,0.381016
1566777600000,0.3595,0.49,0.35,0.445,3092037.5,1258741.6,0.421825
1566864000000,0.445,0.49,0.4057,0.4208,1062596.43,456265.07,0.448164
1566950400000,0.4208,0.4291,0.3725,0.3793,487725.78,194531.13,0.400916
1567036800000,0.3812,0.3915,0.3501,0.388,445464.52,164555.06,0.370706
1567123200000,0.3881,0.4109,0.3812,0.3977,635831.14,252989.15,0.396134
1567209600000,0.3985,0.439,0.3872,0.4065,1152524.69,482291.23,0.413164
1567296000000,0.4091,0.4299,0.3732,0.3802,811550.85,319702.75,0.402029
1567382400000,0.3801,0.4024,0.3681,0.3936,2298012.01,895808.53,0.385186
1567468800000,0.3936,0.4336,0.3771,0.4048,4383555.04,1757046.59,0.405411
1567555200000,0.4092,0.4314,0.3898,0.427,1854469.39,769904.28,0.41024
1567641600000,0.4266,0.4292,0.4051,0.4116,2650958.26,1105451.9,0.416941
1567728000000,0.4133,0.4173,0.3756,0.3824,1318709.47,520359.67,0.396227
1567814400000,0.3836,0.3949,0.3772,0.3859,640334.28,248854.32,0.386056
1567900800000,0.3871,0.3907,0.3787,0.3866,355201.13,137122.42,0.384699
1567987200000,0.3879,0.393,0.372,0.3852,590531.39,226259.26,0.382483
1568073600000,0.3848,0.3917,0.3654,0.3736,307127.25,115698.28,0.378519
1568160000000,0.3741,0.3808,0.3613,0.3732,820776.67,305405.53,0.371049
1568246400000,0.3732,0.3735,0.334,0.3416,634326.32,221190.31,0.353055
1568332800000,0.3416,0.3416,0.3212,0.3287,469282.72,153895.78,0.330983
1568419200000,0.3265,0.3406,0.3248,0.3355,552674.76,184603.81,0.33285
1568505600000,0.3355,0.3373,0.3257,0.3288,231314.31,76613.43,0.331441
1568592000000,0.3288,0.3302,0.3038,0.3199,646425.11,205439.15,0.316785
1568678400000,0.3167,0.3177,0.298,0.3059,695415.46,213556.86,0.30757
1568764800000,0.3061,0.3406,0.3051,0.3328,804158.1,262262.38,0.32341
1568851200000,0.3361,0.3362,0.3013,0.3169,644515.71,202488.37,0.318116
1568937600000,0.3153,0.3203,0.3069,0.3141,266164.22,82878.28,0.313598
1569024000000,0.3125,0.3235,0.3041,0.3145,499531.0,158129.49,0.313801
1569110400000,0.315,0.3156,0.2968,0.3029,271149.65,82783.35,0.305882
1569196800000,0.3015,0.3062,0.284,0.2881,254042.11,75183.9,0.29513
1569283200000,0.2879,0.2926,0.2058,0.2238,317806.21,79154.47,0.24815
1569369600000,0.2232,0.2419,0.2047,0.2308,520793.53,113981.63,0.223261
