Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1602651600000,1.3,1.88,1.1111,1.367,5673429.71,7829395.8,1.495858
1602652500000,1.367,1.3735,1.2222,1.3071,2070780.33,2692361.87,1.296251
1602653400000,1.307,1.39,1.3048,1.3689,1048587.47,1409644.45,1.348837
1602654300000,1.3687,1.3838,1.32,1.3286,352061.02,474100.06,1.352256
1602655200000,1.3292,1.3385,1.15,1.2509,1511174.34,1870063.2,1.242185
1602656100000,1.2527,1.26,1.1781,1.2,694375.63,843774.19,1.218207
1602657000000,1.1966,1.2317,1.1251,1.2131,984319.78,1160877.99,1.178241
1602657900000,1.2132,1.2383,1.1457,1.1457,612976.46,734764.77,1.193923
1602658800000,1.1588,1.223,1.1575,1.2002,430950.9,513400.14,1.191443
1602659700000,1.2076,1.27,1.2,1.26,469137.93,577861.17,1.235195
1602660600000,1.2601,1.3099,1.2507,1.2689,491771.84,631638.59,1.280388
1602661500000,1.2688,1.2987,1.241,1.2517,411107.7,524393.67,1.270066
1602662400000,1.2597,1.28,1.2094,1.26,615871.77,762182.26,1.2447
1602663300000,1.2604,1.3199,1.23,1.2585,273157.91,345142.38,1.274952
1602664200000,1.2583,1.2583,1.2119,1.2119,192019.03,237096.46,1.2351
1602665100000,1.2185,1.2212,1.176,1.2077,239682.3,288028.24,1.19839
1602666000000,1.2087,1.2424,1.19,1.2333,327714.91,398556.56,1.21592
1602666900000,1.2348,1.2561,1.2266,1.2433,178480.42,221659.72,1.241399
1602667800000,1.242,1.2451,1.2064,1.22,165608.36,202371.51,1.225289
1602668700000,1.2191,1.2223,1.1638,1.1782,348303.23,415633.25,1.19227
1602669600000,1.1795,1.1911,1.12,1.1265,526870.5,610218.45,1.155961
1602670500000,1.1265,1.1571,1.1253,1.1458,510163.01,581130.37,1.141712
1602671400000,1.1449,1.1661,1.112,1.112,386147.93,441102.23,1.14013
1602672300000,1.1151,1.1153,1.08,1.0941,666590.97,730247.95,1.096975
1602673200000,1.0947,1.1623,1.0939,1.1394,528331.0,596433.3,1.129421
1602674100000,1.1385,1.1385,1.0731,1.0816,579909.84,633675.54,1.104808
1602675000000,1.0826,1.085,1.05,1.0698,555829.68,594159.49,1.067199
1602675900000,1.0717,1.1073,1.0717,1.1051,330043.85,358978.56,1.08981
1602676800000,1.1052,1.1073,1.0719,1.08,177090.93,192423.2,1.089165
1602677700000,1.0803,1.194,1.0803,1.1865,845408.33,974209.3,1.138196
1602678600000,1.1934,1.1952,1.135,1.1739,443565.22,516376.46,1.1646
1602679500000,1.1738,1.1875,1.1569,1.1857,297663.65,348324.2,1.171903
1602680400000,1.1858,1.24,1.1733,1.2141,764566.19,926240.45,1.206966
1602681300000,1.2141,1.2819,1.2141,1.234,698642.67,874836.99,1.248527
1602682200000,1.2341,1.2564,1.2073,1.245,450980.85,556184.65,1.231754
1602683100000,1.2444,1.2444,1.1901,1.22,403582.85,490616.46,1.216455
1602684000000,1.22,1.2596,1.21,1.2547,329989.01,406818.14,1.234444
1602684900000,1.2539,1.2539,1.1601,1.1711,662066.08,799493.97,1.205669
1602685800000,1.1709,1.1835,1.1511,1.1612,415736.16,485345.48,1.167329
1602686700000,1.1635,1.1816,1.14,1.1487,504736.36,583078.29,1.160954
1602687600000,1.1498,1.171,1.1358,1.1677,292482.54,338560.66,1.15303
1602688500000,1.1677,1.171,1.151,1.1567,152880.15,176899.71,1.160902
1602689400000,1.1565,1.1999,1.1512,1.1573,449783.16,529260.51,1.175551
1602690300000,1.1572,1.1593,1.1023,1.1281,774817.44,875082.2,1.129974
1602691200000,1.127,1.1575,1.1111,1.1262,552228.6,627587.7,1.134301
1602692100000,1.1286,1.1359,1.1178,1.1327,240228.51,271504.68,1.126801
1602693000000,1.1337,1.1685,1.13,1.1619,189406.65,216035.4,1.149475
1602693900000,1.1623,1.1999,1.1477,1.1975,341046.89,401039.1,1.173018
1602694800000,1.1977,1.1989,1.15,1.1506,267597.45,314758.73,1.174541
1602695700000,1.1508,1.1534,1.1057,1.1349,379253.22,429043.65,1.12917
1602696600000,1.1346,1.1351,1.12,1.131,218883.27,246434.35,1.127474
1602697500000,1.131,1.1315,1.128,1.1309,97239.55,109896.17,1.12975
1602698400000,1.131,1.1339,1.1085,1.1088,199604.34,223640.71,1.121507
1602699300000,1.1092,1.1097,1.07,1.0704,395850.76,430507.31,1.089866
1602700200000,1.0704,1.1001,1.0704,1.0731,282128.73,305649.03,1.085278
1602701100000,1.0731,1.0765,1.07,1.0742,165108.38,176994.44,1.073247
1602702000000,1.074,1.0935,1.0732,1.0924,116163.95,125876.16,1.083389
1602702900000,1.0908,1.1183,1.0905,1.1051,175262.36,193690.27,1.104857
1602703800000,1.1104,1.1198,1.1049,1.113,117388.69,130488.68,1.112355
1602704700000,1.1136,1.1214,1.1062,1.1089,96842.88,107856.05,1.113862
1602705600000,1.1097,1.1101,1.092,1.0923,40554.99,44605.57,1.101065
1602706500000,1.0926,1.1009,1.089,1.0971,75315.09,82363.88,1.094954
1602707400000,1.0963,1.0997,1.085,1.099,63044.97,68854.52,1.092305
1602708300000,1.0997,1.1002,1.0944,1.1001,31074.99,34092.78,1.097297
1602709200000,1.1013,1.1037,1.0809,1.0855,66205.88,72313.86,1.09215
1602710100000,1.0864,1.0936,1.08,1.0803,97419.01,105800.99,1.086983
1602711000000,1.0813,1.1039,1.0805,1.0968,82782.79,90536.32,1.092588
1602711900000,1.0995,1.1342,1.0995,1.1205,191864.98,214166.02,1.11754
1602712800000,1.1244,1.1569,1.1244,1.1565,68046.21,77941.52,1.140715
1602713700000,1.1563,1.1564,1.1366,1.1529,57477.5,65773.89,1.14644
1602714600000,1.1536,1.167,1.1536,1.167,73824.27,85695.58,1.1603
1602715500000,1.167,1.1687,1.1323,1.1331,91764.91,105787.82,1.150625
1602716400000,1.1331,1.1539,1.1331,1.1456,55466.24,63508.63,1.143912
1602717300000,1.1466,1.158,1.145,1.154,47778.47,55006.72,1.151606
1602718200000,1.1535,1.1737,1.1519,1.1737,53713.35,62531.33,1.162581
1602719100000,1.1738,1.187,1.1658,1.1685,160261.57,188948.51,1.176483
1602720000000,1.1685,1.17,1.1628,1.1664,31358.49,36583.05,1.166377
1602720900000,1.1637,1.1653,1.1567,1.1593,33493.69,38854.02,1.160965
1602721800000,1.1573,1.1602,1.1442,1.1481,60031.1,69155.99,1.152155
1602722700000,1.1499,1.1582,1.1482,1.158,57821.1,66723.59,1.153053
1602723600000,1.1581,1.1638,1.1558,1.1624,33612.72,38966.05,1.159765
1602724500000,1.1624,1.1685,1.1616,1.1685,26542.99,30913.2,1.164953
1602725400000,1.1676,1.19,1.1676,1.1899,165883.91,196218.09,1.178816
1602726300000,1.1896,1.1897,1.1668,1.1795,93233.21,109948.27,1.177928
1602727200000,1.1779,1.194,1.1779,1.1934,44295.17,52623.91,1.18604
1602728100000,1.1931,1.25,1.193,1.2489,326324.0,399166.57,1.221658
1602729000000,1.2477,1.2522,1.21,1.2185,331396.63,406771.3,1.230828
1602729900000,1.2172,1.2185,1.2001,1.206,146834.71,177626.32,1.209065
1602730800000,1.2044,1.205,1.1844,1.1957,121231.71,144637.56,1.19445
1602731700000,1.1939,1.2339,1.1938,1.2316,101141.33,123019.3,1.214162
1602732600000,1.2319,1.2358,1.1988,1.2023,84466.39,102338.02,1.217338
1602733500000,1.2023,1.2044,1.1812,1.1813,174066.59,207820.42,1.193058
1602734400000,1.1817,1.1834,1.163,1.174,140765.02,165215.56,1.173028
1602735300000,1.174,1.1847,1.1737,1.1841,48372.45,57090.84,1.17924
1602736200000,1.1853,1.2067,1.1841,1.1998,106671.56,127726.33,1.195727
1602737100000,1.2,1.2006,1.1899,1.1969,28767.95,34324.14,1.195181
1602738000000,1.197,1.2245,1.19,1.2154,152818.14,185003.25,1.20733
1602738900000,1.2147,1.2147,1.179,1.1805,88980.55,106057.36,1.196627
1602739800000,1.181,1.1845,1.1766,1.1839,93793.9,110569.86,1.180484
1602740700000,1.182,1.1832,1.1766,1.1803,88035.07,103903.26,1.179879
1602741600000,1.1792,1.1905,1.1786,1.1881,28897.53,34269.57,1.184696
1602742500000,1.1881,1.1881,1.16,1.1621,174903.45,204595.65,1.173764
1602743400000,1.1621,1.1668,1.1495,1.1567,119559.36,138526.24,1.158119
1602744300000,1.1535,1.1635,1.15,1.1605,117906.31,136327.7,1.156732
1602745200000,1.1605,1.1619,1.1462,1.1463,62545.9,72365.38,1.154217
1602746100000,1.1475,1.1475,1.1067,1.1315,316713.92,355323.19,1.126604
1602747000000,1.1314,1.146,1.1314,1.14,120811.08,137631.43,1.138985
1602747900000,1.1408,1.1408,1.117,1.1249,91238.09,102909.12,1.128404
1602748800000,1.1249,1.185,1.1244,1.1748,326459.21,377418.54,1.15569
1602749700000,1.1748,1.1758,1.1404,1.1474,135333.17,156682.55,1.157572
1602750600000,1.1472,1.1482,1.1152,1.1176,229138.62,258668.0,1.131524
1602751500000,1.1177,1.1407,1.1003,1.1159,283249.68,316982.76,1.120502
1602752400000,1.1165,1.1226,1.1052,1.1055,178590.74,198165.13,1.114222
1602753300000,1.1055,1.1276,1.1052,1.1181,191947.12,214044.39,1.116795
1602754200000,1.1182,1.1207,1.0792,1.0881,346533.28,380639.15,1.099465
1602755100000,1.088,1.12,1.0833,1.12,258630.61,285949.37,1.101099
1602756000000,1.1179,1.15,1.1161,1.1373,177464.5,201291.21,1.133536
1602756900000,1.1362,1.1399,1.1129,1.1253,119611.63,134458.4,1.126215
1602757800000,1.1241,1.1417,1.1212,1.13,50100.58,56654.52,1.131543
1602758700000,1.13,1.1635,1.129,1.1554,172589.88,197889.27,1.146806
1602759600000,1.1567,1.1575,1.1382,1.1382,147243.64,169252.96,1.147969
1602760500000,1.1382,1.1459,1.1354,1.144,79346.69,90512.78,1.140613
1602761400000,1.1446,1.1481,1.1305,1.1305,54377.63,61992.52,1.139634
1602762300000,1.1305,1.132,1.121,1.1283,38522.44,43396.89,1.126471
1602763200000,1.1256,1.127,1.1057,1.1151,65061.87,72781.78,1.116091
1602764100000,1.1125,1.17,1.1015,1.1668,318902.59,360513.11,1.135023
1602765000000,1.1676,1.175,1.1496,1.1555,237563.41,275501.96,1.162345
1602765900000,1.1554,1.1646,1.1429,1.1513,86128.36,99476.78,1.153754
1602766800000,1.1531,1.1793,1.1512,1.1581,148298.32,173015.4,1.165327
1602767700000,1.1581,1.184,1.1499,1.1664,75725.18,88107.7,1.167021
1602768600000,1.1674,1.198,1.1644,1.1915,290652.94,344604.44,1.181458
1602769500000,1.1902,1.2198,1.1896,1.219,418786.94,504826.35,1.204729
