Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1602633600000,1.3,1.88,1.05,1.1685,33930218.86,41481573.24,1.466457
1602720000000,1.1685,1.2522,1.0792,1.1209,11332956.19,13125074.45,1.166105
1602806400000,1.1222,1.1524,0.812,0.8171,18486274.59,17374515.73,0.985354
1602892800000,0.8171,0.8649,0.72,0.8073,11674014.53,9195278.38,0.792427
1602979200000,0.8074,0.8753,0.8007,0.8692,5960006.25,4953300.26,0.837938
1603065600000,0.8703,0.871,0.765,0.7993,5584352.53,4574068.95,0.815878
1603152000000,0.7993,0.81,0.67,0.6757,7513041.18,5480522.42,0.740605
1603238400000,0.6774,0.7475,0.6731,0.7044,7268329.25,5178823.68,0.71096
1603324800000,0.7045,0.7881,0.7042,0.7484,5704822.9,4294101.16,0.747597
1603411200000,0.7479,0.7535,0.6862,0.7271,3774042.75,2737399.39,0.719418
1603497600000,0.7263,0.7585,0.7052,0.7391,3236181.66,2361460.31,0.731838
1603584000000,0.7389,0.8581,0.729,0.8444,11721841.25,9388049.63,0.793931
1603670400000,0.8456,0.8567,0.7396,0.7784,7675162.26,6068472.53,0.796907
1603756800000,0.7803,0.8068,0.7447,0.7598,4825820.98,3753670.21,0.77591
1603843200000,0.7609,0.7785,0.681,0.7,5748696.55,4153622.71,0.729674
1603929600000,0.7006,0.7246,0.6702,0.6895,5560173.67,3905474.76,0.697425
1604016000000,0.69,0.7042,0.6127,0.6306,7402852.45,4770414.76,0.658232
1604102400000,0.6304,0.6564,0.6184,0.6385,4194888.74,2674466.73,0.637434
1604188800000,0.6386,0.6568,0.6,0.635,8584893.91,5405751.16,0.628392
1604275200000,0.6361,0.6517,0.5976,0.6064,16305764.58,10207170.21,0.624927
1604361600000,0.6059,0.6123,0.5573,0.5621,5823630.76,3378452.93,0.584951
1604448000000,0.5629,0.5644,0.5246,0.5338,6931955.77,3764805.74,0.543906
1604534400000,0.5342,0.7179,0.5336,0.6912,14869185.28,9410691.61,0.628642
1604620800000,0.6914,0.765,0.6881,0.7193,12581256.17,9126908.73,0.727271
1604707200000,0.7198,0.7932,0.6697,0.6961,14821653.13,10773907.59,0.731668
1604793600000,0.6957,0.8297,0.682,0.8169,7575217.1,5838969.55,0.755759
1604880000000,0.8165,0.9289,0.7972,0.9289,10185871.67,8641832.29,0.860902
1604966400000,0.9295,0.9744,0.882,0.9456,13205405.01,12169109.5,0.928128
1605052800000,0.9456,0.9923,0.8571,0.8604,11130743.46,10244005.47,0.927092
1605139200000,0.8599,0.8796,0.7603,0.7893,10143967.5,8312708.98,0.819504
1605225600000,0.7896,0.918,0.779,0.8981,13561690.91,11594802.91,0.849336
1605312000000,0.8992,0.9039,0.8213,0.8681,12151278.59,10430670.91,0.861827
1605398400000,0.8685,0.8867,0.7978,0.8296,13102922.31,10960269.49,0.841908
1605484800000,0.8293,0.8994,0.8167,0.866,11032347.85,9537489.69,0.858589
1605571200000,0.8657,0.9845,0.8643,0.9313,14355276.12,13325111.29,0.926484
1605657600000,0.9319,0.9455,0.8006,0.8324,12874991.28,10990062.76,0.871834
