Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1602648000000,1.3,1.88,1.1111,1.3286,9144858.53,12405502.19,1.495613
1602655200000,1.3292,1.3385,1.1251,1.2517,5605814.58,6856773.72,1.2298
1602662400000,1.2597,1.3199,1.1638,1.1782,2340837.93,2870670.39,1.243525
1602669600000,1.1795,1.1911,1.05,1.1051,4083886.78,4545945.9,1.118925
1602676800000,1.1052,1.2819,1.0719,1.22,4081500.69,4879211.72,1.178055
1602684000000,1.22,1.2596,1.1023,1.1281,3582490.9,4194538.95,1.181594
1602691200000,1.127,1.1999,1.1057,1.1309,2285884.14,2616299.78,1.15281
1602698400000,1.131,1.1339,1.07,1.1089,1548350.09,1694702.66,1.101395
1602705600000,1.1097,1.1342,1.08,1.1205,648262.7,712733.95,1.10702
1602712800000,1.1244,1.187,1.1244,1.1685,608332.52,705194.0,1.15701
1602720000000,1.1685,1.19,1.1442,1.1795,501977.21,587362.25,1.166999
1602727200000,1.1779,1.2522,1.1779,1.1813,1329756.53,1614003.41,1.215069
1602734400000,1.1817,1.2245,1.163,1.1803,748204.64,889890.6,1.193752
1602741600000,1.1792,1.1905,1.1067,1.1249,1032575.64,1181948.28,1.148195
1602748800000,1.1249,1.185,1.0792,1.12,1949882.43,2188549.89,1.132105
1602756000000,1.1179,1.1635,1.1129,1.1283,839256.99,955448.53,1.138361
1602763200000,1.1256,1.2198,1.1015,1.219,1641119.61,1918827.53,1.158499
1602770400000,1.2171,1.219,1.1612,1.177,850756.34,1005460.43,1.189149
1602777600000,1.1769,1.1781,1.115,1.1482,1168483.11,1336225.06,1.145677
1602784800000,1.1501,1.16,1.1264,1.16,558075.2,637694.22,1.142937
1602792000000,1.1579,1.1636,1.1279,1.1344,419372.54,479997.94,1.145701
1602799200000,1.1327,1.1345,1.116,1.1209,293495.95,329666.32,1.125075
1602806400000,1.1222,1.1524,1.114,1.1481,492243.45,559264.0,1.13295
1602813600000,1.1481,1.1481,1.102,1.1073,509345.9,572099.52,1.124405
1602820800000,1.1073,1.1073,0.9423,0.9955,3956449.71,3978138.67,1.021351
1602828000000,0.9935,0.9938,0.9297,0.9345,2156812.66,2065337.12,0.961145
1602835200000,0.9345,0.9767,0.86,0.8757,2545041.35,2355162.55,0.919248
