Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1511146800000,36.0,46.0,36.0,42.4,601.411,26005.98,41.205348
1511150400000,43.89,43.89,41.73,42.2,243.876,10426.74,42.767537
1511154000000,42.2,42.2,40.501,42.2,384.512,15799.37,41.3505
1511157600000,41.0,41.0,39.0,40.798,167.469,6755.74,39.997701
1511161200000,40.0,42.0,39.201,40.5,591.463,24741.6,40.603319
1511164800000,40.75,41.0,38.5,40.9,1383.658,54917.33,39.749032
1511168400000,40.0,42.2,40.0,40.85,902.363,37265.07,41.126167
1511172000000,41.6,41.6,40.5,40.5,883.055,35949.4,41.05
1511175600000,40.5,41.6,40.0,40.5,322.607,13089.92,40.8
1511179200000,40.5,40.5,40.0,40.5,424.555,17148.41,40.25
1511182800000,41.0,42.5,40.02,42.5,1381.191,57717.88,41.210675
1511186400000,42.5,42.999,39.196,41.0,3432.393,138474.11,41.071095
1511190000000,41.0,42.0,40.5,41.001,444.677,18334.27,41.25
1511193600000,41.002,41.475,38.0,38.0,5684.33,223701.87,39.791746
1511197200000,38.0,40.5,34.7,37.502,6130.983,233075.45,37.599721
1511200800000,38.7,40.0,37.7,39.0,1092.42,42737.39,38.85
1511204400000,39.1,39.45,38.53,39.45,104.769,4085.89,38.979301
1511208000000,39.4,39.9,38.6,38.65,189.821,7468.99,39.270422
1511211600000,38.65,38.65,37.0,37.3,862.75,32385.21,37.794851
1511215200000,37.3,37.49,36.011,36.05,2321.152,84848.72,36.766914
1511218800000,36.062,37.2,35.1,35.582,2792.875,100295.02,36.154341
1511222400000,35.582,36.39,34.2,35.0,3951.063,138093.14,35.295072
1511226000000,35.0,36.9,35.0,36.9,2137.308,77286.74,35.95
1511229600000,36.9,36.9,35.28,35.28,636.911,23028.49,36.09
1511233200000,35.28,35.28,33.5,34.106,3868.162,132394.17,34.353027
1511236800000,34.0,35.18,33.6,35.18,2019.03,69404.26,34.357593
1511240400000,35.18,36.81,35.0,35.8,856.383,30736.41,35.917541
1511244000000,36.15,37.178,35.188,36.296,919.47,33351.66,36.182946
1511247600000,36.283,36.7,35.1,36.7,749.742,26787.25,35.889782
1511251200000,36.996,37.0,36.996,36.998,1172.844,43392.95,36.998067
1511254800000,36.998,37.19,35.581,37.19,1979.376,73187.35,36.382969
1511258400000,37.498,37.499,36.3,36.5,230.432,8542.68,36.878656
1511262000000,36.331,36.7,35.702,35.85,1135.594,40835.67,36.207813
1511265600000,35.85,36.1,35.11,35.5,1550.062,55372.3,35.602742
1511269200000,35.5,36.39,35.122,35.129,1761.71,62512.24,35.765656
1511272800000,35.129,36.1,35.129,35.152,99.74,3531.27,35.614566
1511276400000,36.099,36.89,35.301,35.301,804.799,28961.73,36.122115
1511280000000,35.2,36.099,35.0,36.0,1873.802,66067.25,35.541789
1511283600000,35.997,36.0,35.021,35.021,364.997,12938.3,35.510996
1511287200000,35.111,35.15,34.5,34.61,1651.432,57686.77,34.818808
1511290800000,34.8,34.801,34.65,34.65,425.413,14803.11,34.725664
1511294400000,35.5,35.5,34.501,35.06,227.899,7900.52,34.986254
1511298000000,35.06,35.58,34.351,35.58,145.475,5092.42,34.948891
