Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597795200000,0.5101,0.72,0.4923,0.5526,3386086.32,1869066.85,0.606807
1597881600000,0.5473,0.64,0.547,0.6114,4229768.1,2536817.51,0.595407
1597968000000,0.6114,0.6284,0.5105,0.5205,2333052.73,1313620.86,0.570061
1598054400000,0.5176,0.5476,0.425,0.5331,2458497.96,1239348.12,0.486143
1598140800000,0.5363,0.6087,0.523,0.5945,2265337.55,1292057.8,0.565909
1598227200000,0.5945,0.6171,0.5419,0.5548,1876521.8,1071330.17,0.579863
1598313600000,0.5548,0.5777,0.478,0.504,2360738.6,1236047.95,0.527742
1598400000000,0.5058,0.595,0.4777,0.5551,3396164.55,1806632.7,0.536623
1598486400000,0.556,0.6,0.4904,0.512,3800845.13,2075237.16,0.54567
1598572800000,0.5147,0.5901,0.5104,0.5449,3006960.35,1645704.11,0.551011
1598659200000,0.545,0.63,0.5412,0.622,4164016.48,2437141.67,0.586086
1598745600000,0.6235,0.6701,0.6001,0.6333,5697472.9,3613149.86,0.635133
1598832000000,0.6332,0.6356,0.5581,0.5695,4198470.6,2438364.34,0.595936
1598918400000,0.5698,0.5698,0.5201,0.5338,3846917.96,2090420.11,0.543916
1599004800000,0.5338,0.5599,0.4699,0.5212,3494046.07,1809301.08,0.514838
1599091200000,0.5233,0.5346,0.41,0.4264,3863833.94,1849020.41,0.471846
1599177600000,0.4289,0.4582,0.35,0.4037,4865052.72,1952433.88,0.403932
1599264000000,0.4037,0.44,0.2769,0.3271,4467148.32,1513583.75,0.358044
1599350400000,0.325,0.45,0.285,0.3933,5857174.7,2158853.94,0.367874
1599436800000,0.3933,0.4265,0.3218,0.3848,6316847.31,2335560.23,0.374125
1599523200000,0.3848,0.3925,0.3293,0.3484,4225117.85,1492725.69,0.360385
1599609600000,0.3457,0.3935,0.3256,0.366,2775148.53,1013977.4,0.359635
1599696000000,0.366,0.4541,0.366,0.3941,3999802.78,1653132.21,0.410833
1599782400000,0.3937,0.4,0.3628,0.3876,2902934.77,1096823.08,0.381337
1599868800000,0.3863,0.4,0.3505,0.367,3590857.16,1327825.77,0.375195
1599955200000,0.3682,0.41,0.3345,0.3446,3228197.17,1179745.5,0.372647
1600041600000,0.3448,0.3804,0.337,0.3551,2708056.91,966598.82,0.358825
