Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1578528000000,0.0989,0.499,0.0989,0.218,47784823.8,10823653.38,0.302133
1578614400000,0.218,0.2367,0.2005,0.2009,13995092.32,3077679.83,0.219141
1578700800000,0.2011,0.2047,0.1677,0.1706,8965735.05,1689663.68,0.186272
1578787200000,0.1706,0.1765,0.1588,0.1664,7504214.3,1253433.95,0.167638
1578873600000,0.1668,0.1815,0.157,0.1668,8550823.85,1438015.76,0.16925
1578960000000,0.1673,0.1687,0.145,0.1453,9364327.01,1418326.35,0.157001
1579046400000,0.1451,0.1453,0.1289,0.1316,9812263.92,1309569.42,0.136845
1579132800000,0.1322,0.1538,0.1171,0.1188,10758663.55,1435631.42,0.135793
1579219200000,0.1188,0.1285,0.1158,0.12,6813533.74,828769.75,0.122156
1579305600000,0.12,0.1283,0.1185,0.128,3536680.59,433190.9,0.12328
1579392000000,0.128,0.1298,0.1106,0.115,6100461.45,716324.39,0.120032
1579478400000,0.1149,0.1151,0.1065,0.1096,2219321.98,245545.27,0.110648
1579564800000,0.1093,0.1275,0.109,0.1245,7761219.39,934594.14,0.118524
1579651200000,0.1257,0.1476,0.1246,0.1297,10278724.6,1409260.49,0.136164
1579737600000,0.1297,0.1334,0.1221,0.1289,3544694.98,451102.03,0.127748
1579824000000,0.1287,0.1339,0.1171,0.122,4038415.95,497532.63,0.125506
1579910400000,0.122,0.1231,0.1153,0.1162,2027227.13,240184.73,0.119216
1579996800000,0.1159,0.12,0.1125,0.1166,1713790.07,199441.48,0.11625
1580083200000,0.1166,0.1244,0.1166,0.1195,1338720.96,160453.62,0.120588
1580169600000,0.1201,0.1204,0.1105,0.111,2031134.22,233882.77,0.115423
1580256000000,0.1113,0.1127,0.106,0.1074,2613909.67,284894.39,0.10935
1580342400000,0.1074,0.1113,0.1026,0.1112,2874715.33,303115.37,0.106832
1580428800000,0.111,0.1165,0.1043,0.1117,3166467.68,352783.09,0.110399
1580515200000,0.1125,0.1148,0.1081,0.1115,1544120.53,172439.26,0.111447
1580601600000,0.1115,0.1282,0.1112,0.1175,4869993.17,588002.0,0.119867
1580688000000,0.1175,0.1248,0.1115,0.1144,4664279.26,547867.55,0.11818
1580774400000,0.1142,0.1192,0.1126,0.1175,3682953.06,424850.48,0.115903
1580860800000,0.1171,0.1214,0.1109,0.1207,4086675.25,468920.83,0.116067
1580947200000,0.1204,0.298,0.1162,0.2503,58317088.65,12013949.03,0.210282
1581033600000,0.2522,0.325,0.2106,0.2201,40012109.89,10455490.93,0.268435
1581120000000,0.2176,0.35,0.2115,0.3266,28577016.53,8391599.15,0.282335
1581206400000,0.3277,0.4582,0.2802,0.443,38416688.21,14823510.39,0.367307
1581292800000,0.4406,0.453,0.3551,0.3781,21017970.09,8369309.31,0.403449
1581379200000,0.3781,0.3842,0.3244,0.349,10268856.7,3549626.76,0.353718
1581465600000,0.3466,0.3992,0.3,0.3232,16972004.53,5875897.36,0.349807
1581552000000,0.3238,0.3493,0.305,0.3288,7411549.04,2380902.64,0.327153
1581638400000,0.328,0.328,0.276,0.2826,5966904.51,1742232.9,0.301223
1581724800000,0.2837,0.3759,0.269,0.2779,17266359.15,5549773.37,0.322481
1581811200000,0.278,0.3229,0.255,0.2863,7717534.42,2236593.71,0.288975
1581897600000,0.2863,0.3458,0.281,0.3209,11114857.21,3487679.17,0.314152
1581984000000,0.3211,0.369,0.3,0.327,9090763.0,3085733.81,0.334519
1582070400000,0.327,0.3383,0.295,0.308,2974638.23,958713.89,0.316607
1582156800000,0.308,0.309,0.2751,0.2991,3200318.83,921445.59,0.291848
1582243200000,0.299,0.309,0.2803,0.2873,1711921.84,500597.28,0.294715
1582329600000,0.2871,0.295,0.279,0.281,1637077.43,468364.83,0.287111
1582416000000,0.281,0.2933,0.2657,0.2894,2542924.98,711441.9,0.279365
1582502400000,0.2871,0.3246,0.2768,0.2933,5956790.75,1816795.26,0.300744
1582588800000,0.2918,0.2937,0.255,0.2598,2481493.11,677606.16,0.274051
1582675200000,0.2598,0.2862,0.2168,0.2528,6093717.73,1502543.51,0.251488
1582761600000,0.2515,0.3113,0.2301,0.2723,6588277.22,1826500.48,0.270847
1582848000000,0.2748,0.3237,0.2556,0.3169,6509168.29,1877996.4,0.288995
1582934400000,0.3169,0.3499,0.2946,0.3159,6506728.24,2099068.18,0.32225
1583020800000,0.3167,0.3475,0.3094,0.3316,3881931.69,1267300.43,0.328621
1583107200000,0.3315,0.34,0.3121,0.3246,3029673.38,986247.01,0.326019
1583193600000,0.3246,0.3268,0.308,0.3081,2328070.69,737198.01,0.31765
1583280000000,0.3081,0.3755,0.3008,0.3671,7283503.6,2486672.26,0.338252
1583366400000,0.368,0.3848,0.3367,0.3416,5439932.15,1958236.36,0.361235
1583452800000,0.3413,0.4037,0.336,0.3804,5545701.08,2073985.18,0.370669
1583539200000,0.3809,0.4733,0.3735,0.4034,7580676.22,3226489.62,0.423802
1583625600000,0.4041,0.5499,0.364,0.4691,19588087.68,9139275.01,0.457592
1583712000000,0.47,0.543,0.4,0.4429,14592215.35,6891341.37,0.471636
1583798400000,0.4427,0.5087,0.415,0.4499,8948550.15,4101210.59,0.461873
1583884800000,0.4499,0.492,0.3768,0.4091,7522585.99,3307812.42,0.434559
1583971200000,0.407,0.409,0.1619,0.179,14017021.44,3829689.53,0.283408
1584057600000,0.1804,0.278,0.119,0.2547,14952795.07,3164364.83,0.1974
1584144000000,0.2525,0.27,0.21,0.2272,8865958.78,2154413.21,0.240007
1584230400000,0.2273,0.255,0.2065,0.2287,5603163.1,1311184.38,0.230751
1584316800000,0.2284,0.2284,0.1412,0.185,8845323.23,1628815.61,0.183354
1584403200000,0.185,0.2348,0.1775,0.2073,6663461.78,1400728.91,0.206544
1584489600000,0.2073,0.2197,0.1843,0.2046,4388092.39,873450.56,0.201994
1584576000000,0.205,0.2454,0.1972,0.2169,6761889.31,1519408.25,0.22146
1584662400000,0.2174,0.258,0.182,0.2079,8146371.42,1845171.79,0.220029
1584748800000,0.207,0.2154,0.1876,0.2017,3609525.11,732540.02,0.201474
1584835200000,0.2015,0.212,0.1691,0.1704,3369126.5,642556.46,0.191246
1584921600000,0.1707,0.2056,0.1674,0.1959,3562989.94,666753.22,0.186891
1585008000000,0.196,0.2199,0.1915,0.1971,2399094.46,484187.12,0.205703
1585094400000,0.197,0.2275,0.1921,0.2226,4175081.45,873041.68,0.2098
1585180800000,0.224,0.2401,0.2114,0.2267,5428764.94,1208551.2,0.225751
1585267200000,0.2265,0.24,0.2034,0.2055,4319643.23,962740.86,0.222211
1585353600000,0.2055,0.2095,0.185,0.2031,3292759.18,663577.67,0.197233
1585440000000,0.2031,0.211,0.19,0.1951,2010794.53,405640.41,0.200553
1585526400000,0.1956,0.2149,0.194,0.2069,2699564.73,563030.93,0.204702
1585612800000,0.2067,0.2098,0.2005,0.2035,1882197.42,387406.67,0.205152
1585699200000,0.2036,0.216,0.198,0.2106,3180164.67,654529.07,0.206996
1585785600000,0.2117,0.2604,0.2079,0.2576,10795987.63,2529421.62,0.234032
1585872000000,0.2573,0.2854,0.236,0.245,12628826.64,3290442.98,0.26085
1585958400000,0.2441,0.2597,0.237,0.242,5144185.69,1264405.27,0.248361
1586044800000,0.242,0.2466,0.2272,0.2295,2635149.34,625968.62,0.237033
1586131200000,0.2295,0.2657,0.229,0.2615,5043320.22,1254407.33,0.247784
1586217600000,0.2615,0.291,0.2489,0.2622,8352223.5,2243766.17,0.269951
1586304000000,0.2639,0.2845,0.2559,0.2812,4918113.1,1326029.04,0.269963
1586390400000,0.2813,0.2829,0.2334,0.254,6917504.53,1776811.24,0.257368
1586476800000,0.2538,0.2548,0.2121,0.2212,5539507.21,1264704.27,0.232759
1586563200000,0.2212,0.2327,0.2125,0.2165,3455582.03,766360.98,0.222651
1586649600000,0.2165,0.238,0.2135,0.2233,4646757.87,1054200.21,0.225865
1586736000000,0.2231,0.2385,0.2103,0.2369,5563533.72,1254246.48,0.224043
1586822400000,0.2369,0.28,0.2179,0.2232,14987362.06,3605163.73,0.249183
1586908800000,0.2229,0.2277,0.211,0.2116,2516921.87,552461.43,0.219621
1586995200000,0.2115,0.23,0.2077,0.2245,4113762.84,904176.28,0.218929
1587081600000,0.2246,0.2275,0.2185,0.222,1894099.02,422697.05,0.222994
1587168000000,0.2223,0.2367,0.2208,0.2344,3284990.45,751610.99,0.228818
1587254400000,0.2343,0.242,0.2223,0.2294,2890576.25,667496.74,0.232155
1587340800000,0.2287,0.2341,0.21,0.2123,3268478.9,728380.13,0.222253
1587427200000,0.2121,0.2168,0.2058,0.2123,1882254.87,396382.54,0.2113
1587513600000,0.2116,0.2302,0.2105,0.23,2451375.3,541867.45,0.220224
1587600000000,0.2302,0.2365,0.2181,0.2236,4281284.31,972677.98,0.227313
1587686400000,0.2241,0.2336,0.2206,0.225,4337177.71,984756.51,0.227103
1587772800000,0.2245,0.2384,0.22,0.2299,3753326.83,862075.87,0.229244
1587859200000,0.2299,0.2458,0.2295,0.2392,5825565.64,1390237.17,0.237925
1587945600000,0.2393,0.2434,0.223,0.2307,3479632.98,807834.84,0.233116
1588032000000,0.2304,0.2359,0.2265,0.23,1666854.89,385029.07,0.2312
1588118400000,0.23,0.2386,0.2257,0.2354,4873895.07,1132335.26,0.232125
