Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1578535200000,0.0989,0.499,0.0989,0.239,17202879.3,3864709.45,0.303061
1578542400000,0.2389,0.2482,0.2005,0.2055,7049987.79,1546462.73,0.22465
1578549600000,0.2056,0.259,0.2023,0.2352,7932758.44,1880656.35,0.231399
1578556800000,0.2352,0.2445,0.2236,0.2319,4841385.95,1121890.52,0.234053
1578564000000,0.2316,0.2448,0.2275,0.2345,3447199.31,811577.64,0.236172
1578571200000,0.2333,0.2375,0.2153,0.2243,2533292.51,571391.15,0.226297
1578578400000,0.2236,0.2253,0.2095,0.215,1406014.3,303829.18,0.217248
1578585600000,0.2164,0.2189,0.2057,0.2116,927885.39,195293.48,0.212242
1578592800000,0.212,0.222,0.2086,0.2145,1329434.42,287579.32,0.215318
1578600000000,0.2145,0.22,0.2105,0.2182,659907.37,142803.52,0.215207
1578607200000,0.2187,0.2189,0.2117,0.218,454079.02,97460.05,0.215293
1578614400000,0.218,0.2329,0.2155,0.2234,2429689.19,547645.01,0.224286
1578621600000,0.2232,0.2279,0.2085,0.2155,1138178.41,246906.19,0.218153
1578628800000,0.2151,0.234,0.2087,0.2291,2123170.92,474049.75,0.221288
1578636000000,0.2286,0.2367,0.223,0.2235,2001061.22,462680.57,0.229986
1578643200000,0.2234,0.227,0.2201,0.2224,547357.87,121868.46,0.223553
1578650400000,0.2223,0.2235,0.2136,0.2227,1079714.86,234356.85,0.218548
1578657600000,0.2226,0.2235,0.2111,0.2141,1309069.04,282304.57,0.21716
1578664800000,0.2141,0.2168,0.2077,0.21,701316.4,148048.84,0.212261
1578672000000,0.2094,0.2189,0.207,0.2183,1084112.59,230961.71,0.212804
1578679200000,0.2181,0.219,0.2109,0.2112,365329.7,78418.78,0.215016
1578686400000,0.2115,0.2137,0.2062,0.2076,569096.94,118789.51,0.209979
1578693600000,0.2068,0.2076,0.2005,0.2009,646995.18,131649.58,0.204092
1578700800000,0.2011,0.2047,0.1957,0.2,1020526.5,203392.55,0.200199
1578708000000,0.2008,0.2008,0.1936,0.1976,425606.56,83601.04,0.197096
1578715200000,0.1984,0.2011,0.1915,0.1968,887411.62,174216.26,0.196291
1578722400000,0.1967,0.1967,0.185,0.1858,533212.28,101244.89,0.190739
1578729600000,0.1859,0.192,0.1831,0.1877,931648.72,174310.25,0.187558
1578736800000,0.1874,0.197,0.1866,0.1913,745367.69,142228.17,0.191889
1578744000000,0.1914,0.1914,0.185,0.1888,437720.6,81804.66,0.188118
1578751200000,0.1888,0.1894,0.1844,0.1844,436023.59,81041.2,0.186972
1578758400000,0.1844,0.1937,0.1844,0.1886,673245.73,126901.51,0.189187
1578765600000,0.1888,0.192,0.1862,0.1891,294045.62,55669.53,0.1891
1578772800000,0.189,0.1963,0.1853,0.1853,624829.42,119960.44,0.190906
1578780000000,0.1853,0.187,0.1677,0.1706,1956096.72,345293.2,0.177248
1578787200000,0.1706,0.1726,0.1656,0.1726,682712.42,115209.0,0.169048
1578794400000,0.1728,0.1764,0.1695,0.1726,699971.13,121584.59,0.17295
1578801600000,0.1726,0.1765,0.1701,0.1711,440787.15,76263.08,0.17332
1578808800000,0.1702,0.1716,0.169,0.1707,488771.15,83237.8,0.170299
1578816000000,0.1698,0.1751,0.1693,0.1722,349045.28,60382.75,0.172254
1578823200000,0.1722,0.1728,0.1625,0.1659,1054023.2,175792.28,0.167506
1578830400000,0.166,0.1668,0.1637,0.1642,647658.44,107028.45,0.165264
1578837600000,0.1642,0.1642,0.1588,0.1589,988489.53,159476.82,0.161484
1578844800000,0.1593,0.1682,0.1593,0.1647,764009.54,126170.11,0.163927
1578852000000,0.1648,0.1664,0.16,0.1615,455269.36,74093.12,0.163204
1578859200000,0.1616,0.1691,0.1604,0.1638,588084.51,97128.11,0.164783
1578866400000,0.1643,0.1668,0.1633,0.1664,345392.59,57067.84,0.16502
1578873600000,0.1668,0.1673,0.1608,0.1666,233626.34,38307.8,0.164049
1578880800000,0.1671,0.1678,0.1623,0.1628,227866.08,37694.96,0.165068
1578888000000,0.1628,0.1628,0.1588,0.1622,598696.7,95847.24,0.16079
1578895200000,0.1615,0.1625,0.157,0.1617,557213.07,89202.68,0.159749
1578902400000,0.1619,0.168,0.1605,0.163,476104.24,77931.59,0.16426
1578909600000,0.1629,0.1632,0.1595,0.16,239592.26,38569.75,0.161332
1578916800000,0.16,0.1607,0.1575,0.1596,434251.76,68993.86,0.159097
1578924000000,0.1584,0.1674,0.1578,0.1674,765707.92,124293.27,0.162516
1578931200000,0.1672,0.1815,0.1666,0.1728,3716893.69,646989.8,0.174198
1578938400000,0.1725,0.175,0.1678,0.1701,552725.34,94415.5,0.171403
1578945600000,0.1691,0.1734,0.1656,0.167,490707.56,82893.44,0.169527
1578952800000,0.167,0.1685,0.1645,0.1668,257438.89,42875.87,0.1665
1578960000000,0.1673,0.1687,0.1578,0.1627,1165454.85,188756.1,0.163168
1578967200000,0.1621,0.1637,0.1571,0.1574,493869.36,79274.48,0.160494
1578974400000,0.1573,0.1585,0.1486,0.1539,1136709.02,174455.76,0.153488
1578981600000,0.154,0.1565,0.149,0.1502,405359.75,61579.48,0.152795
1578988800000,0.1508,0.1525,0.1487,0.15,523322.78,78526.3,0.150602
1578996000000,0.1505,0.152,0.1494,0.1506,296042.98,44679.42,0.1507
1579003200000,0.1518,0.1542,0.1503,0.1513,341552.01,51864.12,0.152253
1579010400000,0.1513,0.1525,0.145,0.145,1283485.69,189247.04,0.148879
1579017600000,0.1451,0.15,0.145,0.15,1378683.67,202422.87,0.147484
1579024800000,0.15,0.153,0.1463,0.1484,875334.05,130886.73,0.149657
1579032000000,0.1484,0.1538,0.1471,0.15,529188.98,79379.99,0.150468
1579039200000,0.15,0.1514,0.145,0.1453,935323.87,137254.05,0.148286
1579046400000,0.1451,0.1453,0.1298,0.1348,2129072.98,291685.71,0.137252
1579053600000,0.1348,0.136,0.13,0.1314,975472.69,129746.72,0.132991
1579060800000,0.1314,0.1336,0.13,0.1322,604685.62,79563.22,0.1318
1579068000000,0.1328,0.139,0.131,0.136,657671.55,88303.81,0.135025
1579075200000,0.136,0.138,0.1305,0.1315,447092.28,59963.64,0.134299
1579082400000,0.1315,0.1351,0.1305,0.1312,519922.35,68963.9,0.132802
1579089600000,0.1309,0.1321,0.129,0.1305,875116.52,114184.81,0.130549
1579096800000,0.1305,0.1331,0.1289,0.1328,895762.5,116972.07,0.130947
1579104000000,0.1328,0.1368,0.131,0.1326,1406545.89,188462.56,0.1339
1579111200000,0.1319,0.1371,0.1308,0.131,472939.2,62802.97,0.133963
1579118400000,0.1316,0.1348,0.1304,0.1314,465179.08,61388.29,0.132601
1579125600000,0.1315,0.132,0.13,0.1316,362803.26,47531.72,0.131
1579132800000,0.1322,0.1444,0.1291,0.1388,1354136.89,185931.41,0.136811
1579140000000,0.1387,0.1538,0.1305,0.1385,3400881.57,492874.9,0.14215
1579147200000,0.1381,0.14,0.1333,0.1336,480462.89,65243.17,0.136752
1579154400000,0.1344,0.1372,0.1334,0.135,311826.3,42234.58,0.135304
1579161600000,0.1345,0.135,0.1272,0.1319,762228.81,99957.4,0.13104
1579168800000,0.1319,0.1319,0.1287,0.1298,342187.73,44560.88,0.130234
1579176000000,0.1298,0.1316,0.128,0.1286,558931.74,72157.17,0.129817
1579183200000,0.1286,0.1286,0.1213,0.122,1247030.6,153917.39,0.12486
