Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1554264000000,2.5,2.5,1.98,2.06,82236.34,170535.65,2.231279
1554271200000,2.06,2.1,2.0512,2.073,82563.2,171261.54,2.075764
1554278400000,2.08,2.08,2.0478,2.0755,35279.14,72731.38,2.063832
1554285600000,2.07,2.0999,2.0634,2.079,36018.71,75178.29,2.08176
1554292800000,2.0843,2.1681,2.0843,2.13,64976.92,137391.63,2.12773
1554300000000,2.125,2.1383,2.0801,2.0803,36703.39,77093.9,2.110333
1554307200000,2.0945,2.198,2.0847,2.196,84787.17,182934.62,2.140371
1554314400000,2.1801,2.2897,2.1797,2.2075,57540.57,128420.26,2.235344
1554321600000,2.2158,2.2889,2.1339,2.15,63394.38,140824.87,2.212745
1554328800000,2.1457,2.1849,1.829,1.9835,157191.1,318399.87,2.003793
1554336000000,1.9839,2.0667,1.9396,2.01,83357.59,167333.13,2.003216
1554343200000,2.01,2.05,1.9732,1.9955,49066.88,98796.82,2.01168
1554350400000,1.9732,2.0889,1.9606,2.0351,31977.12,64718.62,2.026023
1554357600000,2.042,2.21,2.0355,2.1801,58422.97,124817.96,2.124922
1554364800000,2.1753,2.1925,2.0975,2.1,36827.13,78907.28,2.14637
1554372000000,2.1061,2.14,2.0641,2.1165,45167.03,94470.12,2.102006
1554379200000,2.1213,2.1799,2.1072,2.155,31965.41,68742.08,2.143857
1554386400000,2.1554,2.1742,2.0999,2.1459,32805.27,70111.24,2.136994
1554393600000,2.15,2.2193,2.0898,2.1004,69828.25,150475.66,2.155667
1554400800000,2.0975,2.1062,2.0594,2.0594,19502.83,40597.56,2.083664
1554408000000,2.058,2.1201,2.0481,2.1084,27215.82,56900.32,2.084226
1554415200000,2.1066,2.1358,2.0766,2.1328,9285.24,19638.42,2.105505
1554422400000,2.1388,2.2422,2.1209,2.2195,52405.78,115607.22,2.181849
1554429600000,2.2185,2.2889,2.2022,2.2493,83755.06,188297.21,2.24593
1554436800000,2.2511,2.2999,2.2056,2.2595,73390.52,165252.69,2.252745
1554444000000,2.25,2.268,2.2134,2.2341,27805.11,62059.31,2.240671
1554451200000,2.2436,2.2728,2.2353,2.2466,31827.33,71860.02,2.254064
1554458400000,2.2588,2.4341,2.2472,2.4112,124680.01,294948.65,2.341776
1554465600000,2.4112,2.4237,2.33,2.3443,99286.62,235967.62,2.376719
1554472800000,2.3452,2.3554,2.2927,2.3161,49090.19,114326.56,2.323674
1554480000000,2.3161,2.4036,2.309,2.3821,38251.69,90592.48,2.357298
1554487200000,2.3824,2.41,2.3382,2.41,40523.96,95843.47,2.373252
1554494400000,2.4122,2.431,2.3932,2.431,37490.36,90585.04,2.411474
1554501600000,2.431,2.4723,2.4001,2.451,69996.7,170531.31,2.436106
1554508800000,2.4488,2.4488,2.3732,2.3845,61289.04,147021.07,2.409753
1554516000000,2.386,2.4409,2.3719,2.4315,24777.57,59416.73,2.406113
1554523200000,2.428,2.4362,2.3901,2.4039,7910.33,19015.63,2.412945
1554530400000,2.4011,2.4011,2.3378,2.3469,19998.59,47186.11,2.368429
1554537600000,2.3547,2.3547,2.3,2.3233,52360.14,121356.54,2.326304
1554544800000,2.3233,2.3931,2.3131,2.3157,28450.47,66860.51,2.353176
1554552000000,2.314,2.3625,2.3058,2.3166,19244.1,44629.31,2.33416
1554559200000,2.3055,2.3896,2.2973,2.3896,27487.97,64575.45,2.342376
1554566400000,2.3946,2.4109,2.3351,2.3441,32239.69,76345.58,2.373456
1554573600000,2.3637,2.41,2.3519,2.3661,21291.35,50638.36,2.380957
1554580800000,2.3639,2.3818,2.3066,2.335,48765.59,113868.83,2.343999
1554588000000,2.335,2.35,2.3192,2.3204,17598.93,40952.3,2.335011
1554595200000,2.3238,2.3348,2.283,2.2999,36028.68,82852.86,2.308734
1554602400000,2.2996,2.3539,2.28,2.3379,157829.61,362002.12,2.31682
