Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1528416000000,8.335,8.642,8.01,8.28,1158418.958,9701282.38,8.326035
1528502400000,8.277,8.501,8.02,8.03,2017942.632,16720398.3,8.268052
1528588800000,8.024,8.024,6.401,6.86,3664477.215,26282251.89,7.178634
1528675200000,6.858,7.08,6.22,7.01,2709980.694,17854289.33,6.647765
1528761600000,7.008,7.011,6.11,6.286,2719937.468,17875941.73,6.543958
1528848000000,6.286,6.384,5.45,5.932,2846137.856,17069648.43,5.909848
1528934400000,5.933,6.469,5.765,6.321,3453989.018,21363749.14,6.116178
1529020800000,6.316,6.353,5.9,5.951,2204747.277,13456386.26,6.125144
1529107200000,5.952,6.175,5.803,6.095,2185717.184,13192424.58,5.987677
1529193600000,6.099,6.329,6.03,6.149,2395343.991,14821237.2,6.179891
1529280000000,6.149,6.842,6.022,6.683,3141273.222,20035219.53,6.433898
1529366400000,6.684,6.85,6.452,6.755,2952556.012,19644614.63,6.650451
1529452800000,6.759,6.77,6.343,6.61,2792830.242,18177030.44,6.552481
1529539200000,6.603,6.699,6.21,6.363,2344022.653,15090025.5,6.452674
1529625600000,6.364,6.367,5.173,5.308,3338273.432,19054983.12,5.753956
1529712000000,5.308,5.478,4.9,5.099,2609662.462,13397608.97,5.18851
1529798400000,5.1,5.701,4.126,5.08,6212603.952,29853688.4,4.913493
1529884800000,5.083,5.864,4.8,5.6,5560691.717,29848617.87,5.331404
1529971200000,5.608,5.739,5.012,5.044,2948005.99,16025520.44,5.384267
1530057600000,5.04,5.517,4.988,5.417,3290172.953,17361686.32,5.255991
1530144000000,5.417,5.496,4.54,4.793,4408473.655,22378015.91,5.007629
1530230400000,4.774,5.307,4.661,5.167,4291786.633,20933849.7,4.985376
1530316800000,5.163,5.68,5.068,5.29,4426841.407,23502912.76,5.375605
1530403200000,5.295,5.35,4.91,5.092,2968997.837,15176358.75,5.126431
1530489600000,5.098,5.647,4.85,5.331,3856591.564,20104158.27,5.249242
1530576000000,5.331,5.49,4.912,4.995,3838563.591,19940849.09,5.204507
1530662400000,4.996,5.22,4.919,5.015,2212902.016,11190739.7,5.069564
1530748800000,5.023,5.185,4.69,4.905,2509234.512,12369712.86,4.937118
1530835200000,4.906,4.919,4.39,4.618,2483220.265,11469798.64,4.645897
1530921600000,4.612,4.65,4.27,4.637,1898164.703,8524254.54,4.459822
1531008000000,4.631,4.709,4.454,4.53,2598090.544,11987674.28,4.581541
1531094400000,4.526,4.53,4.011,4.073,3549044.814,15333226.5,4.263677
1531180800000,4.073,4.169,3.552,3.563,3875568.001,14839011.07,3.869255
1531267200000,3.563,3.794,3.308,3.532,4114552.591,14607712.95,3.551004
