Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1528437600000,8.335,8.642,8.26,8.29,39778.821,335813.5,8.451482
1528444800000,8.331,8.331,8.17,8.205,26623.694,220066.4,8.247336
1528452000000,8.205,8.329,8.01,8.161,75089.689,612567.89,8.169435
1528459200000,8.157,8.403,8.14,8.368,155192.976,1275510.49,8.273226
1528466400000,8.369,8.37,8.109,8.34,154165.536,1275375.18,8.239144
1528473600000,8.34,8.6,8.32,8.522,237149.896,2015226.68,8.463425
1528480800000,8.517,8.549,8.434,8.491,159603.863,1353341.8,8.491338
1528488000000,8.492,8.533,8.342,8.399,146280.997,1239750.44,8.436996
1528495200000,8.375,8.452,8.23,8.28,164533.486,1373629.98,8.341648
1528502400000,8.277,8.411,8.276,8.355,140144.996,1171147.28,8.346004
1528509600000,8.373,8.5,8.351,8.433,174255.875,1468763.23,8.426451
1528516800000,8.454,8.501,8.367,8.462,204962.845,1731167.15,8.433979
1528524000000,8.462,8.492,8.36,8.407,187856.219,1586649.37,8.425614
1528531200000,8.405,8.45,8.21,8.423,144972.857,1206439.4,8.329882
1528538400000,8.401,8.411,8.3,8.319,152603.315,1275986.34,8.354789
1528545600000,8.322,8.328,8.13,8.173,187425.387,1545758.13,8.225949
1528552800000,8.16,8.347,8.132,8.252,184250.612,1518375.39,8.241107
1528560000000,8.255,8.261,8.101,8.141,146259.338,1196539.61,8.178529
1528567200000,8.14,8.17,8.06,8.13,176435.71,1434195.26,8.114959
1528574400000,8.118,8.179,8.022,8.114,128843.972,1047357.62,8.100497
1528581600000,8.114,8.147,8.02,8.03,189931.506,1538019.5,8.084912
1528588800000,8.024,8.024,7.6,7.729,337317.569,2631770.65,7.80312
1528596000000,7.732,7.74,7.427,7.444,349835.919,2638787.15,7.582292
1528603200000,7.448,7.587,7.286,7.424,256906.876,1916782.08,7.436501
1528610400000,7.401,7.55,7.192,7.227,212609.618,1574751.48,7.374578
1528617600000,7.202,7.445,7.202,7.393,283933.379,2083851.26,7.328249
1528624800000,7.38,7.566,7.291,7.459,189431.223,1406849.19,7.42869
1528632000000,7.47,7.584,7.265,7.424,188962.271,1405235.94,7.424382
1528639200000,7.429,7.462,7.269,7.353,173445.553,1273344.94,7.364472
1528646400000,7.337,7.374,6.5,6.72,557083.783,3850881.43,6.923977
1528653600000,6.72,7.082,6.491,7.06,479549.916,3267198.85,6.777164
1528660800000,7.069,7.12,6.451,6.62,366869.466,2469121.76,6.778013
1528668000000,6.616,6.899,6.401,6.86,268531.642,1763677.16,6.644381
1528675200000,6.858,6.858,6.3,6.559,343506.296,2249181.46,6.568985
1528682400000,6.559,6.817,6.539,6.653,288264.137,1932364.7,6.680119
1528689600000,6.663,6.75,6.612,6.669,183082.726,1223708.07,6.681007
1528696800000,6.669,6.687,6.32,6.32,242530.753,1585723.08,6.506129
1528704000000,6.32,6.703,6.3,6.527,198426.687,1302876.3,6.507008
1528711200000,6.533,6.651,6.44,6.632,156999.735,1032776.98,6.543345
1528718400000,6.632,6.65,6.52,6.566,165054.482,1086957.84,6.584036
1528725600000,6.569,6.59,6.22,6.28,276356.079,1761235.94,6.401491
1528732800000,6.299,6.6,6.271,6.52,207950.864,1341531.08,6.438806
1528740000000,6.52,6.629,6.32,6.616,183227.831,1196235.64,6.472188
1528747200000,6.629,6.629,6.5,6.565,140628.109,922894.15,6.562369
1528754400000,6.567,7.08,6.566,7.01,323952.995,2218804.08,6.830868
1528761600000,7.008,7.011,6.756,6.849,247049.137,1692426.25,6.878655
1528768800000,6.849,6.94,6.55,6.575,252030.451,1701437.37,6.749645
1528776000000,6.589,6.714,6.576,6.702,141423.572,940422.01,6.644899
1528783200000,6.7,6.86,6.695,6.838,261933.601,1779906.4,6.779301
1528790400000,6.838,6.91,6.778,6.832,232135.221,1585607.95,6.844005
1528797600000,6.833,6.836,6.621,6.739,169379.592,1140993.56,6.725614
1528804800000,6.739,6.742,6.401,6.45,262689.811,1717808.67,6.566466
1528812000000,6.45,6.56,6.43,6.56,238245.394,1549950.85,6.49282
1528819200000,6.56,6.564,6.369,6.414,185004.5,1192857.12,6.463159
1528826400000,6.418,6.465,6.11,6.214,347289.288,2180680.09,6.284935
1528833600000,6.227,6.362,6.14,6.308,185558.27,1162221.78,6.250432
1528840800000,6.3,6.315,6.16,6.286,197198.631,1231629.68,6.237387
1528848000000,6.286,6.383,6.233,6.289,131753.513,832215.11,6.308002
1528855200000,6.287,6.38,6.286,6.313,232044.545,1469872.89,6.333643
1528862400000,6.32,6.384,6.2,6.345,182882.671,1153031.67,6.291812
1528869600000,6.34,6.348,6.24,6.248,146388.014,923497.9,6.294
