Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1521446400000,16.0,16.5,13.1,15.299,23734.507,377686.03,14.790875
1521450000000,15.299,15.569,14.199,15.05,43698.026,661208.52,14.881581
1521453600000,15.05,15.25,14.405,15.03,24884.629,370913.44,14.82747
1521457200000,15.055,15.368,14.876,15.252,31917.637,483012.85,15.120685
1521460800000,15.251,15.252,14.933,15.071,17500.311,263324.09,15.086576
1521464400000,15.072,15.3,14.83,15.1,50530.851,760264.95,15.064981
1521468000000,15.051,15.489,14.7,15.18,54306.339,827024.81,15.094359
1521471600000,15.18,16.65,15.179,16.4,70850.555,1112876.3,15.940356
1521475200000,16.4,16.85,16.0,16.01,157597.794,2597639.76,16.437222
1521478800000,16.01,16.397,15.51,16.195,79688.032,1279774.99,15.951862
1521482400000,16.195,16.585,16.1,16.492,38237.668,627702.49,16.342397
1521486000000,16.5,18.5,16.495,18.299,169171.283,3000179.74,17.522194
1521489600000,18.299,18.399,17.446,17.677,76094.087,1360107.95,17.914693
1521493200000,17.677,18.2,17.181,17.9,61795.672,1093661.3,17.689312
1521496800000,17.939,18.955,17.6,18.955,56977.009,1039640.23,18.24978
1521500400000,18.967,20.549,18.92,19.878,216367.058,4297985.51,19.760963
1521504000000,19.88,22.0,19.718,21.605,248300.135,5234817.24,20.878416
1521507600000,21.615,21.65,19.3,20.136,196258.037,4040141.6,20.430982
1521511200000,20.14,21.1,20.0,20.704,128306.694,2653242.82,20.559004
1521514800000,20.724,20.89,20.0,20.411,83038.632,1700649.32,20.441091
1521518400000,20.411,20.419,18.7,19.174,108594.927,2123539.19,19.524851
1521522000000,19.154,20.0,18.555,19.912,105352.231,2040855.88,19.258625
1521525600000,19.919,19.999,19.338,19.449,60291.062,1182925.88,19.666257
1521529200000,19.469,19.549,18.41,18.587,44179.15,840428.88,18.970947
1521532800000,18.587,19.498,18.053,18.78,98954.801,1850220.38,18.775912
1521536400000,18.78,19.685,18.35,19.648,89000.377,1697082.71,18.994279
1521540000000,19.625,19.8,19.313,19.59,60034.188,1177610.08,19.556434
1521543600000,19.622,19.75,19.312,19.445,46312.177,904775.68,19.530894
1521547200000,19.443,19.637,19.2,19.512,45344.181,879106.01,19.41813
1521550800000,19.505,20.607,19.464,19.829,146486.294,2966866.38,20.043054
1521554400000,19.835,20.7,19.65,20.476,104594.337,2110428.99,20.177003
1521558000000,20.49,21.6,20.405,21.258,171978.561,3632112.16,21.017297
1521561600000,21.258,21.8,21.0,21.227,179957.759,3851919.03,21.400059
1521565200000,21.227,21.6,21.0,21.49,70908.025,1511527.89,21.297048
1521568800000,21.48,21.589,21.002,21.078,55902.356,1189838.81,21.297692
1521572400000,21.08,21.55,21.001,21.187,80288.431,1708321.07,21.276861
1521576000000,21.188,21.419,20.65,21.199,86148.23,1818302.36,21.034492
1521579600000,21.199,21.2,20.922,20.952,38339.753,807388.25,21.057435
1521583200000,20.953,20.999,20.075,20.393,59003.354,1214284.54,20.523249
1521586800000,20.378,20.478,19.5,20.386,120567.863,2411648.46,19.988993
1521590400000,20.386,20.8,20.06,20.425,96675.957,1975163.19,20.430017
1521594000000,20.424,20.63,20.22,20.492,68741.185,1402448.86,20.424771
1521597600000,20.492,20.684,20.333,20.425,58753.809,1205867.51,20.50896
1521601200000,20.427,20.888,20.35,20.766,94705.94,1945741.9,20.621479
1521604800000,20.757,20.9,20.454,20.555,103286.631,2135038.84,20.678135
1521608400000,20.555,21.0,20.41,20.764,77401.388,1600170.85,20.706474
1521612000000,20.764,20.844,20.501,20.606,62872.5,1296708.78,20.6718
1521615600000,20.612,20.7,19.861,20.094,84760.728,1723886.74,20.272863
