Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1628575200000,3.862,5.5,3.862,4.383,1428912.6,6506262.34,4.695492
1628576100000,4.389,4.59,4.245,4.388,431850.5,1908843.3,4.4175
1628577000000,4.386,4.535,4.245,4.46,226889.5,997644.04,4.389454
1628577900000,4.465,4.465,4.265,4.31,152396.0,663450.02,4.361025
1628578800000,4.318,4.47,4.223,4.433,235797.5,1021515.68,4.344838
1628579700000,4.433,4.47,4.33,4.389,246471.8,1082644.08,4.399721
1628580600000,4.383,4.49,4.332,4.471,125582.9,558893.89,4.409655
1628581500000,4.478,4.478,4.424,4.459,51692.8,229823.08,4.450441
1628582400000,4.458,4.458,4.38,4.404,76483.3,337131.48,4.417366
1628583300000,4.405,4.437,4.324,4.37,92703.8,405426.69,4.380328
1628584200000,4.37,4.371,4.32,4.336,41704.0,181414.28,4.344562
1628585100000,4.336,4.336,4.251,4.31,117354.2,503077.73,4.292793
1628586000000,4.308,4.344,4.292,4.313,49225.5,212183.43,4.318017
1628586900000,4.309,4.35,4.285,4.296,69085.6,298058.22,4.317652
1628587800000,4.296,4.307,4.263,4.299,51118.5,219034.37,4.284985
1628588700000,4.3,4.33,4.286,4.329,30719.6,132318.91,4.307208
1628589600000,4.329,4.41,4.288,4.348,73857.8,321818.15,4.349064
1628590500000,4.348,4.363,4.291,4.32,48857.9,211304.83,4.326725
1628591400000,4.32,4.32,4.18,4.236,185650.1,788432.48,4.247231
1628592300000,4.236,4.261,4.18,4.21,45377.2,191426.88,4.220434
1628593200000,4.209,4.228,4.148,4.2,61405.6,257785.54,4.187948
1628594100000,4.2,4.239,4.187,4.239,16856.1,71044.59,4.211936
1628595000000,4.239,4.293,4.237,4.273,39831.0,170084.92,4.265914
1628595900000,4.268,4.281,4.18,4.215,61712.7,259683.92,4.229687
1628596800000,4.215,4.25,4.198,4.24,22218.0,93876.87,4.223785
1628597700000,4.248,4.325,4.225,4.291,33394.3,143151.28,4.275267
1628598600000,4.281,4.337,4.241,4.299,38633.8,165676.39,4.288991
1628599500000,4.299,4.335,4.272,4.31,18615.5,80209.1,4.303492
1628600400000,4.302,4.331,4.279,4.288,21473.9,92458.56,4.305185
1628601300000,4.289,4.298,4.172,4.272,201705.9,854444.1,4.234792
1628602200000,4.272,4.296,4.255,4.255,25537.0,109148.08,4.276039
1628603100000,4.257,4.257,4.15,4.182,79564.2,333800.06,4.20126
1628604000000,4.191,4.208,4.143,4.179,43157.1,180143.2,4.175418
1628604900000,4.176,4.22,4.144,4.197,23747.3,99454.48,4.181912
1628605800000,4.197,4.197,4.101,4.144,43588.7,180322.61,4.147227
1628606700000,4.136,4.17,4.1,4.14,40428.0,166632.44,4.134998
1628607600000,4.139,4.139,4.11,4.135,25263.1,104155.35,4.12444
1628608500000,4.135,4.173,4.12,4.163,23569.3,97486.69,4.146312
1628609400000,4.158,4.158,4.05,4.122,29145.8,119508.41,4.102971
1628610300000,4.119,4.125,4.104,4.109,6904.8,28391.49,4.11453
1628611200000,4.108,4.123,4.062,4.091,45758.5,187229.8,4.092361
1628612100000,4.085,4.099,4.034,4.068,30098.7,122121.1,4.066326
1628613000000,4.068,4.069,4.0,4.035,81608.5,327578.75,4.033469
1628613900000,4.048,4.067,4.0,4.06,32258.4,129931.35,4.033334
1628614800000,4.066,4.097,4.048,4.082,25125.8,102548.92,4.072459
1628615700000,4.087,4.131,4.077,4.124,25702.9,105636.81,4.103801
1628616600000,4.13,4.137,4.085,4.109,28343.1,116666.86,4.110639
1628617500000,4.114,4.127,4.072,4.11,17003.4,69616.34,4.099483
1628618400000,4.11,4.165,4.11,4.131,21723.2,90031.47,4.138143
1628619300000,4.133,4.149,4.114,4.136,6055.1,25010.93,4.131494
1628620200000,4.137,4.175,4.131,4.162,13798.1,57303.29,4.153307
1628621100000,4.164,4.2,4.147,4.184,12312.1,51456.17,4.173482
1628622000000,4.188,4.207,4.172,4.207,18313.3,76714.23,4.188864
1628622900000,4.21,4.239,4.17,4.18,26997.9,113698.68,4.204971
1628623800000,4.185,4.214,4.175,4.199,12603.4,52890.7,4.194583
1628624700000,4.202,4.215,4.183,4.193,7991.4,33562.41,4.19903
1628625600000,4.194,4.21,4.189,4.195,8022.2,33668.48,4.199503
1628626500000,4.196,4.238,4.191,4.221,16763.3,70658.25,4.214957
1628627400000,4.226,4.28,4.219,4.268,27578.8,117406.66,4.249836
1628628300000,4.26,4.278,4.205,4.24,28433.8,120514.62,4.241337
1628629200000,4.24,4.3,4.24,4.296,14875.7,63658.44,4.270557
1628630100000,4.3,4.318,4.212,4.243,22731.2,97110.83,4.264494
1628631000000,4.243,4.251,4.2,4.241,15225.4,64451.75,4.225494
1628631900000,4.246,4.251,4.231,4.249,4872.4,20681.8,4.240963
1628632800000,4.251,4.299,4.248,4.29,12841.2,54964.83,4.274014
1628633700000,4.29,4.301,4.276,4.281,6751.2,28977.38,4.2886
1628634600000,4.291,4.291,4.229,4.23,9861.6,42031.08,4.25984
1628635500000,4.231,4.266,4.231,4.237,6572.9,27922.55,4.248607
1628636400000,4.237,4.339,4.21,4.219,11570.7,49080.63,4.274727
1628637300000,4.218,4.24,4.211,4.211,7572.5,31961.74,4.225663
1628638200000,4.212,4.266,4.192,4.202,12618.4,53198.34,4.229101
1628639100000,4.205,4.215,4.18,4.201,12771.0,53562.49,4.197482
1628640000000,4.2,4.207,4.159,4.203,14429.8,60440.81,4.182982
1628640900000,4.2,4.238,4.194,4.228,11281.0,47606.43,4.216225
1628641800000,4.238,4.245,4.2,4.21,5201.1,21930.01,4.222339
1628642700000,4.214,4.23,4.136,4.174,32458.0,135245.99,4.182478
1628643600000,4.175,4.179,4.163,4.163,5382.7,22447.82,4.171327
1628644500000,4.163,4.177,4.146,4.171,9039.1,37547.73,4.161407
1628645400000,4.171,4.18,4.16,4.175,4331.5,18064.85,4.16997
1628646300000,4.178,4.18,4.146,4.171,12229.5,50899.02,4.162877
1628647200000,4.172,4.215,4.165,4.212,4136.7,17333.61,4.189619
1628648100000,4.212,4.224,4.175,4.202,15640.1,65737.73,4.199421
1628649000000,4.203,4.217,4.172,4.186,6823.5,28662.09,4.1945
1628649900000,4.193,4.194,4.143,4.152,9445.8,39329.32,4.167729
1628650800000,4.152,4.18,4.123,4.178,17371.1,72080.92,4.150759
1628651700000,4.168,4.176,4.154,4.156,5197.0,21616.0,4.165241
1628652600000,4.158,4.19,4.156,4.179,5562.9,23187.06,4.173474
1628653500000,4.179,4.2,4.162,4.175,5457.4,22796.76,4.181011
1628654400000,4.182,4.227,4.163,4.209,15427.3,64762.68,4.194977
1628655300000,4.207,4.3,4.207,4.246,36923.6,156817.51,4.254742
1628656200000,4.251,4.276,4.223,4.237,12132.6,51566.13,4.249598
1628657100000,4.241,4.286,4.235,4.272,21654.1,92455.08,4.260907
1628658000000,4.278,4.316,4.273,4.299,27326.5,117543.35,4.29488
1628658900000,4.292,4.368,4.291,4.325,40403.4,175350.41,4.330511
1628659800000,4.326,4.331,4.284,4.321,21177.7,91232.31,4.307455
1628660700000,4.327,4.347,4.305,4.321,13823.1,59812.0,4.32601
1628661600000,4.328,4.344,4.286,4.3,32532.7,140438.01,4.315062
1628662500000,4.3,4.34,4.285,4.303,18559.9,79939.82,4.312508
1628663400000,4.308,4.319,4.273,4.283,15689.4,67411.36,4.29604
1628664300000,4.285,4.296,4.269,4.276,20386.3,87164.64,4.282557
1628665200000,4.274,4.307,4.272,4.307,16486.1,70786.51,4.289214
1628666100000,4.307,4.338,4.268,4.296,18030.4,77686.19,4.303009
1628667000000,4.298,4.303,4.22,4.256,34107.3,145042.22,4.26044
1628667900000,4.262,4.265,4.212,4.229,26535.2,112522.25,4.237749
1628668800000,4.238,4.283,4.21,4.236,42585.6,181100.82,4.246502
1628669700000,4.24,4.257,4.217,4.23,23504.3,99548.77,4.237032
1628670600000,4.24,4.35,4.224,4.334,34432.2,147492.18,4.287
1628671500000,4.348,4.684,4.296,4.53,369854.0,1667245.88,4.492969
1628672400000,4.528,4.675,4.357,4.511,127363.4,571690.56,4.515997
1628673300000,4.516,4.526,4.509,4.52,24676.6,111307.06,4.517493
1628674200000,4.52,4.524,4.418,4.419,17371.7,77607.98,4.47144
1628675100000,4.419,4.428,4.355,4.384,49042.9,215278.52,4.39089
1628676000000,4.385,4.568,4.368,4.481,99295.0,442466.15,4.470139
1628676900000,4.48,4.528,4.475,4.475,13224.7,59453.51,4.501554
1628677800000,4.47,4.474,4.379,4.382,37079.4,163738.79,4.426637
1628678700000,4.382,4.567,4.353,4.466,40745.8,179991.86,4.461442
1628679600000,4.466,4.467,4.407,4.415,11047.9,48960.21,4.436228
1628680500000,4.419,4.422,4.391,4.408,14910.0,65696.86,4.406272
1628681400000,4.414,4.414,4.39,4.393,12007.7,52799.26,4.401645
1628682300000,4.396,4.408,4.37,4.373,14042.2,61574.71,4.389454
1628683200000,4.375,4.387,4.358,4.379,9006.4,39353.22,4.372478
1628684100000,4.377,4.38,4.356,4.369,9720.7,42462.99,4.367857
1628685000000,4.371,4.468,4.357,4.429,22654.7,100060.81,4.413416
1628685900000,4.435,4.465,4.435,4.461,9335.1,41487.91,4.450462
1628686800000,4.459,4.539,4.455,4.529,25603.9,115467.01,4.49763
1628687700000,4.529,4.571,4.529,4.553,20882.8,95084.52,4.5508
1628688600000,4.55,4.553,4.45,4.499,10456.8,46902.48,4.499998
1628689500000,4.499,4.516,4.492,4.507,3127.3,14082.69,4.504029
1628690400000,4.505,4.515,4.36,4.415,34460.4,152519.39,4.435429
1628691300000,4.415,4.426,4.37,4.388,17310.9,76087.76,4.397784
1628692200000,4.388,4.424,4.378,4.421,8755.8,38532.65,4.400483
1628693100000,4.421,4.452,4.392,4.405,19346.1,85646.86,4.422163
1628694000000,4.406,4.408,4.395,4.401,5957.9,26221.29,4.401423
1628694900000,4.403,4.403,4.364,4.37,9635.0,42218.07,4.382846
1628695800000,4.368,4.375,4.33,4.374,15621.4,67909.24,4.352417
1628696700000,4.37,4.385,4.32,4.321,9283.7,40408.92,4.353659
1628697600000,4.322,4.327,4.3,4.302,18842.9,81258.18,4.313738
1628698500000,4.305,4.336,4.271,4.307,17931.2,77055.55,4.303499
1628699400000,4.317,4.4,4.3,4.392,10842.6,47184.97,4.349264
1628700300000,4.393,4.49,4.389,4.466,31037.1,137906.44,4.441002
1628701200000,4.465,4.471,4.393,4.433,9664.0,42732.49,4.431253
1628702100000,4.429,4.448,4.424,4.435,3802.9,16871.44,4.436063
1628703000000,4.435,4.487,4.42,4.486,7561.2,33538.76,4.452314
1628703900000,4.486,4.49,4.421,4.423,10482.4,46654.14,4.455763
1628704800000,4.424,4.433,4.422,4.429,2833.7,12548.29,4.427554
1628705700000,4.429,4.435,4.41,4.42,13033.5,57635.87,4.422433
1628706600000,4.414,4.416,4.337,4.363,9610.4,41884.84,4.375104
1628707500000,4.358,4.376,4.337,4.347,19352.7,84294.35,4.356581
1628708400000,4.342,4.374,4.337,4.37,6785.1,29564.59,4.355416
1628709300000,4.37,4.38,4.362,4.372,4603.8,20127.14,4.371
1628710200000,4.371,4.387,4.37,4.386,3785.6,16594.08,4.3785
1628711100000,4.386,4.413,4.386,4.408,13625.4,59960.32,4.399998
1628712000000,4.409,4.409,4.38,4.39,7709.2,33885.09,4.393899
