Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1628575200000,3.862,5.5,3.862,4.459,2899593.6,12969076.41,4.698879
1628582400000,4.458,4.458,4.251,4.329,528394.5,2288645.1,4.350306
1628589600000,4.329,4.41,4.148,4.215,533548.4,2271581.31,4.279348
1628596800000,4.215,4.337,4.15,4.182,441142.6,1872764.44,4.243853
1628604000000,4.191,4.22,4.05,4.109,235804.1,976094.66,4.134074
1628611200000,4.108,4.137,4.0,4.11,285899.3,1161329.93,4.068498
1628618400000,4.11,4.239,4.11,4.193,119794.5,500667.89,4.177155
1628625600000,4.194,4.318,4.189,4.249,138502.8,588150.82,4.255023
1628632800000,4.251,4.339,4.18,4.201,80559.5,341699.04,4.260349
1628640000000,4.2,4.245,4.136,4.171,94352.7,394182.66,4.19059
1628647200000,4.172,4.224,4.123,4.175,69634.5,290743.5,4.1735
1628654400000,4.182,4.368,4.163,4.321,188868.3,809539.47,4.267318
1628661600000,4.328,4.344,4.212,4.229,182327.3,780991.0,4.277918
1628668800000,4.238,4.684,4.21,4.384,688830.7,3071271.77,4.450304
1628676000000,4.385,4.568,4.353,4.373,242352.7,1074681.34,4.460564
1628683200000,4.375,4.571,4.356,4.507,110787.7,494901.62,4.465841
1628690400000,4.505,4.515,4.32,4.321,120371.2,529544.17,4.418788
1628697600000,4.322,4.49,4.271,4.423,110164.3,483201.97,4.380949
1628704800000,4.424,4.435,4.337,4.408,73630.2,322609.48,4.385799
1628712000000,4.409,4.436,4.281,4.341,85439.3,372437.56,4.357666
1628719200000,4.334,4.334,4.18,4.199,89114.2,376976.01,4.254741
1628726400000,4.193,4.412,4.172,4.4,184502.0,793451.98,4.290972
1628733600000,4.396,4.588,4.356,4.52,375839.6,1680611.96,4.473077
1628740800000,4.51,4.8,4.25,4.456,976799.1,4478183.33,4.525101
1628748000000,4.455,4.549,4.341,4.519,245284.0,1089572.12,4.443982
1628755200000,4.519,4.522,4.35,4.42,173047.8,770522.65,4.432975
1628762400000,4.416,4.466,4.219,4.22,265994.2,1164725.1,4.347077
1628769600000,4.218,4.265,4.132,4.187,215753.9,907162.71,4.198445
1628776800000,4.187,4.198,4.1,4.1,113140.0,468295.27,4.15035
1628784000000,4.106,4.238,4.037,4.163,133521.3,553402.19,4.137562
1628791200000,4.163,4.282,4.153,4.26,48474.5,205423.99,4.218488
1628798400000,4.262,4.4,4.2,4.37,80858.2,348645.91,4.298742
1628805600000,4.37,4.51,4.324,4.505,146383.1,647946.4,4.413891
1628812800000,4.509,4.581,4.468,4.572,122918.3,554253.4,4.523152
1628834400000,4.574,4.77,4.574,4.729,172552.0,808885.51,4.675799
1628841600000,4.725,4.818,4.621,4.72,252620.0,1191518.91,4.7195
1628848800000,4.72,4.966,4.712,4.846,253903.4,1234490.48,4.842671
1628856000000,4.847,5.088,4.824,5.087,488106.6,2436907.7,4.953135
1628863200000,5.087,5.2,4.791,4.964,368622.7,1836126.08,4.994806
1628870400000,4.965,5.033,4.861,4.929,121555.0,600557.87,4.947
1628877600000,4.93,4.93,4.793,4.834,106899.4,519554.86,4.858631
1628884800000,4.84,5.093,4.834,4.92,140779.8,697415.89,4.96554
1628892000000,4.93,5.15,4.921,5.091,141671.8,717772.7,5.039025
1628899200000,5.091,5.339,5.065,5.116,188130.9,980645.6,5.202205
1628906400000,5.116,5.135,4.983,5.022,107333.6,541982.7,5.057943
1628913600000,5.022,5.3,4.99,5.189,112732.6,576488.85,5.14809
1628920800000,5.187,5.3,5.171,5.177,131017.1,684381.46,5.23558
1628928000000,5.184,5.249,4.906,4.953,152404.0,784139.06,5.078651
1628935200000,4.976,5.022,4.796,4.904,189128.7,920778.71,4.908193
1628942400000,4.907,4.919,4.801,4.835,151920.2,738890.73,4.858871
1628949600000,4.831,5.012,4.813,4.978,177422.7,880046.31,4.913764
1628956800000,4.973,4.987,4.9,4.907,95608.3,471439.76,4.944088
1628964000000,4.91,5.0,4.898,4.992,53226.9,262657.43,4.948615
1628971200000,4.986,5.02,4.926,5.002,46843.6,233446.99,4.972847
1628978400000,5.009,5.045,4.961,4.974,33694.4,168220.18,5.003522
1628985600000,4.986,5.017,4.975,4.994,59350.0,296439.34,4.996055
