Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1573689600000,0.75,0.7597,0.7042,0.7147,149622.97,108456.29,0.731905
1573776000000,0.7126,0.749,0.6858,0.7045,70005.14,49094.97,0.717436
1573862400000,0.7036,0.7847,0.6937,0.7576,205524.61,153751.37,0.74003
1573948800000,0.7649,0.91,0.7456,0.8159,437981.52,360178.41,0.828722
1574035200000,0.816,0.8481,0.74,0.773,429545.61,338016.76,0.794031
1574121600000,0.7721,0.7937,0.7045,0.7252,275343.0,202768.49,0.749133
1574208000000,0.7252,0.773,0.66,0.741,366385.65,254828.0,0.716418
1574294400000,0.741,0.7607,0.6187,0.6576,290594.95,198535.25,0.688794
1574380800000,0.655,0.7177,0.5269,0.6553,561280.07,349514.87,0.6223
1574467200000,0.6547,0.775,0.6245,0.7458,723083.39,517024.46,0.6997
1574553600000,0.7445,0.7499,0.6484,0.6649,317058.04,220485.65,0.698142
1574640000000,0.6646,0.7297,0.6205,0.6628,345679.17,234395.97,0.675101
1574726400000,0.6628,0.6991,0.6472,0.6513,191658.27,127253.06,0.67335
1574812800000,0.6579,0.679,0.6001,0.64,441998.64,282328.38,0.639427
1574899200000,0.64,0.7249,0.64,0.6745,394079.66,269237.98,0.683535
1574985600000,0.6672,0.7258,0.5332,0.7059,274153.99,187275.7,0.628918
1575072000000,0.7059,0.7103,0.6604,0.6828,79213.66,53764.92,0.684841
1575158400000,0.6838,0.6838,0.61,0.6142,235639.3,147674.6,0.6463
1575244800000,0.6143,0.65,0.55,0.5753,434614.5,254031.15,0.600206
1575331200000,0.5725,0.5999,0.5324,0.5406,574881.21,319763.47,0.566718
1575417600000,0.537,0.5724,0.5055,0.5223,398536.28,212985.31,0.539064
1575504000000,0.5278,0.5694,0.52,0.5397,233118.09,127393.81,0.544861
1575590400000,0.5436,0.5514,0.506,0.5445,303154.74,159793.78,0.528698
1575676800000,0.5444,0.55,0.5309,0.5445,93000.48,50167.61,0.54045
1575763200000,0.5433,0.7185,0.5327,0.6075,705817.49,429728.63,0.627144
1575849600000,0.6118,0.6251,0.55,0.5648,375412.12,217725.95,0.587469
1575936000000,0.5631,0.5679,0.5,0.5374,320735.34,171308.37,0.533345
1576022400000,0.5376,0.5646,0.5327,0.551,167219.68,91466.65,0.548851
1576108800000,0.55,0.615,0.5335,0.6073,325188.13,186052.51,0.57363
1576195200000,0.6007,0.6201,0.5163,0.5289,999701.94,554019.57,0.568662
1576281600000,0.5289,0.5447,0.4661,0.4715,516178.61,259982.71,0.5062
1576368000000,0.4672,0.4959,0.448,0.4611,396393.84,186116.86,0.471982
1576454400000,0.4608,0.479,0.4111,0.4188,327002.13,145184.22,0.445605
1576540800000,0.415,0.4195,0.3531,0.3673,478214.3,184141.7,0.385582
1576627200000,0.3716,0.4712,0.3399,0.4238,677204.45,277269.18,0.405873
1576713600000,0.4239,0.4479,0.3922,0.4457,513614.55,214914.95,0.419463
1576800000000,0.4454,0.446,0.4117,0.4314,343391.45,147321.7,0.428435
