Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1573696800000,0.75,0.7543,0.7241,0.7241,11236.76,8404.84,0.739684
1573704000000,0.7241,0.7597,0.7181,0.7274,8317.66,5998.19,0.738921
1573711200000,0.7401,0.75,0.7237,0.7246,3645.32,2681.61,0.737278
1573718400000,0.726,0.7293,0.7111,0.728,12945.13,9272.33,0.720179
1573725600000,0.7279,0.7279,0.7105,0.7105,886.9,634.38,0.7192
1573732800000,0.7105,0.7231,0.7097,0.7177,9196.56,6569.68,0.716579
1573740000000,0.7239,0.7339,0.7042,0.7073,7908.83,5670.28,0.719342
1573747200000,0.705,0.7314,0.705,0.7177,22253.56,16032.34,0.718621
1573754400000,0.7178,0.7294,0.7177,0.721,72070.58,52360.47,0.723629
1573761600000,0.7229,0.7236,0.7123,0.7126,627.12,451.1,0.718002
1573768800000,0.713,0.7147,0.7126,0.7147,534.55,381.08,0.713611
1573776000000,0.7126,0.7126,0.7114,0.7114,557.59,397.31,0.712
1573783200000,0.7114,0.7215,0.7001,0.7061,3583.76,2541.15,0.710832
1573790400000,0.7061,0.7103,0.7002,0.7023,5353.85,3763.08,0.705289
1573797600000,0.7027,0.72,0.69,0.7044,24385.4,16990.24,0.705001
1573804800000,0.7058,0.7205,0.7058,0.7109,1438.94,1022.6,0.713299
1573812000000,0.7109,0.7109,0.7109,0.7109,393.18,279.51,
1573819200000,0.713,0.7269,0.7127,0.7199,5945.31,4244.91,0.72001
1573826400000,0.7185,0.7293,0.6858,0.6982,9866.99,6937.73,0.707504
1573833600000,0.6982,0.749,0.6916,0.7011,1691.24,1196.17,0.720313
1573840800000,0.7012,0.7179,0.6888,0.7069,3569.31,2496.31,0.703343
1573848000000,0.6966,0.7394,0.6966,0.6993,3322.05,2352.56,0.71802
1573855200000,0.7064,0.7086,0.6885,0.7045,9897.52,6873.41,0.698535
1573862400000,0.7036,0.7172,0.6937,0.7135,5416.41,3834.72,0.705306
1573869600000,0.7104,0.7172,0.6993,0.7104,1910.89,1352.03,0.70825
1573876800000,0.7104,0.7166,0.6975,0.7037,210.01,148.21,0.70705
1573884000000,0.7036,0.7282,0.6989,0.7194,18679.84,13316.62,0.713711
1573891200000,0.7218,0.7395,0.7183,0.7289,7181.55,5288.89,0.729002
1573898400000,0.7333,0.738,0.7187,0.7285,5577.35,4054.72,0.72831
1573905600000,0.7283,0.7305,0.7181,0.7304,5813.53,4212.11,0.724264
1573912800000,0.7265,0.7305,0.7182,0.73,5651.04,4064.22,0.724269
1573920000000,0.7215,0.7289,0.7185,0.72,8412.09,6056.78,0.723715
1573927200000,0.724,0.7481,0.724,0.7455,20714.94,15279.36,0.736373
1573934400000,0.7462,0.7847,0.742,0.7739,103720.23,79116.71,0.763738
1573941600000,0.7646,0.7795,0.7483,0.7576,22236.73,17027.0,0.763936
1573948800000,0.7649,0.765,0.7505,0.7632,3364.62,2559.73,0.757728
1573956000000,0.7541,0.7638,0.7456,0.7501,1988.51,1498.45,0.754732
1573963200000,0.7639,0.79,0.759,0.7844,6022.42,4675.69,0.774543
1573970400000,0.7859,0.91,0.7797,0.7978,60998.33,49014.96,0.844961
1573977600000,0.798,0.8082,0.785,0.801,41300.79,32840.84,0.796588
1573984800000,0.8001,0.8113,0.793,0.808,13411.7,10789.04,0.802057
1573992000000,0.808,0.8116,0.7948,0.8038,26448.06,21259.1,0.803157
1573999200000,0.8008,0.8498,0.8008,0.8254,72841.34,60566.93,0.82612
1574006400000,0.8254,0.86,0.8254,0.83,70857.6,59634.86,0.842767
