Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1605772800000,0.03,0.12,0.03,0.0544,103830535.8,6274390.89,0.075614
1605773700000,0.05438,0.05575,0.04029,0.0413,77635609.1,3714114.62,0.048059
1605774600000,0.04131,0.0455,0.03854,0.04316,62635764.2,2669562.26,0.042016
1605775500000,0.04315,0.04509,0.0413,0.04289,40861465.1,1763807.15,0.043195
1605776400000,0.04284,0.04302,0.03981,0.04251,27816610.0,1151853.16,0.041412
1605777300000,0.04256,0.04275,0.03864,0.0404,20831161.8,835439.64,0.040637
1605778200000,0.04043,0.04179,0.03983,0.04157,14890973.1,605964.21,0.040792
1605779100000,0.04157,0.04237,0.03962,0.042,12887280.2,527049.94,0.04099
1605780000000,0.042,0.042,0.04021,0.04042,7016741.3,291367.1,0.04108
1605780900000,0.04044,0.04118,0.04027,0.04028,5596358.8,228338.6,0.040728
1605781800000,0.04043,0.04357,0.04038,0.04326,8311905.6,349253.12,0.042007
1605782700000,0.04331,0.04604,0.04228,0.045,22514830.6,993832.81,0.04416
1605783600000,0.04505,0.04574,0.04227,0.04283,17961504.2,784367.14,0.044012
1605784500000,0.0428,0.04383,0.04249,0.04313,5554880.7,239696.11,0.043163
1605785400000,0.04319,0.0453,0.04315,0.04527,7799198.7,345120.96,0.044223
1605786300000,0.04527,0.04576,0.04289,0.04367,8932680.2,395026.73,0.044313
1605787200000,0.04367,0.04367,0.0413,0.04195,6341342.6,268418.17,0.042436
1605788100000,0.04199,0.04327,0.04184,0.04269,4011334.3,171100.86,0.042569
1605789000000,0.04268,0.04298,0.04126,0.0414,5151246.5,214909.97,0.042133
1605789900000,0.0414,0.04159,0.0402,0.0414,4724844.9,193359.63,0.040895
1605790800000,0.04132,0.0416,0.04018,0.0411,4951568.3,202826.5,0.040888
1605791700000,0.0411,0.0417,0.04065,0.04149,4600857.9,189913.93,0.041171
1605792600000,0.04146,0.04258,0.04122,0.04206,5364871.9,225591.65,0.041907
1605793500000,0.04205,0.043,0.04196,0.04198,4366208.2,185550.98,0.042481
1605794400000,0.04198,0.04257,0.04168,0.042,2630571.8,110760.42,0.042125
1605795300000,0.04201,0.04418,0.04201,0.04271,10794787.8,466308.1,0.043115
1605796200000,0.04271,0.04398,0.04191,0.0426,8269371.9,356250.25,0.042945
1605797100000,0.04265,0.04369,0.0426,0.04288,5341516.9,230572.29,0.043149
1605798000000,0.0429,0.04696,0.04265,0.04608,12111339.3,541821.36,0.044855
1605798900000,0.04608,0.04779,0.04503,0.04527,18744513.9,866693.56,0.046426
1605799800000,0.04522,0.047,0.04508,0.04562,10078292.9,463663.84,0.046047
1605800700000,0.04562,0.04685,0.0442,0.04583,8592345.8,390533.09,0.045525
1605801600000,0.04583,0.04583,0.04508,0.04553,3725558.5,169162.77,0.045446
1605802500000,0.04547,0.04766,0.04547,0.04715,6740589.1,315619.99,0.046609
1605803400000,0.04715,0.04769,0.04525,0.04561,9491650.0,440022.86,0.04648
1605804300000,0.04571,0.047,0.04525,0.04582,5764084.2,264924.67,0.046125
1605805200000,0.04582,0.04582,0.04469,0.04471,4003610.3,181518.28,0.045252
1605806100000,0.04471,0.04479,0.0431,0.04333,5630816.8,246673.69,0.04393
1605807000000,0.04333,0.0444,0.04326,0.04376,2499634.1,109674.83,0.043841
1605807900000,0.04369,0.04432,0.04355,0.0439,1853909.2,81417.28,0.043938
1605808800000,0.04382,0.04382,0.0422,0.04226,5359437.7,230100.19,0.043001
1605809700000,0.04233,0.04351,0.04211,0.04297,4210853.7,180268.75,0.042819
1605810600000,0.04297,0.04323,0.04261,0.04303,1769901.7,75967.46,0.04292
1605811500000,0.043,0.04375,0.043,0.04358,1630435.2,70713.95,0.04339
1605812400000,0.04353,0.04356,0.0423,0.04256,2424973.6,103984.16,0.04291
1605813300000,0.04259,0.04288,0.0423,0.04232,1465638.3,62382.86,0.042598
1605814200000,0.0423,0.04236,0.0411,0.04127,7645383.6,317363.78,0.041719
1605815100000,0.04123,0.04124,0.0406,0.04087,4949887.7,202527.23,0.040909
1605816000000,0.04085,0.04143,0.04085,0.04128,2196641.0,90324.27,0.041152
1605816900000,0.04134,0.04134,0.04065,0.04109,4999254.7,204757.79,0.040988
1605817800000,0.0411,0.04133,0.03918,0.03918,8794704.5,354560.06,0.040284
1605818700000,0.0392,0.04072,0.03919,0.04061,9009122.2,359008.49,0.039968
1605819600000,0.04061,0.04087,0.0387,0.03884,12049999.9,481786.8,0.039797
1605820500000,0.03885,0.03937,0.0376,0.03819,7496053.7,287177.0,0.038484
1605821400000,0.03817,0.0387,0.03729,0.038,4628290.8,175287.79,0.037995
1605822300000,0.038,0.03866,0.03758,0.0381,3206389.3,121986.34,0.03812
1605823200000,0.03801,0.0387,0.03712,0.03814,4452109.3,168834.36,0.03791
1605824100000,0.03815,0.03815,0.03744,0.03747,2155110.8,81604.52,0.037791
1605825000000,0.03767,0.03776,0.03739,0.0376,2169875.2,81437.63,0.037574
1605825900000,0.03753,0.0393,0.0375,0.03838,3420420.4,131685.7,0.038426
1605826800000,0.03839,0.04023,0.03836,0.04,4275574.2,167905.07,0.039318
1605827700000,0.04,0.04066,0.0392,0.03921,4324750.6,173058.33,0.039956
1605828600000,0.03923,0.03935,0.03814,0.03859,3861474.2,149346.42,0.038733
1605829500000,0.03858,0.03878,0.03753,0.03777,5940961.5,226071.96,0.038153
1605830400000,0.03776,0.03776,0.03654,0.03698,5268371.6,196306.06,0.037125
1605831300000,0.03694,0.0377,0.03688,0.03754,2309813.1,86338.1,0.037298
1605832200000,0.03755,0.03777,0.03522,0.0358,8232641.9,299133.49,0.036471
1605833100000,0.03581,0.0375,0.03525,0.0375,4777693.2,174121.07,0.036329
1605834000000,0.0375,0.03837,0.03741,0.0378,3580200.3,135552.17,0.037896
1605834900000,0.0378,0.038,0.037,0.03764,3878874.5,146098.14,0.037499
1605835800000,0.03764,0.03767,0.03705,0.03735,1819207.0,68076.01,0.037352
1605836700000,0.03739,0.03784,0.03729,0.03746,2229296.6,83834.38,0.037566
1605837600000,0.03749,0.03772,0.03731,0.03759,1524546.4,57204.49,0.037515
1605838500000,0.03759,0.039,0.0375,0.03856,5884998.6,225996.23,0.03827
1605839400000,0.0385,0.03946,0.03845,0.03946,4150350.5,161612.31,0.038948
1605840300000,0.03947,0.0397,0.03873,0.03888,3522684.4,138195.86,0.039219
1605841200000,0.03888,0.0395,0.03881,0.03881,3140862.5,123154.29,0.039156
1605842100000,0.03881,0.03915,0.03881,0.03902,1670445.2,64960.25,0.038987
1605843000000,0.03903,0.03908,0.03722,0.03745,4129480.5,157176.18,0.03813
1605843900000,0.03747,0.03775,0.03718,0.03756,2427540.1,91023.97,0.037465
1605844800000,0.03758,0.03813,0.03756,0.0377,1971548.1,74541.53,0.037847
1605845700000,0.03773,0.0382,0.0373,0.03742,2533742.7,95538.4,0.037755
1605846600000,0.03742,0.03897,0.03727,0.03809,5150690.4,196687.84,0.038135
1605847500000,0.03809,0.04031,0.03806,0.04031,5042877.5,198976.55,0.03918
1605848400000,0.04031,0.04047,0.03896,0.03896,3269288.4,129612.25,0.039735
1605849300000,0.03892,0.0393,0.03835,0.0384,1676216.7,65251.98,0.038838
1605850200000,0.03842,0.03911,0.03834,0.03911,1675320.9,64904.08,0.038715
1605851100000,0.03901,0.0395,0.039,0.03937,1769755.4,69423.43,0.039259
1605852000000,0.03929,0.0418,0.03928,0.0417,10895252.5,446631.94,0.040553
1605852900000,0.04168,0.04335,0.0411,0.04177,10857704.0,459722.03,0.042225
1605853800000,0.04165,0.043,0.04127,0.04182,6570495.7,277817.93,0.042136
1605854700000,0.04184,0.04206,0.04086,0.04123,3478846.3,144200.43,0.041455
1605855600000,0.04124,0.04138,0.04015,0.04015,4731646.3,192428.83,0.040782
1605856500000,0.0402,0.04106,0.04,0.04105,4558704.2,183977.28,0.040512
