Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1599177600000,0.7063,1.3,0.6517,0.8183,4450694.4,3583870.46,0.977455
1599264000000,0.8114,0.855,0.5502,0.6371,3914855.7,2660509.32,0.700672
1599350400000,0.639,0.8092,0.615,0.781,2731454.97,1956706.73,0.712424
1599436800000,0.7777,0.8118,0.6222,0.7221,2623376.57,1826804.79,0.716277
1599523200000,0.7178,0.7625,0.6503,0.6969,2507920.3,1764653.15,0.706392
1599609600000,0.6953,0.7636,0.6541,0.7274,2395211.17,1701730.95,0.708795
1599696000000,0.7302,0.8252,0.7022,0.7229,2328015.82,1766479.12,0.763733
1599782400000,0.7287,0.7628,0.6624,0.7486,2615911.74,1880973.15,0.712342
1599868800000,0.7476,0.8087,0.695,0.7998,3840095.06,2842372.54,0.750635
1599955200000,0.7986,0.8023,0.6534,0.7064,3832413.85,2764443.03,0.725237
1600041600000,0.7082,0.7138,0.629,0.6429,4410993.24,2897528.89,0.670678
1600128000000,0.6429,0.65,0.5265,0.5823,4808512.58,2868217.14,0.58669
1600214400000,0.5814,0.6429,0.54,0.592,5647333.79,3302009.58,0.591463
1600300800000,0.5914,0.61,0.4609,0.5171,7198135.72,3689711.54,0.534206
1600387200000,0.5145,0.551,0.4981,0.5241,3339362.72,1750192.83,0.524594
1600473600000,0.5239,0.531,0.476,0.4916,2436864.87,1219510.33,0.503099
1600560000000,0.4933,0.525,0.435,0.4515,3044102.47,1439154.21,0.480433
1600646400000,0.453,0.46,0.3224,0.3844,11905956.9,4458383.97,0.389378
1600732800000,0.3844,0.42,0.36,0.3892,4880955.09,1926050.53,0.390005
1600819200000,0.3892,0.3924,0.3301,0.3389,4213742.7,1532927.51,0.360705
1600905600000,0.3399,0.4053,0.3296,0.3974,5716485.21,2098122.16,0.367248
1600992000000,0.398,0.4933,0.3824,0.4844,4558872.25,1942918.33,0.437251
1601078400000,0.4845,0.5348,0.447,0.5288,2958461.81,1414799.52,0.489829
1601164800000,0.5304,0.6365,0.5,0.6316,6462399.23,3609435.28,0.566219
1601251200000,0.6314,0.6363,0.5404,0.5537,5145080.99,3044434.55,0.587525
1601337600000,0.5539,0.5809,0.5042,0.531,4187982.55,2251128.6,0.542552
