Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1599199200000,0.7063,0.78,0.6517,0.6672,190776.79,134059.15,0.716542
1599206400000,0.6776,0.77,0.6737,0.75,171857.85,125735.71,0.723175
1599213600000,0.751,0.7798,0.7073,0.718,141151.82,103411.32,0.744044
1599220800000,0.718,1.3,0.718,0.8243,482962.12,400580.13,1.011
1599228000000,0.8245,0.9998,0.6851,0.7897,2076353.13,1727255.99,0.842558
1599235200000,0.7891,0.8023,0.733,0.7698,407743.13,312336.19,0.767417
1599242400000,0.7614,0.795,0.7104,0.7661,292361.35,217457.19,0.752691
1599249600000,0.7681,0.86,0.7525,0.834,413965.46,337945.62,0.806789
1599256800000,0.834,0.86,0.7958,0.8183,273522.75,225089.17,0.827927
1599264000000,0.8114,0.855,0.7973,0.8089,250929.61,206819.73,0.826158
1599271200000,0.81,0.82,0.77,0.783,162158.4,128177.18,0.794882
1599278400000,0.7775,0.8189,0.77,0.792,86101.03,67955.98,0.794668
1599285600000,0.7914,0.85,0.785,0.809,263310.79,213277.7,0.817823
1599292800000,0.809,0.809,0.7496,0.7558,217143.5,167855.88,0.778522
1599300000000,0.7582,0.7589,0.662,0.6815,444766.06,315229.53,0.708704
1599307200000,0.6814,0.6899,0.604,0.6898,617090.64,393927.52,0.646857
1599314400000,0.6837,0.692,0.6323,0.6792,467558.57,313523.14,0.662123
1599321600000,0.6756,0.6899,0.6001,0.6052,340621.8,218598.72,0.645835
1599328800000,0.605,0.65,0.5502,0.5669,503717.82,295861.26,0.600635
1599336000000,0.5757,0.64,0.5645,0.605,390790.83,233205.7,0.602716
1599343200000,0.6057,0.6495,0.5975,0.6371,170666.65,106076.97,0.623711
1599350400000,0.639,0.648,0.615,0.6263,190134.11,120187.67,0.631456
1599357600000,0.6305,0.6461,0.6204,0.634,90150.95,56969.8,0.633255
1599364800000,0.6379,0.6441,0.619,0.6297,183789.47,114684.72,0.631488
1599372000000,0.6269,0.76,0.619,0.7042,331738.74,218880.96,0.691446
1599379200000,0.708,0.7493,0.6881,0.7209,233628.53,167030.31,0.718748
1599386400000,0.7209,0.782,0.7209,0.7588,257342.69,191927.66,0.752685
1599393600000,0.7655,0.7799,0.7189,0.751,406293.84,302992.91,0.749273
1599400800000,0.7565,0.7611,0.6875,0.7244,351751.71,256164.97,0.723494
1599408000000,0.7254,0.7519,0.7082,0.7414,101685.48,75245.22,0.729934
1599415200000,0.7418,0.7886,0.7368,0.7818,211715.5,162553.69,0.762858
1599422400000,0.7818,0.8085,0.7622,0.805,167637.61,131679.83,0.784811
1599429600000,0.805,0.8092,0.7411,0.781,205586.34,158388.98,0.774578
1599436800000,0.7777,0.8118,0.7723,0.7938,107725.35,85190.1,0.792323
1599444000000,0.7952,0.7985,0.7377,0.757,157508.82,119574.78,0.767224
1599451200000,0.7565,0.7595,0.7002,0.7047,160157.78,116578.34,0.729673
1599458400000,0.7,0.7131,0.6731,0.7,401003.32,278191.25,0.6931
1599465600000,0.6972,0.7251,0.693,0.7006,176303.61,125557.44,0.709079
1599472800000,0.6973,0.7006,0.6405,0.6495,422964.86,282109.12,0.670015
1599480000000,0.651,0.7218,0.6222,0.6848,433923.23,282142.43,0.672122
1599487200000,0.682,0.7149,0.6588,0.7106,156295.17,107564.09,0.686193
1599494400000,0.7062,0.7341,0.6985,0.7127,170954.13,122884.45,0.716358
1599501600000,0.7127,0.729,0.6877,0.691,157509.65,111137.15,0.708832
1599508800000,0.6887,0.6993,0.6811,0.6839,142378.95,98212.96,0.690269
1599516000000,0.6895,0.75,0.6894,0.7221,136651.7,97662.7,0.720784
1599523200000,0.7178,0.76,0.7172,0.7326,165312.02,121347.8,0.739013
1599530400000,0.7328,0.7625,0.73,0.756,106962.88,80302.93,0.74652
1599537600000,0.7534,0.7614,0.7424,0.7503,203056.59,152642.8,0.7519
1599544800000,0.7497,0.7503,0.7114,0.718,364791.7,267659.52,0.730253
1599552000000,0.7207,0.7324,0.6721,0.6721,281039.72,197586.69,0.703384
1599559200000,0.676,0.6805,0.6503,0.659,350585.32,234128.05,0.665219
1599566400000,0.6542,0.6857,0.6504,0.6585,221162.45,147753.14,0.668094
1599573600000,0.66,0.7064,0.6592,0.6981,200311.11,137110.77,0.68353
1599580800000,0.6955,0.72,0.6871,0.7166,235069.5,164698.07,0.703263
1599588000000,0.7193,0.7244,0.6667,0.68,138144.09,95111.45,0.695012
1599595200000,0.6805,0.7037,0.6805,0.6983,98505.97,68204.89,0.692566
1599602400000,0.7022,0.7022,0.6588,0.6969,142978.95,98107.04,0.680429
1599609600000,0.6953,0.7115,0.6908,0.7079,90419.71,63434.57,0.701104
1599616800000,0.7071,0.71,0.655,0.6591,366723.72,245324.95,0.682359
1599624000000,0.6596,0.6779,0.6541,0.6681,170925.42,113425.4,0.666071
1599631200000,0.6688,0.6886,0.6594,0.6824,126748.72,84732.99,0.673908
1599638400000,0.6821,0.7027,0.6738,0.6957,142351.98,97999.29,0.688212
1599645600000,0.6994,0.726,0.6885,0.6979,177694.57,125698.57,0.707253
1599652800000,0.6981,0.7381,0.6978,0.7328,218840.94,157049.34,0.718519
1599660000000,0.7367,0.7597,0.725,0.7429,374180.94,277489.36,0.742371
1599667200000,0.7455,0.754,0.7248,0.7385,89244.93,65762.97,0.739362
1599674400000,0.7384,0.7636,0.7312,0.7387,186042.11,139109.59,0.7474
1599681600000,0.7409,0.7529,0.715,0.7266,288918.92,210721.94,0.733957
1599688800000,0.7262,0.7568,0.7252,0.7274,163119.21,120981.98,0.741005
1599696000000,0.7302,0.8144,0.7287,0.7832,481697.11,370796.29,0.77312
1599703200000,0.7846,0.8252,0.7637,0.7748,213250.06,167507.09,0.794544
1599710400000,0.78,0.7877,0.7641,0.7734,89570.69,69451.44,0.775884
1599717600000,0.7732,0.7775,0.7433,0.749,123745.69,94251.71,0.7603
1599724800000,0.744,0.7656,0.74,0.7451,151011.77,113592.42,0.752804
1599732000000,0.7492,0.7748,0.7446,0.7575,160068.79,121436.03,0.759822
1599739200000,0.7584,0.82,0.7506,0.7871,258400.53,202367.02,0.785861
1599746400000,0.7871,0.7886,0.7485,0.7733,229910.25,176311.31,0.768195
1599753600000,0.7746,0.7746,0.74,0.7472,93674.83,70801.11,0.756631
1599760800000,0.7474,0.7558,0.7022,0.7117,302231.34,218079.79,0.728931
1599768000000,0.7113,0.7398,0.7051,0.7324,181640.28,130937.36,0.722511
1599775200000,0.7318,0.7359,0.7152,0.7229,42814.48,30947.56,0.725463
1599782400000,0.7287,0.7294,0.6653,0.6755,254949.74,177086.77,0.696362
1599789600000,0.6777,0.6829,0.6624,0.6681,233814.63,157743.34,0.672635
1599796800000,0.6666,0.734,0.6648,0.7265,354783.29,249689.3,0.700057
1599804000000,0.7264,0.7453,0.72,0.725,293467.57,215840.95,0.732655
1599811200000,0.7223,0.741,0.7171,0.7229,265283.12,193129.21,0.729051
1599818400000,0.7229,0.7283,0.7025,0.705,171426.69,122893.67,0.715598
1599825600000,0.7045,0.7298,0.7026,0.7206,117371.48,84290.99,0.71655
1599832800000,0.7202,0.7469,0.7166,0.736,148872.93,109108.74,0.732016
1599840000000,0.736,0.7418,0.7081,0.7265,246284.1,178321.5,0.724822
1599847200000,0.7294,0.7369,0.7174,0.725,88576.52,64325.05,0.727149
1599854400000,0.7239,0.7628,0.7226,0.7418,342008.36,254740.67,0.743214
1599861600000,0.7421,0.755,0.7381,0.7486,99073.31,73802.94,0.746596
1599868800000,0.7476,0.7511,0.7345,0.7453,141366.0,104963.46,0.742782
1599876000000,0.7472,0.748,0.7056,0.7204,1094237.2,791830.03,0.726023
1599883200000,0.7221,0.7304,0.7157,0.7283,147655.66,106931.39,0.72295
1599890400000,0.7281,0.7348,0.7103,0.7231,310975.85,224389.62,0.722518
1599897600000,0.7234,0.739,0.7192,0.7381,156105.99,113985.79,0.728836
1599904800000,0.7381,0.7581,0.7355,0.7575,120143.22,89993.19,0.746574
1599912000000,0.7575,0.76,0.7116,0.718,222762.48,164606.67,0.73541
1599919200000,0.7213,0.7364,0.7122,0.7192,316165.24,228340.66,0.724308
1599926400000,0.7199,0.7331,0.695,0.7257,199650.77,143602.38,0.713999
1599933600000,0.7257,0.7552,0.7219,0.75,235086.01,173916.68,0.738657
1599940800000,0.75,0.8085,0.7451,0.8045,658040.58,512117.43,0.776698
1599948000000,0.8073,0.8087,0.7639,0.7998,237906.06,187695.24,0.786178
1599955200000,0.7986,0.8013,0.7437,0.7607,315108.01,240298.15,0.771632
1599962400000,0.7614,0.8023,0.7542,0.8,140143.24,109272.42,0.77778
1599969600000,0.8,0.8005,0.7707,0.7794,197286.15,154445.49,0.785044
1599976800000,0.778,0.7938,0.7699,0.78,156941.82,122586.2,0.781855
1599984000000,0.7825,0.7866,0.7176,0.7266,563377.19,419846.4,0.751619
1599991200000,0.7266,0.7489,0.6725,0.6786,1049562.76,747639.11,0.711587
1599998400000,0.6791,0.7131,0.6666,0.7024,397766.49,274120.83,0.68979
1600005600000,0.7028,0.7085,0.67,0.6799,171287.38,118656.84,0.689046
1600012800000,0.677,0.6809,0.6534,0.6761,304248.27,203206.86,0.667147
1600020000000,0.6751,0.7174,0.6607,0.7028,252496.5,174706.25,0.689056
1600027200000,0.7022,0.725,0.6948,0.7001,119817.7,84163.36,0.709911
1600034400000,0.7026,0.7157,0.6913,0.7064,164378.34,115501.11,0.703494
1600041600000,0.7082,0.7138,0.6626,0.686,244910.12,166195.54,0.687761
1600048800000,0.6889,0.6984,0.6782,0.6831,88162.47,60481.04,0.688348
1600056000000,0.6831,0.6865,0.6672,0.6739,201031.73,135465.43,0.676751
1600063200000,0.674,0.6837,0.67,0.6833,147531.11,99721.89,0.676616
1600070400000,0.6814,0.6858,0.6292,0.6442,676613.9,441662.53,0.656858
1600077600000,0.6442,0.6575,0.629,0.6515,472209.07,302905.67,0.643173
1600084800000,0.6513,0.6729,0.6437,0.6676,425151.36,280995.97,0.658203
1600092000000,0.6695,0.6888,0.665,0.6723,396370.41,268402.31,0.676921
1600099200000,0.6728,0.6728,0.6309,0.6425,505987.15,330325.23,0.650978
1600106400000,0.6426,0.652,0.6342,0.6424,379422.51,244287.19,0.6431
1600113600000,0.6413,0.6621,0.6402,0.6621,451570.9,293370.34,0.65099
1600120800000,0.6593,0.6665,0.6321,0.6429,422032.51,273715.76,0.649192
1600128000000,0.6429,0.6486,0.62,0.6214,370746.45,235236.68,0.634654
1600135200000,0.622,0.6454,0.6098,0.6417,499810.74,314994.74,0.627248
1600142400000,0.6418,0.65,0.6242,0.625,483568.24,306558.46,0.637539
1600149600000,0.626,0.6366,0.6157,0.6222,292044.32,182226.11,0.626167
1600156800000,0.624,0.6339,0.5966,0.611,314621.76,190949.95,0.61518
1600164000000,0.6117,0.62,0.6032,0.6136,364993.46,222748.94,0.611597
1600171200000,0.6137,0.6206,0.59,0.5906,223672.14,135412.33,0.605823
1600178400000,0.5907,0.5915,0.5522,0.5688,597134.79,339180.94,0.571185
1600185600000,0.5673,0.5877,0.5655,0.5833,408761.85,235119.8,0.576794
1600192800000,0.5839,0.5839,0.5631,0.566,243434.53,139074.57,0.573171
1600200000000,0.5657,0.5876,0.5619,0.5786,240935.47,137403.42,0.574925
1600207200000,0.5781,0.6014,0.5265,0.5823,768788.83,429311.2,0.563937
1600214400000,0.5814,0.6257,0.54,0.6153,1260845.23,725131.81,0.582219
1600221600000,0.6132,0.6429,0.5892,0.6171,485452.33,296264.59,0.616051
