Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1569412800000,0.0252,0.02666,0.0247,0.02545,481290.6,12251.38,0.025681
1569420000000,0.02546,0.02665,0.02527,0.02527,386353.0,9874.16,0.025963
1569427200000,0.02527,0.02649,0.02507,0.0259,188446.0,4767.27,0.02579
1569434400000,0.02625,0.02646,0.02517,0.02581,211077.7,5430.81,0.025809
1569441600000,0.02607,0.02699,0.02582,0.02668,191490.7,5108.12,0.026407
1569448800000,0.02696,0.02713,0.02625,0.02665,63862.0,1697.07,0.026686
1569456000000,0.0265,0.02687,0.02593,0.02638,253368.1,6710.55,0.0264
1569463200000,0.02687,0.02687,0.02606,0.02642,62066.4,1630.6,0.02645
1569470400000,0.02617,0.02631,0.02566,0.02581,124466.8,3230.96,0.025985
1569477600000,0.02581,0.02635,0.02567,0.02626,407592.4,10560.37,0.026007
1569484800000,0.02631,0.02811,0.02609,0.02739,716060.2,19338.73,0.027119
1569492000000,0.02762,0.02874,0.02747,0.02779,738568.0,20643.24,0.028107
1569499200000,0.0282,0.029,0.02631,0.02651,916504.3,25192.68,0.027688
1569506400000,0.02651,0.02734,0.0255,0.02585,1270206.0,33463.36,0.026428
1569513600000,0.02592,0.02603,0.02474,0.02567,585407.4,14830.42,0.025381
1569520800000,0.02597,0.02703,0.02563,0.02656,447140.4,11689.15,0.026333
1569528000000,0.0267,0.02754,0.0266,0.02731,146750.9,3948.34,0.027078
1569535200000,0.02755,0.028,0.02719,0.02799,147411.8,4057.5,0.027581
1569542400000,0.028,0.02806,0.02658,0.02733,922502.0,25295.58,0.027301
1569549600000,0.0271,0.02755,0.02653,0.02677,250470.5,6715.7,0.027043
1569556800000,0.0268,0.02684,0.02625,0.02678,366982.6,9709.36,0.026545
1569564000000,0.02638,0.02768,0.02598,0.02751,327230.7,8787.27,0.026816
1569571200000,0.02751,0.02799,0.02723,0.02776,580219.0,15963.25,0.027609
1569578400000,0.02737,0.02753,0.02633,0.02687,279162.9,7544.7,0.026921
1569585600000,0.027,0.02755,0.02656,0.02692,197477.1,5328.19,0.027055
1569592800000,0.02691,0.02806,0.02691,0.02806,737411.1,20357.58,0.027485
1569600000000,0.02806,0.02879,0.02772,0.02815,496496.5,14027.38,0.028255
1569607200000,0.02847,0.02874,0.02816,0.02829,188157.2,5344.17,0.028452
1569614400000,0.0285,0.029,0.02838,0.0287,320343.1,9190.5,0.028692
1569621600000,0.02873,0.02908,0.02861,0.02894,356269.9,10244.36,0.028846
1569628800000,0.02894,0.02894,0.02805,0.02859,173406.1,4920.96,0.028484
1569636000000,0.02863,0.02949,0.02849,0.02905,291931.8,8456.35,0.028997
1569643200000,0.02893,0.02905,0.02822,0.02846,584934.6,16745.15,0.02863
1569650400000,0.02845,0.02871,0.02805,0.02847,138557.5,3921.03,0.02838
1569657600000,0.02849,0.02895,0.02837,0.02873,92550.7,2640.82,0.028662
1569664800000,0.0289,0.0289,0.02786,0.02793,682807.3,19215.66,0.02837
1569672000000,0.028,0.02879,0.02769,0.02831,104513.8,2916.84,0.028242
1569679200000,0.02844,0.02844,0.02768,0.02805,37214.8,1037.53,0.028047
1569686400000,0.02805,0.02853,0.02803,0.02849,32677.4,918.28,0.028282
1569693600000,0.02849,0.0286,0.02823,0.0285,61961.1,1753.68,0.028415
1569700800000,0.0285,0.0286,0.02815,0.02819,152991.2,4353.07,0.028379
1569708000000,0.02814,0.0288,0.02785,0.02817,223750.5,6301.26,0.028325
1569715200000,0.02817,0.02888,0.0277,0.028,172148.7,4811.77,0.028291
1569722400000,0.02813,0.02862,0.02768,0.02861,52989.0,1489.77,0.028135
1569729600000,0.02862,0.02862,0.02769,0.02769,46313.1,1291.24,0.028155
1569736800000,0.02812,0.02824,0.02762,0.0282,52656.0,1480.11,0.027929
1569744000000,0.02822,0.03206,0.02779,0.03155,5253570.9,160545.36,0.029932
1569751200000,0.03152,0.03164,0.03027,0.0306,1982328.4,61111.23,0.030942
1569758400000,0.03041,0.03063,0.02875,0.02971,4068817.3,120335.26,0.029677
1569765600000,0.02941,0.03013,0.02894,0.0298,1714638.5,50660.85,0.029533
1569772800000,0.0298,0.03236,0.02979,0.03124,9549909.5,297638.28,0.031122
1569780000000,0.03124,0.032,0.03048,0.031,2736819.5,85171.75,0.031241
1569787200000,0.03085,0.0314,0.0308,0.03097,551338.2,17132.74,0.031102
1569794400000,0.03112,0.0313,0.03044,0.03065,610351.3,18783.86,0.030869
1569801600000,0.03083,0.03083,0.02903,0.02966,818119.6,24313.75,0.029893
1569808800000,0.0297,0.02993,0.02812,0.02847,1464418.4,42321.9,0.029017
