Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1612789200000,0.1,1.9,0.1,1.491,74668228.76,94083053.43,1.035889
1612792800000,1.4883,1.64,1.2899,1.3659,43729874.5,63368916.62,1.466143
1612796400000,1.3659,1.4344,1.2,1.4189,26110607.5,33720350.65,1.316226
1612800000000,1.4156,1.478,1.3101,1.4124,17670692.46,24713027.23,1.394048
1612803600000,1.411,1.479,1.365,1.4433,10209949.43,14583296.71,1.421895
1612807200000,1.4446,1.4447,1.33,1.3669,6704414.13,9244216.53,1.384966
1612810800000,1.3657,1.4372,1.35,1.4198,4284895.52,5972834.69,1.393691
1612814400000,1.4195,1.4463,1.3662,1.4421,3796288.83,5387719.9,1.405751
1612818000000,1.4421,1.445,1.37,1.3888,2602346.17,3653597.62,1.406351
1612821600000,1.3888,1.419,1.3714,1.382,2094710.51,2925079.44,1.39525
1612825200000,1.3829,1.3974,1.2553,1.29,4162237.17,5536057.6,1.325142
1612828800000,1.2901,1.686,1.2897,1.5351,15470054.84,23570121.14,1.4958
1612832400000,1.535,1.888,1.5245,1.7989,16440344.43,28590173.55,1.712214
1612836000000,1.7991,1.8,1.6276,1.7228,7954589.76,13690753.45,1.711372
1612839600000,1.7229,1.7879,1.6524,1.7137,4358399.06,7537830.81,1.720152
1612843200000,1.7119,1.7409,1.63,1.7409,3698591.01,6261973.89,1.684738
1612846800000,1.7409,1.7465,1.605,1.64,3646109.12,6073299.89,1.673609
1612850400000,1.6362,1.6536,1.53,1.5916,5514835.32,8832814.57,1.591056
1612854000000,1.5874,1.7194,1.557,1.6412,4855521.62,7989523.61,1.638874
1612857600000,1.6413,1.699,1.57,1.6566,4037795.83,6606673.16,1.634449
1612861200000,1.6566,1.8486,1.65,1.7324,8818686.8,15519358.2,1.751371
1612864800000,1.7369,1.9993,1.7351,1.9298,12835531.93,24365871.56,1.872405
1612868400000,1.9265,2.37,1.92,2.1876,33248186.93,72675951.75,2.153083
1612872000000,2.1871,2.77,2.1451,2.67,37696336.13,94454570.69,2.462639
1612875600000,2.6508,2.7483,2.2611,2.29,23349642.98,58066688.62,2.51015
1612879200000,2.29,2.6,2.29,2.4469,11585993.55,28539854.67,2.450238
1612882800000,2.4469,2.654,2.4395,2.6,8823346.89,22651416.14,2.550151
1612886400000,2.5948,2.99,2.548,2.968,15853358.07,44075736.28,2.766311
1612890000000,2.968,3.75,2.85,3.7495,32244802.55,106006673.06,3.286353
1612893600000,3.7495,4.45,3.461,3.7601,45977084.35,181753846.31,3.955506
1612897200000,3.7603,3.95,3.1111,3.601,36198007.64,127356314.64,3.529185
1612900800000,3.6,3.8,3.35,3.4759,11698470.41,41994798.77,3.575718
1612904400000,3.4738,3.4738,2.8892,2.9995,14705329.73,46296606.0,3.170637
1612908000000,2.9976,3.5445,2.85,3.2236,14436241.62,47150006.99,3.199606
1612911600000,3.2342,3.52,3.0713,3.4637,7930872.29,26377082.4,3.29192
