Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1606784400000,0.03,0.14,0.03,0.07636,77385290.6,7124002.79,0.086479
1606788000000,0.07609,0.09848,0.07583,0.09848,37098411.5,3327161.3,0.087113
1606791600000,0.09848,0.10463,0.09,0.09786,37435238.9,3680598.92,0.097315
1606795200000,0.09691,0.09706,0.08305,0.0912,16102484.8,1437296.69,0.089882
1606798800000,0.09121,0.09667,0.08833,0.08888,12303725.2,1137543.59,0.092549
1606802400000,0.08888,0.0951,0.088,0.09185,7360112.1,679199.61,0.091604
1606806000000,0.09186,0.09229,0.08611,0.08703,8225159.7,730834.31,0.089156
1606809600000,0.08706,0.08837,0.085,0.08722,5343755.7,461152.87,0.086685
1606813200000,0.08709,0.08709,0.07891,0.08027,8686933.8,722612.05,0.082857
1606816800000,0.08002,0.08628,0.07625,0.08507,12089108.5,977893.46,0.081178
1606820400000,0.08513,0.08576,0.07831,0.08159,12146812.6,990299.62,0.081956
1606824000000,0.08175,0.08435,0.0786,0.0786,11351445.4,916998.33,0.08158
1606827600000,0.0786,0.07932,0.07686,0.0785,5652707.9,440854.6,0.07809
1606831200000,0.07838,0.08369,0.07831,0.08339,8855714.3,720930.55,0.081032
1606834800000,0.08339,0.08339,0.07851,0.07983,4971482.7,403666.92,0.080849
1606838400000,0.07975,0.08014,0.07739,0.08,4968150.9,391705.11,0.078763
1606842000000,0.08,0.08482,0.07876,0.08124,5581025.6,458107.58,0.081802
1606845600000,0.08136,0.0814,0.07819,0.07999,2384478.6,189459.22,0.079753
1606849200000,0.07999,0.08072,0.0775,0.0795,6858342.6,541016.24,0.079106
1606852800000,0.07922,0.08149,0.07802,0.07979,5854936.3,467384.85,0.079757
1606856400000,0.07979,0.07997,0.07818,0.07857,2158694.0,170336.18,0.079061
1606860000000,0.07863,0.07927,0.07675,0.07751,1874448.6,146582.37,0.078007
1606863600000,0.0774,0.07762,0.07105,0.07223,7873362.1,579078.49,0.074247
1606867200000,0.07189,0.07336,0.0695,0.0714,4888169.8,348169.14,0.071429
1606870800000,0.07143,0.07226,0.07082,0.0715,1152743.4,82431.49,0.07154
1606874400000,0.07151,0.07151,0.0693,0.0693,2084748.2,146091.55,0.070405
1606878000000,0.06939,0.07334,0.0693,0.0719,3626914.2,259915.85,0.071392
1606881600000,0.072,0.072,0.06976,0.07076,1694822.7,119863.4,0.070839
1606885200000,0.07058,0.07555,0.06981,0.07403,6861556.9,499159.03,0.072717
1606888800000,0.07403,0.07599,0.07288,0.07361,2984751.7,221350.99,0.074438
1606892400000,0.07361,0.07433,0.07287,0.0742,1584132.2,116628.23,0.073587
1606896000000,0.07418,0.07902,0.07391,0.07645,2819530.4,216769.71,0.076525
1606899600000,0.07643,0.07644,0.07311,0.07321,2094684.0,156234.33,0.074761
1606903200000,0.07326,0.07368,0.07189,0.07259,1808498.6,131184.07,0.07278
1606906800000,0.07239,0.075,0.07239,0.07445,2066672.6,152493.73,0.073746
1606910400000,0.07487,0.0749,0.07201,0.07242,1618252.4,118151.45,0.073413
1606914000000,0.07273,0.07341,0.0724,0.07252,803297.2,58567.02,0.072908
1606917600000,0.07252,0.07362,0.07201,0.07209,1449003.2,105403.38,0.072824
1606921200000,0.07209,0.07288,0.0713,0.072,2129390.2,153390.28,0.07209
1606924800000,0.07152,0.07481,0.07132,0.07381,2661862.3,194653.48,0.073113
1606928400000,0.0738,0.0738,0.07193,0.07231,1840262.8,133718.04,0.072829
1606932000000,0.0723,0.07363,0.07178,0.07339,1119580.7,81374.78,0.072692
1606935600000,0.07349,0.075,0.07271,0.0733,1632673.3,120678.26,0.073856
1606939200000,0.07333,0.07476,0.07299,0.07448,861584.7,63781.75,0.073871
1606942800000,0.07447,0.076,0.07433,0.07591,1450283.5,109171.3,0.075159
1606946400000,0.07589,0.0775,0.07559,0.07613,1759630.2,134513.17,0.076547
1606950000000,0.07603,0.082,0.07603,0.08148,2301302.1,183271.22,0.079083
1606953600000,0.0815,0.09,0.08149,0.08813,14377611.8,1251617.78,0.085911
1606957200000,0.0874,0.0884,0.0818,0.0826,3955426.9,334573.42,0.085115
1606960800000,0.08217,0.08659,0.08194,0.08625,2537760.7,213963.11,0.084278
1606964400000,0.08616,0.08905,0.0843,0.08435,4816040.2,416492.43,0.086728
1606968000000,0.08436,0.08468,0.0839,0.0841,970106.9,81806.1,0.084292
1606971600000,0.08405,0.0843,0.0804,0.08178,2938897.8,241226.89,0.082298
1606975200000,0.08178,0.08178,0.07891,0.07929,4016736.8,323747.3,0.080301
1606978800000,0.07929,0.08182,0.07869,0.08152,1814991.1,145114.38,0.080233
1606982400000,0.08142,0.082,0.07931,0.07999,2935525.3,237006.02,0.080651
1606986000000,0.07997,0.08332,0.07962,0.08127,3230106.7,264241.03,0.081497
1606989600000,0.08118,0.083,0.0806,0.08127,1551706.3,126984.74,0.0818
1606993200000,0.08126,0.08191,0.08102,0.08124,694280.1,56520.08,0.081465
1606996800000,0.08123,0.08124,0.07944,0.07966,1003462.7,80245.64,0.080315
1607000400000,0.07968,0.08099,0.07963,0.08099,720016.4,57548.18,0.080302
1607004000000,0.08099,0.08233,0.08057,0.08101,1364889.3,111281.14,0.08145
1607007600000,0.08104,0.088,0.08073,0.08528,5514845.5,466745.01,0.084477
1607011200000,0.08538,0.09268,0.08501,0.09153,8694579.7,778561.8,0.08892
1607014800000,0.09153,0.09691,0.09153,0.09361,12992907.3,1226214.49,0.094284
1607018400000,0.09362,0.09417,0.08853,0.0889,4491486.6,407686.42,0.091369
1607022000000,0.08895,0.09196,0.08892,0.09121,2182870.0,197705.24,0.090498
1607025600000,0.09081,0.11009,0.08764,0.102,27465143.7,2783087.23,0.099028
1607029200000,0.102,0.10706,0.1,0.10447,12679618.3,1311110.85,0.103539
1607032800000,0.10447,0.10467,0.09769,0.099,4624912.6,463207.6,0.101079
1607036400000,0.099,0.1052,0.09803,0.0989,5277397.9,537143.11,0.101615
1607040000000,0.09925,0.10265,0.09883,0.10126,2398442.4,243416.4,0.100776
1607043600000,0.10106,0.1099,0.10091,0.10847,4635482.8,494048.79,0.105536
1607047200000,0.10857,0.10905,0.10216,0.10216,3313478.6,351311.55,0.105671
1607050800000,0.10213,0.1073,0.102,0.10332,2996139.7,314341.67,0.104675
1607054400000,0.10317,0.10632,0.09952,0.10394,5406550.5,553723.75,0.102918
1607058000000,0.10396,0.10421,0.1,0.10223,2644787.9,268895.56,0.102061
1607061600000,0.10223,0.11157,0.10223,0.11011,7433744.4,802600.55,0.107058
1607065200000,0.11012,0.12835,0.10714,0.11875,18426214.3,2193570.9,0.117888
1607068800000,0.11875,0.12038,0.11421,0.1181,11335471.1,1327009.38,0.117292
1607072400000,0.11801,0.12448,0.10963,0.11186,11645301.4,1349657.47,0.11715
1607076000000,0.11186,0.1136,0.10645,0.11184,7898511.2,869308.39,0.110025
1607079600000,0.11175,0.11755,0.1115,0.11467,5789392.3,667389.17,0.114606
1607083200000,0.11467,0.1175,0.10888,0.11642,7116032.7,812293.22,0.113165
1607086800000,0.11642,0.12448,0.11526,0.1242,10932098.3,1315236.05,0.119775
1607090400000,0.12415,0.13777,0.12153,0.1335,31538361.3,4135959.7,0.129725
1607094000000,0.13368,0.1385,0.12861,0.13846,14516933.0,1934932.52,0.133399
