Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1594296000000,2.893,3.398,2.893,2.985,459496.644,1426108.1,3.147228
1594303200000,2.986,3.05,2.71,2.771,132792.643,384302.12,2.880167
1594310400000,2.771,3.01,2.748,2.804,138983.135,401152.01,2.879364
1594317600000,2.814,2.91,2.789,2.875,24724.329,70499.3,2.849839
1594324800000,2.9,3.0,2.85,2.985,35637.092,103619.95,2.923473
1594332000000,2.958,3.0,2.916,2.956,23194.746,68470.03,2.958
1594339200000,2.956,2.974,2.871,2.932,44734.999,131767.67,2.922204
1594346400000,2.932,2.969,2.892,2.95,18993.504,55812.43,2.930355
1594353600000,2.949,2.97,2.892,2.927,32626.238,95484.22,2.930858
1594360800000,2.927,2.932,2.849,2.911,31138.883,89758.22,2.890233
1594368000000,2.913,2.936,2.87,2.901,33509.561,97794.37,2.902967
1594375200000,2.895,2.913,2.844,2.855,26042.155,75170.26,2.878821
1594382400000,2.852,2.886,2.77,2.804,46787.474,131177.57,2.828
1594389600000,2.804,2.869,2.763,2.809,22778.944,64027.52,2.816005
1594396800000,2.815,2.816,2.77,2.804,16693.509,46649.95,2.792761
1594404000000,2.804,2.805,2.773,2.801,13353.526,37362.32,2.78897
1594411200000,2.8,2.852,2.782,2.849,18066.53,50796.1,2.815953
1594418400000,2.848,2.929,2.834,2.921,31396.625,90889.0,2.88098
1594425600000,2.921,2.927,2.835,2.851,24673.209,71275.45,2.880154
1594432800000,2.85,2.879,2.654,2.772,117324.399,322295.73,2.765122
1594440000000,2.772,2.853,2.74,2.831,20642.213,57632.53,2.796134
1594447200000,2.831,2.836,2.73,2.745,13868.331,38459.4,2.782015
1594454400000,2.751,2.85,2.731,2.804,19943.661,55770.29,2.791178
1594461600000,2.804,2.853,2.793,2.808,9709.505,27366.72,2.823019
1594468800000,2.809,2.835,2.798,2.829,8786.039,24762.71,2.816303
1594476000000,2.829,2.836,2.793,2.831,12883.24,36343.67,2.814492
1594483200000,2.825,2.836,2.76,2.799,14217.694,39660.11,2.797578
1594490400000,2.796,2.815,2.762,2.787,12176.567,33978.36,2.788478
1594497600000,2.787,2.831,2.768,2.809,22850.036,63951.96,2.799547
1594504800000,2.799,2.834,2.777,2.809,8622.254,24203.8,2.805512
1594512000000,2.806,2.84,2.734,2.774,33601.235,93681.52,2.78693
