Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597125600000,2.85,3.47,2.85,2.9515,20032.26,61406.23,3.161749
1597129200000,2.9515,3.1355,2.88,2.9224,42069.37,125192.89,3.00798
1597132800000,2.9626,3.0,2.9144,2.96,24280.76,71470.19,2.957199
1597136400000,2.96,2.9736,2.85,2.8543,26371.23,77260.05,2.91284
1597140000000,2.8566,2.9329,2.8433,2.8976,26685.94,76775.92,2.888708
1597143600000,2.9167,3.1,2.9015,3.0497,12474.53,37236.87,3.002969
1597147200000,3.0497,3.329,3.0488,3.1111,136779.72,441183.82,3.190218
1597150800000,3.111,3.2768,2.8625,3.2768,233029.25,709615.61,3.064468
1597154400000,3.2787,3.5208,3.0744,3.2499,362238.07,1195213.68,3.297635
1597158000000,3.2499,3.3926,3.15,3.19,170827.9,554372.24,3.272095
1597161600000,3.1751,3.3595,3.1143,3.2475,105510.39,341862.19,3.23747
1597165200000,3.2475,3.384,3.2475,3.2978,67008.38,221838.76,3.317265
1597168800000,3.3,3.3047,3.21,3.2676,31896.32,103714.32,3.256553
1597172400000,3.2676,3.2754,3.155,3.1886,49635.13,159339.35,3.213644
1597176000000,3.1938,3.203,2.95,3.0774,121302.78,372028.35,3.073198
1597179600000,3.0775,3.2495,3.07,3.2184,44151.99,138735.55,3.161899
1597183200000,3.2128,3.25,3.08,3.2061,34992.96,111475.53,3.164983
1597186800000,3.2037,3.3191,3.2,3.2985,43097.8,140427.36,3.26114
1597190400000,3.2985,3.2985,3.09,3.1127,64788.66,205085.83,3.191439
1597194000000,3.1064,3.32,3.08,3.232,69220.85,222727.35,3.202264
1597197600000,3.2311,3.2575,3.1317,3.1317,36985.7,119136.07,3.197041
1597201200000,3.1317,3.3,3.1129,3.2802,55281.42,176499.34,3.206543
1597204800000,3.2802,3.2953,3.15,3.2611,40644.95,130698.13,3.222442
1597208400000,3.2478,3.2478,3.1769,3.2296,17503.99,56078.73,3.211909
1597212000000,3.2192,3.2641,3.1323,3.2538,69963.6,223580.39,3.197529
1597215600000,3.2538,3.3661,3.2121,3.3661,60332.39,197856.68,3.285903
1597219200000,3.3577,3.52,3.35,3.4503,244976.89,840219.45,3.437484
1597222800000,3.4503,3.7,3.4001,3.6669,173413.69,621565.62,3.548768
1597226400000,3.668,3.9176,3.5015,3.9049,227903.53,853408.82,3.702769
1597230000000,3.9049,3.9289,3.6491,3.6842,148902.61,560052.2,3.787978
1597233600000,3.6733,3.7756,3.653,3.6755,73631.8,272609.22,3.714303
1597237200000,3.676,3.8554,3.6434,3.745,78069.33,293815.51,3.750458
1597240800000,3.7573,3.9,3.746,3.81,73978.36,281006.78,3.824187
1597244400000,3.8272,3.85,3.7,3.7678,41862.48,156547.9,3.774082
1597248000000,3.7704,3.7889,3.65,3.7569,70134.33,260635.08,3.719345
1597251600000,3.7453,3.7678,3.6505,3.7446,43982.51,162769.99,3.70915
1597255200000,3.7195,3.8423,3.6762,3.7018,29376.77,110618.56,3.759388
1597258800000,3.7098,3.7441,3.6,3.6788,30017.89,110030.55,3.67179
1597262400000,3.6788,3.794,3.6652,3.7142,18641.09,69558.12,3.730237
1597266000000,3.7142,3.74,3.7,3.7207,22553.22,83926.43,3.720017
1597269600000,3.7208,3.8225,3.6729,3.693,26479.52,99169.47,3.748055
1597273200000,3.6732,3.7559,3.6732,3.7558,18397.37,68557.49,3.714567
1597276800000,3.75,3.8512,3.7428,3.7703,48211.24,183364.56,3.797326
1597280400000,3.7703,3.8,3.6886,3.7601,39505.23,147128.65,3.744256
1597284000000,3.7729,3.7771,3.5537,3.6457,36648.7,134111.75,3.661528
1597287600000,3.6449,3.8128,3.6228,3.7593,61837.96,230484.1,3.719365
1597291200000,3.7404,3.9364,3.6436,3.6822,122541.59,468193.19,3.790785
1597294800000,3.6865,3.85,3.6243,3.7458,49349.19,184378.02,3.737519
1597298400000,3.7547,3.8997,3.7249,3.8997,34680.5,132690.12,3.809204
1597302000000,3.8914,4.1387,3.878,4.0785,128456.23,516573.6,4.011808
1597305600000,4.0946,4.1222,3.65,3.733,251307.47,972053.09,3.881341
1597309200000,3.73,3.95,3.5003,3.8387,155172.89,575099.96,3.724272
1597312800000,3.8417,3.95,3.798,3.8749,50459.32,195361.5,3.87419
1597316400000,3.8751,3.9999,3.759,3.87,91154.29,351810.72,3.879451
1597320000000,3.87,3.9242,3.8103,3.897,89047.44,344114.12,3.867018
1597323600000,3.8979,3.9764,3.8705,3.9453,51652.58,202835.56,3.923548
1597327200000,3.9734,4.0555,3.8888,3.9416,68663.22,272817.03,3.972285
1597330800000,3.9292,3.96,3.8,3.8065,47636.3,184976.81,3.882094
1597334400000,3.8065,3.9123,3.7698,3.9019,58736.84,224912.53,3.839391
1597338000000,3.9016,3.9645,3.7909,3.8118,45608.65,175621.71,3.879206
1597341600000,3.8225,3.8699,3.79,3.83,23440.51,89635.75,3.829958
1597345200000,3.8201,3.8618,3.8095,3.8566,16313.38,62526.59,3.835276
1597348800000,3.8549,3.87,3.7,3.7,66540.69,252394.13,3.786978
1597352400000,3.7251,3.747,3.6068,3.6356,61287.25,225059.07,3.676509
1597356000000,3.6229,3.7696,3.5385,3.7503,56783.77,205100.08,3.651374
