Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597147200000,0.11,5.0,0.11,1.2845,17665720.04,21033060.83,2.582185
1597154400000,1.2844,1.3575,1.1563,1.3064,19507857.45,24724975.64,1.256785
1597161600000,1.3064,1.324,1.2296,1.254,3320299.01,4228913.23,1.276516
1597168800000,1.254,1.2999,1.2239,1.2764,1550591.63,1964367.98,1.261827
1597176000000,1.2766,1.3875,1.261,1.3859,2871844.23,3821009.67,1.322644
1597183200000,1.3873,1.614,1.365,1.5629,15181526.81,22882849.07,1.491545
1597190400000,1.5609,1.985,1.555,1.8002,21330394.6,39019307.17,1.777507
1597197600000,1.8003,1.8213,1.6,1.7569,8417276.32,14433661.02,1.70999
1597204800000,1.7562,1.88,1.7117,1.8107,6356371.25,11428648.94,1.796184
1597212000000,1.8151,1.9376,1.78,1.8199,6778938.92,12632007.63,1.85881
1597219200000,1.8182,1.885,1.8148,1.86,3052843.1,5663534.91,1.85095
1597226400000,1.8657,1.869,1.6285,1.6513,5532461.52,9658117.8,1.746333
1597233600000,1.6555,1.84,1.617,1.7619,5791587.09,10108513.14,1.729695
1597240800000,1.762,1.9139,1.7564,1.9,4013483.57,7335330.95,1.836136
1597248000000,1.8915,1.91,1.8365,1.8956,1915067.21,3578759.49,1.873234
1597255200000,1.8949,1.9029,1.778,1.8426,1743240.29,3212544.37,1.839153
1597262400000,1.8426,1.8469,1.7602,1.7925,1145098.68,2062288.06,1.802275
1597269600000,1.7947,1.799,1.66,1.6658,2910125.73,5016010.06,1.729295
1597276800000,1.6609,1.7772,1.628,1.6886,2679525.42,4584397.07,1.702842
1597284000000,1.6882,1.7385,1.62,1.7059,2259726.26,3782088.5,1.67915
1597291200000,1.7057,1.748,1.6613,1.6958,1271684.0,2172262.45,1.704663
1597298400000,1.6907,1.785,1.6851,1.7835,1412363.68,2440490.5,1.734486
1597305600000,1.783,1.8079,1.6581,1.712,1994662.75,3456294.14,1.732137
1597312800000,1.7163,2.149,1.7001,2.0567,6576198.33,12939096.88,1.930938
1597320000000,2.0564,2.23,2.0111,2.148,7478229.08,15843045.06,2.12139
1597327200000,2.1456,2.195,2.0604,2.08,2964764.26,6296550.32,2.128641
1597334400000,2.08,2.1073,1.9747,2.0443,2134579.32,4333203.39,2.04061
1597341600000,2.0411,2.178,2.0381,2.1628,1088815.16,2283867.51,2.109473
1597348800000,2.1628,2.2087,1.9514,1.9753,2577638.58,5360192.2,2.081734
1597356000000,1.9725,2.0344,1.9,2.0068,1524389.67,3003084.72,1.966828
1597363200000,2.0066,2.011,1.912,1.9207,1152500.95,2260511.78,1.961002
1597370400000,1.9205,2.0955,1.894,2.0221,2005552.94,4007152.45,1.996342
1597377600000,2.0226,2.1469,1.9512,2.1,2391620.18,4941451.61,2.048551
1597384800000,2.1016,2.119,2.0405,2.0621,852800.57,1775921.64,2.079608
1597392000000,2.0518,2.1133,2.04,2.0716,790172.59,1640216.97,2.076928
1597399200000,2.0716,2.08,2.027,2.0456,722785.69,1483567.91,2.053174
1597406400000,2.0413,2.07,1.9611,1.9863,1292820.06,2598918.13,2.015669
