Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1596067200000,0.1823,0.2143,0.1689,0.1932,1363261.74,263738.97,0.191656
1596153600000,0.1924,0.1972,0.1647,0.1859,428205.95,81009.48,0.180867
1596240000000,0.1857,0.1916,0.15,0.1872,814644.73,148807.94,0.170795
1596326400000,0.1863,0.1978,0.17,0.1878,941067.81,174931.02,0.183898
1596412800000,0.1864,0.2,0.1841,0.1871,668011.34,126849.39,0.192053
1596499200000,0.1882,0.1952,0.1847,0.1899,428413.89,80591.2,0.189956
1596585600000,0.1902,0.2006,0.1886,0.1974,1279680.69,249440.63,0.194679
1596672000000,0.1974,0.2024,0.1942,0.1976,679608.8,135037.21,0.1983
1596758400000,0.1976,0.205,0.1835,0.195,751138.99,146905.08,0.194242
1596844800000,0.1937,0.2045,0.1924,0.2025,1321963.68,263999.64,0.198503
1596931200000,0.2025,0.21,0.1964,0.2087,1009769.94,204161.9,0.203068
1597017600000,0.2096,0.23,0.1986,0.2242,1973321.65,417522.63,0.214151
1597104000000,0.2224,0.2346,0.1966,0.203,1917301.61,413100.02,0.215802
1597190400000,0.2048,0.2295,0.1925,0.2244,1294165.05,272372.87,0.210728
1597276800000,0.224,0.3678,0.22,0.2734,5587964.11,1438122.31,0.295199
1597363200000,0.2712,0.31,0.258,0.2969,4287858.44,1211478.39,0.283997
1597449600000,0.2969,0.3,0.27,0.2751,1896716.61,528653.01,0.284848
1597536000000,0.2737,0.3287,0.2705,0.3287,1982122.46,591918.56,0.29914
1597622400000,0.3286,0.3355,0.29,0.2981,1514379.09,469696.99,0.312674
1597708800000,0.2977,0.3042,0.261,0.2825,1676385.99,473765.18,0.28236
1597795200000,0.2812,0.2832,0.2513,0.2552,1205687.44,320123.85,0.267061
1597881600000,0.2564,0.2894,0.2543,0.2892,603971.74,164127.56,0.271585
1597968000000,0.2896,0.297,0.2516,0.2626,1313870.09,367701.06,0.274125
1598054400000,0.2626,0.2899,0.25,0.2819,747054.65,201799.28,0.269807
1598140800000,0.2818,0.4936,0.2794,0.3953,15172068.04,5607885.48,0.39012
1598227200000,0.3959,0.4683,0.3602,0.3831,13127141.44,5401655.94,0.414337
1598313600000,0.3831,0.3956,0.3241,0.3475,4466312.16,1627653.04,0.35949
1598400000000,0.3475,0.5005,0.3305,0.4732,9463616.28,4031827.94,0.416315
1598486400000,0.4711,0.5295,0.4162,0.448,14756661.59,6978368.89,0.47299
1598572800000,0.4461,0.59,0.4461,0.5814,12094922.4,6368186.18,0.51927
1598659200000,0.5813,0.7876,0.5748,0.6849,31960236.01,22299894.28,0.68423
1598745600000,0.685,0.698,0.622,0.6474,9304968.55,6089978.84,0.659596
1598832000000,0.6464,0.6998,0.5807,0.6033,5392076.93,3419372.98,0.640771
1598918400000,0.6033,0.6125,0.5456,0.5643,6462686.24,3715773.83,0.578609
1599004800000,0.5632,0.6166,0.47,0.533,4728241.33,2581383.96,0.543249
1599091200000,0.5316,0.54,0.38,0.4009,4286848.33,2046438.44,0.458749
1599177600000,0.406,0.63,0.4,0.5905,18960343.81,10123568.95,0.518211
1599264000000,0.5928,0.6087,0.4669,0.5301,10444763.54,5560692.69,0.536585
1599350400000,0.5289,0.5419,0.48,0.5215,4160978.73,2117969.88,0.510899
1599436800000,0.5246,0.56,0.4503,0.4999,2888604.84,1427480.02,0.505059
1599523200000,0.5018,0.516,0.451,0.4634,1853145.12,884991.79,0.483586
1599609600000,0.464,0.4836,0.4372,0.4654,2438221.4,1125419.57,0.460399
1599696000000,0.4653,0.5287,0.4573,0.5051,3086718.27,1517922.91,0.493657
1599782400000,0.5035,0.58,0.5026,0.5362,6516693.48,3534917.69,0.542302
1599868800000,0.5386,0.5594,0.5004,0.5378,2922280.8,1538620.53,0.5299
1599955200000,0.536,0.537,0.4629,0.4818,2960144.99,1468764.66,0.498568
1600041600000,0.4818,0.493,0.4605,0.4723,2892835.66,1376827.8,0.476743
1600128000000,0.4729,0.508,0.4478,0.4513,3021301.31,1454292.16,0.478425
1600214400000,0.4514,0.4568,0.4153,0.4416,2902033.32,1266859.46,0.435902
1600300800000,0.4413,0.451,0.4084,0.4198,1674621.73,709306.32,0.429642
1600387200000,0.4209,0.4445,0.3947,0.4099,2114066.95,890076.53,0.419652
1600473600000,0.4118,0.4427,0.405,0.4403,1545088.21,643653.72,0.423483
1600560000000,0.4405,0.4405,0.3922,0.4086,1910555.44,786175.76,0.415346
1600646400000,0.4093,0.4107,0.3329,0.3439,2647322.6,971059.82,0.37077
1600732800000,0.3445,0.3584,0.3046,0.3368,3664840.39,1185076.94,0.331453
1600819200000,0.3368,0.3431,0.3004,0.3016,2597009.17,837859.37,0.322272
1600905600000,0.3029,0.3391,0.2971,0.3383,2343447.56,743555.12,0.31756
1600992000000,0.3386,0.3838,0.3237,0.3654,4537372.93,1628211.8,0.353842
1601078400000,0.3651,0.4083,0.3628,0.4014,5717661.66,2205911.96,0.385985
1601164800000,0.4014,0.4072,0.3673,0.3913,2312446.47,893782.96,0.387102
1601251200000,0.3917,0.4606,0.3897,0.4377,10232429.78,4428786.43,0.426379
1601337600000,0.4378,0.5233,0.4304,0.5039,14747986.66,7215443.17,0.477719
1601424000000,0.5057,0.541,0.4859,0.5129,8627149.66,4452940.23,0.513468
1601510400000,0.5129,0.5179,0.4488,0.4742,6541231.45,3162538.54,0.482482
1601596800000,0.4739,0.5073,0.4224,0.4676,9553813.76,4408098.09,0.464842
1601683200000,0.4681,0.4768,0.4561,0.4606,3052070.81,1423163.17,0.466521
1601769600000,0.4597,0.4695,0.4405,0.4674,2841407.22,1304132.94,0.454847
1601856000000,0.4671,0.5089,0.467,0.5034,4904538.46,2404323.29,0.488574
1601942400000,0.5038,0.5072,0.4428,0.4537,4840838.84,2259711.18,0.474331
1602028800000,0.4536,0.4881,0.4398,0.4793,6457288.96,2998416.32,0.46376
1602115200000,0.4792,0.4857,0.4516,0.4814,4564059.05,2153057.82,0.468638
1602201600000,0.483,0.5323,0.4648,0.5144,5241469.95,2600164.91,0.498541
1602288000000,0.5142,0.6657,0.51,0.641,14490220.03,8617814.46,0.589887
1602374400000,0.641,0.6411,0.5689,0.5907,11480408.74,6927780.65,0.603502
1602460800000,0.5913,0.6286,0.561,0.5844,10150851.54,5991861.98,0.594818
1602547200000,0.5847,0.6351,0.5768,0.585,6555994.83,3963249.38,0.60595
1602633600000,0.5863,0.6075,0.5123,0.5186,7639981.56,4258471.94,0.560978
1602720000000,0.5187,0.5326,0.4669,0.4755,11062675.24,5472967.43,0.500071
1602806400000,0.4754,0.4772,0.4169,0.429,8823530.0,3872888.88,0.446155
1602892800000,0.4289,0.4459,0.4102,0.4325,5385146.82,2306086.42,0.428043
1602979200000,0.4318,0.4523,0.4245,0.4454,3077537.85,1347625.29,0.438387
1603065600000,0.4455,0.447,0.3937,0.4026,5145043.66,2137409.86,0.419635
1603152000000,0.4025,0.4048,0.3658,0.3716,4239329.2,1622999.17,0.384974
1603238400000,0.3716,0.3954,0.368,0.3824,3857875.56,1475757.17,0.38189
1603324800000,0.3822,0.4046,0.3709,0.3891,3246899.49,1263507.79,0.387772
1603411200000,0.3892,0.3937,0.3699,0.382,2180138.17,832729.88,0.381711
1603497600000,0.3814,0.4002,0.3711,0.393,2820533.8,1089409.98,0.385586
1603584000000,0.3925,0.4171,0.3855,0.4138,5196783.81,2095080.15,0.401063
1603670400000,0.4136,0.4148,0.3549,0.3688,4706960.46,1807663.4,0.383818
1603756800000,0.3699,0.3763,0.3493,0.3609,3981906.16,1447322.76,0.362726
1603843200000,0.3603,0.3625,0.3201,0.3308,3217694.43,1089963.82,0.340715
1603929600000,0.3308,0.3447,0.3177,0.337,2885817.45,957521.11,0.331164
1604016000000,0.3381,0.342,0.31,0.3179,2993327.96,960556.64,0.325779
1604102400000,0.3181,0.3331,0.316,0.3178,1538875.17,497529.38,0.324551
1604188800000,0.3176,0.33,0.3109,0.3254,1464501.93,466184.34,0.320404
1604275200000,0.3263,0.33,0.3018,0.3037,2085637.73,654700.24,0.316072
1604361600000,0.3032,0.3042,0.2751,0.2851,2439342.35,694139.14,0.289168
1604448000000,0.2851,0.2877,0.26,0.2715,1896818.23,516392.03,0.273565
1604534400000,0.2714,0.2867,0.2673,0.2833,2117169.73,587758.38,0.276964
1604620800000,0.2833,0.3867,0.2822,0.3691,8045304.29,2728754.73,0.336122
1604707200000,0.3691,0.3847,0.3157,0.3292,7510045.31,2670013.14,0.350296
1604793600000,0.3283,0.3652,0.3221,0.354,4507632.34,1580870.59,0.343894
1604880000000,0.3536,0.3587,0.33,0.3472,3348249.9,1152038.72,0.344274
1604966400000,0.349,0.3776,0.3443,0.3681,3871749.29,1416354.54,0.361165
1605052800000,0.3692,0.4129,0.3631,0.3638,6087733.22,2358684.05,0.388063
1605139200000,0.3639,0.3674,0.335,0.3457,4619247.25,1635048.11,0.350892
1605225600000,0.3457,0.3629,0.3438,0.3562,2951458.51,1047035.56,0.353546
1605312000000,0.357,0.3643,0.3386,0.3528,3162588.48,1104866.56,0.351427
1605398400000,0.3531,0.3589,0.3274,0.3396,4190767.96,1442534.22,0.342996
1605484800000,0.3391,0.355,0.3353,0.344,3382514.17,1169487.7,0.345207
1605571200000,0.3436,0.3622,0.3351,0.353,3864577.87,1354014.4,0.348661
1605657600000,0.353,0.3575,0.3076,0.3284,4513411.86,1483829.0,0.332023
1605744000000,0.329,0.3303,0.3101,0.3199,2535384.26,808971.3,0.319973
1605830400000,0.3198,0.3345,0.3181,0.3266,2578136.98,838385.21,0.326439
1605916800000,0.3271,0.3679,0.3234,0.3669,4956872.27,1716101.04,0.345313
1606003200000,0.3677,0.3693,0.3212,0.3449,4759905.82,1642202.6,0.344592
1606089600000,0.3457,0.3689,0.336,0.3676,4144375.71,1464633.96,0.351927
1606176000000,0.3679,0.4036,0.3459,0.4023,7854571.34,2941910.05,0.373741
1606262400000,0.4018,0.4526,0.3833,0.3988,13263869.22,5543514.58,0.417958
1606348800000,0.3978,0.4228,0.3111,0.3378,11932504.06,4226255.9,0.366884
1606435200000,0.3386,0.347,0.3158,0.3287,2957473.66,973803.67,0.331342
1606521600000,0.329,0.3474,0.3247,0.3418,2316685.22,780379.25,0.336106
1606608000000,0.3418,0.3452,0.333,0.3404,1736335.86,589956.5,0.339093
1606694400000,0.3404,0.3561,0.3304,0.3535,2790842.74,961315.26,0.342993
1606780800000,0.3533,0.3745,0.3265,0.3475,5036339.06,1778742.4,0.3505
1606867200000,0.3482,0.3887,0.3419,0.3822,4439510.16,1636068.3,0.365315
1606953600000,0.382,0.4025,0.368,0.3764,3037582.9,1149580.95,0.38529
1607040000000,0.376,0.39,0.3353,0.338,3351748.02,1214643.05,0.363425
1607126400000,0.3369,0.372,0.3342,0.3716,2220811.08,786101.31,0.352793
1607212800000,0.372,0.3749,0.347,0.3569,1590062.05,568495.77,0.360673
1607299200000,0.3568,0.3585,0.3444,0.3528,940283.21,330956.37,0.351381
1607385600000,0.3528,0.3788,0.3424,0.3501,4886621.2,1765574.67,0.360613
1607472000000,0.3496,0.3503,0.3182,0.3392,2583247.41,864289.36,0.333976
1607558400000,0.3393,0.362,0.32,0.343,3463343.53,1177111.96,0.341
1607644800000,0.3433,0.3487,0.3195,0.3284,2578873.47,862951.41,0.333978
1607731200000,0.3287,0.3499,0.3283,0.3425,1527284.18,518690.24,0.339498
1607817600000,0.343,0.3553,0.3391,0.3504,1079254.32,375196.27,0.347228
1607904000000,0.3499,0.3507,0.3408,0.3451,871273.04,300850.54,0.345641
1607990400000,0.3456,0.3581,0.3392,0.3581,1959675.45,682219.51,0.348257
1608076800000,0.357,0.3706,0.3515,0.3618,5036684.47,1823943.84,0.361076
1608163200000,0.3623,0.3781,0.351,0.3549,4457488.84,1610507.69,0.364663
