Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1596085200000,0.1823,0.198,0.1689,0.1881,93034.57,17304.09,0.183432
1596088800000,0.189,0.1935,0.1843,0.1874,80495.02,15257.09,0.188905
1596092400000,0.1874,0.1874,0.183,0.1833,34158.77,6342.91,0.185158
1596096000000,0.1857,0.1914,0.1851,0.1882,34094.76,6394.01,0.188303
1596099600000,0.1882,0.1913,0.1849,0.1859,66684.57,12516.27,0.188135
1596103200000,0.1859,0.1919,0.1859,0.1896,44983.9,8472.67,0.189021
1596106800000,0.1896,0.1896,0.1862,0.187,41341.6,7786.53,0.187832
1596110400000,0.1873,0.1893,0.1848,0.1862,39501.75,7370.16,0.187055
1596114000000,0.1847,0.1891,0.1829,0.1856,23992.88,4432.34,0.186005
1596117600000,0.1839,0.1852,0.1829,0.1848,10615.25,1953.6,0.184038
1596121200000,0.1849,0.1873,0.1838,0.1842,8413.0,1558.07,0.18556
1596124800000,0.1842,0.1878,0.1837,0.1846,8290.98,1534.47,0.185753
1596128400000,0.1847,0.1883,0.1847,0.1882,16591.21,3090.63,0.186515
1596132000000,0.1886,0.1994,0.1856,0.1989,138592.41,27185.21,0.192298
1596135600000,0.1988,0.2143,0.193,0.1983,377059.26,75903.42,0.203651
1596139200000,0.2,0.2005,0.1885,0.1926,181909.03,34890.07,0.194311
1596142800000,0.1926,0.1934,0.1887,0.1928,28059.53,5385.0,0.191049
1596146400000,0.1928,0.1936,0.1905,0.1924,2533.71,486.51,0.192048
1596150000000,0.1922,0.1959,0.1911,0.1932,132909.54,25875.92,0.193509
1596153600000,0.1924,0.1924,0.1905,0.1919,6371.84,1218.93,0.191438
1596157200000,0.1916,0.192,0.1883,0.1904,3364.89,640.6,0.190127
1596160800000,0.1903,0.1924,0.1647,0.1902,48786.45,9094.67,0.17855
1596164400000,0.1933,0.1946,0.193,0.1935,45655.08,8837.92,0.193802
1596168000000,0.1935,0.1941,0.192,0.1933,64251.7,12391.79,0.193049
1596171600000,0.1913,0.1917,0.19,0.19,13828.4,2629.68,0.190884
1596175200000,0.19,0.1945,0.19,0.194,8267.03,1603.43,0.192312
1596178800000,0.1937,0.1972,0.1911,0.1936,13363.46,2604.68,0.19415
1596182400000,0.1936,0.1972,0.1918,0.1921,13977.78,2717.37,0.194532
1596186000000,0.193,0.193,0.1903,0.1906,6522.45,1243.98,0.191613
1596189600000,0.1909,0.1926,0.189,0.1905,17055.41,3240.07,0.1908
1596193200000,0.1918,0.1918,0.1876,0.19,39996.27,7526.38,0.189642
1596196800000,0.1877,0.1888,0.1856,0.1878,32619.68,6067.87,0.1872
1596200400000,0.1876,0.1887,0.185,0.1874,32726.2,6127.03,0.18685
