Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1598918400000,6.08,15.97,6.08,8.804,8172284.239,86098884.08,11.094267
1599004800000,8.806,9.5,5.944,7.245,11293501.264,80426312.79,7.706639
1599091200000,7.242,8.945,4.56,4.86,14760107.922,100469246.98,6.808372
1599177600000,4.86,5.773,4.3,4.562,11142693.319,55284461.55,5.039865
1599264000000,4.561,5.059,1.311,1.884,48547457.474,114590841.16,3.179518
1599350400000,1.885,3.5,1.13,3.171,95427415.499,244076516.96,2.298076
1599436800000,3.176,3.38,2.18,2.85,50877821.176,139878008.42,2.77562
1599523200000,2.851,2.97,2.28,2.374,27337787.407,72750478.47,2.626696
1599609600000,2.375,3.188,2.153,2.88,38425426.536,103683105.06,2.673221
1599696000000,2.877,3.145,2.25,2.381,34906807.703,91547002.83,2.703197
1599782400000,2.383,2.945,2.028,2.711,44851135.677,113792833.55,2.484501
1599868800000,2.714,2.73,2.306,2.629,34128562.654,84528159.4,2.516442
1599955200000,2.629,2.645,2.18,2.329,19611441.945,47018827.79,2.404776
1600041600000,2.328,2.664,2.141,2.462,27596631.462,66729607.74,2.402625
1600128000000,2.461,2.64,1.679,1.757,46952316.605,99609445.17,2.167325
1600214400000,1.757,1.85,1.464,1.518,24325497.341,39716023.86,1.659067
1600300800000,1.519,1.656,1.319,1.534,26410234.884,38520784.33,1.487481
1600387200000,1.535,1.875,1.53,1.694,35026833.611,59217466.8,1.707435
1600473600000,1.694,1.948,1.604,1.775,24543400.682,43914017.85,1.776583
1600560000000,1.775,1.935,1.573,1.642,23131230.807,40236119.71,1.755589
1600646400000,1.644,1.75,1.349,1.411,17956521.94,27383827.67,1.551528
1600732800000,1.412,1.463,1.321,1.391,13042320.613,18232626.1,1.391948
1600819200000,1.39,1.452,1.215,1.269,25049977.035,33335096.77,1.333779
1600905600000,1.27,1.478,1.245,1.411,18707194.737,25830571.91,1.363616
1600992000000,1.41,1.45,1.333,1.403,12729370.026,17767000.31,1.391487
1601078400000,1.405,1.443,1.351,1.395,9236067.556,12985857.88,1.396991
1601164800000,1.395,1.45,1.324,1.369,7500802.893,10363672.31,1.387054
1601251200000,1.369,1.394,1.25,1.271,8124207.768,10909635.76,1.322262
1601337600000,1.267,1.288,1.196,1.254,9617591.868,12023461.05,1.241907
1601424000000,1.253,1.326,1.237,1.283,8414892.724,10782481.0,1.281895
1601510400000,1.283,1.35,1.204,1.251,7570278.702,9720233.27,1.277122
1601596800000,1.25,1.263,1.034,1.117,9282085.391,10541162.73,1.145277
1601683200000,1.118,1.127,1.049,1.057,4229582.096,4666517.75,1.08809
1601769600000,1.057,1.068,0.856,0.877,13878097.461,12887899.54,0.960901
1601856000000,0.878,0.951,0.818,0.845,20088828.898,17633505.56,0.88486
1601942400000,0.846,0.852,0.626,0.639,39576045.19,28025051.79,0.738071
1602028800000,0.639,0.685,0.551,0.677,34416906.286,20918316.29,0.617179
1602115200000,0.676,0.799,0.596,0.776,30020199.213,21074701.41,0.695659
1602201600000,0.776,0.865,0.734,0.827,19787864.082,15818737.1,0.799421
1602288000000,0.826,0.873,0.733,0.748,18960669.936,14846137.61,0.804346
1602374400000,0.748,0.786,0.695,0.76,15230698.181,11396085.82,0.740441
1602460800000,0.76,0.801,0.729,0.761,9029535.962,6952601.89,0.765
1602547200000,0.76,0.77,0.71,0.736,7100939.813,5284577.18,0.739667
1602633600000,0.737,0.766,0.69,0.719,7426841.845,5422245.95,0.728
1602720000000,0.719,0.721,0.666,0.704,7798092.428,5422912.88,0.693159
1602806400000,0.704,0.707,0.64,0.657,8937403.35,5992769.13,0.672518
1602892800000,0.657,0.68,0.642,0.663,5136890.151,3399713.35,0.661006
1602979200000,0.664,0.718,0.661,0.714,5774098.072,4006706.36,0.689619
1603065600000,0.713,0.73,0.665,0.675,4609354.706,3188633.6,0.697827
1603152000000,0.675,0.678,0.61,0.627,6048227.493,3857345.55,0.643004
1603238400000,0.626,0.697,0.621,0.665,6712996.412,4436074.07,0.659951
1603324800000,0.664,0.719,0.658,0.667,6781796.062,4660144.01,0.688514
1603411200000,0.668,0.697,0.643,0.664,5236880.661,3511625.53,0.670005
1603497600000,0.664,0.672,0.643,0.657,2204987.415,1450388.85,0.657456
1603584000000,0.656,0.659,0.615,0.623,2498703.4,1594109.33,0.636591
1603670400000,0.623,0.644,0.588,0.625,6281550.48,3868052.16,0.615997
1603756800000,0.624,0.716,0.623,0.698,12990578.39,8697561.81,0.671098
1603843200000,0.698,0.705,0.608,0.638,12393377.722,8045069.42,0.655284
1603929600000,0.638,0.678,0.619,0.644,7835640.823,5090160.8,0.648519
1604016000000,0.643,0.649,0.583,0.598,7519001.648,4583262.13,0.615408
1604102400000,0.598,0.636,0.59,0.606,3995957.423,2447378.17,0.613084
1604188800000,0.605,0.616,0.593,0.607,2351754.02,1422554.01,0.604497
1604275200000,0.608,0.624,0.581,0.583,5803640.866,3457727.82,0.603146
1604361600000,0.582,0.582,0.504,0.525,7247971.788,3841840.28,0.541382
1604448000000,0.525,0.531,0.472,0.49,5204562.463,2594019.23,0.500921
1604534400000,0.49,0.545,0.48,0.515,7231499.168,3736289.06,0.512884
1604620800000,0.515,0.638,0.514,0.617,9220761.009,5409308.58,0.578036
1604707200000,0.617,0.71,0.577,0.604,16795837.447,10827516.76,0.643579
1604793600000,0.604,0.662,0.589,0.642,5379218.924,3379887.9,0.625682
1604880000000,0.641,0.658,0.582,0.603,6238511.816,3843526.58,0.619867
1604966400000,0.603,0.693,0.585,0.673,7419407.678,4708687.18,0.639117
1605052800000,0.673,0.764,0.67,0.681,12146953.708,8710175.83,0.717073
1605139200000,0.681,0.727,0.643,0.692,10124605.079,6945684.9,0.684994
1605225600000,0.691,0.99,0.687,0.964,22876705.71,18705633.0,0.841301
1605312000000,0.962,1.107,0.85,1.048,27171746.045,26300432.31,0.977737
1605398400000,1.05,1.45,1.048,1.255,37338614.697,45403062.65,1.25571
1605484800000,1.255,1.49,1.135,1.325,31920302.544,41832417.0,1.312721
1605571200000,1.323,1.45,1.221,1.333,20534590.041,27187112.78,1.335504
1605657600000,1.334,1.356,1.063,1.145,17163544.593,19930735.3,1.206017
1605744000000,1.145,1.686,1.116,1.574,38911057.48,55147813.21,1.407847
1605830400000,1.572,1.797,1.488,1.577,24290731.986,40168741.0,1.642504
1605916800000,1.579,1.737,1.49,1.657,14527630.594,23457660.64,1.613385
1606003200000,1.657,1.749,1.388,1.622,14874984.697,23367911.2,1.568333
1606089600000,1.621,1.68,1.43,1.526,15975786.389,24692025.36,1.554307
1606176000000,1.526,1.59,1.296,1.34,22095230.734,31872398.02,1.444112
1606262400000,1.343,1.508,1.156,1.222,16534661.619,22892853.39,1.333507
1606348800000,1.222,1.434,0.929,1.417,31132158.365,36187497.38,1.176157
1606435200000,1.419,1.508,1.3,1.449,22862500.832,32068287.87,1.403843
1606521600000,1.452,1.48,1.33,1.363,10034680.791,14225890.98,1.404759
1606608000000,1.362,1.46,1.323,1.428,8460020.924,11724076.04,1.391284
1606694400000,1.429,1.582,1.411,1.578,14099141.225,21261660.08,1.49486
1606780800000,1.578,2.022,1.541,1.921,47194919.738,85808369.23,1.786161
1606867200000,1.92,2.379,1.865,2.172,38824726.574,84960426.22,2.126859
1606953600000,2.171,2.227,1.965,2.128,15510831.685,33032918.68,2.095637
1607040000000,2.127,2.155,1.82,1.903,16450230.831,32874012.78,1.984039
1607126400000,1.902,2.332,1.847,2.316,19022904.15,40765285.12,2.085157
1607212800000,2.316,2.331,2.06,2.185,12322229.252,26792904.29,2.192088
1607299200000,2.187,2.496,2.104,2.403,17459239.158,41141406.22,2.300411
1607385600000,2.401,2.47,2.036,2.121,20761693.871,47019209.87,2.252071
1607472000000,2.121,2.318,1.969,2.216,17742571.942,37957460.65,2.143028
1607558400000,2.217,2.236,2.09,2.154,10552606.591,22790630.39,2.161902
1607644800000,2.16,2.169,1.889,1.931,13218634.842,26182114.05,2.025687
1607731200000,1.931,2.215,1.915,2.152,10360531.291,21730112.65,2.068689
1607817600000,2.154,2.431,2.144,2.391,13209827.009,30764208.82,2.290583
1607904000000,2.391,2.599,2.248,2.564,13842747.281,33068269.24,2.420008
1607990400000,2.566,2.804,2.518,2.715,18383486.894,48612957.34,2.662492
1608076800000,2.717,2.95,2.533,2.847,19869197.881,55179192.4,2.740491
1608163200000,2.845,2.968,2.617,2.683,13595503.999,38218561.15,2.794103
1608249600000,2.68,2.866,2.581,2.824,8617869.652,23608432.6,2.721557
1608336000000,2.825,3.084,2.708,2.865,13063075.06,38239219.02,2.896145
1608422400000,2.865,2.942,2.631,2.703,9010016.188,25191709.65,2.786682
1608508800000,2.7,2.784,2.432,2.508,11072507.412,28472922.39,2.608321
1608595200000,2.506,2.759,2.294,2.718,14924562.898,37802610.01,2.521814
1608681600000,2.716,2.762,1.1,2.218,24663079.36,55943995.08,1.918693
1608768000000,2.221,2.61,1.941,2.586,21434837.07,48111080.62,2.265209
1608854400000,2.59,2.688,2.369,2.529,10552724.981,26769060.9,2.528214
1608940800000,2.529,2.538,2.308,2.392,9459047.47,22922260.99,2.41935
1609027200000,2.391,2.729,2.3,2.629,16391775.861,41541098.93,2.514875
1609113600000,2.624,2.9,2.551,2.62,14527922.692,40027622.56,2.725503
1609200000000,2.62,2.674,2.368,2.508,11277144.464,28204215.6,2.51951
1609286400000,2.506,2.743,2.391,2.583,10388951.267,26561089.62,2.567272
1609372800000,2.584,2.935,2.446,2.868,11501072.321,30783374.71,2.687231
1609459200000,2.869,3.338,2.793,3.333,16961752.535,51924506.87,3.057643
1609545600000,3.332,3.368,3.009,3.203,14221470.155,45363706.33,3.185865
1609632000000,3.203,3.588,2.936,3.445,16070311.874,52593129.13,3.259788
1609718400000,3.448,4.163,3.17,3.563,21277122.217,76934701.08,3.667042
1609804800000,3.565,4.02,3.111,3.853,19017724.67,67935855.95,3.561806
1609891200000,3.859,4.137,3.539,3.882,12541705.062,48431404.37,3.837988
