Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1598954400000,6.08,15.97,6.08,10.68,1973917.073,22951197.5,11.176229
1598961600000,10.679,11.49,9.463,9.934,1557818.191,16415113.22,10.482442
1598968800000,9.917,10.985,9.35,10.22,1494239.808,15162603.69,10.168357
1598976000000,10.22,10.917,9.805,10.451,890307.335,9192072.04,10.361278
1598983200000,10.46,10.67,10.037,10.166,432359.993,4481689.1,10.355809
1598990400000,10.168,10.769,9.88,10.111,856553.939,8767876.73,10.32469
1598997600000,10.11,10.15,8.6,8.804,967087.9,9128331.79,9.357306
1599004800000,8.806,9.5,7.15,7.338,1348830.297,10682949.59,8.35235
1599012000000,7.331,8.189,6.749,8.039,1420192.255,10677107.64,7.455107
1599019200000,8.037,8.037,7.241,7.276,758804.904,5760993.83,7.633817
1599026400000,7.276,7.79,7.107,7.37,722602.358,5337697.32,7.449097
1599033600000,7.363,7.734,7.254,7.569,625646.041,4694135.78,7.495352
1599040800000,7.563,7.593,5.944,6.721,1596276.731,10795731.12,6.742457
1599048000000,6.721,7.184,6.6,6.782,1036623.239,7138679.14,6.892384
1599055200000,6.772,6.825,5.992,6.178,818568.252,5303976.23,6.398815
1599062400000,6.178,6.792,6.064,6.508,1071683.31,6865009.79,6.432603
1599069600000,6.502,6.916,6.5,6.866,577375.479,3900877.98,6.713681
1599076800000,6.871,7.38,6.539,6.916,653926.416,4522817.22,6.959547
1599084000000,6.915,7.399,6.88,7.245,662971.982,4746337.16,7.14619
1599091200000,7.242,8.865,7.018,8.441,1839250.836,14879629.75,7.953276
1599098400000,8.441,8.945,7.722,7.851,1795446.1,15070138.4,8.345083
1599105600000,7.864,8.2,7.195,7.31,1098611.401,8437619.63,7.706585
1599112800000,7.313,7.453,6.824,7.088,1140521.015,8137910.66,7.136451
1599120000000,7.093,7.572,7.083,7.291,798113.821,5872688.49,7.333291
1599127200000,7.285,7.441,5.526,5.857,2213505.006,14182870.89,6.469372
