Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1595203200000,1.85,2.002,1.427,1.655,4490992.467,7576547.17,1.713375
1595289600000,1.658,1.749,1.373,1.655,7598127.259,12018589.52,1.560998
1595376000000,1.653,1.782,1.481,1.536,6040926.1,9903731.7,1.632952
1595462400000,1.537,1.677,1.505,1.632,4887930.609,7831188.24,1.591537
1595548800000,1.632,2.13,1.576,2.033,17257814.177,32552301.73,1.85609
1595635200000,2.03,2.281,1.921,1.996,10344600.33,22124535.64,2.101197
1595721600000,1.998,2.062,1.805,1.902,8129180.419,15760243.44,1.932904
1595808000000,1.904,1.962,1.257,1.512,22773081.975,34847509.48,1.601249
1595894400000,1.516,1.729,1.441,1.613,13083637.711,20858246.07,1.585598
1595980800000,1.614,1.756,1.498,1.567,9028484.824,14247215.9,1.627305
1596067200000,1.568,1.619,1.51,1.52,6720048.358,10470726.78,1.565544
1596153600000,1.52,1.857,1.515,1.759,16464194.334,27516260.73,1.692467
1596240000000,1.758,1.939,1.603,1.632,18700653.572,32985726.22,1.773769
1596326400000,1.633,1.79,1.4,1.735,16326248.515,26354071.62,1.593452
1596412800000,1.735,1.95,1.672,1.931,15503435.267,28426462.53,1.807878
1596499200000,1.925,2.088,1.74,1.849,21127037.647,41503616.64,1.914326
1596585600000,1.849,1.941,1.734,1.783,24295384.509,44542864.19,1.838061
1596672000000,1.784,1.951,1.76,1.923,15398601.679,28218720.57,1.855805
1596758400000,1.923,1.947,1.756,1.839,17505186.397,32816537.19,1.850001
1596844800000,1.838,2.19,1.812,2.146,25454558.152,50871744.46,2.002791
1596931200000,2.146,2.56,2.052,2.346,37822129.579,87518380.13,2.308419
1597017600000,2.345,2.705,2.293,2.532,27401557.265,69145257.55,2.502285
1597104000000,2.532,3.253,2.388,3.155,38099114.803,110577473.31,2.817073
1597190400000,3.158,3.88,2.991,3.831,21172408.575,71001529.12,3.425633
1597276800000,3.83,5.0,3.65,4.322,36534445.907,157701542.48,4.333552
1597363200000,4.32,4.458,3.502,3.715,24432221.699,98531383.66,3.975828
1597449600000,3.716,3.93,3.31,3.332,19846382.772,71732811.72,3.630183
1597536000000,3.335,3.704,3.208,3.414,23384857.311,81013915.64,3.45652
1597622400000,3.413,3.5,3.0,3.103,21703533.874,70634103.97,3.249149
1597708800000,3.102,4.07,2.916,3.607,38113271.529,136637093.98,3.499964
1597795200000,3.613,3.797,2.84,3.09,35890590.153,115327814.4,3.315837
1597881600000,3.091,3.55,3.081,3.198,27075169.457,89161819.01,3.317754
1597968000000,3.194,3.272,2.54,2.623,39890999.245,114398336.88,2.905551
1598054400000,2.623,2.875,2.3,2.795,36176960.522,93512120.39,2.58472
1598140800000,2.797,2.956,2.51,2.853,19467585.544,52916240.51,2.732636
1598227200000,2.852,3.131,2.701,2.935,21675894.486,64390481.61,2.916212
1598313600000,2.936,2.98,2.455,2.636,21664602.242,58655983.81,2.711411
1598400000000,2.637,2.944,2.55,2.859,19244905.697,53042356.35,2.746914
1598486400000,2.861,3.085,2.557,2.765,27004956.663,76306904.83,2.821067
1598572800000,2.765,3.03,2.725,2.912,18412860.435,53224885.32,2.879904
1598659200000,2.909,3.26,2.87,3.032,21130285.127,65851887.35,3.06741
1598745600000,3.032,3.217,2.86,2.941,18740181.116,57901035.15,3.039359
1598832000000,2.94,3.1,2.81,2.848,19188182.582,56477645.81,2.956574
