Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1595246400000,1.85,2.002,1.793,1.805,373104.422,706072.34,1.898321
1595250000000,1.807,1.833,1.61,1.702,965354.784,1660962.37,1.719564
1595253600000,1.707,1.803,1.651,1.676,239445.024,415238.84,1.727373
1595257200000,1.683,1.815,1.655,1.736,283306.648,494399.99,1.735719
1595260800000,1.742,1.772,1.65,1.695,90429.469,154397.87,1.710711
1595264400000,1.695,1.8,1.669,1.8,82063.105,141626.84,1.732013
1595268000000,1.798,1.799,1.6,1.606,305802.331,507656.8,1.698742
1595271600000,1.606,1.64,1.427,1.5,578684.472,885337.36,1.532213
1595275200000,1.498,1.653,1.446,1.584,575159.496,904062.23,1.549883
1595278800000,1.588,1.788,1.56,1.772,350449.0,596872.59,1.672833
1595282400000,1.773,1.775,1.664,1.734,510524.551,878832.18,1.718417
1595286000000,1.737,1.743,1.63,1.655,136669.165,231087.77,1.68506
1595289600000,1.658,1.658,1.51,1.582,190036.298,298293.63,1.581459
1595293200000,1.579,1.637,1.542,1.589,160891.461,253704.98,1.589515
1595296800000,1.59,1.595,1.502,1.512,69266.076,106548.04,1.547967
1595300400000,1.508,1.51,1.413,1.492,260137.257,380798.78,1.461236
1595304000000,1.492,1.587,1.44,1.467,256841.719,390205.79,1.513748
1595307600000,1.468,1.491,1.373,1.412,359933.641,509917.02,1.431523
1595311200000,1.412,1.715,1.412,1.69,776129.977,1209516.22,1.566832
1595314800000,1.69,1.695,1.581,1.622,336313.348,547671.56,1.636243
1595318400000,1.619,1.622,1.514,1.566,187334.582,292317.13,1.56643
1595322000000,1.569,1.68,1.56,1.594,455102.439,730747.41,1.620422
1595325600000,1.591,1.593,1.476,1.487,469837.343,713250.18,1.533392
1595329200000,1.487,1.55,1.477,1.531,252732.687,385354.52,1.51395
1595332800000,1.531,1.575,1.515,1.52,212980.519,327480.04,1.545165
1595336400000,1.524,1.555,1.492,1.503,146215.139,221925.6,1.523786
1595340000000,1.502,1.531,1.461,1.498,295359.679,440989.76,1.495997
1595343600000,1.496,1.584,1.485,1.53,337961.001,520630.9,1.535153
1595347200000,1.53,1.617,1.53,1.583,578302.266,911208.77,1.575239
1595350800000,1.583,1.734,1.56,1.706,768914.387,1272377.99,1.647357
1595354400000,1.701,1.722,1.651,1.715,275476.424,465696.6,1.686289
1595358000000,1.713,1.73,1.654,1.689,164005.634,277705.98,1.69177
1595361600000,1.694,1.749,1.685,1.734,422833.232,728093.34,1.717325
1595365200000,1.735,1.744,1.618,1.669,321952.404,540824.55,1.679453
1595368800000,1.669,1.705,1.619,1.648,136923.164,226416.83,1.662053
1595372400000,1.647,1.663,1.613,1.655,162646.582,266913.93,1.637916
1595376000000,1.653,1.672,1.621,1.672,53682.4,88455.33,1.645925
1595379600000,1.671,1.759,1.645,1.734,346397.683,596684.22,1.701959
1595383200000,1.732,1.782,1.725,1.739,464882.212,816802.42,1.753568
1595386800000,1.735,1.737,1.691,1.723,84214.984,144609.48,1.71374
1595390400000,1.723,1.778,1.72,1.744,127560.093,222878.15,1.749525
1595394000000,1.742,1.757,1.72,1.744,107378.405,187181.37,1.738497
1595397600000,1.744,1.744,1.682,1.69,207828.862,354840.52,1.712064
1595401200000,1.69,1.726,1.675,1.702,216784.4,368828.31,1.700563
1595404800000,1.695,1.722,1.675,1.7,181484.372,307724.31,1.698503
1595408400000,1.7,1.703,1.645,1.659,291143.024,486430.76,1.673215
1595412000000,1.659,1.693,1.63,1.667,300823.111,499083.58,1.661494
1595415600000,1.669,1.73,1.667,1.686,346778.236,587637.09,1.698889
1595419200000,1.686,1.7,1.668,1.679,125495.047,211188.13,1.684018
1595422800000,1.679,1.682,1.668,1.676,125311.104,210150.77,1.674971
1595426400000,1.679,1.68,1.658,1.68,120315.264,201399.6,1.668995
1595430000000,1.68,1.684,1.641,1.645,142666.509,236708.99,1.6625
1595433600000,1.648,1.671,1.562,1.589,491992.73,789272.52,1.616342
1595437200000,1.588,1.6,1.55,1.58,287020.112,455188.96,1.574942
