Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1618293600000,0.1,5.95,0.1,0.657,340805181.88,346845075.51,3.031012
1618300800000,0.6583,0.738,0.565,0.6151,135438710.04,87089140.21,0.651734
1618308000000,0.6151,0.6236,0.543,0.5555,59838882.39,34707723.8,0.582983
1618315200000,0.5542,0.6032,0.5315,0.5583,59351013.08,33556707.15,0.567359
1618322400000,0.5593,0.575,0.5355,0.5483,32830489.11,18127830.15,0.555279
1618329600000,0.5481,0.5491,0.5025,0.5101,31630725.52,16385076.81,0.525142
1618336800000,0.5097,0.555,0.503,0.5428,30050355.19,15780965.55,0.52931
1618344000000,0.5429,0.685,0.5416,0.64,154696976.96,96305310.58,0.616129
1618351200000,0.6399,0.74,0.6124,0.7269,89610186.17,61024040.3,0.675253
1618358400000,0.7269,0.9389,0.7267,0.8958,245952819.55,206833148.1,0.836837
1618365600000,0.8957,0.8958,0.706,0.708,75922000.59,61429257.12,0.800593
1618372800000,0.7082,0.815,0.7064,0.7372,55519755.4,42418886.62,0.76139
1618380000000,0.7372,0.7405,0.5923,0.6172,79689142.39,51778042.28,0.664283
1618387200000,0.6172,0.647,0.555,0.5699,59632969.1,35319450.94,0.601527
1618394400000,0.5699,0.6677,0.5635,0.6219,68900814.86,43003481.77,0.616908
1618401600000,0.6236,0.63,0.5912,0.5983,28137885.03,17129402.69,0.610558
1618408800000,0.5983,0.624,0.571,0.609,25185698.76,15129740.03,0.597437
1618416000000,0.6091,0.61,0.5706,0.5802,22443355.97,13233060.58,0.589624
1618423200000,0.5775,0.6198,0.5716,0.5894,17746643.5,10556373.25,0.59589
1618430400000,0.5894,0.6129,0.57,0.5739,15539899.52,9142939.94,0.591781
1618437600000,0.573,0.586,0.5502,0.583,16286686.34,9236631.3,0.567903
1618444800000,0.5844,0.5844,0.5473,0.551,13528231.52,7566358.21,0.56538
1618452000000,0.551,0.5631,0.53,0.5355,12554814.1,6853161.27,0.546741
1618459200000,0.5355,0.5514,0.5265,0.5377,12403486.29,6645403.22,0.538955
1618466400000,0.538,0.5512,0.5297,0.5426,11732020.39,6313217.82,0.540452
1618473600000,0.5418,0.579,0.5356,0.5573,25047772.2,13997364.98,0.557555
1618480800000,0.5573,0.5573,0.5308,0.5351,12196653.79,6596008.6,0.543593
1618488000000,0.5354,0.5442,0.53,0.5387,9748890.0,5219380.7,0.537101
1618495200000,0.5387,0.5517,0.5334,0.5465,13439883.04,7315299.45,0.542548
1618502400000,0.5464,0.5499,0.5326,0.5356,9119005.0,4913944.42,0.541277
1618509600000,0.5356,0.5375,0.4867,0.4973,45576440.41,23129261.08,0.511379
1618516800000,0.4972,0.4982,0.4658,0.4862,26472077.39,12785110.05,0.481712
1618524000000,0.4855,0.4966,0.471,0.4799,13539358.29,6527528.9,0.483813
1618531200000,0.48,0.485,0.442,0.4561,18383089.92,8486132.99,0.463119
1618538400000,0.4561,0.4561,0.4343,0.4504,16173221.29,7171959.87,0.44506
1618545600000,0.4504,0.451,0.424,0.4304,10953707.42,4781584.11,0.437039
1618552800000,0.4308,0.4705,0.405,0.4496,26196061.57,11563399.35,0.437698
1618560000000,0.4499,0.4625,0.4265,0.4316,12684026.78,5594782.42,0.444759
1618567200000,0.4317,0.444,0.3991,0.4153,17310692.79,7230448.35,0.421483
1618574400000,0.4155,0.424,0.3726,0.3795,21241315.83,8526331.79,0.398412
1618581600000,0.3773,0.4088,0.3767,0.4013,19020484.46,7463062.91,0.39331
1618588800000,0.4019,0.4185,0.381,0.4078,14709523.15,5850494.1,0.399718
1618596000000,0.4077,0.43,0.395,0.3972,15190083.55,6198783.64,0.412731
