Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1566604800000,0.58,0.8888,0.5207,0.539,2986660.21,1934397.52,0.705202
1566691200000,0.539,0.741,0.5017,0.7049,5369668.65,3505603.12,0.621268
1566777600000,0.707,0.76,0.6096,0.6205,3697824.32,2508918.67,0.686698
1566864000000,0.613,0.6469,0.5555,0.5705,1113530.16,657984.91,0.60174
1566950400000,0.569,0.5893,0.4829,0.4899,770194.91,412405.63,0.537166
1567036800000,0.4898,0.518,0.455,0.4762,537037.35,258394.61,0.486541
1567123200000,0.4762,0.55,0.4628,0.48,682338.1,349266.59,0.506413
1567209600000,0.48,0.4935,0.4655,0.4715,176851.27,84536.71,0.479588
1567296000000,0.4761,0.5099,0.466,0.475,269560.7,130671.15,0.487952
1567382400000,0.4788,0.4824,0.4502,0.463,295295.49,136762.32,0.466005
1567468800000,0.4643,0.4665,0.437,0.458,336137.89,151744.33,0.451642
1567555200000,0.4577,0.4898,0.4321,0.4401,320410.71,148678.95,0.461237
1567641600000,0.4373,0.4775,0.4285,0.4397,280982.9,126336.33,0.453009
1567728000000,0.434,0.4408,0.3958,0.4015,208219.59,86770.8,0.418382
1567814400000,0.4015,0.4393,0.3922,0.4107,231830.08,95777.96,0.415843
1567900800000,0.4121,0.4562,0.41,0.4324,201806.16,86459.84,0.43365
1567987200000,0.4322,0.4459,0.4047,0.4078,292476.66,122770.67,0.425809
1568073600000,0.4112,0.4211,0.398,0.4048,305004.73,125335.39,0.40958
1568160000000,0.4072,0.4116,0.3822,0.3887,109277.34,43481.49,0.396785
1568246400000,0.3918,0.4016,0.3605,0.3611,152717.34,56734.85,0.381796
1568332800000,0.3616,0.3749,0.3546,0.3581,153844.6,55920.6,0.364787
1568419200000,0.3573,0.3686,0.35,0.3646,52799.84,19039.72,0.359234
1568505600000,0.3678,0.394,0.3591,0.382,141924.87,53414.36,0.376621
1568592000000,0.3806,0.381,0.3507,0.367,232347.84,85463.32,0.365428
1568678400000,0.367,0.3805,0.358,0.379,144062.52,53240.59,0.368963
1568764800000,0.3757,0.447,0.37,0.4132,315890.66,124214.93,0.409386
1568851200000,0.4133,0.4176,0.378,0.3957,187664.74,73983.43,0.397452
1568937600000,0.3983,0.4344,0.3889,0.4164,161821.29,66339.81,0.411827
1569024000000,0.4164,0.4229,0.3927,0.3963,113932.78,45777.08,0.407981
1569110400000,0.3929,0.3988,0.3624,0.3659,194614.15,73919.0,0.380791
1569196800000,0.3644,0.3691,0.3468,0.35,192074.88,68577.79,0.358037
1569283200000,0.35,0.3666,0.2625,0.2977,286853.39,94374.03,0.313924
1569369600000,0.2977,0.3179,0.2698,0.2981,118993.09,34599.71,0.29385
1569456000000,0.2949,0.3294,0.2733,0.2858,141270.74,42158.07,0.301423
1569542400000,0.2891,0.3137,0.2829,0.3096,128795.98,37946.57,0.298169
1569628800000,0.3137,0.3202,0.3039,0.3153,83806.56,26250.04,0.312044
1569715200000,0.3154,0.3154,0.29,0.2977,72816.26,21745.66,0.302168
1569801600000,0.2977,0.3221,0.2953,0.3105,105406.51,32568.41,0.308978
1569888000000,0.3111,0.3209,0.2989,0.302,115209.97,35875.67,0.31005
1569974400000,0.302,0.3235,0.2998,0.3213,138029.34,43013.4,0.31165
1570060800000,0.321,0.3325,0.3091,0.3201,159082.44,51002.25,0.3208
1570147200000,0.32,0.329,0.3091,0.3217,58835.85,18639.83,0.319047
1570233600000,0.3217,0.3261,0.3125,0.3222,84677.95,26895.52,0.319299
1570320000000,0.323,0.323,0.3074,0.3171,92150.15,28949.73,0.31502
1570406400000,0.3162,0.34,0.31,0.337,115695.96,37672.05,0.324781
1570492800000,0.3391,0.3746,0.3326,0.3536,304454.41,107880.24,0.353823
1570579200000,0.3536,0.3657,0.3398,0.3599,313127.31,110665.75,0.35269
1570665600000,0.3599,0.372,0.351,0.3523,169415.58,60873.37,0.361683
