Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1566648000000,0.58,0.8888,0.53,0.6753,1208967.95,847134.19,0.710868
1566655200000,0.68,0.7249,0.5975,0.6116,701723.42,456767.62,0.662396
1566662400000,0.6154,0.659,0.6073,0.6144,362304.13,228776.7,0.633152
1566669600000,0.613,0.6156,0.5814,0.5924,185714.5,110198.19,0.598081
1566676800000,0.5925,0.607,0.5275,0.5429,304860.45,172222.92,0.567201
1566684000000,0.5374,0.5525,0.5207,0.539,223089.76,119297.91,0.536599
1566691200000,0.539,0.5492,0.5017,0.5107,242317.08,127108.57,0.525508
1566698400000,0.5118,0.55,0.5118,0.5392,129515.52,68719.74,0.531697
1566705600000,0.5389,0.5657,0.5195,0.5551,160382.55,85559.18,0.54246
1566712800000,0.5551,0.7389,0.5508,0.6909,942548.92,615992.05,0.648124
1566720000000,0.691,0.7211,0.6598,0.686,553181.76,379545.38,0.690453
1566727200000,0.6864,0.741,0.666,0.6886,814064.27,575334.76,0.703503
1566734400000,0.6898,0.71,0.6189,0.6249,588579.03,390438.24,0.665482
1566741600000,0.625,0.6396,0.5856,0.6004,338457.95,207726.03,0.612595
1566748800000,0.6003,0.6267,0.59,0.6186,174338.17,105887.8,0.608277
1566756000000,0.6186,0.69,0.6088,0.6592,609986.94,399597.96,0.6501
1566763200000,0.6589,0.6986,0.6266,0.6347,378500.33,251065.72,0.663059
1566770400000,0.6341,0.725,0.6339,0.7049,437796.13,298627.71,0.68122
1566777600000,0.707,0.7275,0.6747,0.7216,491243.32,343479.05,0.700843
1566784800000,0.7244,0.76,0.7021,0.7077,575343.7,422110.59,0.731369
1566792000000,0.7084,0.7189,0.6801,0.7126,461421.84,323304.71,0.699468
1566799200000,0.7126,0.7129,0.6336,0.6447,662149.75,440081.64,0.672038
1566806400000,0.6445,0.6712,0.636,0.666,329861.03,215721.78,0.65343
1566813600000,0.6659,0.6885,0.6373,0.645,189852.27,125377.06,0.663224
1566820800000,0.6453,0.658,0.6173,0.6344,265691.87,167240.47,0.63761
1566828000000,0.6302,0.649,0.6153,0.6355,114424.12,72443.55,0.632146
1566835200000,0.6358,0.687,0.6358,0.6559,360699.69,240285.83,0.662023
1566842400000,0.6559,0.6809,0.64,0.6582,93892.39,62013.98,0.660453
1566849600000,0.6615,0.669,0.6212,0.6255,55158.87,35540.29,0.645364
1566856800000,0.621,0.6386,0.6096,0.6205,98085.47,61319.73,0.6241
1566864000000,0.613,0.6469,0.601,0.63,76100.95,47039.21,0.624037
1566871200000,0.6286,0.6286,0.601,0.619,77135.6,47044.74,0.614519
1566878400000,0.619,0.6432,0.61,0.6185,123528.26,77417.37,0.6266
1566885600000,0.6185,0.623,0.5555,0.5827,264073.15,156472.53,0.588391
1566892800000,0.5828,0.5923,0.5656,0.5845,125481.12,72510.21,0.578945
1566900000000,0.5845,0.5878,0.568,0.5859,64702.17,37366.51,0.577891
1566907200000,0.5858,0.5859,0.5605,0.5822,104791.99,60112.97,0.573145
1566914400000,0.583,0.5859,0.5727,0.5836,35618.9,20613.62,0.579298
1566921600000,0.5836,0.6027,0.5774,0.5923,99939.21,58969.87,0.590114
