Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1605765600000,1.3,6.59,1.3,3.05,1427302.54,4299541.0,3.994788
1605766500000,3.0539,3.3776,2.9505,3.2839,549992.26,1701005.58,3.163671
1605767400000,3.2827,3.9876,3.1862,3.8712,833718.03,3092076.33,3.58845
1605768300000,3.88,4.9689,3.88,4.8914,885349.79,3747545.87,4.435106
1605769200000,4.8914,4.8999,3.33,4.0259,1250054.04,4841855.97,4.086686
1605770100000,4.0279,4.313,3.71,3.8979,498272.05,1996432.26,4.012071
1605771000000,3.9,3.9893,3.4234,3.579,269651.33,998673.0,3.70345
1605771900000,3.5756,3.75,3.4286,3.6701,234764.1,852789.33,3.588559
1605772800000,3.6655,3.7428,3.4463,3.56,194561.82,702014.11,3.593955
1605773700000,3.5487,3.95,3.5142,3.6572,204522.51,765750.2,3.734133
1605774600000,3.6625,3.94,3.6625,3.8266,123586.95,473862.22,3.806682
1605775500000,3.8015,3.8818,3.6021,3.7604,102908.76,384915.37,3.741738
1605776400000,3.7501,3.7513,3.61,3.6255,38412.58,141004.95,3.678925
1605777300000,3.6337,3.7724,3.6101,3.739,55042.81,202215.58,3.691826
1605778200000,3.7155,3.93,3.7155,3.7835,121843.01,468334.09,3.824638
1605779100000,3.7855,3.875,3.69,3.8061,59693.91,225597.5,3.782459
1605780000000,3.8276,3.8294,3.708,3.78,25379.32,95930.94,3.767297
1605780900000,3.7811,3.8197,3.7513,3.786,35924.6,136200.37,3.785503
1605781800000,3.786,3.8,3.7,3.7711,39374.51,147832.55,3.749841
1605782700000,3.7711,3.82,3.7,3.7268,47951.2,180680.58,3.76039
1605783600000,3.7264,3.77,3.43,3.551,112457.44,399791.06,3.597242
1605784500000,3.5538,3.6,3.45,3.4811,62157.91,218156.06,3.525471
1605785400000,3.4811,3.5265,3.4294,3.4965,44384.92,154086.05,3.477881
1605786300000,3.4807,3.6,3.2431,3.3,119743.07,407038.02,3.423686
1605787200000,3.3,3.351,3.14,3.2384,106669.37,345706.35,3.244984
1605788100000,3.2384,3.4493,3.17,3.41,100185.57,330882.52,3.308134
1605789000000,3.4152,3.4488,3.2346,3.3368,52837.25,175479.01,3.340511
1605789900000,3.3369,3.3369,3.1977,3.2,49471.06,161053.23,3.266933
1605790800000,3.1993,3.3116,3.1977,3.2958,35673.12,115770.37,3.256203
1605791700000,3.2954,3.5579,3.2954,3.5577,120919.82,414438.02,3.426683
1605792600000,3.5577,3.74,3.4904,3.6404,158086.91,569850.94,3.615656
1605793500000,3.6261,3.74,3.6003,3.6938,87086.31,319790.11,3.670786
1605794400000,3.6936,3.7,3.5334,3.6741,48038.98,174518.68,3.616469
1605795300000,3.6766,4.07,3.6618,3.9301,265129.79,1028466.56,3.872574
1605796200000,3.9621,4.2319,3.9459,4.2066,290584.2,1184154.55,4.089917
1605797100000,4.2067,4.52,4.1078,4.1841,514716.74,2227810.55,4.313989
1605798000000,4.1837,4.6,4.1175,4.4902,394935.84,1733726.33,4.361196
1605798900000,4.4831,4.55,4.1839,4.3524,197297.68,866121.96,4.365278
1605799800000,4.3599,4.4,4.1188,4.2007,169297.89,714539.86,4.257579
1605800700000,4.2009,4.296,3.9727,4.1734,196297.28,813927.88,4.134254
1605801600000,4.1772,4.29,4.1101,4.1806,87345.49,367886.02,4.200052
1605802500000,4.1896,4.1896,4.03,4.0684,55140.45,226868.91,4.106566
1605803400000,4.071,4.19,3.9999,4.0927,61498.74,251860.31,4.094993
1605804300000,4.0933,4.15,3.8912,3.9794,129661.46,517041.05,4.019799
1605805200000,3.9821,4.1243,3.9469,4.027,64637.98,261865.31,4.036105
1605806100000,4.027,4.4067,4.027,4.3896,170189.97,725215.48,4.219375
1605807000000,4.3802,4.4,4.15,4.2587,122594.1,526150.47,4.272211
1605807900000,4.2503,4.35,4.1575,4.3,72156.2,307483.5,4.253387
1605808800000,4.2823,4.4484,4.2329,4.4226,76173.75,330946.68,4.339251
1605809700000,4.4235,4.4443,4.3112,4.317,75265.41,330400.66,4.379179
1605810600000,4.3304,4.3668,4.2364,4.3219,46673.05,200868.14,4.301574
1605811500000,4.3011,4.3218,4.14,4.1402,25983.44,110332.89,4.233396
1605812400000,4.1402,4.3399,4.0775,4.327,57758.38,244598.72,4.205088
1605813300000,4.327,4.327,4.2089,4.3,29858.9,127647.45,4.267347
1605814200000,4.297,4.4201,4.2885,4.401,46419.96,203518.89,4.355281
1605815100000,4.401,4.411,4.25,4.3491,44913.96,195323.01,4.329312
1605816000000,4.3745,4.4603,4.3503,4.4187,51775.47,228563.0,4.405666
1605816900000,4.4187,4.446,4.36,4.4243,35881.56,158122.34,4.40298
1605817800000,4.4229,4.4285,4.3,4.3989,29766.13,129780.64,4.36384
1605818700000,4.399,4.41,4.315,4.3519,18968.51,82857.61,4.361652
1605819600000,4.3511,4.3589,4.2656,4.28,24634.7,106170.64,4.31169
1605820500000,4.28,4.3884,4.1877,4.3583,32697.31,139842.9,4.28682
1605821400000,4.3404,4.3583,4.2,4.2924,26020.99,111146.51,4.278274
1605822300000,4.2924,4.2925,4.0762,4.1007,52929.96,219839.7,4.181369
1605823200000,4.1175,4.14,3.92,4.14,92843.16,373628.37,4.029741
1605824100000,4.1393,4.2999,4.0853,4.1463,74026.67,310613.75,4.192613
1605825000000,4.1453,4.15,4.06,4.1082,24497.55,100654.28,4.104035
1605825900000,4.1082,4.2,4.06,4.1562,26592.94,110082.26,4.129933
1605826800000,4.1556,4.1796,3.946,3.996,39872.84,161989.71,4.061083
1605827700000,3.99,4.1433,3.8,3.8472,113946.59,447110.83,3.974048
1605828600000,3.8465,3.96,3.6651,3.96,64281.69,244509.88,3.809062
1605829500000,3.9505,4.1,3.8979,3.9761,64474.91,256323.71,3.999094
1605830400000,3.9761,4.2486,3.9632,4.24,64596.14,265401.75,4.105315
1605831300000,4.2403,4.25,4.06,4.1405,82635.49,344624.58,4.152377
1605832200000,4.139,4.1681,3.9494,3.9761,66249.9,268322.02,4.058943
1605833100000,3.9745,4.12,3.9661,4.1183,19759.93,80010.99,4.042115
1605834000000,4.1072,4.235,4.1,4.222,30023.27,125231.56,4.16814
1605834900000,4.2226,4.2755,4.0557,4.1098,58742.99,246466.2,4.165558
1605835800000,4.1098,4.1919,4.0399,4.1871,24022.91,98625.42,4.11365
1605836700000,4.1707,4.1836,4.0,4.0619,45361.18,184629.28,4.089442
1605837600000,4.0454,4.11,4.0101,4.03,35392.85,143275.93,4.060184
1605838500000,4.03,4.09,3.9,4.0036,57456.96,227506.42,3.994894
1605839400000,4.0036,4.0037,3.884,3.9042,42850.5,168014.81,3.941757
1605840300000,3.9041,3.9147,3.8095,3.8445,23169.95,89617.14,3.861036
1605841200000,3.8449,3.9602,3.7703,3.8948,48690.48,187910.79,3.865169
1605842100000,3.8948,3.9659,3.8876,3.9498,27231.03,107276.49,3.927376
1605843000000,3.9501,4.0371,3.94,4.0371,24902.34,98909.01,3.987282
1605843900000,4.0373,4.13,4.0309,4.072,54808.46,223884.44,4.081266
1605844800000,4.0714,4.0916,3.9799,4.0244,22657.4,90903.93,4.035187
1605845700000,4.0126,4.0595,3.9754,3.9952,13015.96,52317.87,4.017597
1605846600000,3.995,4.0458,3.9946,4.0118,15103.73,60615.99,4.020665
1605847500000,4.0118,4.0313,3.9278,3.949,21888.6,86673.11,3.979464
1605848400000,3.949,3.9499,3.9106,3.9277,15023.82,58931.84,3.929608
1605849300000,3.9118,4.029,3.9118,4.029,15609.35,62339.83,3.9704
1605850200000,4.0291,4.1121,4.0001,4.1092,38885.64,158729.11,4.054187
1605851100000,4.1013,4.1099,3.9799,3.9799,20368.03,82276.81,4.046099
1605852000000,3.9891,4.02,3.8935,3.9365,50785.74,201255.73,3.956477
1605852900000,3.9324,3.9816,3.9123,3.9286,20309.66,80211.69,3.946962
1605853800000,3.9286,3.93,3.89,3.9,40986.58,160132.66,3.90937
1605854700000,3.9,3.9215,3.8,3.84,48470.1,186453.88,3.860149
1605855600000,3.8391,3.899,3.8391,3.8582,23418.33,90758.12,3.869582
1605856500000,3.8543,3.86,3.75,3.8537,46620.65,177035.29,3.805
1605857400000,3.8537,3.961,3.85,3.9123,43825.71,171141.5,3.907185
1605858300000,3.9108,3.9745,3.8629,3.9398,22241.23,86758.28,3.918587
1605859200000,3.9224,3.9379,3.8576,3.8633,19216.31,74553.84,3.898517
1605860100000,3.8633,3.8697,3.8025,3.8253,15062.46,57686.21,3.835388
1605861000000,3.8299,3.87,3.7873,3.8,19078.25,72667.05,3.829113
1605861900000,3.798,3.81,3.75,3.8051,24536.39,92628.44,3.779924
1605862800000,3.8051,3.8673,3.7928,3.84,15178.18,57986.65,3.830485
1605863700000,3.84,3.9029,3.82,3.82,29325.31,113086.69,3.861914
1605864600000,3.8229,3.8303,3.773,3.7735,14033.65,53260.23,3.802437
1605865500000,3.7732,3.7979,3.7604,3.7736,15083.41,56936.01,3.77915
1605866400000,3.767,3.78,3.7502,3.7669,15208.27,57260.49,3.7651
1605867300000,3.7669,3.7717,3.7514,3.7707,3819.65,14367.69,3.761486
1605868200000,3.7709,3.8377,3.7694,3.7908,18589.26,70799.44,3.804042
1605869100000,3.7873,3.8095,3.7501,3.7941,15464.04,58473.76,3.779764
1605870000000,3.7943,3.883,3.7941,3.8716,24259.63,93281.59,3.839855
1605870900000,3.8794,3.8794,3.7938,3.8058,17384.54,66686.33,3.83524
1605871800000,3.8066,3.8378,3.7938,3.8143,6863.99,26197.91,3.815841
1605872700000,3.8187,3.877,3.8146,3.8611,12608.82,48648.69,3.84657
1605873600000,3.8613,3.865,3.8027,3.813,23621.85,90762.69,3.833266
1605874500000,3.815,3.8201,3.7801,3.7956,9268.34,35276.88,3.799775
1605875400000,3.7956,3.8288,3.7802,3.8174,8247.44,31371.21,3.804394
1605876300000,3.8174,3.838,3.813,3.8235,13872.22,53089.27,3.825576
1605877200000,3.8284,3.8299,3.8101,3.8168,12010.54,45837.12,3.819756
1605878100000,3.8157,3.8199,3.8,3.8,7870.14,29972.35,3.810337
1605879000000,3.8,3.8116,3.779,3.7822,15378.07,58281.09,3.795638
1605879900000,3.7828,3.8,3.751,3.78,26724.34,100842.41,3.775495
1605880800000,3.7852,3.7985,3.7513,3.7513,12452.54,46917.74,3.775885
1605881700000,3.7513,3.7515,3.7051,3.72,27446.3,102048.15,3.727357
1605882600000,3.7165,3.7222,3.4668,3.5444,84027.09,300452.15,3.589896
1605883500000,3.5513,3.648,3.5114,3.5613,46642.13,167123.32,3.579731
1605884400000,3.5614,3.676,3.526,3.587,59437.46,214552.34,3.601197
1605885300000,3.5918,3.6447,3.5917,3.6379,9899.77,35863.95,3.618981
1605886200000,3.6245,3.6379,3.5541,3.6073,16716.58,60410.86,3.595788
1605887100000,3.6031,3.6119,3.5561,3.5734,9568.71,34336.87,3.583676
1605888000000,3.5731,3.5999,3.54,3.5419,15659.28,55840.07,3.570856
1605888900000,3.544,3.61,3.54,3.5936,7039.34,25093.75,3.57589
1605889800000,3.5942,3.6125,3.5929,3.6099,14056.79,50671.33,3.602824
1605890700000,3.6074,3.6424,3.5691,3.6188,22397.49,81051.44,3.605705
1605891600000,3.6249,3.64,3.598,3.6032,7556.05,27365.01,3.619354
1605892500000,3.598,3.6141,3.5399,3.5501,12038.19,42942.7,3.577343
1605893400000,3.5573,3.6146,3.556,3.6003,11363.81,40866.11,3.586311
1605894300000,3.6003,3.659,3.5684,3.5686,35539.19,128487.45,3.614623
1605895200000,3.5797,3.6146,3.5331,3.6092,10894.66,38845.14,3.573152
1605896100000,3.6102,3.6102,3.5231,3.5868,9095.42,32391.25,3.566065
1605897000000,3.5917,3.5999,3.5544,3.5583,6156.27,21953.0,3.577485
1605897900000,3.5585,3.6036,3.5172,3.5443,22552.55,80176.0,3.560461
1605898800000,3.5422,3.584,3.5313,3.5783,10988.62,39226.77,3.557304
1605899700000,3.5783,3.6155,3.5758,3.5823,15062.86,54132.44,3.595689
1605900600000,3.5833,3.595,3.5343,3.5634,14064.09,49920.0,3.56441
1605901500000,3.5633,3.6005,3.5355,3.5847,11362.64,40708.7,3.567833
1605902400000,3.587,3.6961,3.5791,3.6601,21157.33,76867.2,3.639119
1605903300000,3.6648,3.8,3.6648,3.7612,52820.33,198333.67,3.735225
1605904200000,3.7483,3.9253,3.7446,3.9203,76847.66,296869.87,3.83514
1605905100000,3.9285,3.9644,3.8415,3.8943,54926.65,214830.39,3.902783
1605906000000,3.8932,3.9225,3.7333,3.772,45099.61,172666.77,3.827363
1605906900000,3.7611,3.899,3.75,3.8226,22772.66,87306.43,3.825952
1605907800000,3.822,3.8285,3.6869,3.7258,17168.68,64584.4,3.755587
1605908700000,3.7231,3.82,3.6819,3.711,27519.4,103201.89,3.751015
1605909600000,3.7108,3.7421,3.6396,3.6612,15630.96,57561.69,3.691152
1605910500000,3.6625,3.7312,3.6625,3.6872,5378.06,19926.84,3.697585
1605911400000,3.6879,3.8,3.6625,3.7236,18707.42,69726.6,3.731687
1605912300000,3.7236,3.75,3.7034,3.7404,5231.49,19519.13,3.726522
1605913200000,3.7299,3.7645,3.6889,3.716,10445.75,38822.88,3.726732
1605914100000,3.705,3.7059,3.6111,3.643,29926.27,109377.81,3.656644
1605915000000,3.623,3.6423,3.5612,3.5901,19072.39,68455.9,3.601544
1605915900000,3.6004,3.6404,3.5873,3.635,6423.43,23220.59,3.613393
1605916800000,3.635,3.635,3.5701,3.611,7541.04,27139.9,3.601826
1605917700000,3.6017,3.6848,3.5701,3.6173,28321.56,102623.52,3.627533
1605918600000,3.6161,3.6973,3.573,3.6689,21773.01,79034.45,3.634803
1605919500000,3.6631,3.7937,3.6,3.6021,43105.65,160731.73,3.698483
1605920400000,3.6332,3.7354,3.5935,3.6436,23394.82,84912.39,3.664485
1605921300000,3.6431,3.6431,3.555,3.5918,16159.19,58087.95,3.597346
1605922200000,3.5917,3.6012,3.555,3.569,8174.88,29218.97,3.577955
1605923100000,3.57,3.635,3.5696,3.6106,3036.44,10923.14,3.603579
1605924000000,3.6035,3.6091,3.56,3.567,6367.78,22745.15,3.584438
1605924900000,3.56,3.5902,3.5518,3.5561,3829.91,13657.67,3.571033
1605925800000,3.5564,3.5739,3.5132,3.5132,9734.5,34443.25,3.544819
1605926700000,3.5132,3.517,3.4768,3.48,21824.66,76367.21,3.496962
1605927600000,3.4761,3.4761,3.36,3.4,42114.54,144330.19,3.415643
1605928500000,3.3966,3.51,3.38,3.4075,26627.88,91703.88,3.445076
1605929400000,3.4121,3.4747,3.412,3.4425,5483.23,18964.65,3.444352
1605930300000,3.4584,3.4584,3.413,3.4373,1874.42,6435.3,3.435006
1605931200000,3.4395,3.4401,3.4138,3.414,2379.53,8153.88,3.427011
