Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1605765600000,1.3,6.59,1.3,4.8914,3696362.62,12840168.78,4.055608
1605769200000,4.8914,4.8999,3.33,3.6701,2252741.52,8689750.55,4.085392
1605772800000,3.6655,3.95,3.4463,3.7604,625580.04,2326541.89,3.698017
1605776400000,3.7501,3.93,3.61,3.8061,274992.31,1037152.12,3.769938
1605780000000,3.8276,3.8294,3.7,3.7268,148629.63,560644.44,3.762465
1605783600000,3.7264,3.77,3.2431,3.3,338743.34,1179071.19,3.505248
1605787200000,3.3,3.4493,3.14,3.2,309163.25,1013121.12,3.295848
1605790800000,3.1993,3.74,3.1977,3.6938,401766.16,1419849.44,3.474702
1605794400000,3.6936,4.52,3.5334,4.1841,1118469.71,4614950.34,4.032486
1605798000000,4.1837,4.6,3.9727,4.1734,957828.69,4128316.03,4.286357
1605801600000,4.1772,4.29,3.8912,3.9794,333646.14,1363656.28,4.091406
1605805200000,3.9821,4.4067,3.9469,4.3,429578.25,1820714.77,4.181652
1605808800000,4.2823,4.4484,4.14,4.1402,224095.65,972548.37,4.298849
1605812400000,4.1402,4.4201,4.0775,4.3491,178951.2,771088.07,4.249225
1605816000000,4.3745,4.4603,4.3,4.3519,136391.67,599323.59,4.380235
1605819600000,4.3511,4.3884,4.0762,4.1007,136282.96,576999.75,4.233527
1605823200000,4.1175,4.2999,3.92,4.1562,217960.32,894978.65,4.10988
1605826800000,4.1556,4.1796,3.6651,3.9761,282576.03,1109934.12,3.917846
1605830400000,3.9761,4.25,3.9494,4.1183,233241.46,958359.34,4.102811
1605834000000,4.1072,4.2755,4.0,4.0619,158150.35,654952.45,4.138112
1605837600000,4.0454,4.11,3.8095,3.8445,158870.26,628414.29,3.961612
1605841200000,3.8449,4.13,3.7703,4.072,155632.31,617980.72,3.949231
1605844800000,4.0714,4.0916,3.9278,3.949,72665.69,290510.9,4.009619
1605848400000,3.949,4.1121,3.9106,3.9799,89886.84,362277.59,4.011627
1605852000000,3.9891,4.02,3.8,3.84,160552.08,628053.95,3.90941
1605855600000,3.8391,3.9745,3.75,3.9398,136105.92,525693.19,3.860809
1605859200000,3.9224,3.9379,3.75,3.8051,77893.41,297535.54,3.841813
1605862800000,3.8051,3.9029,3.7604,3.7736,73620.55,281269.58,3.832173
1605866400000,3.767,3.8377,3.7501,3.7941,53081.22,200901.36,3.794227
1605870000000,3.7943,3.883,3.7938,3.8611,61116.98,234814.52,3.840145
1605873600000,3.8613,3.865,3.7801,3.8235,55009.85,210500.05,3.821515
1605877200000,3.8284,3.8299,3.751,3.78,61983.09,234932.97,3.789022
1605880800000,3.7852,3.7985,3.4668,3.5613,170568.06,616541.36,3.627431
1605884400000,3.5614,3.676,3.526,3.5734,95622.52,345164.02,3.601054
1605888000000,3.5731,3.6424,3.54,3.6188,59152.9,212656.59,3.590951
1605891600000,3.6249,3.659,3.5399,3.5686,66497.24,239661.27,3.59961
1605895200000,3.5797,3.6146,3.5172,3.5443,48698.9,173365.38,3.566033
1605898800000,3.5422,3.6155,3.5313,3.5847,51478.21,183987.91,3.574077
1605902400000,3.587,3.9644,3.5791,3.8943,205751.97,786901.14,3.777631
1605906000000,3.8932,3.9225,3.6819,3.711,112560.35,427759.5,3.802217
1605909600000,3.7108,3.8,3.6396,3.7404,44947.93,166734.26,3.71975
1605913200000,3.7299,3.7645,3.5612,3.635,65867.84,239877.18,3.661721
1605916800000,3.635,3.7937,3.5701,3.6021,100741.26,369529.6,3.682245
1605920400000,3.6332,3.7354,3.555,3.6106,50765.33,183142.45,3.645292
1605924000000,3.6035,3.6091,3.4768,3.48,41756.85,147213.27,3.543284
1605927600000,3.4761,3.51,3.36,3.4373,76100.07,261434.02,3.434631
1605931200000,3.4395,3.551,3.41,3.54,25356.24,88237.19,3.479154
1605934800000,3.5359,3.5485,3.4392,3.51,24693.3,86089.47,3.493436
1605938400000,3.5076,3.6099,3.48,3.5374,43432.23,153884.59,3.545249
1605942000000,3.5374,3.6126,3.51,3.5253,34944.17,124607.38,3.561405
1605945600000,3.5254,3.5385,3.42,3.4701,60524.33,210500.32,3.478185
1605949200000,3.4701,3.479,3.4162,3.4462,34122.48,117153.3,3.447204
1605952800000,3.4462,3.55,3.4193,3.4668,51021.58,177765.47,3.484826
1605956400000,3.4666,3.5398,3.4,3.4404,35938.08,124867.82,3.470045
1605960000000,3.4405,3.49,3.4001,3.4248,29097.17,100026.64,3.445145
1605963600000,3.4248,3.4337,3.25,3.3,123004.9,410100.71,3.33917
1605967200000,3.2959,3.3594,3.2144,3.2886,88755.59,289470.29,3.286897
1605970800000,3.3,3.3563,3.2,3.3307,68248.08,222841.75,3.277788
1605974400000,3.3322,3.39,3.2102,3.2273,71989.64,236173.13,3.301993
1605978000000,3.2311,3.2675,3.1869,3.2161,45407.07,146283.6,3.227231
1605981600000,3.2183,3.3189,3.212,3.2552,42814.66,139872.14,3.266331
1605985200000,3.2723,3.2873,3.228,3.2389,19376.14,63108.0,3.257827
1605988800000,3.238,3.43,3.2164,3.3174,61494.83,204473.5,3.324828
1605992400000,3.3175,3.3803,3.3,3.3457,39505.66,132172.67,3.340422
1605996000000,3.3375,3.35,3.305,3.322,17875.27,59453.18,3.327431
1605999600000,3.3201,3.3684,3.2717,3.2862,29575.26,97709.39,3.320586
1606003200000,3.286,3.421,3.2802,3.3038,49088.99,164215.15,3.350823
1606006800000,3.3034,3.416,3.29,3.3319,33969.45,114107.8,3.353458
1606010400000,3.3319,3.3966,3.32,3.3804,14964.65,50198.44,3.358539
1606014000000,3.3804,3.65,3.3788,3.6236,115703.6,409407.39,3.51752
1606017600000,3.6235,3.7394,3.4675,3.7383,75451.23,272060.03,3.599837
1606021200000,3.7303,3.7448,3.5556,3.614,72927.55,266729.81,3.64791
1606024800000,3.6135,3.67,3.5,3.5276,39417.52,140078.59,3.585985
1606028400000,3.5276,3.5628,3.362,3.4104,85139.46,292769.21,3.461786
1606032000000,3.429,3.4572,3.2105,3.2271,97831.16,324961.36,3.335017
1606035600000,3.2448,3.3831,3.2213,3.3573,44784.12,148331.78,3.302358
1606039200000,3.3584,3.3783,3.2021,3.2296,59943.16,196497.39,3.289614
1606042800000,3.231,3.2951,3.0,3.0782,134427.23,422215.99,3.147044
1606046400000,3.078,3.2549,3.078,3.1913,73231.46,232047.44,3.170084
1606050000000,3.1932,3.33,3.1707,3.234,90532.47,295349.44,3.250963
1606053600000,3.2438,3.288,3.2049,3.2737,20544.29,66624.57,3.246039
1606057200000,3.2691,3.2749,3.1705,3.1938,36762.47,117655.39,3.221392
1606060800000,3.1932,3.3142,3.1893,3.3079,35327.83,115319.61,3.252071
1606064400000,3.3145,3.64,3.3086,3.4836,173618.42,604981.5,3.479539
1606068000000,3.4931,3.5606,3.3412,3.342,81469.11,282200.4,3.455386
1606071600000,3.3563,3.48,3.342,3.4103,60122.9,205892.86,3.412103
1606075200000,3.4103,3.4196,3.325,3.33,18874.53,63583.01,3.372772
1606078800000,3.3301,3.44,3.3201,3.4198,18491.47,62374.8,3.38088
1606082400000,3.4219,3.45,3.3116,3.3191,17292.32,58297.01,3.382448
1606086000000,3.3263,3.3483,3.2296,3.3164,29505.08,96783.25,3.288894
1606089600000,3.2984,3.3364,3.15,3.1693,32596.43,104997.48,3.244474
1606093200000,3.1693,3.2724,3.15,3.2673,18514.8,59464.94,3.209845
1606096800000,3.265,3.35,3.2475,3.3367,15965.76,52798.08,3.298457
1606100400000,3.3367,3.445,3.3277,3.4122,28393.8,96514.54,3.387725
1606104000000,3.4175,3.488,3.3831,3.42,37763.97,129801.14,3.435552
1606107600000,3.4267,3.5,3.4265,3.4596,33312.52,115832.31,3.46431
1606111200000,3.4599,3.4713,3.2999,3.3199,63941.6,216229.53,3.384739
1606114800000,3.3199,3.39,3.2542,3.2815,56388.57,186397.94,3.322537
1606118400000,3.2799,3.4,3.2775,3.34,56673.69,188959.13,3.340594
