Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1547769600000,2.77,2.77,2.0,2.5235,86973.39,220852.86,2.378117
1547856000000,2.53,2.64,2.5041,2.5718,99970.3,258188.76,2.572562
1547942400000,2.5539,2.6085,2.42,2.5071,85585.78,214963.95,2.513996
1548028800000,2.5071,2.58,2.4545,2.5001,66461.35,166317.63,2.517261
1548115200000,2.51,2.81,2.3747,2.7684,331847.14,875154.79,2.587824
1548201600000,2.7694,3.212,2.7115,3.0269,1216900.0,3681805.35,2.966257
1548288000000,3.0239,3.091,2.598,2.7189,843825.01,2411497.73,2.841654
1548374400000,2.7189,2.9199,2.7,2.7792,427197.21,1197320.13,2.811117
1548460800000,2.78,2.8237,2.6516,2.677,188896.03,514666.8,2.73855
1548547200000,2.6713,2.9399,2.6,2.6726,559958.05,1547549.18,2.76995
1548633600000,2.6729,2.9199,2.485,2.879,1272020.41,3455918.64,2.698078
1548720000000,2.879,3.0463,2.7614,2.9478,1478807.29,4290526.72,2.903709
1548806400000,2.9478,3.055,2.7079,2.8729,1486687.83,4335479.56,2.88111
1548892800000,2.8783,2.9061,2.7511,2.773,365639.15,1032630.51,2.828985
1548979200000,2.7768,2.779,2.6483,2.7135,277130.19,753159.07,2.711688
1549065600000,2.7176,2.745,2.695,2.7138,134925.43,366178.93,2.720006
1549152000000,2.7151,2.9071,2.6553,2.8211,608219.23,1704395.09,2.781807
1549238400000,2.8184,2.87,2.702,2.7277,357521.22,990812.0,2.787018
1549324800000,2.7253,2.785,2.6191,2.6662,455506.99,1232220.56,2.702256
1549411200000,2.6661,2.678,2.5,2.504,372775.15,949383.44,2.590033
1549497600000,2.504,2.6192,2.4689,2.4885,307286.49,781969.6,2.544177
1549584000000,2.4865,2.6876,2.4501,2.6465,502060.29,1294184.42,2.569151
1549670400000,2.6593,2.665,2.5539,2.6,269215.76,700878.5,2.607901
1549756800000,2.6018,2.75,2.572,2.72,421981.05,1122421.61,2.661012
1549843200000,2.72,2.9153,2.6345,2.8726,475068.16,1308949.84,2.773194
1549929600000,2.87,2.9158,2.7207,2.8492,476142.71,1342289.64,2.818132
1550016000000,2.8454,2.8695,2.723,2.7317,179514.63,499196.23,2.797615
1550102400000,2.7316,2.7588,2.6312,2.6419,176689.8,475358.39,2.696163
1550188800000,2.6364,2.7,2.6313,2.6565,123475.7,328494.55,2.66607
1550275200000,2.6462,2.6799,2.605,2.6081,105260.74,276818.78,2.643508
1550361600000,2.6081,2.6596,2.5501,2.6094,150858.31,391914.43,2.60485
1550448000000,2.6095,2.7868,2.6094,2.74,361072.29,974536.26,2.701753
1550534400000,2.74,2.93,2.7012,2.7862,455390.39,1284079.08,2.816141
1550620800000,2.782,2.82,2.735,2.7849,173102.83,480627.67,2.777498
1550707200000,2.7849,2.8671,2.7392,2.8509,274491.54,769613.87,2.802098
1550793600000,2.8573,2.91,2.8081,2.9022,192626.9,553188.38,2.857994
1550880000000,2.8961,2.93,2.7904,2.8894,249027.4,712428.37,2.860181
1550966400000,2.8894,2.9364,2.55,2.637,402202.51,1109917.94,2.740812
1551052800000,2.6463,2.75,2.6025,2.6794,180258.48,482863.95,2.676421
1551139200000,2.6756,2.7003,2.6159,2.6435,98978.33,261874.65,2.658046
1551225600000,2.6428,2.7,2.5506,2.6473,170216.16,446376.21,2.625296
1551312000000,2.645,2.7273,2.6086,2.6495,234356.11,626026.03,2.667957
1551398400000,2.6465,2.74,2.6305,2.6815,102303.16,275335.56,2.685807
1551484800000,2.6949,2.7123,2.631,2.6606,63182.56,168608.17,2.671366
1551571200000,2.6592,2.6694,2.6143,2.652,65083.29,172443.0,2.641791
1551657600000,2.6483,2.6682,2.505,2.5858,95495.86,245755.68,2.585441
1551744000000,2.5878,2.654,2.517,2.623,117470.56,306582.8,2.585166
1551830400000,2.623,2.6503,2.5342,2.5489,162047.63,418143.78,2.592964
1551916800000,2.5539,2.6017,2.523,2.5659,176443.0,451297.06,2.562364
1552003200000,2.5645,2.8255,2.5319,2.647,610406.53,1645415.97,2.680169
1552089600000,2.6561,2.7898,2.6251,2.7213,259840.33,706501.56,2.708215
1552176000000,2.72,2.7921,2.67,2.7304,167263.41,456719.09,2.731061
1552262400000,2.7372,2.7855,2.6019,2.6338,148813.29,397468.01,2.694406
1552348800000,2.6345,2.8109,2.5947,2.781,183556.61,498469.37,2.702158
1552435200000,2.7883,2.85,2.6521,2.6802,150031.62,409929.2,2.752404
1552521600000,2.6802,2.7689,2.66,2.72,125819.73,340665.11,2.714946
1552608000000,2.7286,2.8448,2.689,2.7759,148326.73,410776.57,2.767246
1552694400000,2.776,2.8154,2.7352,2.7843,123525.21,342635.03,2.775287
1552780800000,2.7842,2.7949,2.709,2.7351,122237.76,335794.67,2.751265
1552867200000,2.7333,2.7778,2.7003,2.7437,125586.12,342105.53,2.739052
1552953600000,2.7403,2.7613,2.7121,2.7387,78434.6,214544.16,2.736699
1553040000000,2.7427,2.829,2.7005,2.7944,137495.4,379974.63,2.76459
1553126400000,2.7824,2.8657,2.6532,2.728,205960.37,568953.57,2.759521
