Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1547805600000,2.77,2.77,2.0,2.5788,9701.12,24839.23,2.380469
1547809200000,2.5788,2.6037,2.5634,2.6037,13518.4,34982.5,2.582738
1547812800000,2.6037,2.6039,2.5274,2.5274,12237.91,31310.69,2.565683
1547816400000,2.5372,2.548,2.5112,2.5195,4513.11,11394.42,2.529677
1547820000000,2.5336,2.56,2.5115,2.5507,8111.44,20598.35,2.535545
1547823600000,2.5507,2.5584,2.5153,2.5387,6032.42,15307.74,2.536695
1547827200000,2.532,2.532,2.4938,2.5191,13372.33,33486.04,2.512529
1547830800000,2.5259,2.5314,2.5,2.5001,6379.12,15991.27,2.516248
1547834400000,2.5011,2.5188,2.4888,2.4888,1435.59,3601.51,2.504188
1547838000000,2.5067,2.512,2.4884,2.5078,2021.06,5046.58,2.500196
1547841600000,2.5078,2.525,2.504,2.5051,5966.68,15040.46,2.514533
1547845200000,2.5051,2.5215,2.4954,2.5057,681.22,1712.38,2.50845
1547848800000,2.5059,2.5246,2.4984,2.5184,1847.06,4631.94,2.511461
1547852400000,2.5188,2.5235,2.5084,2.5235,1155.93,2909.74,2.515821
1547856000000,2.53,2.53,2.505,2.505,1783.73,4477.29,2.5175
1547859600000,2.505,2.5442,2.5041,2.5442,1194.23,3011.4,2.524009
1547863200000,2.5586,2.59,2.5449,2.5754,2269.95,5850.59,2.567466
1547866800000,2.5668,2.5668,2.534,2.534,427.13,1085.54,2.5504
1547870400000,2.534,2.5534,2.5239,2.5301,2330.35,5943.03,2.538679
1547874000000,2.5321,2.5321,2.5228,2.5228,127.28,321.32,2.52745
1547877600000,2.53,2.5318,2.515,2.5199,1927.12,4860.89,2.523246
1547881200000,2.5273,2.5522,2.5241,2.5241,944.93,2396.9,2.53819
1547884800000,2.525,2.5293,2.515,2.5293,1786.31,4506.03,2.522034
1547888400000,2.5214,2.5241,2.5212,2.5217,1309.06,3301.44,2.522653
1547892000000,2.5296,2.6052,2.5279,2.5751,21204.37,54586.92,2.567897
1547895600000,2.579,2.5914,2.55,2.5834,8039.44,20692.35,2.57067
1547899200000,2.5879,2.5879,2.574,2.5751,3142.5,8104.75,2.580802
1547902800000,2.575,2.64,2.5718,2.6198,11840.63,30955.0,2.606928
1547906400000,2.6199,2.6362,2.6053,2.6348,10975.75,28835.61,2.620343
1547910000000,2.6244,2.6245,2.5863,2.5889,14794.06,38449.45,2.605056
1547913600000,2.589,2.6002,2.584,2.584,2414.24,6247.11,2.592237
1547917200000,2.584,2.6117,2.5721,2.5726,3400.24,8776.85,2.592188
1547920800000,2.5726,2.5863,2.5451,2.5681,6422.82,16444.05,2.565686
1547924400000,2.5681,2.5824,2.5541,2.5672,793.21,2037.9,2.56825
1547928000000,2.5889,2.589,2.5575,2.586,1236.56,3178.77,2.57322
1547931600000,2.577,2.577,2.5631,2.5646,521.81,1338.54,2.569864
1547935200000,2.575,2.5775,2.566,2.5737,731.47,1880.01,2.571742
1547938800000,2.5698,2.576,2.5535,2.5718,353.11,907.04,2.564738
1547942400000,2.5539,2.5675,2.54,2.5581,1664.78,4242.32,2.553737
1547946000000,2.5602,2.5758,2.5602,2.5758,25.56,65.68,2.568
1547949600000,2.5755,2.59,2.5593,2.59,1508.76,3901.41,2.574172
1547953200000,2.5756,2.5875,2.566,2.5841,611.18,1575.79,2.576624
1547956800000,2.5659,2.578,2.5593,2.5593,313.29,804.2,2.568844
1547960400000,2.5789,2.5789,2.5593,2.5593,914.36,2340.2,2.5691
1547964000000,2.5593,2.5706,2.5592,2.5597,1161.59,2975.18,2.564902
1547967600000,2.57,2.576,2.57,2.576,456.02,1174.13,2.573
1547971200000,2.5578,2.5763,2.5578,2.5763,671.57,1727.62,2.56705
1547974800000,2.5732,2.5792,2.5732,2.5789,483.96,1247.79,2.576244
1547978400000,2.5783,2.6063,2.5636,2.6,8164.85,21128.09,2.58466
1547982000000,2.6,2.6085,2.4932,2.4982,28929.37,73380.02,2.551274
1547985600000,2.5085,2.52,2.42,2.4545,15294.27,37585.68,2.469096
1547989200000,2.4545,2.4816,2.4442,2.4645,5020.62,12378.66,2.462962
1547992800000,2.4646,2.4849,2.464,2.4802,3748.75,9295.77,2.474782
1547996400000,2.4802,2.4802,2.4609,2.4619,5803.68,14314.53,2.470405
1548000000000,2.4807,2.4807,2.4586,2.4659,2818.19,6965.88,2.469189
1548003600000,2.4659,2.4696,2.4559,2.4636,1959.78,4824.84,2.462736
1548007200000,2.46,2.4695,2.4506,2.4506,281.87,692.34,2.460363
1548010800000,2.4491,2.4498,2.4458,2.4459,401.28,982.39,2.447857
1548014400000,2.4463,2.4832,2.4463,2.4832,480.83,1185.66,2.46475
1548018000000,2.4689,2.4812,2.4689,2.4706,1465.26,3623.34,2.475075
1548021600000,2.4856,2.4896,2.4767,2.4891,427.43,1062.07,2.483071
1548025200000,2.5093,2.5225,2.493,2.5071,2978.53,7490.36,2.507749
1548028800000,2.5071,2.5226,2.5053,2.5212,6226.53,15681.86,2.51391
1548032400000,2.5177,2.5177,2.493,2.4968,928.95,2326.81,2.504936
1548036000000,2.5013,2.5114,2.4952,2.4952,1121.62,2800.85,2.503486
1548039600000,2.4909,2.4992,2.4776,2.4776,1234.64,3063.56,2.488835
1548043200000,2.4771,2.4852,2.4545,2.4852,1083.26,2683.33,2.46965
1548046800000,2.4851,2.4927,2.4647,2.4718,996.05,2468.16,2.478715
1548050400000,2.488,2.488,2.477,2.477,121.55,301.53,2.4825
1548054000000,2.4765,2.4814,2.4616,2.4814,492.68,1217.6,2.471384
1548057600000,2.4689,2.4811,2.4606,2.464,1161.42,2862.13,2.470914
1548061200000,2.4687,2.4857,2.4687,2.4737,2836.29,7033.58,2.477333
1548064800000,2.4946,2.5246,2.4751,2.5231,7032.31,17578.68,2.499037
1548068400000,2.5305,2.58,2.5052,2.5105,12454.65,31403.49,2.543002
1548072000000,2.5238,2.525,2.5,2.5015,1456.43,3666.0,2.512463
1548075600000,2.503,2.5346,2.4892,2.5001,2222.77,5551.65,2.511911
1548079200000,2.5033,2.5214,2.4867,2.4907,1895.17,4720.01,2.50429
1548082800000,2.4907,2.51,2.4697,2.509,3142.73,7796.1,2.489306
1548086400000,2.5022,2.5025,2.4884,2.5025,1992.39,4980.19,2.495449
1548090000000,2.5105,2.518,2.4945,2.51,2052.48,5146.5,2.50625
1548093600000,2.51,2.51,2.5,2.5002,2096.44,5248.49,2.504968
1548097200000,2.5002,2.5107,2.4873,2.4981,8278.16,20714.86,2.499
1548100800000,2.4983,2.4983,2.4892,2.4976,2031.25,5064.91,2.493744
1548104400000,2.4976,2.5167,2.4801,2.4903,3139.58,7862.87,2.498445
1548108000000,2.4992,2.4994,2.4699,2.4787,1194.05,2966.28,2.48406
1548111600000,2.4998,2.5224,2.4998,2.5001,1269.95,3178.2,2.5111
1548115200000,2.51,2.5194,2.5002,2.5027,2358.74,5907.89,2.509929
1548118800000,2.5028,2.5374,2.501,2.5374,643.47,1616.73,2.518937
1548122400000,2.5012,2.5042,2.4914,2.4959,2020.64,5047.24,2.497766
1548126000000,2.4913,2.4963,2.4743,2.4904,2384.2,5922.41,2.485298
1548129600000,2.482,2.5042,2.4811,2.4812,1624.2,4032.35,2.492653
1548133200000,2.4812,2.4876,2.4759,2.476,720.27,1784.78,2.481914
1548136800000,2.48,2.4826,2.48,2.48,2140.35,5310.08,2.4813
1548140400000,2.4766,2.4798,2.4603,2.467,6965.46,17185.94,2.469937
1548144000000,2.4798,2.4798,2.4745,2.4796,2023.14,5014.33,2.477149
1548147600000,2.4796,2.4796,2.4685,2.4685,672.12,1660.5,2.47405
1548151200000,2.4601,2.475,2.4455,2.4683,8426.17,20693.28,2.460172
1548154800000,2.455,2.4693,2.3747,2.4673,22815.55,55147.52,2.421834
1548158400000,2.4693,2.5241,2.4691,2.485,10858.58,27090.13,2.497004
1548162000000,2.5,2.5241,2.4851,2.5241,3477.96,8717.45,2.503814
1548165600000,2.5181,2.5499,2.514,2.5499,15260.05,38660.31,2.53145
1548169200000,2.5499,2.5698,2.5294,2.5628,6261.38,16028.31,2.549423
1548172800000,2.5698,2.7441,2.55,2.6738,35027.6,93154.17,2.649002
1548176400000,2.6738,2.7333,2.5686,2.6419,59400.42,156862.88,2.650885
1548180000000,2.6372,2.6608,2.6032,2.6608,24193.9,63915.76,2.631255
1548183600000,2.6618,2.7109,2.6465,2.6932,25651.9,68737.12,2.678776
1548187200000,2.69,2.7926,2.69,2.7366,37249.65,101745.24,2.742823
1548190800000,2.7555,2.81,2.735,2.783,36243.21,100854.31,2.772613
1548194400000,2.7741,2.8,2.733,2.7539,15498.84,42850.85,2.766558
1548198000000,2.7676,2.7795,2.72,2.7684,9929.34,27215.2,2.749749
1548201600000,2.7694,2.7694,2.7321,2.7502,11138.21,30726.08,2.750108
1548205200000,2.7502,2.7621,2.7115,2.7171,6230.66,17002.85,2.737177
1548208800000,2.7171,2.89,2.7171,2.8753,29188.55,82760.83,2.805496
1548212400000,2.8879,3.0299,2.8748,3.0175,84456.46,249371.25,2.952276
1548216000000,3.002,3.0058,2.9132,2.9557,48032.04,142518.55,2.95821
1548219600000,2.9557,2.9815,2.8319,2.8679,55421.55,160109.27,2.906219
1548223200000,2.8735,2.96,2.8301,2.9244,60752.6,176217.97,2.894894
1548226800000,2.9247,2.985,2.9205,2.985,26267.4,77667.42,2.952163
1548230400000,2.9903,3.185,2.9628,3.0515,103283.74,318327.59,3.074925
1548234000000,3.0525,3.212,3.0254,3.1051,93692.83,292504.46,3.119509
1548237600000,3.1,3.1277,3.0,3.0577,53344.76,162332.09,3.063427
1548241200000,3.0576,3.1499,2.9325,3.0086,77615.91,238117.43,3.041304
1548244800000,3.0087,3.0971,2.9609,3.0549,42411.23,128487.38,3.028917
1548248400000,3.0541,3.088,2.9665,3.0087,42649.55,128667.15,3.0271
1548252000000,3.0086,3.06,2.9646,3.02,63327.5,190593.04,3.012293
1548255600000,3.02,3.1796,3.0023,3.074,69983.12,218136.34,3.091993
1548259200000,3.0952,3.18,3.0333,3.0683,59102.55,185070.85,3.106861
1548262800000,3.0846,3.1395,3.0309,3.1158,37369.71,115356.78,3.084884
1548266400000,3.1157,3.1253,3.064,3.1095,35511.59,109620.53,3.094604
1548270000000,3.1053,3.1387,3.005,3.0301,30857.12,94838.09,3.072206
1548273600000,3.0337,3.0918,2.9732,2.996,80054.23,241492.68,3.032957
1548277200000,2.996,3.09,2.95,3.0611,54955.97,165456.45,3.019511
1548280800000,3.061,3.09,2.99,3.0323,42393.48,129650.73,3.03986
1548284400000,3.0358,3.0601,3.0,3.0269,8859.24,26779.53,3.030043
1548288000000,3.0239,3.091,2.99,3.0326,15798.46,47847.01,3.040523
1548291600000,3.0323,3.0341,2.9619,2.993,14453.61,43232.71,2.996828
1548295200000,2.9931,2.9931,2.86,2.861,50684.88,148121.58,2.926387
1548298800000,2.8623,2.919,2.8551,2.8706,18817.27,54474.71,2.887137
1548302400000,2.8706,2.905,2.855,2.8748,27874.15,80045.84,2.880013
1548306000000,2.899,2.9259,2.8939,2.9,8777.91,25533.81,2.909903
1548309600000,2.9001,2.905,2.7804,2.7991,46678.83,132009.6,2.841344
1548313200000,2.8125,2.8863,2.7999,2.8561,24770.18,70594.43,2.843698
1548316800000,2.8489,2.9147,2.8489,2.9147,14586.35,42075.11,2.8818
1548320400000,2.9132,3.0,2.9128,2.9999,54361.01,161788.91,2.956351
1548324000000,2.9998,3.0041,2.9345,2.9468,20757.52,61962.32,2.968622
1548327600000,2.9345,2.941,2.8253,2.8974,55978.29,161117.19,2.882285
1548331200000,2.9,3.008,2.89,2.9228,43216.24,126080.53,2.949354
1548334800000,2.9228,2.9711,2.8798,2.9163,28717.0,84045.66,2.925457
1548338400000,2.9136,2.9695,2.9069,2.945,23504.36,69081.42,2.938797
1548342000000,2.945,2.959,2.8821,2.907,30735.17,89259.16,2.920196
1548345600000,2.9078,2.9078,2.8551,2.8551,12284.05,35314.09,2.88145
1548349200000,2.8552,2.8986,2.828,2.835,9302.96,26469.4,2.86368
1548352800000,2.8512,2.9585,2.8384,2.9585,27629.75,80263.81,2.896854
1548356400000,2.9592,2.98,2.9359,2.9501,45599.35,135001.11,2.957986
1548360000000,2.9636,2.9641,2.598,2.7295,191799.33,524742.34,2.773592
1548363600000,2.7239,2.7625,2.7163,2.7267,57999.9,159120.51,2.739413
1548367200000,2.7258,2.7582,2.7193,2.7316,13749.12,37655.9,2.738806
1548370800000,2.7316,2.7324,2.7125,2.7189,5749.32,15660.59,2.722133
1548374400000,2.7189,2.8342,2.7188,2.7339,40716.15,113147.61,2.776713
1548378000000,2.726,2.7522,2.7061,2.74,16538.43,45157.33,2.729059
1548381600000,2.74,2.7678,2.7,2.71,11435.51,31109.12,2.734358
1548385200000,2.7142,2.7361,2.7013,2.72,7806.19,21235.71,2.718711
1548388800000,2.72,2.7341,2.7078,2.7085,6235.04,16936.88,2.721286
1548392400000,2.7085,2.7498,2.705,2.7419,8999.0,24524.75,2.727755
1548396000000,2.7509,2.8038,2.744,2.7788,28844.99,80182.53,2.774421
1548399600000,2.7804,2.79,2.7254,2.763,13023.14,35913.77,2.757441
1548403200000,2.7631,2.774,2.7101,2.7447,10820.01,29782.87,2.741799
1548406800000,2.7501,2.792,2.7501,2.7773,19608.37,54424.7,2.771916
1548410400000,2.7788,2.7812,2.7482,2.7812,3596.31,9970.24,2.76468
1548414000000,2.7729,2.82,2.7514,2.82,25519.0,71548.95,2.784264
1548417600000,2.82,2.893,2.7884,2.8618,52833.57,150631.32,2.840692
1548421200000,2.8618,2.9199,2.8263,2.8428,35306.0,101647.19,2.873316
1548424800000,2.8432,2.902,2.8226,2.8665,18754.91,53852.0,2.862464
1548428400000,2.8544,2.8787,2.8524,2.8787,2790.91,7982.27,2.865279
1548432000000,2.8882,2.915,2.7262,2.79,37394.2,106109.65,2.819258
1548435600000,2.79,2.8684,2.7421,2.7842,45439.3,127495.76,2.80526
1548439200000,2.7685,2.7993,2.756,2.7993,10640.54,29580.98,2.776745
1548442800000,2.7989,2.8048,2.7656,2.7906,9084.11,25310.64,2.785092
1548446400000,2.7906,2.7985,2.7725,2.792,5529.58,15409.52,2.785496
1548450000000,2.792,2.7993,2.7852,2.7866,4185.6,11689.84,2.792362
1548453600000,2.7781,2.7906,2.76,2.7859,6823.27,18931.28,2.775189
1548457200000,2.7988,2.8047,2.7648,2.7792,5273.08,14745.22,2.784477
1548460800000,2.78,2.7993,2.7601,2.7809,9935.95,27716.83,2.7797
1548464400000,2.7794,2.7809,2.7494,2.7528,5789.11,16010.8,2.764944
1548468000000,2.76,2.76,2.73,2.7475,4047.88,11106.79,2.744603
1548471600000,2.7475,2.7657,2.7475,2.7488,14326.39,39410.35,2.756611
1548475200000,2.75,2.7526,2.7312,2.7526,1293.14,3552.21,2.741865
1548478800000,2.7465,2.7548,2.7316,2.7466,6165.71,16907.86,2.7432
1548482400000,2.7447,2.7771,2.7447,2.7734,3433.57,9469.56,2.761351
1548486000000,2.7734,2.8237,2.7521,2.77,9478.76,26358.17,2.787909
1548489600000,2.78,2.79,2.7706,2.7706,3902.32,10854.11,2.780612
1548493200000,2.7811,2.7896,2.7618,2.7657,4041.74,11219.89,2.775891
1548496800000,2.7657,2.7729,2.735,2.7442,6228.31,17154.56,2.753863
1548500400000,2.7533,2.7609,2.7394,2.7609,1770.41,4859.48,2.749926
1548504000000,2.7532,2.7657,2.7236,2.7657,12164.84,33278.44,2.744316
1548507600000,2.7677,2.7789,2.6516,2.7134,38997.13,105505.43,2.714044
1548511200000,2.7131,2.72,2.7,2.7002,12164.02,32966.07,2.710389
1548514800000,2.71,2.7238,2.6812,2.7011,22165.49,59903.3,2.702466
1548518400000,2.696,2.7035,2.6877,2.6929,5586.6,15046.88,2.695611
1548522000000,2.6932,2.7028,2.6877,2.6924,2147.4,5781.66,2.695252
1548525600000,2.6885,2.6924,2.6675,2.6833,6271.34,16837.05,2.679884
1548529200000,2.6898,2.691,2.6607,2.6607,4981.37,13316.8,2.67603
1548532800000,2.6627,2.68,2.655,2.6574,4669.81,12448.83,2.667585
1548536400000,2.655,2.6898,2.6544,2.6551,5165.93,13788.05,2.6721
1548540000000,2.6559,2.6875,2.6559,2.6863,1372.18,3677.6,2.671881
1548543600000,2.6894,2.6898,2.677,2.677,2796.63,7496.09,2.683461
1548547200000,2.6713,2.6803,2.6201,2.6474,11406.36,30099.02,2.649825
1548550800000,2.655,2.655,2.6204,2.625,4908.44,12926.06,2.637168
1548554400000,2.632,2.64,2.6058,2.6166,8359.2,21893.93,2.622825
1548558000000,2.6281,2.6414,2.6102,2.62,16392.09,43062.53,2.62583
1548561600000,2.6175,2.6246,2.6058,2.607,2866.03,7482.6,2.61545
1548565200000,2.6073,2.6152,2.6,2.6,9346.61,24340.72,2.607842
1548568800000,2.6,2.6382,2.6,2.6222,3048.09,7972.31,2.619838
1548572400000,2.6341,2.6341,2.61,2.623,814.54,2136.53,2.621686
1548576000000,2.6204,2.7067,2.6127,2.6927,12936.24,34612.36,2.660247
1548579600000,2.6927,2.7229,2.6392,2.6913,22864.43,61480.43,2.681049
1548583200000,2.7,2.8099,2.6748,2.7888,47573.89,131757.78,2.742102
1548586800000,2.7958,2.8798,2.7372,2.8602,56247.41,158094.03,2.807452
1548590400000,2.86,2.8639,2.7456,2.7799,42916.85,120544.46,2.802782
1548594000000,2.7795,2.8161,2.7657,2.7914,23628.91,65916.73,2.790977
1548597600000,2.7986,2.7997,2.6103,2.7026,56317.6,152298.36,2.70187
1548601200000,2.7026,2.8219,2.6855,2.7865,24935.84,68582.23,2.754656
1548604800000,2.7731,2.7731,2.7091,2.77,14683.98,40295.5,2.741082
1548608400000,2.7789,2.8769,2.7708,2.8498,24906.99,70540.2,2.825044
1548612000000,2.8489,2.8729,2.77,2.86,31710.06,89529.91,2.821354
1548615600000,2.86,2.9399,2.7851,2.8047,66803.85,190959.9,2.863494
1548619200000,2.8132,2.8232,2.7627,2.7803,33942.93,94805.39,2.792647
1548622800000,2.78,2.78,2.7619,2.7621,6222.85,17241.81,2.770918
1548626400000,2.7621,2.78,2.725,2.725,17732.22,48678.87,2.753649
1548630000000,2.725,2.7256,2.6638,2.6726,19392.64,52297.52,2.693802
1548633600000,2.6729,2.7011,2.6566,2.6642,21310.96,57006.9,2.678949
1548637200000,2.658,2.6664,2.6202,2.6202,28404.41,75180.84,2.644144
1548640800000,2.6209,2.621,2.59,2.59,43302.4,112696.88,2.605517
1548644400000,2.588,2.588,2.4915,2.4925,54931.04,140125.14,2.539588
1548648000000,2.4925,2.5751,2.485,2.5127,42520.03,107359.98,2.530399
1548651600000,2.5108,2.6,2.4881,2.5997,26687.43,68459.87,2.541952
1548655200000,2.5997,2.71,2.5319,2.6478,50602.21,132245.07,2.620898
1548658800000,2.65,2.75,2.6302,2.701,51447.32,139080.61,2.690793
1548662400000,2.701,2.7191,2.62,2.65,27415.97,72582.66,2.669128
1548666000000,2.6495,2.71,2.6425,2.705,22061.46,59330.84,2.676047
1548669600000,2.6971,2.6972,2.6501,2.6685,10083.94,27014.64,2.672721
1548673200000,2.6662,2.6662,2.5879,2.6037,26002.36,68217.89,2.625553
1548676800000,2.615,2.6699,2.6033,2.6445,10414.84,27554.46,2.636953
1548680400000,2.6584,2.6584,2.6317,2.6566,1474.59,3908.51,2.645036
1548684000000,2.6401,2.6401,2.61,2.64,24588.09,64634.16,2.62505
1548687600000,2.64,2.6401,2.5703,2.6383,33063.12,86508.68,2.605195
1548691200000,2.6196,2.739,2.6133,2.7185,181145.47,487817.78,2.67745
1548694800000,2.7062,2.74,2.6689,2.7361,82753.72,225059.05,2.703678
1548698400000,2.7283,2.78,2.702,2.7066,101255.35,278710.91,2.741465
1548702000000,2.7127,2.77,2.6855,2.77,66602.66,183119.01,2.725984
1548705600000,2.7699,2.8571,2.7621,2.8399,140084.21,393299.92,2.810338
1548709200000,2.8399,2.8459,2.7798,2.7894,73929.27,209002.4,2.812542
1548712800000,2.7798,2.9099,2.7796,2.9097,88787.39,254531.39,2.84475
1548716400000,2.9005,2.9199,2.8588,2.879,63152.17,182471.07,2.889337
1548720000000,2.879,2.9834,2.8695,2.9538,69179.85,203908.5,2.927665
1548723600000,2.9498,2.9699,2.8632,2.8756,80457.28,236369.16,2.917079
1548727200000,2.8751,2.935,2.7879,2.8499,75515.18,216252.88,2.861442
1548730800000,2.8499,2.9137,2.8499,2.8992,48696.59,140126.64,2.883072
1548734400000,2.8983,2.9699,2.853,2.948,56130.2,164002.99,2.910896
1548738000000,2.9461,2.9476,2.8233,2.8699,62937.39,181465.28,2.883112
1548741600000,2.8673,2.909,2.7924,2.8586,49275.82,141237.32,2.850683
1548745200000,2.8571,2.8937,2.793,2.8357,61006.81,172479.6,2.843315
1548748800000,2.8357,2.93,2.826,2.9155,81632.83,236108.54,2.878414
1548752400000,2.927,2.9499,2.87,2.9352,70468.28,205989.31,2.909894
1548756000000,2.9341,3.0463,2.9001,2.9929,116056.36,345205.93,2.973609
1548759600000,2.9879,3.0231,2.9182,2.936,47363.48,141067.49,2.971217
1548763200000,2.9481,2.9495,2.86,2.9197,45411.27,131920.94,2.903997
1548766800000,2.9231,2.9231,2.86,2.86,44639.69,128680.25,2.89155
1548770400000,2.86,2.8898,2.8157,2.8528,46011.12,131129.18,2.852741
1548774000000,2.8681,2.8681,2.795,2.8277,48088.71,135668.12,2.830198
1548777600000,2.825,2.85,2.7614,2.8438,70598.49,197893.25,2.805373
1548781200000,2.8383,2.9282,2.8383,2.8892,97809.08,282785.33,2.884949
1548784800000,2.8976,2.9093,2.838,2.862,44420.83,127597.46,2.873241
1548788400000,2.862,2.9059,2.8432,2.9058,57337.29,165432.29,2.873251
1548792000000,2.9059,2.9531,2.896,2.9424,63012.0,184348.6,2.924596
1548795600000,2.9375,2.9682,2.9138,2.9682,53058.47,156259.92,2.939975
1548799200000,2.9667,2.9723,2.9199,2.9423,57366.59,169411.29,2.945619
1548802800000,2.9311,2.9598,2.9203,2.9478,32333.68,95186.46,2.940078
1548806400000,2.9478,2.9596,2.8323,2.839,70933.24,205528.36,2.89652
1548810000000,2.839,2.9119,2.839,2.9108,27763.54,79877.81,2.875626
1548813600000,2.9065,2.9575,2.8833,2.9357,34399.68,100764.66,2.920372
1548817200000,2.9354,2.96,2.9174,2.9509,31529.67,93020.39,2.938548
1548820800000,2.944,2.9855,2.9247,2.9855,44524.51,131934.86,2.953828
1548824400000,2.9751,3.0397,2.964,3.0249,57272.37,172398.48,3.002074
1548828000000,3.0335,3.0472,2.9887,3.0194,90710.46,274672.87,3.017825
1548831600000,2.9968,3.045,2.9966,3.0198,63861.26,193220.88,3.021548
1548835200000,3.0302,3.055,2.951,3.019,76238.82,229690.18,3.002937
1548838800000,3.0179,3.0315,2.8,2.9628,160854.42,467103.69,2.914678
1548842400000,2.9624,2.9771,2.9284,2.956,52583.96,155379.17,2.952722
1548846000000,2.9559,2.9777,2.9111,2.9412,58771.8,173252.56,2.944349
1548849600000,2.9398,2.9476,2.7079,2.8351,266388.66,749089.28,2.82476
1548853200000,2.8455,2.9215,2.8049,2.8885,171631.17,490247.03,2.863066
1548856800000,2.8936,3.02,2.8896,2.9723,140021.72,413558.16,2.956989
1548860400000,2.9727,2.976,2.8798,2.944,28462.22,83175.75,2.927207
1548864000000,2.9572,2.9605,2.909,2.95,19348.7,56986.98,2.934657
1548867600000,2.9499,2.9684,2.9366,2.9392,12892.48,38051.72,2.952732
1548871200000,2.9376,2.968,2.9158,2.9344,17919.69,52570.36,2.941906
1548874800000,2.9309,2.9309,2.8877,2.9027,16727.48,48598.08,2.908406
1548878400000,2.9048,2.9048,2.8459,2.8685,14041.52,40322.42,2.874164
1548882000000,2.8815,2.8824,2.8501,2.8699,8648.03,24783.67,2.865935
1548885600000,2.879,2.92,2.879,2.9159,12342.94,35836.66,2.900021
1548889200000,2.9159,2.9159,2.856,2.8729,8819.49,25415.56,2.8847
1548892800000,2.8783,2.9061,2.8631,2.8737,15895.73,45733.22,2.884625
1548896400000,2.8742,2.8829,2.8563,2.8725,10848.13,31182.21,2.869596
1548900000000,2.8629,2.8885,2.8623,2.8885,1992.58,5729.28,2.875306
1548903600000,2.8893,2.9051,2.8601,2.8645,2977.03,8562.0,2.883068
1548907200000,2.8654,2.8895,2.849,2.8557,7517.77,21539.32,2.869377
1548910800000,2.855,2.8945,2.8207,2.8612,23834.83,68030.44,2.857599
1548914400000,2.8613,2.8644,2.8214,2.8427,8228.97,23418.3,2.842453
1548918000000,2.847,2.8648,2.8297,2.8459,3487.29,9927.32,2.84725
1548921600000,2.8493,2.8753,2.7701,2.8451,57274.56,161327.5,2.82269
1548925200000,2.8453,2.9,2.845,2.8561,24924.09,71631.53,2.872712
1548928800000,2.8592,2.8807,2.7511,2.7801,60782.6,170587.41,2.815515
1548932400000,2.78,2.8106,2.7559,2.7836,25880.33,71886.63,2.783252
1548936000000,2.7836,2.8161,2.77,2.8006,19449.34,54329.06,2.793083
1548939600000,2.7996,2.861,2.7956,2.8215,21244.14,60154.13,2.828812
1548943200000,2.8285,2.8446,2.8072,2.8354,9539.68,26933.8,2.825848
1548946800000,2.8361,2.852,2.8204,2.8297,12159.38,34542.97,2.836234
1548950400000,2.8347,2.84,2.8204,2.8315,6446.5,18258.44,2.830181
1548954000000,2.829,2.8315,2.789,2.8038,14974.89,42029.08,2.809657
1548957600000,2.8038,2.8065,2.7849,2.7886,6383.7,17820.34,2.795629
1548961200000,2.7892,2.8284,2.7794,2.8085,11397.54,31980.2,2.804104
1548964800000,2.8125,2.8125,2.7925,2.8027,6547.75,18330.95,2.802174
1548968400000,2.7992,2.7992,2.7857,2.7886,4541.04,12672.42,2.792186
1548972000000,2.7935,2.8262,2.7895,2.8123,4822.13,13532.56,2.808198
1548975600000,2.8116,2.816,2.772,2.773,4489.15,12491.39,2.794405
1548979200000,2.7768,2.779,2.735,2.7462,22236.07,61224.84,2.756381
1548982800000,2.7461,2.7621,2.71,2.71,19273.38,52511.8,2.737141
1548986400000,2.71,2.7331,2.6938,2.7023,16699.89,45198.75,2.713521
1548990000000,2.7016,2.7026,2.6483,2.6863,31355.28,83662.83,2.675075
1548993600000,2.6884,2.7035,2.655,2.6719,7915.43,21194.96,2.679223
1548997200000,2.675,2.6941,2.663,2.6837,15036.48,40276.53,2.678534
1549000800000,2.6837,2.7,2.6683,2.6963,9325.63,25056.06,2.683909
1549004400000,2.6966,2.7586,2.6734,2.7342,33464.62,91271.07,2.716031
