Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1644301800000,0.6868,0.879,0.6868,0.7865,9171094.0,7364650.61,0.786236
1644302700000,0.7859,0.79,0.7603,0.7836,1286654.8,1000077.25,0.775136
1644303600000,0.7836,0.8183,0.768,0.7801,2248083.3,1792536.74,0.793164
1644304500000,0.7801,0.839,0.779,0.8091,1440428.7,1157956.72,0.809893
1644305400000,0.8118,0.835,0.7872,0.7876,1083504.4,879307.31,0.811881
1644306300000,0.7876,0.8119,0.7872,0.8045,597859.9,476780.33,0.800014
1644307200000,0.8045,0.8047,0.7605,0.7699,714818.7,559796.9,0.781768
1644308100000,0.7689,0.79,0.761,0.7767,582636.9,450027.15,0.77555
1644309000000,0.7758,0.794,0.7655,0.777,643631.4,503821.43,0.779751
1644309900000,0.777,0.7873,0.767,0.7736,491775.4,381894.93,0.777163
1644310800000,0.7732,0.793,0.7606,0.761,694766.3,540610.73,0.777156
1644311700000,0.761,0.7709,0.7551,0.7597,511244.3,389144.79,0.763004
1644312600000,0.7597,0.7713,0.7508,0.7563,412829.4,312875.56,0.761071
1644313500000,0.7559,0.78,0.7527,0.7639,350915.3,267270.89,0.766492
1644314400000,0.7625,0.7684,0.7568,0.7592,351894.7,267751.8,0.762636
1644315300000,0.7592,0.7625,0.7512,0.761,157855.0,119658.41,0.756829
1644316200000,0.7605,0.7614,0.7533,0.7592,110261.6,83618.11,0.757334
1644317100000,0.7592,0.76,0.7522,0.7537,142275.1,107663.45,0.75605
1644318000000,0.7533,0.7575,0.745,0.7497,435215.3,326788.3,0.751245
1644318900000,0.7499,0.7509,0.7379,0.7439,341264.4,254814.56,0.744259
1644319800000,0.7439,0.75,0.73,0.7373,479308.0,354146.17,0.739983
1644320700000,0.7373,0.7851,0.7373,0.7784,830395.5,637852.81,0.76196
1644321600000,0.7789,0.7845,0.755,0.7757,411556.6,316037.92,0.769728
1644322500000,0.7758,0.7772,0.74,0.7436,443194.4,334491.12,0.758346
1644323400000,0.7431,0.7597,0.735,0.7457,320000.0,238207.84,0.747358
1644324300000,0.7458,0.7569,0.7369,0.7472,226347.6,169198.8,0.7469
1644325200000,0.7479,0.7591,0.7468,0.7547,144816.5,109089.95,0.753087
1644326100000,0.7547,0.775,0.751,0.7678,405913.9,308726.83,0.763141
1644327000000,0.7678,0.7742,0.757,0.7622,230494.0,176080.91,0.765616
1644327900000,0.7622,0.775,0.7596,0.7664,216344.6,166211.44,0.767357
1644328800000,0.7666,0.7698,0.7449,0.7484,316217.3,238880.27,0.757327
1644329700000,0.7491,0.7644,0.7452,0.7516,206378.8,155425.34,0.754819
1644330600000,0.7515,0.7537,0.746,0.7475,146280.1,109688.7,0.749875
1644331500000,0.7466,0.7497,0.7235,0.73,554596.5,407795.42,0.73641
1644332400000,0.73,0.742,0.7169,0.7291,590047.7,430783.08,0.72945
1644333300000,0.7289,0.7291,0.7152,0.7253,409243.7,295511.3,0.722066
1644334200000,0.7253,0.7401,0.7233,0.7358,273107.1,199926.32,0.731824
1644335100000,0.7387,0.7529,0.731,0.736,359182.8,266120.1,0.741968
1644336000000,0.736,0.7433,0.7353,0.7369,132150.9,97593.56,0.739309
1644336900000,0.7369,0.7596,0.7369,0.7567,325008.4,243511.33,0.748591
