Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1644300000000,0.6868,0.879,0.6868,0.8045,15827625.1,12671308.95,0.786754
1644307200000,0.8045,0.8047,0.7508,0.7639,4402617.7,3405442.38,0.776684
1644314400000,0.7625,0.7851,0.73,0.7784,2848469.6,2152293.6,0.757276
1644321600000,0.7789,0.7845,0.735,0.7664,2398667.6,1818044.81,0.759541
1644328800000,0.7666,0.7698,0.7152,0.736,2855054.0,2104130.53,0.74175
1644336000000,0.736,0.7615,0.6954,0.701,2229126.1,1624355.74,0.7292
1644343200000,0.7011,0.733,0.688,0.6925,1777076.0,1258086.2,0.710626
1644350400000,0.694,0.7714,0.6931,0.7667,2914549.5,2154241.82,0.732772
1644357600000,0.7637,0.7798,0.7421,0.7626,2428941.3,1852922.32,0.76095
1644364800000,0.7625,0.82,0.7439,0.7839,3037341.4,2364189.89,0.782126
1644372000000,0.7827,0.7869,0.7394,0.7462,1104706.5,834914.45,0.762925
1644379200000,0.7461,0.7516,0.7258,0.7343,661381.5,487935.31,0.738617
1644386400000,0.7343,0.7416,0.7262,0.7361,561834.7,412474.09,0.733896
1644393600000,0.7341,0.7362,0.7166,0.719,823736.3,595823.7,0.726374
1644400800000,0.719,0.7392,0.7121,0.7321,909653.7,658734.35,0.725656
1644408000000,0.7332,0.7641,0.7271,0.7367,1869925.5,1394346.66,0.745624
1644415200000,0.7365,0.7488,0.7322,0.7344,786497.6,582847.09,0.74052
1644422400000,0.7336,0.7592,0.7278,0.7404,1283608.8,954797.4,0.743577
1644429600000,0.7406,0.76,0.7262,0.7522,856379.2,638825.79,0.743
1644436800000,0.7545,0.76,0.7393,0.7394,697772.7,524893.01,0.750064
1644444000000,0.7395,0.7473,0.7291,0.7329,505772.6,374428.61,0.738268
1644451200000,0.7329,0.7355,0.7104,0.7213,676260.1,486971.74,0.722716
1644458400000,0.7204,0.723,0.6993,0.6996,915511.1,649072.04,0.711424
1644465600000,0.6999,0.715,0.6962,0.7098,513529.3,361407.1,0.705656
1644472800000,0.7098,0.73,0.7007,0.7108,828691.1,591469.68,0.715351
1644480000000,0.7115,0.737,0.7021,0.7264,781812.9,562455.11,0.719579
1644487200000,0.7245,0.74,0.716,0.7231,1143742.9,838473.05,0.728004
1644494400000,0.7231,0.7293,0.67,0.6801,1957699.9,1362826.93,0.699355
1644501600000,0.6801,0.7352,0.6593,0.7052,1859729.2,1303679.3,0.697379
1644508800000,0.7041,0.7335,0.6911,0.7163,1112866.7,795808.28,0.712344
1644516000000,0.7172,0.7172,0.6803,0.6803,917324.8,634746.17,0.69875
1644523200000,0.6815,0.6914,0.6755,0.6824,305113.2,208742.26,0.683451
1644530400000,0.6838,0.692,0.6576,0.6637,402011.5,270603.58,0.674898
1644537600000,0.6649,0.666,0.6322,0.653,1270247.9,823877.04,0.648785
1644544800000,0.6542,0.6582,0.6421,0.654,200931.7,130041.96,0.65015
1644552000000,0.6528,0.6561,0.6404,0.6447,163790.5,106207.92,0.648214
1644559200000,0.6447,0.6793,0.6427,0.6669,532994.2,352226.51,0.661527
1644566400000,0.6681,0.674,0.6467,0.6591,469162.6,309906.76,0.660259
1644573600000,0.659,0.6608,0.6514,0.654,389588.3,255588.55,0.65607
1644580800000,0.654,0.6687,0.6488,0.66,669053.7,440421.94,0.658791
1644588000000,0.6594,0.6877,0.6571,0.6761,1116146.6,751141.46,0.672774
1644595200000,0.6761,0.6773,0.6584,0.6643,408905.3,271914.93,0.667596
1644602400000,0.6639,0.6745,0.5741,0.58,3355477.8,2052493.0,0.624797
1644609600000,0.58,0.604,0.5587,0.5868,3152291.3,1825070.26,0.581338
1644616800000,0.5868,0.6,0.576,0.58,635798.1,373244.97,0.588094
1644624000000,0.5792,0.593,0.576,0.5897,300712.5,175986.78,0.584505
1644631200000,0.5894,0.5903,0.5742,0.5761,279091.2,162467.5,0.582147
