Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1606219200000,0.1437,0.18,0.1437,0.1587,1145291.13,180547.67,0.162325
1606226400000,0.1577,0.1637,0.1505,0.1616,638038.02,99567.23,0.157043
1606233600000,0.1612,0.2,0.1599,0.1611,1754725.62,288862.04,0.17995
1606240800000,0.1612,0.1664,0.16,0.1646,683059.14,111264.6,0.163223
1606248000000,0.1645,0.1675,0.1521,0.1597,733962.86,117922.25,0.159743
1606255200000,0.1596,0.1665,0.1581,0.1657,253067.4,41112.17,0.162247
1606262400000,0.1657,0.2172,0.1655,0.1958,12066597.11,2364889.36,0.192331
1606269600000,0.1956,0.1995,0.1779,0.1801,3929407.09,733158.5,0.188826
1606276800000,0.1801,0.1911,0.1756,0.1857,2912903.15,534093.25,0.183365
1606284000000,0.1853,0.1918,0.1789,0.1915,1705603.82,317783.71,0.185163
1606291200000,0.1915,0.198,0.1855,0.1923,2132167.39,408843.58,0.19175
1606298400000,0.1925,0.21,0.188,0.1991,3778403.7,747234.67,0.199074
1606305600000,0.1994,0.2022,0.1863,0.1906,3164970.85,620520.45,0.194188
1606312800000,0.1911,0.203,0.189,0.201,2042757.84,403964.52,0.195993
1606320000000,0.201,0.2027,0.1835,0.1926,2545444.17,496033.01,0.192914
1606327200000,0.1931,0.197,0.1872,0.189,1000849.88,192652.64,0.192148
1606334400000,0.189,0.1894,0.1748,0.1849,1564113.24,284859.6,0.182002
1606341600000,0.1839,0.202,0.15,0.1831,7977971.72,1419158.42,0.176
1606348800000,0.1826,0.188,0.1743,0.1838,3662516.96,662034.72,0.181146
1606356000000,0.1835,0.1876,0.151,0.1793,3534057.42,606332.83,0.16926
1606363200000,0.1793,0.2,0.1644,0.1828,2220756.07,388784.13,0.182203
1606370400000,0.1828,0.1954,0.156,0.1643,3758725.92,666058.35,0.175825
1606377600000,0.1642,0.1667,0.1419,0.161,3592178.67,547580.99,0.154265
1606384800000,0.1604,0.175,0.1542,0.1591,2780362.57,452946.37,0.164605
1606392000000,0.1595,0.1636,0.154,0.1545,783871.15,124486.25,0.158931
1606399200000,0.1547,0.1605,0.1472,0.1515,2067423.2,316038.62,0.153861
1606406400000,0.1505,0.1597,0.1425,0.151,1370992.07,202998.81,0.1511
1606413600000,0.1507,0.1799,0.1451,0.1508,1477261.3,226973.97,0.1625
1606420800000,0.1514,0.1636,0.1507,0.158,1270299.17,199210.92,0.157322
1606428000000,0.1579,0.1606,0.1556,0.159,429817.44,67864.73,0.158096
1606435200000,0.159,0.1689,0.1568,0.1648,1816744.27,299399.06,0.162908
1606442400000,0.1648,0.1655,0.156,0.1591,461590.52,73777.57,0.160631
1606449600000,0.1591,0.1708,0.1581,0.1657,938979.52,153865.46,0.164598
1606456800000,0.1655,0.1666,0.1617,0.1626,552528.31,90614.23,0.16416
1606464000000,0.1636,0.1636,0.1516,0.1568,906694.47,142957.48,0.157373
1606471200000,0.1567,0.1639,0.1566,0.1582,364706.67,58407.47,0.16028
1606478400000,0.1581,0.1679,0.1578,0.164,1606818.98,264176.25,0.163018
1606485600000,0.164,0.1661,0.1569,0.1579,1355169.84,220248.23,0.161568
1606492800000,0.1579,0.1644,0.1577,0.1626,674910.97,108685.68,0.161162
1606500000000,0.1615,0.164,0.1596,0.1608,274568.28,44469.29,0.161804
1606507200000,0.1607,0.1655,0.1598,0.1649,248286.28,40565.81,0.162626
1606514400000,0.165,0.1745,0.1641,0.1745,744359.66,126906.09,0.169181
1606521600000,0.1737,0.1875,0.1701,0.1818,2883304.08,522866.72,0.17886
1606528800000,0.1823,0.1879,0.1756,0.1794,2370086.97,430951.96,0.181763
1606536000000,0.1795,0.1814,0.1749,0.1761,1192430.86,211126.5,0.178176
1606543200000,0.1768,0.1829,0.1766,0.1825,1413490.16,254954.97,0.179776
1606550400000,0.1825,0.1907,0.1773,0.1836,3229521.24,597865.25,0.184002
1606557600000,0.1842,0.1909,0.1792,0.1839,4884795.14,898223.32,0.18505
1606564800000,0.1838,0.1882,0.181,0.1853,1408413.35,259288.21,0.184601
1606572000000,0.1857,0.1893,0.1825,0.1847,1652534.33,306467.35,0.185904
1606579200000,0.1849,0.1883,0.1799,0.1844,1712955.39,317282.93,0.1841
1606586400000,0.1844,0.185,0.1815,0.1845,221950.04,40705.79,0.18325
1606593600000,0.1845,0.1862,0.1794,0.182,592978.84,108223.94,0.182784
1606600800000,0.1819,0.1842,0.1809,0.1818,395685.22,72261.88,0.18255
1606608000000,0.181,0.182,0.1711,0.1763,1968155.32,347099.1,0.176448
1606615200000,0.1758,0.1776,0.174,0.1758,486757.8,85480.33,0.1758
1606622400000,0.1755,0.1781,0.175,0.1761,650168.2,114966.33,0.176557
1606629600000,0.1762,0.1781,0.173,0.178,560510.19,98307.11,0.1755
1606636800000,0.1776,0.187,0.1775,0.1793,1124328.82,202900.71,0.182281
1606644000000,0.1797,0.1799,0.1737,0.1775,669867.23,119016.16,0.176741
1606651200000,0.1775,0.1785,0.173,0.1767,1454686.15,254422.7,0.175743
