Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1527753600000,0.28021,0.306,0.28021,0.29118,792848.61,233261.63,0.293456
1527760800000,0.29109,0.29419,0.2875,0.29049,746818.87,216834.38,0.290845
1527768000000,0.29049,0.29528,0.28959,0.29304,1696842.48,496310.5,0.29247
1527775200000,0.29376,0.30397,0.29282,0.30185,2894956.78,864786.89,0.298484
1527782400000,0.30185,0.30198,0.29635,0.2995,2359635.5,707355.37,0.299096
1527789600000,0.29987,0.30489,0.29501,0.29787,2074316.95,620778.29,0.299961
1527796800000,0.29775,0.3,0.29511,0.29621,1342190.76,398921.92,0.29757
1527804000000,0.29621,0.29799,0.28799,0.29568,1950726.63,569456.32,0.292988
1527811200000,0.29567,0.29999,0.29196,0.29431,1671123.33,495757.39,0.295982
1527818400000,0.29476,0.29594,0.29059,0.29434,1337982.7,393708.42,0.293263
1527825600000,0.29435,0.29435,0.29,0.29036,1695671.75,494701.83,0.292127
1527832800000,0.29084,0.29727,0.28996,0.29636,1581628.5,465138.57,0.293617
1527840000000,0.29638,0.29799,0.294,0.29545,1721439.5,508555.4,0.295996
1527847200000,0.29545,0.298,0.2863,0.2863,1763268.64,518269.79,0.29238
1527854400000,0.2863,0.28867,0.2857,0.28776,1592594.5,456784.57,0.287195
1527861600000,0.28721,0.2898,0.2857,0.2898,1855274.07,532788.22,0.287666
1527868800000,0.28849,0.29,0.28,0.28556,1692789.0,486352.96,0.284956
1527876000000,0.28557,0.28573,0.27963,0.28326,2619572.37,737931.76,0.282615
1527883200000,0.28326,0.28592,0.28196,0.28354,1427006.55,404707.3,0.283941
1527890400000,0.28366,0.28958,0.2835,0.28863,1405143.45,403310.63,0.286619
1527897600000,0.28869,0.294,0.28812,0.29283,1629676.48,473292.18,0.291102
1527904800000,0.29383,0.29397,0.28968,0.28982,1251625.43,365649.77,0.291825
1527912000000,0.28982,0.29289,0.2898,0.29191,1763074.88,513224.93,0.291407
1527919200000,0.29211,0.298,0.28865,0.296,2052205.45,604246.89,0.293292
1527926400000,0.29601,0.30489,0.29601,0.2996,2047136.84,612566.73,0.300563
1527933600000,0.2996,0.301,0.298,0.29997,2540557.93,761630.78,0.299499
1527940800000,0.29994,0.30175,0.29858,0.30054,2197902.46,659397.54,0.300164
1527948000000,0.30054,0.30268,0.29781,0.29817,1665061.74,499647.45,0.300301
1527955200000,0.2982,0.29959,0.29297,0.296,1673609.28,496484.69,0.296257
1527962400000,0.29557,0.3,0.295,0.29888,1897822.46,565720.21,0.297534
1527969600000,0.29888,0.2999,0.29514,0.29875,1735490.07,516393.96,0.29752
1527976800000,0.29875,0.29997,0.29651,0.2974,1377111.51,410478.67,0.298247
1527984000000,0.29741,0.30197,0.2968,0.30002,1779111.63,533122.81,0.299431
1527991200000,0.30001,0.30032,0.29651,0.29889,1259772.76,376736.17,0.298392
1527998400000,0.29889,0.29983,0.29809,0.2994,1525594.32,456022.43,0.298956
1528005600000,0.2994,0.30809,0.29742,0.30651,2397349.74,725977.86,0.30273
1528012800000,0.30652,0.312,0.306,0.30746,1951059.42,601592.3,0.309012
1528020000000,0.30747,0.30854,0.30448,0.30512,1656148.25,506870.14,0.30653
1528027200000,0.30519,0.312,0.30501,0.30915,2346397.88,719820.57,0.308621
1528034400000,0.30918,0.30999,0.30562,0.30911,1610658.49,494815.11,0.307805
1528041600000,0.30912,0.30973,0.30154,0.30388,2408987.45,735946.53,0.305536
1528048800000,0.30344,0.30609,0.29838,0.30376,1769235.97,534629.48,0.302234
1528056000000,0.30377,0.30422,0.30089,0.30158,1376159.85,415875.5,0.30254
1528063200000,0.30134,0.30567,0.30065,0.30405,1559555.5,470872.93,0.303197
1528070400000,0.30406,0.31104,0.30289,0.30766,1542226.08,473778.49,0.307022
1528077600000,0.30764,0.30766,0.3013,0.30438,1237984.74,376813.98,0.304372
1528084800000,0.30436,0.31,0.30333,0.30553,1489042.92,456039.59,0.306678
1528092000000,0.30475,0.30612,0.2962,0.29754,1854946.55,556359.59,0.301162
