Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1552622400000,51.99,52.0,51.03,52.0,510.14214,26319.73,51.514987
1552626000000,51.95,52.0,50.98,50.99,203.00351,10379.3,51.495689
1552629600000,50.99,51.8,50.87,50.87,385.02169,19670.77,51.336693
1552633200000,50.85,51.02,50.85,51.02,71.11745,3626.39,50.935
1552636800000,51.02,51.24,50.9,51.0,47.24277,2408.83,51.070052
1552640400000,51.0,51.25,51.0,51.25,140.01962,7153.16,51.125
1552644000000,51.31,51.63,51.13,51.34,59.4991,3053.59,51.38005
1552647600000,51.33,51.68,51.33,51.68,116.40336,5999.62,51.505
1552651200000,51.59,51.59,51.25,51.41,75.91413,3899.51,51.413972
1552654800000,51.42,51.67,48.67,51.19,1586.49891,80837.16,50.16833
1552658400000,51.42,51.42,51.0,51.08,261.12539,13353.7,51.202163
1552662000000,51.08,51.88,51.0,51.76,523.09023,26808.86,51.443509
1552665600000,51.76,52.15,51.62,51.73,160.9976,8352.22,51.885112
1552669200000,51.99,52.15,51.8,52.09,177.78383,9249.32,51.973646
1552672800000,51.8,51.98,51.65,51.98,48.35578,2507.77,51.808973
1552676400000,52.12,52.22,52.12,52.13,82.07969,4280.46,52.170113
1552680000000,52.17,52.19,51.77,51.82,141.91824,7360.11,51.976849
1552683600000,51.97,51.97,51.65,51.82,133.95853,6931.25,51.805059
1552687200000,51.82,52.08,51.82,51.87,120.9635,6293.22,51.95098
1552690800000,52.05,52.1,51.84,52.1,63.40223,3290.97,51.96902
1552694400000,52.1,52.45,52.1,52.38,116.9402,6114.28,52.281667
1552698000000,52.38,52.66,52.36,52.63,189.22512,9933.37,52.51105
1552701600000,52.53,52.77,52.49,52.63,166.69304,8780.05,52.631647
1552705200000,52.63,53.08,52.63,52.72,811.69022,42862.92,52.856818
1552708800000,52.83,53.78,52.83,53.63,784.01471,41990.8,53.321162
1552712400000,53.67,54.21,53.67,54.02,250.83273,13540.86,53.951148
1552716000000,54.2,54.24,53.72,53.81,648.19927,34932.76,53.975909
1552719600000,53.7,54.01,53.62,53.8,118.67208,6383.01,53.816086
1552723200000,53.71,53.81,53.17,53.77,326.08384,17405.2,53.489449
1552726800000,53.73,53.99,53.56,53.95,57.5219,3088.59,53.770448
1552730400000,53.95,54.89,53.6,54.08,834.00959,45360.04,54.245585
1552734000000,54.08,54.21,53.78,53.9,247.97349,13397.28,53.995229
1552737600000,53.9,53.99,52.75,53.26,381.87901,20403.76,53.355017
1552741200000,53.02,53.42,52.87,53.38,253.90368,13500.92,53.138402
1552744800000,53.12,54.13,53.12,53.77,509.17757,27422.14,53.645791
1552748400000,53.77,53.79,53.25,53.25,72.53295,3870.81,53.523018
1552752000000,53.25,53.53,52.99,53.21,169.03196,9002.31,53.260041
1552755600000,53.21,53.35,52.78,53.33,456.30238,24198.98,53.062703
1552759200000,53.29,53.34,52.76,53.05,711.44645,37718.62,53.044634
1552762800000,53.06,53.56,52.93,53.26,295.49702,15735.62,53.247197
1552766400000,53.4,53.4,53.12,53.14,350.53857,18655.33,53.257252
1552770000000,53.15,53.25,53.03,53.09,127.72733,6779.93,53.140379
1552773600000,53.09,53.4,52.96,53.3,139.84397,7449.2,53.179094
1552777200000,53.36,53.61,53.3,53.35,83.72385,4471.28,53.455026
1552780800000,53.56,53.57,52.77,52.88,359.30441,19036.15,53.158978
1552784400000,52.96,53.39,52.77,52.81,187.10215,9946.86,53.082896
1552788000000,52.75,52.89,52.3,52.57,278.37076,14620.84,52.593451
1552791600000,52.31,52.44,52.14,52.14,63.14001,3300.95,52.295674
1552795200000,52.0,52.06,51.6,51.78,410.92706,21298.87,51.826361
1552798800000,51.61,51.84,51.61,51.71,24.44114,1265.29,51.728224
1552802400000,51.75,52.0,51.63,51.94,133.29599,6906.41,51.812883
1552806000000,51.98,52.13,51.95,52.12,54.58368,2837.84,52.038218
1552809600000,52.12,52.15,51.76,52.0,207.74141,10824.06,51.952455
1552813200000,51.84,52.09,51.54,52.09,220.11344,11424.45,51.80683
1552816800000,52.09,52.45,51.92,52.44,142.35604,7434.37,52.175211
1552820400000,52.44,52.7,52.3,52.42,62.69969,3290.91,52.500044
1552824000000,52.48,52.48,51.85,52.0,205.8218,10711.98,52.152268
1552827600000,52.0,52.12,51.88,52.12,111.22645,5784.46,51.996
1552831200000,52.12,52.62,52.06,52.6,86.79363,4547.32,52.3355
1552834800000,52.55,52.6,52.31,52.31,60.91734,3195.15,52.460165
1552838400000,52.31,52.73,52.24,52.35,100.20972,5249.35,52.485259
1552842000000,52.42,52.48,52.37,52.46,41.97548,2200.27,52.424487
1552845600000,52.43,52.52,52.37,52.37,37.60531,1971.82,52.446875
1552849200000,52.41,52.51,52.34,52.51,112.26508,5892.3,52.421686
1552852800000,52.4,52.5,52.31,52.5,29.40575,1540.73,52.401652
1552856400000,52.5,52.69,52.37,52.37,116.45311,6123.0,52.534088
1552860000000,52.52,52.66,52.39,52.45,167.46684,8804.83,52.525684
1552863600000,52.29,52.5,52.27,52.36,100.75797,5284.54,52.386422
1552867200000,52.38,52.84,52.32,52.81,175.68401,9233.91,52.576907
1552870800000,52.81,53.01,52.7,52.76,173.75255,9176.92,52.855458
1552874400000,52.75,52.91,52.53,52.81,110.73361,5832.29,52.719624
1552878000000,52.62,52.77,52.62,52.62,71.11353,3745.79,52.695
1552881600000,52.65,52.83,52.64,52.66,16.01146,843.88,52.735055
1552885200000,52.53,52.54,51.95,51.95,335.97307,17628.62,52.246593
1552888800000,51.9,52.18,51.81,51.99,75.03781,3902.11,51.995751
1552892400000,51.8,51.93,51.63,51.76,117.04106,6061.78,51.78
1552896000000,51.76,51.99,51.56,51.93,296.77739,15345.6,51.772154
1552899600000,51.91,52.0,51.56,51.56,126.83833,6587.6,51.788456
1552903200000,51.72,52.19,51.72,52.19,200.21099,10395.23,51.955
1552906800000,52.09,52.09,51.27,51.77,394.35705,20342.91,51.670105
1552910400000,51.52,51.76,51.52,51.75,52.32575,2707.04,51.64149
1552914000000,51.75,52.03,51.69,52.03,143.81948,7453.83,51.853875
1552917600000,51.96,51.96,51.59,51.69,140.42883,7260.63,51.767321
1552921200000,51.7,51.85,51.66,51.7,64.30485,3324.52,51.755
1552924800000,51.7,52.06,51.63,52.06,78.3126,4061.37,51.837564
1552928400000,52.06,52.21,51.8,52.0,227.90467,11839.11,52.004865
1552932000000,52.03,52.25,51.8,51.9,128.31584,6667.64,52.026279
1552935600000,51.75,51.78,51.44,51.63,268.83063,13896.4,51.607429
1552939200000,51.65,51.85,51.65,51.75,143.20909,7416.03,51.753333
1552942800000,51.75,51.79,51.44,51.79,468.97797,24251.26,51.614492
1552946400000,51.85,51.96,51.81,51.96,37.72961,1956.5,51.881893
1552950000000,51.9,52.06,51.7,52.06,190.11145,9865.0,51.874805
1552953600000,51.93,52.09,51.91,52.09,102.16129,5308.74,51.997538
1552957200000,51.97,52.07,51.83,51.83,6.61917,343.92,51.954649
1552960800000,51.83,51.87,51.81,51.81,13.07493,677.62,51.840571
1552964400000,51.99,52.02,51.71,51.9,42.82936,2222.37,51.863278
1552968000000,51.9,51.96,51.61,51.85,195.78658,10150.07,51.784538
1552971600000,51.88,51.92,51.75,51.85,59.69182,3095.33,51.834765
1552975200000,51.77,52.0,51.76,51.91,121.24722,6295.98,51.883719
1552978800000,51.85,51.92,51.72,51.92,133.37477,6912.6,51.817946
1552982400000,51.85,51.9,51.76,51.8,322.65073,16716.38,51.830165
1552986000000,51.9,52.3,51.84,52.3,205.47679,10689.41,52.063007
1552989600000,52.21,52.38,51.93,52.14,320.17338,16715.57,52.154878
1552993200000,52.24,52.44,51.97,51.97,200.7133,10464.13,52.213992
1552996800000,52.21,52.26,51.98,52.13,564.07781,29357.83,52.118958
1553000400000,52.3,52.3,52.17,52.17,105.30006,5495.06,52.235
1553004000000,52.17,52.6,52.1,52.41,897.99047,47002.01,52.353667
1553007600000,52.41,52.6,52.29,52.34,485.51634,25453.56,52.445904
1553011200000,52.34,52.72,52.33,52.69,940.79001,49526.96,52.527521
1553014800000,52.54,52.7,52.54,52.57,227.6054,11987.14,52.620576
1553018400000,52.7,54.0,52.6,53.36,725.8882,38564.4,53.315884
1553022000000,53.45,53.53,52.91,52.95,370.90722,19760.44,53.223883
1553025600000,52.95,53.08,52.9,52.99,89.18762,4722.52,52.99025
1553029200000,52.89,52.99,52.49,52.6,208.63234,11015.82,52.739541
1553032800000,52.57,52.99,52.57,52.81,195.12366,10294.19,52.788
1553036400000,52.82,53.02,52.76,52.9,33.05239,1748.6,52.890727
1553040000000,52.83,53.1,52.61,52.61,115.65095,6102.71,52.862164
1553043600000,52.62,52.75,52.53,52.6,162.58858,8562.03,52.640062
1553047200000,52.7,52.9,52.54,52.54,291.33823,15364.47,52.725195
1553050800000,52.56,52.73,52.5,52.63,112.36154,5913.27,52.615474
1553054400000,52.53,52.67,52.45,52.55,106.29337,5584.28,52.560041
1553058000000,52.68,53.0,52.41,53.0,260.03339,13708.16,52.694284
1553061600000,52.77,53.59,52.77,53.05,336.64215,17877.73,53.188107
1553065200000,53.31,54.19,53.26,53.77,709.07777,38164.89,53.737052
1553068800000,53.77,54.02,53.26,53.68,647.64508,34730.68,53.639701
1553072400000,53.65,53.9,53.65,53.74,126.06328,6780.84,53.777679
1553076000000,53.65,53.76,53.2,53.74,909.19695,48484.65,53.478603
1553079600000,53.75,53.9,53.3,53.5,495.0023,26561.9,53.598866
1553083200000,53.64,53.88,53.23,53.88,681.06343,36441.1,53.547766
1553086800000,53.72,54.0,53.55,53.83,441.11224,23702.24,53.775
1553090400000,53.84,54.07,53.73,54.0,248.41537,13396.14,53.898828
1553094000000,54.01,54.13,53.9,54.11,417.68337,22574.73,54.012768
1553097600000,54.12,54.25,53.85,53.85,468.33495,25364.71,54.058356
1553101200000,54.0,54.1,53.85,53.87,92.49842,4990.34,53.9779
1553104800000,54.0,54.18,53.87,54.1,60.79932,3282.3,54.024332
1553108400000,54.1,54.34,54.05,54.06,158.15179,8579.72,54.19555
1553112000000,54.24,54.27,54.1,54.17,200.23414,10851.07,54.184115
1553115600000,54.11,54.31,54.1,54.1,121.53969,6580.66,54.205057
1553119200000,54.1,54.6,53.96,54.31,492.78663,26783.71,54.282075
1553122800000,54.33,54.6,53.77,54.19,686.41509,37285.9,54.184463
1553126400000,54.29,54.29,53.91,53.91,431.11699,23286.09,54.1
1553130000000,53.91,54.02,53.49,53.69,337.06458,18104.27,53.752974
1553133600000,53.73,53.88,53.57,53.81,8.34882,448.55,53.724238
1553137200000,53.84,53.94,53.61,53.93,129.97188,6992.06,53.772916
1553140800000,53.91,53.92,53.77,53.77,150.98749,8128.82,53.846392
1553144400000,53.77,53.77,53.46,53.63,97.62676,5232.74,53.610433
1553148000000,53.67,53.74,53.56,53.58,81.55732,4373.43,53.651667
1553151600000,53.58,54.06,53.58,54.06,606.57742,32640.6,53.82
1553155200000,53.87,54.02,53.87,53.87,99.43393,5367.82,53.945
1553158800000,53.95,53.95,53.73,53.73,93.79077,5048.45,53.84
1553162400000,53.81,54.0,53.81,53.99,65.73514,3542.68,53.906446
1553166000000,53.99,54.09,53.71,53.78,300.36903,16194.99,53.90124
1553169600000,53.93,54.07,53.63,53.66,270.98282,14602.43,53.855716
1553173200000,53.62,53.95,53.16,53.28,317.98373,16986.46,53.560098
1553176800000,53.28,53.28,50.0,50.78,2227.64148,115901.89,51.573734
1553180400000,51.38,52.13,51.12,52.03,441.92605,22897.02,51.61576
1553184000000,51.9,52.09,51.5,51.95,192.77972,9998.84,51.794766
1553187600000,51.88,52.05,51.69,51.93,217.31728,11265.72,51.86983
1553191200000,51.92,52.33,51.51,52.32,333.62175,17288.0,51.90735
1553194800000,52.11,52.4,51.82,52.36,92.65769,4831.49,52.103911
1553198400000,52.36,52.9,51.98,52.07,211.36176,11025.49,52.445731
1553202000000,52.38,52.38,52.11,52.11,55.33215,2894.0,52.245
1553205600000,52.3,52.37,51.99,51.99,174.83683,9110.24,52.186985
1553209200000,51.91,52.31,51.91,52.28,108.35565,5643.26,52.114082
1553212800000,52.22,52.36,52.05,52.36,114.17255,5965.48,52.200433
1553216400000,52.13,52.3,51.99,51.99,144.47321,7533.55,52.149567
1553220000000,52.17,52.17,51.99,52.15,24.95422,1300.77,52.079752
1553223600000,52.15,52.23,52.04,52.22,135.54952,7071.58,52.133244
1553227200000,52.05,52.22,52.05,52.19,35.6634,1858.83,52.138062
1553230800000,52.14,52.42,52.03,52.19,93.57031,4885.0,52.225248
1553234400000,52.31,52.43,52.05,52.23,188.19085,9846.52,52.239664
1553238000000,52.09,52.23,51.83,51.84,41.31326,2152.08,52.037035
1553241600000,52.09,52.3,52.07,52.24,70.78177,3696.83,52.18738
1553245200000,52.3,52.43,52.08,52.08,81.76136,4271.86,52.262124
1553248800000,52.24,52.46,52.11,52.28,158.44468,8280.64,52.285082
1553252400000,52.13,52.6,52.09,52.21,260.39115,13654.04,52.346083
1553256000000,52.25,52.48,52.1,52.38,201.72318,10520.83,52.289246
1553259600000,52.59,52.59,52.41,52.41,57.51977,3018.83,52.5
1553263200000,52.43,53.25,52.4,52.78,423.34267,22389.4,52.834738
1553266800000,52.78,52.96,52.7,52.78,114.85154,6065.0,52.83
1553270400000,52.78,52.88,52.68,52.77,13.89267,733.0,52.780003
1553274000000,52.82,53.12,52.82,53.12,248.66163,13167.89,52.97
1553277600000,52.96,53.0,52.88,52.96,14.55866,770.55,52.94
1553281200000,52.88,53.17,52.88,52.94,572.44233,30374.07,53.026244
1553284800000,53.07,53.08,52.97,52.99,348.8147,18483.5,53.024238
1553288400000,52.88,52.95,52.71,52.93,82.45252,4354.37,52.829177
1553292000000,52.99,52.99,52.79,52.93,13.06925,690.54,52.888389
1553295600000,52.93,52.93,52.64,52.66,47.78517,2520.65,52.782233
1553299200000,52.9,52.9,52.29,52.55,202.55125,10623.03,52.583341
1553302800000,52.59,52.82,52.59,52.76,26.29332,1384.09,52.709745
1553306400000,52.8,52.93,52.45,52.79,39.66201,2094.82,52.689989
1553310000000,52.9,53.03,52.85,52.95,345.99378,18323.89,52.940295
