Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1569322800000,1.015,1.11,0.97,1.0359,275185.22,292017.27,1.040082
1569326400000,1.0329,1.0373,0.9937,1.0151,84784.59,86005.61,1.01513
1569330000000,1.0143,1.03,1.0,1.0117,63809.38,64626.03,1.015004
1569333600000,1.0115,1.0152,0.99,0.9902,26108.1,26127.91,1.002981
1569337200000,0.9909,1.0133,0.975,1.0103,54609.77,54500.79,0.993708
1569340800000,1.0089,1.0173,0.9988,1.0027,18396.64,18531.31,1.008115
1569344400000,0.9988,1.013,0.9943,0.9972,8408.47,8384.36,1.00366
1569348000000,0.9951,0.998,0.9,0.9215,62892.68,60984.63,0.947473
1569351600000,0.9226,0.9581,0.8001,0.8123,83974.46,72109.16,0.880716
1569355200000,0.8162,0.8647,0.775,0.8411,84004.32,68667.88,0.819677
1569358800000,0.8533,0.9259,0.8389,0.8968,8369.58,7330.8,0.88289
1569362400000,0.8932,0.9001,0.8533,0.863,29557.33,25878.19,0.876537
1569366000000,0.8765,0.8976,0.8597,0.8597,12604.72,11089.65,0.879195
1569369600000,0.8711,0.9122,0.853,0.904,24818.38,22280.24,0.882186
1569373200000,0.8974,0.9108,0.885,0.9048,4447.67,3993.98,0.897833
1569376800000,0.9051,0.9118,0.8787,0.8827,7609.31,6824.89,0.895425
1569380400000,0.8828,0.8887,0.8752,0.8852,6319.36,5569.27,0.881934
1569384000000,0.875,0.8865,0.8501,0.8683,28185.23,24438.22,0.868271
1569387600000,0.8627,0.8684,0.8511,0.8595,17332.94,14830.42,0.859738
1569391200000,0.86,0.8784,0.8556,0.8607,8116.94,7023.88,0.867002
1569394800000,0.86,0.86,0.8336,0.8425,7657.54,6445.28,0.846251
1569398400000,0.837,0.8511,0.8264,0.8264,12751.55,10648.66,0.83909
1569402000000,0.8266,0.8439,0.826,0.8368,16764.03,13902.98,0.835237
1569405600000,0.8315,0.8489,0.8287,0.8347,1406.65,1174.12,0.838836
1569409200000,0.8337,0.8348,0.8131,0.8223,33886.62,27835.92,0.82365
1569412800000,0.8213,0.8381,0.8101,0.831,22484.63,18381.75,0.824037
1569416400000,0.8333,0.8425,0.8271,0.8409,3222.35,2695.34,0.834651
1569420000000,0.8426,0.8466,0.8223,0.8299,18936.65,15815.28,0.834318
1569423600000,0.8309,0.8447,0.823,0.8392,14137.08,11735.95,0.833804
1569427200000,0.8384,0.8384,0.8253,0.8298,12731.34,10569.78,0.831578
1569430800000,0.8345,0.8547,0.8345,0.8547,14780.49,12511.9,0.8446
1569434400000,0.8547,0.8654,0.8497,0.8543,6281.81,5371.87,0.85755
1569438000000,0.8543,0.8626,0.8495,0.86,5902.19,5036.39,0.855995
1569441600000,0.86,0.89,0.8558,0.8811,37167.85,32640.27,0.873147
1569445200000,0.8813,0.8863,0.871,0.8789,20859.77,18334.13,0.878641
1569448800000,0.8789,0.8862,0.854,0.854,16078.24,13986.72,0.870742
1569452400000,0.854,0.8553,0.8424,0.8517,1088.69,924.81,0.848818
