Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597060800000,5010.59,7199.0,5010.59,6220.03,863.047438,5698737.04,6145.260669
1597068000000,6220.02,6550.0,5700.01,5769.0,261.072188,1622259.96,6134.885901
1597075200000,5770.52,6099.69,5650.0,5987.15,128.531193,756776.52,5874.599257
1597082400000,6036.25,6169.0,5800.0,5871.68,51.395503,307402.11,5986.097857
1597089600000,5871.71,6615.0,5728.0,6615.0,143.671408,892256.1,6156.199563
1597096800000,6615.0,6799.0,6212.0,6229.19,111.892491,727510.0,6515.598025
1597104000000,6229.16,6460.0,6014.13,6280.0,48.468586,303303.6,6237.007884
1597111200000,6305.08,6576.55,6183.74,6323.0,87.574612,557129.08,6380.179412
1597118400000,6323.0,6323.91,5945.02,5972.52,63.071836,388715.92,6130.847082
1597125600000,5972.52,6099.97,5812.0,5825.0,42.111812,251654.25,5960.002939
1597132800000,5845.45,6047.18,5680.0,5810.0,54.916785,320137.89,5863.673772
1597140000000,5810.04,6783.43,5750.0,6241.48,241.180504,1536627.99,6277.692485
1597147200000,6241.49,6444.0,5703.16,5901.0,106.287062,641492.14,6073.710181
1597154400000,5901.0,5997.0,5718.02,5760.0,63.228432,367862.61,5859.352536
1597161600000,5760.0,6300.0,5750.0,6179.99,38.014429,226844.48,6034.38694
1597168800000,6180.0,6400.0,5944.0,6089.39,40.626963,249362.15,6172.37191
1597176000000,6091.86,6091.86,5750.0,5810.0,30.081614,175125.98,5914.787784
1597183200000,5810.0,6101.04,5800.0,6040.2,33.416872,199245.22,5954.872251
1597190400000,6041.0,6117.51,5575.8,5688.79,96.08061,558856.39,5844.499522
1597197600000,5688.79,5738.93,5250.0,5472.4,102.182481,553714.97,5490.030131
1597204800000,5450.36,5935.27,5306.9,5635.04,68.485474,385033.22,5622.815068
1597212000000,5635.75,5811.96,5530.59,5649.99,67.602819,379313.87,5671.2932
1597219200000,5636.26,5996.0,5580.49,5918.01,56.033084,324564.35,5789.687948
1597226400000,5927.19,5950.0,5642.52,5692.16,41.748905,243738.59,5793.965332
1597233600000,5692.16,5780.0,5349.0,5663.64,70.151161,388888.67,5564.375728
1597240800000,5688.65,5950.0,5589.3,5781.15,52.617351,303489.49,5770.230879
1597248000000,5781.15,5842.79,5551.0,5716.06,96.89202,547411.52,5696.243613
1597255200000,5714.84,5730.0,5540.0,5575.52,32.01155,180445.93,5633.419117
1597262400000,5575.68,6091.0,5512.25,5966.09,65.924185,383770.06,5805.570969
1597269600000,5947.78,5989.4,5710.01,5749.62,43.578092,254011.7,5849.849573
1597276800000,5749.62,5814.34,5400.0,5574.82,92.172038,515584.46,5604.6065
1597284000000,5626.07,5673.94,5472.93,5590.61,26.402368,146380.53,5573.161308
1597291200000,5590.61,5649.0,5401.0,5516.78,32.593161,179781.98,5524.349811
1597298400000,5515.75,5567.24,5309.21,5309.21,89.487056,484978.29,5443.135374
1597305600000,5309.22,5309.22,3000.0,5022.09,471.231841,2220842.26,4150.686995
1597312800000,5022.09,5516.0,4995.64,5350.0,103.548768,550649.29,5263.510407
1597320000000,5356.98,5379.96,5100.0,5100.0,67.906169,355007.24,5243.046148
1597327200000,5127.91,5127.91,4762.47,4869.7,66.248523,325115.79,4937.543925
1597334400000,4869.68,5284.97,4782.17,5011.48,40.911525,204513.88,5035.456517
1597341600000,5011.49,5300.0,4949.99,5257.17,18.016958,91580.92,5123.683647
1597348800000,5257.17,5600.0,5128.94,5306.12,95.160932,511431.5,5364.694196
1597356000000,5347.77,5448.78,4810.0,5346.99,51.742217,270625.39,5129.389919
1597363200000,5346.92,5346.92,5031.15,5121.39,27.131449,138823.17,5182.43985
1597370400000,5094.0,5094.0,4684.11,4783.87,54.616549,263741.57,4880.723981
1597377600000,4788.82,5028.95,4785.33,4857.5,28.774067,142262.51,4908.842419
1597384800000,4857.5,4974.4,4807.0,4901.1,37.710134,184702.98,4890.896669
1597392000000,4901.1,5101.98,4891.26,5061.07,42.662477,214348.79,4999.235074
1597399200000,5020.39,5199.99,5000.0,5040.0,50.042845,254577.61,5100.163182
1597406400000,5040.0,5081.83,4850.0,5001.3,36.206536,179440.29,4965.531006
1597413600000,4997.48,5045.54,4887.85,4988.9,16.571398,82473.53,4966.675376
1597420800000,4957.04,5000.0,4956.0,4956.02,27.930067,138532.4,4978.002885
1597428000000,4956.01,5093.37,4956.01,5024.97,27.622566,138868.37,5026.989881
1597435200000,5064.61,5095.0,4980.0,5021.0,15.018365,75555.88,5037.302165
1597442400000,5021.0,5162.08,5000.0,5016.14,13.434209,68037.39,5081.054045
1597449600000,5016.26,5071.67,4921.63,5004.36,11.556979,57574.27,4996.628484
1597456800000,5004.35,5050.0,4944.75,4947.0,10.817119,54147.1,4999.114875
1597464000000,4947.0,5030.0,4908.19,4926.62,28.826442,143515.89,4969.322527
1597471200000,4910.56,4945.0,4659.44,4670.61,97.661804,463501.68,4804.714012
1597478400000,4686.12,4693.87,4434.15,4530.28,156.565016,710036.77,4559.639067
1597485600000,4529.75,4538.36,4158.57,4250.0,161.581274,695211.53,4341.966628
1597492800000,4249.99,4567.0,4182.75,4428.68,105.143634,454993.38,4376.906275
1597500000000,4426.67,4748.22,4355.11,4675.0,66.618247,302182.86,4551.75698
1597507200000,4675.0,4690.25,4367.49,4442.47,89.056671,402391.8,4524.416907
1597514400000,4442.47,4588.0,4326.13,4546.4,44.200168,196109.73,4455.533134
1597521600000,4546.39,4750.0,4541.86,4635.01,30.299762,140875.15,4648.551861
1597528800000,4649.99,5450.0,4649.99,5414.22,68.365629,343448.47,5055.282714
1597536000000,5416.21,6027.73,5171.75,5640.23,134.96277,758880.37,5600.985991
1597543200000,5677.85,5948.0,5573.12,5913.59,62.811516,362591.92,5756.702741
1597550400000,5876.27,6335.95,5779.0,5857.51,143.491519,872628.03,6057.529074
1597557600000,5857.51,6450.0,5833.5,6399.99,132.427889,820998.83,6144.870461
1597564800000,6399.99,6649.0,6001.43,6099.99,108.907077,696261.69,6329.480026
1597572000000,6115.35,6311.89,5910.01,5967.0,65.239799,399574.29,6113.410791
1597579200000,5976.0,6299.21,5857.14,6181.13,69.289942,419581.57,6078.152812
1597586400000,6181.13,6450.0,5975.3,6329.29,73.978449,457673.05,6211.587638
1597593600000,6329.25,6743.99,6300.01,6503.0,135.627516,892761.46,6526.215132
1597600800000,6504.18,6537.47,5956.71,5991.71,92.66259,569395.02,6246.883333
1597608000000,6000.0,6349.0,6000.0,6335.58,50.67735,313293.88,6176.517244
1597615200000,6305.01,6750.0,6269.32,6660.0,55.103919,359543.56,6513.947192
1597622400000,6676.25,7249.0,6340.28,6892.01,154.813993,1058468.35,6794.790241
1597629600000,6892.0,7249.0,6748.42,7240.0,94.246099,658541.59,6989.462465
1597636800000,7194.99,7495.0,6857.14,7106.51,96.86517,698989.34,7176.192388
1597644000000,7106.42,7106.5,6709.05,6812.36,62.829647,430573.4,6899.591541
1597651200000,6812.36,7075.68,6708.72,7000.0,31.231689,214715.72,6891.22227
1597658400000,7000.0,7300.0,6837.99,7078.01,72.610593,515835.02,7069.210288
1597665600000,7090.01,7400.0,6890.0,7380.19,75.030556,538704.49,7137.06562
1597672800000,7370.17,9103.93,7370.17,7824.67,502.892998,4106918.5,8248.231106
1597680000000,7837.98,8043.0,7528.57,7900.7,106.838835,837439.26,7785.473334
1597687200000,7915.0,8440.0,7915.0,8412.14,139.806225,1152167.46,8181.52498
1597694400000,8415.18,9000.0,8229.38,8565.42,190.331899,1646826.33,8615.883336
1597701600000,8565.42,9098.0,8364.0,8900.0,177.384032,1554225.59,8730.906306
1597708800000,8900.1,9290.0,8693.0,8730.46,135.332225,1219014.7,8995.130441
1597716000000,8730.45,9189.0,8700.0,9188.0,62.297117,555541.18,8940.373944
1597723200000,9188.0,9190.0,8789.61,8845.38,59.863809,537698.35,8983.780513
1597730400000,8820.05,9788.0,8758.64,9784.55,161.039222,1513414.24,9265.170547
1597737600000,9788.0,12821.0,9555.0,10077.0,896.799477,9411596.49,11190.46247
