Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1553126400000,58.5,59.1,53.31,55.14,7780.91395,439917.27,56.148463
1553212800000,55.37,56.56,54.42,55.07,5182.07127,286909.13,55.491333
1553299200000,55.06,56.9,54.78,56.9,3435.73138,190964.35,55.807518
1553385600000,56.8,58.44,55.81,57.21,8357.05638,478186.09,57.125734
1553472000000,57.06,57.13,53.78,55.32,4922.4201,274141.65,55.401843
1553558400000,55.32,55.5,52.72,54.49,3951.24438,212108.68,54.09188
1553644800000,54.5,57.35,54.49,56.96,4350.00589,241493.37,55.963117
1553731200000,56.8,56.8,55.29,56.18,5429.87373,303098.32,56.025419
1553817600000,56.15,58.12,55.1,57.14,8048.82943,453946.92,56.609034
1553904000000,57.15,57.44,55.6,57.1,3709.98578,210420.93,56.519888
1553990400000,56.81,59.52,56.73,58.65,11424.86631,664704.7,58.17319
1554076800000,58.78,63.68,58.13,62.7,14320.42676,884575.35,60.92851
1554163200000,62.69,70.99,60.56,69.6,29209.1403,1915070.42,65.729395
1554249600000,69.53,77.0,66.0,69.55,26319.22623,1892511.13,71.500002
1554336000000,69.11,71.37,64.59,66.78,11785.24136,801465.01,67.981065
1554422400000,66.91,72.62,66.91,72.05,13442.0753,949160.81,69.837402
1554508800000,71.62,73.12,69.14,71.23,7766.29711,551161.63,71.12929
1554595200000,71.38,75.0,70.52,74.37,14712.68656,1075249.99,72.745589
1554681600000,74.21,76.07,68.85,72.19,14024.24424,1019916.62,72.44523
1554768000000,72.2,72.2,68.6,70.3,14949.76326,1041357.54,70.336378
1554854400000,70.43,73.79,70.07,71.75,10810.99401,777505.52,71.957301
1554940800000,71.85,72.11,63.32,69.61,13912.92374,942696.1,67.665243
1555027200000,69.59,71.81,67.14,70.94,21759.37412,1524884.83,69.458143
1555113600000,71.09,71.24,68.3,69.08,5477.3534,381725.01,69.728321
1555200000000,69.11,70.25,66.95,69.6,4003.31204,274939.49,68.595815
1555286400000,69.6,70.28,65.4,67.45,6269.86479,427509.47,67.805064
1555372800000,67.42,69.48,66.76,68.98,4636.8703,314649.56,68.112832
1555459200000,68.98,71.47,67.45,70.09,5366.13533,371547.91,69.458543
1555545600000,70.25,71.75,69.6,70.26,7158.85162,506410.16,70.675002
1555632000000,70.26,70.28,68.8,69.23,3597.43307,250539.37,69.511758
1555718400000,69.4,69.98,68.34,69.35,3127.81037,216781.81,69.15995
1555804800000,69.5,69.6,66.09,67.91,4550.43867,307446.36,67.798496
1555891200000,68.11,70.17,65.92,68.76,5441.6022,371791.01,68.042706
1555977600000,68.95,70.97,66.45,66.45,6335.42537,437343.36,68.793641
1556064000000,66.64,67.09,61.87,65.26,8735.95642,561888.73,64.453859
1556150400000,65.18,66.19,60.31,61.89,5757.95567,365016.2,63.2258
1556236800000,61.93,64.72,59.17,61.88,12366.6649,760447.4,61.945001
1556323200000,62.01,62.75,60.19,61.55,5146.66358,314281.57,61.467477
1556409600000,61.56,62.57,60.36,60.6,2733.98514,167934.73,61.484061
1556496000000,60.42,60.79,57.05,57.89,5610.84906,330354.2,58.889642
1556582400000,57.89,60.85,57.3,60.66,5564.06161,328794.58,59.039093
1556668800000,60.47,61.67,59.6,61.06,4083.6477,247006.4,60.632305
1556755200000,61.13,61.3,59.55,60.03,5073.04145,305794.3,60.408012
1556841600000,60.03,63.97,59.87,62.85,7085.86616,439970.77,61.984384
1556928000000,62.95,64.27,58.62,60.94,5132.99776,313707.18,61.428663
1557014400000,60.9,60.98,58.85,59.59,3381.71042,202784.48,59.880535
1557100800000,59.73,61.3,58.61,60.07,8874.41975,534702.29,59.955221
1557187200000,60.36,61.68,57.31,57.64,8917.77956,535923.0,59.548084
1557273600000,57.82,58.43,56.72,58.25,3416.85328,197374.22,57.567611
1557360000000,58.33,59.09,55.5,56.58,7693.60889,437512.29,57.284895
1557446400000,56.62,58.03,55.98,57.46,6732.30301,386430.62,57.003467
1557532800000,57.51,65.7,57.23,63.08,13979.3599,852193.77,61.606827
1557619200000,63.19,65.0,58.39,60.67,11371.24473,706533.95,61.686139
1557705600000,60.67,65.9,59.82,63.58,11496.17316,726939.94,62.90465
1557792000000,63.48,69.0,62.88,67.51,18708.29392,1245294.31,65.994105
1557878400000,67.51,77.38,67.51,77.0,12140.04615,892877.46,72.502113
1557964800000,77.14,82.18,70.89,75.26,30460.10947,2332460.91,76.537338
1558051200000,74.83,75.91,66.04,73.34,21276.9366,1503436.34,70.957179
1558137600000,73.45,74.24,70.08,71.91,6902.57432,500429.25,72.141552
1558224000000,71.89,78.93,71.87,77.6,12258.0987,929914.72,75.528054
1558310400000,77.57,77.89,72.07,75.95,14181.82209,1070955.98,74.944841
1558396800000,75.84,76.57,73.44,74.51,16332.14803,1219642.67,74.996964
1558483200000,74.41,75.46,68.95,69.73,10244.61884,746742.83,72.22503
1558569600000,69.77,72.32,67.5,71.91,9911.59178,695107.67,69.861794
1558656000000,71.93,74.52,71.38,72.38,4985.89852,364543.51,72.954103
1558742400000,72.31,73.75,71.43,72.3,3955.03882,286427.67,72.590001
1558828800000,72.09,76.24,70.21,75.32,9162.2528,669697.67,73.187908
1558915200000,75.1,78.04,74.25,76.22,11406.89226,864496.99,76.155825
1559001600000,76.34,89.0,76.11,85.12,37276.84361,3136489.97,82.794458
1559088000000,85.07,88.24,79.0,85.08,20863.05051,1751482.56,83.62
1559174400000,84.89,98.36,80.09,82.99,71249.86717,6407703.61,89.239328
1559260800000,82.94,90.86,82.49,90.2,27580.39007,2387367.03,86.699324
1559347200000,90.19,92.51,83.58,86.17,17879.98042,1569082.82,88.037796
1559433600000,86.46,89.73,85.3,88.86,16001.00953,1404850.55,87.503518
1559520000000,88.87,88.87,81.17,83.63,26116.18473,2249049.48,84.858949
1559606400000,83.38,89.27,75.59,77.69,28460.41089,2321949.95,82.515665
1559692800000,77.83,80.56,76.59,80.41,13299.61318,1041932.77,78.510664
1559779200000,80.5,81.12,76.2,79.65,10912.96883,863151.71,78.649362
1559865600000,79.65,84.6,79.19,83.13,11754.60977,965866.0,81.953266
1559952000000,83.26,84.22,80.0,80.44,22070.24733,1787930.63,82.142674
1560038400000,80.24,80.8,75.39,77.35,16558.3549,1297838.49,78.041225
1560124800000,77.2,81.2,76.14,80.12,10283.07538,815050.21,78.670908
1560211200000,79.97,80.18,77.0,79.5,6915.52731,545334.52,78.583713
1560297600000,79.56,92.02,78.82,91.1,33700.71467,2908092.96,85.441259
1560384000000,91.24,91.71,86.29,87.84,24301.77903,2157002.02,88.941079
1560470400000,87.87,95.98,86.96,90.68,38452.10581,3480842.02,91.524581
1560556800000,90.77,93.63,90.05,92.08,17835.5805,1635997.19,91.854373
1560643200000,92.08,94.74,90.95,93.51,16347.67369,1516991.19,92.846845
1560729600000,93.35,105.23,93.35,102.09,42563.8688,4210044.22,99.53568
1560816000000,101.99,113.84,99.44,111.95,88862.67271,9540462.14,106.59517
1560902400000,111.96,115.41,106.85,110.66,51184.36177,5712706.54,111.128956
1560988800000,110.81,111.1,105.67,109.39,22544.85979,2438359.82,108.355169
1561075200000,109.58,114.37,107.7,109.75,31068.3757,3446716.27,111.035223
1561161600000,109.75,117.56,108.46,113.51,39615.65945,4481864.57,113.071526
1561248000000,113.35,115.09,109.3,110.25,25442.14518,2875295.49,112.225493
1561334400000,110.34,110.77,104.6,109.19,19588.79011,2120010.92,107.666777
1561420800000,109.08,110.0,103.29,105.57,24424.1713,2605678.07,106.595066
1561507200000,105.76,125.79,105.4,114.12,66012.03275,7511713.59,115.843083
1561593600000,113.82,114.49,97.61,106.96,40675.29052,4291921.44,105.863084
1561680000000,106.78,116.39,105.84,111.97,36625.84674,4132612.82,111.227053
1561766400000,112.13,114.6,105.86,113.89,17768.53222,1972689.45,110.201528
1561852800000,114.11,114.52,103.11,103.3,17084.58782,1859941.36,108.846825
1561939200000,103.44,107.25,96.9,103.72,20016.86322,2052710.05,102.074725
1562025600000,104.17,104.44,96.05,101.54,20067.19158,2004333.06,100.179269
1562112000000,101.71,106.15,101.25,105.82,11714.02387,1216097.91,103.686127
1562198400000,105.59,106.0,100.04,100.87,12055.56225,1240140.93,102.98095
1562284800000,100.8,103.37,98.5,99.99,10188.5831,1023490.13,100.938761
1562371200000,100.18,106.12,100.03,103.76,10662.15924,1095217.15,103.17949
1562457600000,103.7,106.49,102.31,106.45,7961.36546,826565.49,104.318098
1562544000000,106.21,106.98,103.88,105.03,10284.34757,1082966.26,105.422859
1562630400000,105.0,106.52,98.5,100.73,16984.01061,1737896.52,102.482923
1562716800000,100.74,104.99,94.36,97.02,28281.8063,2818701.69,99.700109
1562803200000,97.04,97.04,86.5,88.12,17374.17957,1566660.08,91.593331
1562889600000,88.07,93.07,85.73,93.04,13135.23425,1176924.49,89.250475
1562976000000,93.06,93.57,86.43,89.84,11668.1649,1042467.3,89.922324
1563062400000,89.8,90.05,79.54,82.29,25977.71761,2181933.61,84.612092
1563148800000,82.29,82.45,75.83,80.37,29569.14645,2329046.9,79.092956
1563235200000,80.32,82.13,63.76,67.05,33712.63262,2404379.19,72.833979
1563321600000,67.04,76.83,65.44,73.79,24303.83064,1712894.28,71.204302
1563408000000,74.05,80.64,72.44,79.04,19915.63287,1527808.07,76.53949
1563494400000,79.02,79.77,71.35,75.55,31518.94931,2364939.63,75.48351
1563580800000,75.55,79.78,74.4,77.71,16920.73158,1303028.83,77.109315
1563667200000,77.67,78.0,73.44,75.37,7560.91007,570942.68,75.665663
1563753600000,75.54,76.51,71.11,72.99,8120.56666,599202.3,73.783137
1563840000000,72.94,73.39,69.23,70.59,9182.25588,652958.75,71.270554
1563926400000,70.52,71.59,67.9,70.99,9414.60384,657348.56,69.740887
1564012800000,70.78,72.6,69.6,69.94,7782.72942,554565.21,71.114794
1564099200000,69.95,72.13,69.22,71.32,7402.91278,526899.74,70.677346
1564185600000,71.26,73.29,68.23,69.12,10211.05487,713510.55,70.786681
1564272000000,69.03,69.88,65.47,68.72,4944.87758,338244.9,67.673516
1564358400000,68.78,69.79,66.38,67.38,6682.49063,457193.46,68.08522
1564444800000,67.32,67.61,65.5,66.67,6951.76253,463146.89,66.544307
1564531200000,66.54,68.76,66.28,68.12,11090.37855,746734.84,67.541457
1564617600000,68.14,68.4,66.27,67.61,8783.84126,588483.74,67.32651
1564704000000,67.61,68.48,65.38,66.41,10856.64577,727807.4,66.926886
