Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1553140800000,58.5,58.5,57.08,57.2,445.48202,25709.71,57.774096
1553144400000,57.2,57.2,56.3,56.39,280.8154,15987.65,56.738574
1553148000000,56.79,56.8,56.34,56.4,373.85308,21116.09,56.564523
1553151600000,56.67,58.0,56.6,57.64,843.5276,48509.71,57.319775
1553155200000,57.94,59.1,57.58,57.8,323.74116,18818.92,58.340999
1553158800000,57.8,57.8,57.14,57.2,293.34232,16870.85,57.462188
1553162400000,57.36,58.89,57.35,57.69,543.96802,31669.59,58.12691
1553166000000,57.6,58.15,57.35,57.57,401.9569,23225.14,57.750058
1553169600000,57.6,58.42,57.34,57.61,337.30651,19531.03,57.880006
1553173200000,57.61,58.0,55.56,55.99,1184.97515,66824.75,56.777523
1553176800000,56.0,56.2,53.31,53.38,1057.34286,58154.78,54.771809
1553180400000,53.35,56.04,53.35,55.93,746.33804,41068.17,54.711426
1553184000000,55.5,56.56,54.66,55.06,97.25213,5400.24,55.614485
1553187600000,55.06,55.48,55.06,55.48,13.30362,734.37,55.27
1553191200000,55.44,55.44,54.82,55.12,203.70842,11220.1,55.119298
1553194800000,54.96,55.43,54.96,55.14,238.36488,13154.77,55.200519
1553198400000,54.98,55.14,54.98,55.14,6.67734,367.62,55.06
1553202000000,55.28,55.43,55.0,55.26,56.22003,3105.92,55.21497
1553205600000,55.03,55.76,55.03,55.18,250.03977,13891.88,55.398094
1553209200000,55.18,55.2,55.03,55.14,82.6987,4555.99,55.114368
1553212800000,55.37,55.52,55.09,55.12,101.93252,5633.78,55.310538
1553216400000,55.48,55.76,55.28,55.58,86.06145,4780.32,55.51989
1553220000000,55.4,55.61,55.32,55.36,16.04526,888.31,55.465406
1553223600000,55.35,55.47,54.85,54.85,177.80148,9823.42,55.17165
1553227200000,54.85,55.4,54.65,54.84,698.06093,38470.12,55.025008
1553230800000,55.0,55.14,54.86,55.11,28.1673,1550.8,54.997793
1553234400000,55.26,55.26,54.9,54.91,40.26467,2216.67,55.078453
1553238000000,54.91,55.09,54.42,54.7,164.09314,8973.01,54.753741
1553241600000,54.7,56.44,54.54,55.45,1137.64684,62972.11,55.506821
1553245200000,55.35,55.94,54.81,54.93,224.74572,12467.42,55.383406
1553248800000,55.06,55.59,55.03,55.24,202.20865,11148.63,55.314242
1553252400000,55.1,55.45,54.93,55.26,76.45076,4213.72,55.190242
1553256000000,55.45,55.81,55.14,55.76,41.56583,2312.16,55.467649
1553259600000,55.99,56.29,55.72,55.72,553.93123,30996.15,56.013914
1553263200000,56.01,56.56,55.93,56.42,218.17894,12279.23,56.248553
1553266800000,56.03,56.44,55.64,55.64,261.17502,14595.09,56.052949
1553270400000,55.68,55.68,54.75,55.17,242.71593,13366.83,55.197928
