Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1593993600000,6.525,7.094,6.525,7.058,12769.436,87581.25,6.814558
1594080000000,7.058,8.9,6.8,6.84,25134.47,176732.62,7.852434
1594166400000,6.84,6.98,6.5,6.931,28936.534,198361.02,6.738681
1594252800000,6.931,7.734,6.823,7.462,52143.04,382235.04,7.286111
1594339200000,7.462,7.89,7.165,7.355,48342.74,363262.23,7.528152
1594425600000,7.35,8.8,7.211,7.242,48653.524,363553.99,8.00632
1594512000000,7.242,7.492,7.112,7.214,15711.617,114521.88,7.302101
1594598400000,7.23,7.886,7.093,7.505,43383.425,326543.31,7.493282
1594684800000,7.481,7.564,6.91,7.189,20774.87,149345.05,7.23186
1594771200000,7.189,7.734,7.14,7.462,36815.82,271295.66,7.443216
1594857600000,7.477,7.728,7.0,7.537,27170.055,200682.63,7.363757
1594944000000,7.537,7.6,7.341,7.475,9708.797,72311.92,7.469984
1595030400000,7.447,7.567,7.238,7.492,10597.931,78197.43,7.402185
1595116800000,7.48,8.5,7.477,8.139,75328.538,599994.42,8.00922
1595203200000,8.14,8.548,7.9,8.087,42137.941,346719.78,8.224185
1595289600000,8.069,8.45,7.93,8.072,19996.089,162279.3,8.190001
1595376000000,8.056,8.3,7.957,8.09,10721.434,87114.69,8.128637
1595462400000,8.09,9.09,8.09,8.727,38414.479,334362.64,8.61049
1595548800000,8.726,9.664,8.639,9.459,38081.302,352561.93,9.160149
1595635200000,9.459,9.511,8.996,9.095,26856.708,250047.93,9.250146
1595721600000,9.095,9.399,8.733,9.387,35115.059,316160.11,9.057165
1595808000000,9.332,9.483,8.2,8.724,50484.173,439658.25,8.830407
1595894400000,8.732,8.804,8.06,8.374,35064.027,294050.75,8.424566
1595980800000,8.374,8.525,8.06,8.128,21435.651,177860.45,8.295622
1596067200000,8.088,8.364,8.06,8.194,14657.599,119767.08,8.214226
1596153600000,8.198,8.336,7.891,8.099,17347.695,140689.0,8.113062
1596240000000,8.107,9.4,8.003,8.903,55745.201,487196.02,8.718858
1596326400000,8.872,9.354,8.047,8.511,45501.743,392517.21,8.700675
1596412800000,8.511,9.078,8.3,8.914,23788.253,207113.71,8.68731
1596499200000,8.929,9.2,8.678,9.016,18833.932,169065.28,8.938766
1596585600000,8.986,9.34,8.879,9.289,19692.997,178978.45,9.10611
1596672000000,9.289,9.75,9.108,9.552,28133.372,266280.08,9.429372
1596758400000,9.487,10.16,9.415,9.873,45760.629,445416.13,9.795234
1596844800000,9.873,11.489,9.865,10.9,70549.56,751954.11,10.70927
1596931200000,10.924,11.304,10.2,10.498,44296.264,472463.79,10.753585
1597017600000,10.498,10.9,10.001,10.351,60981.724,627030.42,10.450675
1597104000000,10.351,11.23,9.85,10.55,64537.616,678525.79,10.540468
1597190400000,10.55,11.269,10.09,10.491,52019.858,551720.49,10.6796
1597276800000,10.535,10.579,9.784,10.281,33283.129,339002.26,10.175568
1597363200000,10.241,10.653,10.1,10.462,24863.358,257956.03,10.37754
1597449600000,10.462,10.56,9.89,10.066,28622.755,292914.65,10.221268
1597536000000,10.041,10.1,9.528,10.01,51269.517,503650.97,9.813845
1597622400000,10.01,10.394,9.804,10.036,36604.103,370002.03,10.099037
1597708800000,10.043,10.193,8.673,9.518,36061.335,348344.14,9.422317
1597795200000,9.469,9.653,8.728,9.029,28963.653,265470.66,9.186992
1597881600000,9.066,9.588,8.976,9.563,18929.8,177175.25,9.275584
1597968000000,9.588,10.819,9.5,9.56,119493.422,1214573.05,10.159566
1598054400000,9.57,10.229,9.1,9.768,43435.048,422125.26,9.664465
1598140800000,9.769,9.808,9.21,9.348,19255.275,183282.49,9.501999
1598227200000,9.307,9.511,9.197,9.442,20346.39,190627.58,9.353007
1598313600000,9.441,9.521,8.369,8.755,33257.984,296292.23,8.930117
1598400000000,8.735,10.5,8.626,8.801,22240.409,202072.19,9.563247
1598486400000,8.799,8.841,8.224,8.348,27923.991,238898.1,8.526179
1598572800000,8.349,8.7,8.14,8.367,54994.719,463378.08,8.420016
1598659200000,8.367,8.595,8.286,8.506,23780.814,200666.94,8.440713
1598745600000,8.506,8.848,8.4,8.721,25882.222,223868.13,8.624642
1598832000000,8.723,8.802,8.1,8.481,28487.119,243626.71,8.446376
1598918400000,8.497,9.022,8.309,8.824,46036.931,396132.21,8.665778
1599004800000,8.829,8.905,7.95,8.485,53042.392,449542.89,8.419806
1599091200000,8.425,8.516,6.4,6.519,54011.566,395894.0,7.454438
1599177600000,6.5,7.311,6.445,7.002,43797.101,302752.79,6.889647
1599264000000,7.02,7.198,5.558,6.001,68589.338,435613.51,6.363845
1599350400000,6.002,6.5,5.632,6.403,31594.648,193480.85,6.058306
1599436800000,6.389,6.421,5.855,6.27,20668.358,126478.86,6.13586
1599523200000,6.349,6.361,5.7,5.887,36020.465,216325.56,6.018327
1599609600000,5.862,6.276,5.752,6.065,17357.904,104573.9,6.015969
1599696000000,6.049,6.544,6.049,6.295,26551.461,168267.19,6.304693
1599782400000,6.306,6.622,6.009,6.504,22321.245,142643.14,6.313103
1599868800000,6.545,6.69,6.39,6.641,21221.812,139221.65,6.538608
1599955200000,6.633,6.634,6.0,6.285,26742.906,168324.47,6.305433
1600041600000,6.284,6.517,6.055,6.296,18102.608,114557.9,6.285999
1600128000000,6.322,6.468,6.06,6.117,19384.53,120993.78,6.266998
1600214400000,6.117,6.296,5.975,6.16,17610.756,108118.63,6.135486
1600300800000,6.125,6.295,6.026,6.127,7193.461,44276.35,6.1605
1600387200000,6.087,6.278,6.0,6.055,20656.746,126118.76,6.139226
1600473600000,6.029,6.113,5.848,5.929,30170.825,179680.71,5.980555
1600560000000,5.9,6.049,5.716,5.827,18683.082,109156.12,5.882731
1600646400000,5.827,5.962,5.364,5.415,31921.636,177274.21,5.668655
1600732800000,5.407,5.7,5.223,5.598,21449.987,116192.26,5.459788
1600819200000,5.597,5.947,5.334,5.412,21858.005,122893.94,5.643669
1600905600000,5.357,6.23,5.347,5.913,19533.719,111882.25,5.805389
1600992000000,5.913,6.124,5.721,5.961,17072.847,100770.64,5.922448
1601078400000,6.008,6.019,5.804,5.937,12779.646,75767.7,5.90979
1601164800000,5.919,5.994,5.498,5.718,17466.895,99543.41,5.742896
1601251200000,5.734,5.94,5.577,5.6,13966.664,80592.08,5.761727
1601337600000,5.608,5.665,5.5,5.616,9817.97,54701.81,5.582483
1601424000000,5.602,5.791,5.572,5.711,13335.343,75683.41,5.68315
1601510400000,5.684,5.958,5.305,5.467,34144.39,194817.56,5.63309
1601596800000,5.443,5.474,5.1,5.259,27771.296,145466.46,5.282878
1601683200000,5.278,5.382,5.216,5.315,7736.208,40983.4,5.299031
1601769600000,5.301,5.384,5.238,5.34,6105.545,32397.83,5.310827
1601856000000,5.36,5.547,5.338,5.404,18641.523,100992.69,5.443178
1601942400000,5.398,5.437,5.132,5.205,17230.12,91294.61,5.282609
1602028800000,5.176,5.22,5.1,5.134,18372.647,94121.07,5.160158
1602115200000,5.134,5.321,5.062,5.313,23057.038,119188.97,5.187161
1602201600000,5.283,5.519,5.148,5.516,28702.922,153140.13,5.32628
1602288000000,5.487,5.67,5.401,5.572,21954.162,122010.96,5.535654
1602374400000,5.553,7.981,5.54,6.869,267278.449,1865821.48,6.803557
1602460800000,6.86,7.085,6.129,6.165,154054.47,1006948.18,6.621387
1602547200000,6.155,6.305,6.016,6.15,51155.803,315483.85,6.160501
1602633600000,6.15,6.393,5.916,5.943,53802.299,331854.15,6.159836
1602720000000,5.941,6.758,5.782,6.126,103073.392,647010.45,6.272144
1602806400000,6.143,6.248,5.85,6.053,47221.859,285133.98,6.048365
1602892800000,6.05,6.275,5.875,5.925,37318.384,226971.98,6.07719
1602979200000,5.93,6.047,5.896,5.991,18379.394,109844.76,5.971968
1603065600000,5.991,6.0,5.73,5.771,30279.237,177837.28,5.861816
1603152000000,5.764,5.807,5.421,5.522,35789.661,200655.83,5.61084
1603238400000,5.497,5.928,5.476,5.655,30436.781,175455.61,5.70597
1603324800000,5.682,6.0,5.635,5.834,28613.444,167408.5,5.820197
1603411200000,5.815,5.903,5.681,5.752,11469.284,66554.05,5.792175
