Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1594011600000,6.525,6.75,6.525,6.597,1235.551,8234.96,6.63951
1594015200000,6.729,6.737,6.625,6.649,219.167,1458.03,6.67983
1594018800000,6.796,6.796,6.599,6.759,542.058,3626.31,6.696788
1594022400000,6.696,6.797,6.696,6.797,335.644,2275.36,6.7465
1594026000000,6.788,6.788,6.674,6.676,25.312,169.25,6.730682
1594029600000,6.676,6.736,6.615,6.716,200.346,1327.41,6.674924
1594033200000,6.714,6.747,6.714,6.747,16.817,113.04,6.7305
1594036800000,6.751,6.842,6.697,6.8,143.208,969.58,6.769324
1594040400000,6.8,6.8,6.733,6.8,45.685,308.74,6.7665
1594044000000,6.8,6.824,6.74,6.74,381.39,2588.74,6.783754
1594047600000,6.788,6.923,6.788,6.788,174.056,1190.32,6.8555
1594051200000,6.872,6.92,6.802,6.902,3283.489,22620.45,6.860573
1594054800000,6.902,6.943,6.83,6.845,2704.842,18667.22,6.887383
1594058400000,6.846,6.942,6.845,6.88,1011.76,6996.21,6.894467
1594062000000,6.88,6.9,6.88,6.895,351.473,2422.1,6.890409
1594065600000,6.895,6.9,6.89,6.9,540.856,3729.14,6.894833
1594069200000,6.956,7.0,6.956,6.999,745.202,5187.89,6.978157
1594072800000,6.967,7.031,6.921,7.019,231.486,1607.61,6.974994
1594076400000,7.009,7.094,6.957,7.058,581.094,4088.9,7.025236
1594080000000,7.058,7.334,6.998,7.035,1977.789,14036.66,7.16614
1594083600000,7.036,8.34,6.885,6.961,1685.315,11937.99,7.612908
1594087200000,6.96,7.052,6.936,6.95,687.803,4804.54,6.994073
1594090800000,7.014,7.03,6.929,6.99,82.31,571.05,6.979178
1594094400000,6.93,7.03,6.885,6.934,204.608,1427.81,6.957505
1594098000000,6.934,7.014,6.922,6.922,102.784,714.13,6.968171
1594101600000,6.94,6.982,6.845,6.932,85.155,586.41,6.913481
1594105200000,6.946,8.9,6.88,7.007,5280.019,38034.52,7.890208
1594108800000,6.923,7.006,6.88,6.952,654.128,4519.2,6.943074
1594112400000,6.999,8.2,6.9,6.953,3892.559,27738.55,7.55018
1594116000000,6.992,7.163,6.9,6.99,1925.122,13511.24,7.031501
1594119600000,6.99,7.032,6.89,6.995,2750.211,19094.04,6.96099
1594123200000,6.996,7.028,6.85,6.923,515.42,3552.34,6.9381
1594126800000,6.87,6.921,6.845,6.845,382.329,2626.11,6.883709
1594130400000,6.894,6.934,6.833,6.852,570.769,3920.53,6.883974
1594134000000,6.845,6.888,6.8,6.862,993.959,6781.25,6.843911
1594137600000,6.86,6.906,6.802,6.889,1045.258,7150.52,6.853594
1594141200000,6.881,6.91,6.814,6.894,264.082,1811.15,6.861883
1594144800000,6.897,6.909,6.811,6.903,250.832,1715.77,6.859962
1594148400000,6.893,6.899,6.8,6.8,636.372,4332.55,6.850349
1594152000000,6.812,6.879,6.8,6.874,297.574,2027.6,6.838863
1594155600000,6.875,6.878,6.826,6.878,85.926,588.18,6.85198
1594159200000,6.873,6.873,6.871,6.872,213.575,1467.85,6.871967
1594162800000,6.872,6.873,6.827,6.84,550.571,3782.65,6.849174
1594166400000,6.84,6.867,6.8,6.867,324.47,2217.27,6.832654
1594170000000,6.809,6.867,6.801,6.867,416.059,2832.93,6.833043
1594173600000,6.867,6.901,6.85,6.89,855.11,5872.84,6.875339
1594177200000,6.846,6.961,6.825,6.961,5388.311,37276.91,6.890715
1594180800000,6.961,6.961,6.652,6.768,2243.655,15231.66,6.800232
1594184400000,6.76,6.81,6.73,6.81,2193.095,14844.76,6.768377
1594188000000,6.818,6.963,6.5,6.764,4937.561,33452.63,6.731297
1594191600000,6.76,6.946,6.755,6.86,2266.916,15583.98,6.85348
1594195200000,6.86,6.888,6.813,6.845,643.874,4419.61,6.85048
1594198800000,6.844,6.844,6.778,6.778,117.107,798.8,6.811
1594202400000,6.838,6.899,6.82,6.868,1129.514,7720.82,6.859743
1594206000000,6.868,6.93,6.863,6.88,1110.777,7679.59,6.896682
1594209600000,6.88,6.926,6.85,6.85,883.293,6074.24,6.888932
1594213200000,6.885,6.909,6.838,6.909,530.726,3640.28,6.872809
1594216800000,6.92,6.98,6.903,6.933,862.243,5988.61,6.941608
1594220400000,6.88,6.938,6.88,6.889,33.937,234.03,6.909148
1594224000000,6.889,6.959,6.842,6.937,828.479,5716.2,6.899951
1594227600000,6.888,6.967,6.838,6.931,616.418,4254.19,6.9023
1594231200000,6.929,6.929,6.843,6.88,483.066,3322.1,6.884366
1594234800000,6.88,6.929,6.88,6.929,549.673,3798.63,6.9045
1594238400000,6.934,6.946,6.862,6.924,327.744,2260.24,6.903911
1594242000000,6.932,6.937,6.88,6.89,98.864,684.85,6.908107
1594245600000,6.89,6.931,6.878,6.891,552.654,3808.98,6.904501
1594249200000,6.891,6.932,6.876,6.931,1542.988,10646.85,6.902977
1594252800000,6.931,6.979,6.877,6.938,778.165,5392.41,6.927992
1594256400000,6.937,6.937,6.837,6.837,1168.636,8036.47,6.887
1594260000000,6.831,6.88,6.823,6.88,1103.874,7540.18,6.850594
1594263600000,6.88,6.981,6.88,6.98,228.817,1586.82,6.930662
1594267200000,6.981,7.008,6.898,6.965,1033.171,7188.44,6.952894
1594270800000,6.941,6.958,6.91,6.949,651.638,4508.71,6.933923
1594274400000,6.939,6.974,6.914,6.962,495.795,3448.97,6.943752
1594278000000,6.962,7.149,6.941,7.091,1931.598,13595.01,7.046968
1594281600000,7.138,7.138,7.057,7.065,513.896,3640.24,7.096481
1594285200000,7.114,7.161,7.065,7.161,1374.559,9814.16,7.111438
1594288800000,7.16,7.388,7.146,7.307,3644.006,26511.66,7.270404
1594292400000,7.31,7.499,7.296,7.389,5988.875,44137.02,7.399389
1594296000000,7.389,7.734,7.28,7.672,5692.999,42309.12,7.504472
1594299600000,7.684,7.69,7.358,7.413,5546.325,41511.76,7.519103
1594303200000,7.443,7.699,7.393,7.529,7049.995,53175.8,7.547209
1594306800000,7.514,7.514,7.084,7.216,5834.581,42839.67,7.289994
1594310400000,7.251,7.433,7.224,7.387,2071.853,15136.88,7.329625
1594314000000,7.372,7.481,7.306,7.34,2176.123,15984.05,7.393816
1594317600000,7.34,7.413,7.31,7.41,689.816,5065.77,7.359738
1594321200000,7.41,7.419,7.231,7.319,754.443,5506.74,7.322542
1594324800000,7.316,7.449,7.315,7.449,1154.618,8524.39,7.381837
1594328400000,7.447,7.486,7.33,7.406,662.021,4897.4,7.407675
1594332000000,7.36,7.428,7.36,7.428,247.36,1827.7,7.394
1594335600000,7.425,7.485,7.397,7.462,1349.876,10055.68,7.440884
1594339200000,7.462,7.464,7.293,7.333,1056.645,7809.3,7.375348
1594342800000,7.322,7.449,7.25,7.443,1087.428,8039.19,7.346139
1594346400000,7.438,7.447,7.386,7.386,719.642,5339.07,7.417499
1594350000000,7.427,7.586,7.402,7.567,1772.499,13366.73,7.493492
1594353600000,7.518,7.576,7.407,7.419,1577.336,11815.02,7.493658
1594357200000,7.406,7.485,7.388,7.483,150.109,1120.47,7.435004
1594360800000,7.483,7.89,7.461,7.717,14234.433,109005.1,7.681567
1594364400000,7.7,7.7,7.542,7.622,3822.864,29143.2,7.618405
1594368000000,7.624,7.733,7.6,7.655,2011.626,15313.14,7.666872
1594371600000,7.6,7.642,7.558,7.612,1058.826,8022.31,7.599969
1594375200000,7.573,7.632,7.37,7.412,5993.014,44865.38,7.501886
1594378800000,7.441,7.544,7.385,7.385,3449.419,25661.25,7.466148
1594382400000,7.411,7.488,7.41,7.479,674.425,5020.35,7.449938
1594386000000,7.502,7.505,7.422,7.446,146.947,1094.1,7.462152
1594389600000,7.446,7.469,7.368,7.369,1650.251,12201.99,7.42037
1594393200000,7.372,7.455,7.3,7.355,1692.045,12446.37,7.377542
1594396800000,7.356,7.493,7.333,7.439,1774.139,13130.31,7.414118
1594400400000,7.439,7.439,7.325,7.406,227.048,1676.57,7.381133
1594404000000,7.406,7.407,7.306,7.35,467.001,3426.95,7.35471
1594407600000,7.334,7.362,7.262,7.36,1681.564,12316.78,7.311398
1594411200000,7.361,7.365,7.262,7.316,343.831,2498.81,7.312247
1594414800000,7.308,7.311,7.228,7.284,1112.768,8050.69,7.268934
1594418400000,7.233,7.316,7.165,7.284,1278.508,9263.73,7.239972
1594422000000,7.316,7.358,7.3,7.355,360.372,2635.42,7.328172
1594425600000,7.35,8.8,7.286,7.433,23542.24,179049.27,8.04349
1594429200000,7.431,7.431,7.4,7.425,444.818,3296.96,7.415382
1594432800000,7.425,7.48,7.382,7.446,2072.552,15378.14,7.430948
1594436400000,7.446,7.458,7.35,7.365,1208.295,8912.43,7.403755
1594440000000,7.423,7.44,7.368,7.426,681.12,5047.48,7.403991
1594443600000,7.427,7.473,7.427,7.457,314.394,2347.83,7.450952
1594447200000,7.457,7.512,7.431,7.488,760.755,5682.87,7.471462
1594450800000,7.448,7.586,7.448,7.549,1082.694,8154.55,7.51986
1594454400000,7.546,7.577,7.537,7.577,63.283,477.82,7.556205
1594458000000,7.575,7.576,7.284,7.374,6400.306,47178.82,7.42402
1594461600000,7.373,7.415,7.373,7.415,547.755,4046.38,7.394
1594465200000,7.378,7.414,7.237,7.307,1529.207,11135.16,7.324787
1594468800000,7.289,7.343,7.288,7.343,632.929,4641.48,7.315341
1594472400000,7.343,7.343,7.317,7.34,290.504,2132.03,7.329962
1594476000000,7.34,7.342,7.289,7.34,973.784,7131.96,7.3155
1594479600000,7.343,7.343,7.211,7.268,4486.931,32550.04,7.274498
1594483200000,7.281,7.343,7.265,7.265,503.468,3677.46,7.30433
1594486800000,7.266,7.343,7.266,7.297,637.796,4667.44,7.305471
1594490400000,7.297,7.319,7.27,7.317,164.808,1202.44,7.293957
1594494000000,7.316,7.4,7.27,7.27,804.971,5895.98,7.336357
1594497600000,7.27,7.27,7.212,7.212,195.447,1414.27,7.241
1594501200000,7.227,7.257,7.214,7.214,190.858,1379.04,7.235851
1594504800000,7.254,7.27,7.212,7.264,437.292,3158.03,7.240865
1594508400000,7.261,7.371,7.22,7.242,687.317,4996.11,7.295675
1594512000000,7.242,7.306,7.231,7.265,229.613,1669.3,7.268861
1594515600000,7.265,7.437,7.236,7.295,653.149,4785.29,7.336816
1594519200000,7.295,7.321,7.295,7.321,200.737,1464.74,7.308
1594522800000,7.32,7.329,7.28,7.329,146.199,1066.86,7.30433
1594526400000,7.329,7.385,7.285,7.295,572.528,4197.44,7.335684
1594530000000,7.321,7.33,7.282,7.307,538.301,3942.86,7.305826
1594533600000,7.32,7.32,7.318,7.32,119.486,874.54,7.319
1594537200000,7.3,7.32,7.295,7.295,14.491,105.79,7.307601
1594540800000,7.31,7.32,7.3,7.3,195.892,1431.41,7.310333
1594544400000,7.3,7.325,7.25,7.324,1195.014,8716.86,7.286856
1594548000000,7.325,7.45,7.299,7.431,2005.22,14710.58,7.374008
1594551600000,7.446,7.492,7.343,7.353,1002.019,7430.36,7.419442
1594555200000,7.371,7.433,7.371,7.433,277.386,2054.09,7.402
1594558800000,7.416,7.45,7.25,7.25,1522.404,11140.11,7.353537
1594562400000,7.25,7.251,7.162,7.22,1120.349,8078.36,7.205667
1594566000000,7.216,7.293,7.215,7.219,494.638,3585.06,7.254014
1594569600000,7.234,7.24,7.22,7.22,321.06,2323.41,7.230419
1594573200000,7.22,7.239,7.142,7.193,1076.355,7709.97,7.190184
1594576800000,7.195,7.195,7.173,7.173,238.649,1716.19,7.184
1594580400000,7.173,7.18,7.112,7.18,302.62,2161.68,7.145919
1594584000000,7.179,7.204,7.13,7.188,115.982,831.29,7.166939
1594587600000,7.187,7.203,7.151,7.201,371.426,2669.74,7.176686
1594591200000,7.175,7.22,7.175,7.189,241.383,1740.52,7.197884
1594594800000,7.204,7.448,7.15,7.214,2756.716,20115.42,7.299025
1594598400000,7.23,7.254,7.204,7.204,445.498,3222.13,7.22987
1594602000000,7.204,7.204,7.093,7.144,2874.51,20544.92,7.146491
1594605600000,7.171,7.18,7.124,7.18,154.416,1105.99,7.151847
1594609200000,7.18,7.382,7.17,7.217,1978.555,14369.99,7.276595
1594612800000,7.234,7.273,7.234,7.259,374.397,2715.71,7.254301
1594616400000,7.257,7.293,7.234,7.25,525.936,3817.74,7.263535
1594620000000,7.279,7.279,7.251,7.255,223.542,1624.57,7.26455
1594623600000,7.25,7.287,7.241,7.253,70.606,512.21,7.264013
1594627200000,7.279,7.475,7.262,7.474,4708.038,34940.26,7.366379
1594630800000,7.475,7.546,7.462,7.527,679.969,5100.14,7.504318
1594634400000,7.531,7.537,7.45,7.537,1235.136,9261.08,7.493452
1594638000000,7.537,7.62,7.455,7.568,1345.511,10154.51,7.537366
1594641600000,7.583,7.583,7.501,7.548,1220.711,9200.59,7.540879
1594645200000,7.522,7.75,7.521,7.705,7383.774,56685.69,7.63968
1594648800000,7.706,7.8,7.582,7.585,5916.444,45521.22,7.694797
1594652400000,7.598,7.684,7.585,7.68,889.57,6808.58,7.633568
1594656000000,7.674,7.886,7.641,7.66,2341.944,18069.82,7.763579
1594659600000,7.688,7.688,7.566,7.583,1010.258,7681.52,7.625068
1594663200000,7.553,7.734,7.553,7.724,1218.747,9313.99,7.644936
1594666800000,7.724,7.724,7.388,7.476,3452.784,25821.54,7.549063
1594670400000,7.477,7.537,7.401,7.537,1360.891,10172.62,7.467056
1594674000000,7.507,7.7,7.471,7.5,2250.981,17018.29,7.585519
1594677600000,7.497,7.507,7.463,7.486,988.735,7401.64,7.484897
1594681200000,7.486,7.507,7.468,7.505,732.472,5478.55,7.486995
1594684800000,7.481,7.492,7.477,7.477,595.926,4459.69,7.4846
1594688400000,7.477,7.498,7.47,7.488,323.56,2421.15,7.48406
1594692000000,7.488,7.564,7.48,7.548,733.956,5515.86,7.522585
1594695600000,7.522,7.522,7.468,7.468,877.035,6564.92,7.495
1594699200000,7.492,7.492,7.351,7.371,638.912,4731.48,7.419243
1594702800000,7.371,7.379,7.34,7.358,584.443,4300.0,7.359357
1594706400000,7.358,7.359,7.265,7.265,455.414,3325.93,7.312162
1594710000000,7.265,7.28,7.2,7.234,1041.814,7537.56,7.239629
1594713600000,7.204,7.278,7.1,7.25,1216.662,8741.5,7.188355
1594717200000,7.25,7.276,7.22,7.25,203.4,1477.89,7.248
1594720800000,7.26,7.265,7.162,7.162,93.72,677.38,7.214231
1594724400000,7.189,7.22,6.91,7.184,5085.672,35943.96,7.064992
1594728000000,7.189,7.259,7.185,7.219,1134.861,8183.54,7.222771
1594731600000,7.204,7.204,6.957,7.022,2055.593,14585.7,7.075396
1594735200000,7.022,7.091,6.993,7.068,1813.425,12743.65,7.041825
1594738800000,7.068,7.189,7.068,7.14,911.869,6498.94,7.130879
1594742400000,7.15,7.15,7.114,7.123,175.456,1251.92,7.131264
1594746000000,7.144,7.189,7.128,7.15,325.369,2328.97,7.158528
1594749600000,7.174,7.206,7.143,7.197,457.384,3292.93,7.174121
1594753200000,7.197,7.226,7.174,7.217,586.602,4222.32,7.199731
1594756800000,7.189,7.218,7.18,7.19,167.464,1205.9,7.199002
1594760400000,7.19,7.23,7.18,7.18,390.352,2811.78,7.205202
1594764000000,7.174,7.189,7.157,7.175,337.498,2421.08,7.173
1594767600000,7.189,7.22,7.189,7.189,568.483,4101.02,7.2045
1594771200000,7.189,7.727,7.159,7.704,6964.881,52118.41,7.442095
1594774800000,7.704,7.734,7.381,7.381,4011.857,30808.02,7.561471
1594778400000,7.4,7.42,7.34,7.403,656.515,4851.19,7.379992
1594782000000,7.401,7.417,7.372,7.372,334.952,2476.87,7.395427
1594785600000,7.371,7.423,7.371,7.404,328.409,2431.02,7.398064
1594789200000,7.409,7.483,7.409,7.431,542.2,4044.55,7.446587
1594792800000,7.443,7.495,7.432,7.462,886.333,6612.28,7.463756
1594796400000,7.462,7.47,7.386,7.431,560.096,4171.38,7.427348
1594800000000,7.446,7.466,7.386,7.386,855.169,6337.34,7.427636
1594803600000,7.416,7.416,7.37,7.413,681.576,5038.47,7.392977
1594807200000,7.41,7.41,7.346,7.394,577.302,4269.48,7.377619
1594810800000,7.389,7.389,7.34,7.34,160.349,1179.41,7.3645
1594814400000,7.341,7.38,7.34,7.35,642.26,4722.86,7.360186
1594818000000,7.35,7.35,7.3,7.325,310.097,2271.05,7.324167
1594821600000,7.322,7.35,7.25,7.35,2776.982,20258.15,7.29928
1594825200000,7.325,7.343,7.285,7.285,467.018,3425.38,7.315215
1594828800000,7.285,7.297,7.25,7.297,526.235,3826.83,7.27321
1594832400000,7.297,7.3,7.235,7.244,315.045,2292.47,7.266902
1594836000000,7.265,7.356,7.265,7.339,403.942,2955.22,7.312184
1594839600000,7.31,7.43,7.271,7.294,1234.185,9069.17,7.350623
1594843200000,7.28,7.28,7.14,7.209,10189.541,73374.12,7.207629
1594846800000,7.213,7.231,7.146,7.219,1026.208,7380.25,7.188466
1594850400000,7.219,7.244,7.191,7.239,184.031,1328.95,7.217075
1594854000000,7.22,7.507,7.192,7.462,2180.637,16052.77,7.350971
1594857600000,7.477,7.477,7.371,7.4,609.287,4517.85,7.421796
1594861200000,7.4,7.446,7.4,7.402,120.891,896.74,7.42301
1594864800000,7.404,7.431,7.349,7.386,527.37,3898.55,7.389939
1594868400000,7.386,7.48,7.386,7.386,285.881,2119.85,7.433
1594872000000,7.38,7.386,7.371,7.382,124.239,916.52,7.378489
1594875600000,7.371,7.4,7.37,7.371,330.378,2439.96,7.385
1594879200000,7.371,7.402,7.31,7.371,748.839,5497.17,7.356
1594882800000,7.356,7.356,7.0,7.221,7624.049,55166.0,7.173879
1594886400000,7.221,7.249,7.2,7.2,31.944,230.23,7.225174
1594890000000,7.189,7.2,7.103,7.144,633.369,4513.05,7.150647
1594893600000,7.128,7.143,7.054,7.113,705.4,5006.61,7.098343
1594897200000,7.128,7.177,7.128,7.144,76.971,551.77,7.152952
1594900800000,7.174,7.195,7.145,7.189,701.411,5018.45,7.169735
1594904400000,7.189,7.26,7.16,7.25,788.051,5704.1,7.209026
1594908000000,7.25,7.291,7.23,7.23,631.46,4570.45,7.261066
1594911600000,7.25,7.276,7.205,7.26,355.649,2568.78,7.240428
1594915200000,7.26,7.35,7.25,7.35,366.866,2681.98,7.29873
