Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1551326400000,0.265,0.277,0.2504,0.2531,246713.94,63544.58,0.263945
1551330000000,0.2507,0.2535,0.25,0.2524,185631.63,46722.52,0.251763
1551333600000,0.2524,0.2533,0.25,0.2501,119128.07,29970.16,0.251705
1551337200000,0.2501,0.2522,0.2491,0.2519,22560.4,5659.43,0.250618
1551340800000,0.2522,0.2522,0.2475,0.2509,152492.67,38155.4,0.249817
1551344400000,0.2513,0.2516,0.2439,0.2439,236370.63,58401.17,0.247795
1551348000000,0.2439,0.249,0.2431,0.246,51256.01,12612.72,0.246086
1551351600000,0.246,0.2504,0.246,0.2481,60775.98,15067.07,0.248269
1551355200000,0.2481,0.2489,0.246,0.2488,28885.4,7151.24,0.247435
1551358800000,0.2488,0.2508,0.2474,0.2508,26402.05,6564.02,0.249034
1551362400000,0.251,0.2569,0.2492,0.2492,61057.57,15446.42,0.253091
1551366000000,0.2493,0.2533,0.247,0.2492,51933.82,12992.12,0.25015
1551369600000,0.2489,0.2522,0.2469,0.2486,17179.54,4289.76,0.249551
1551373200000,0.2478,0.2503,0.247,0.2491,43255.56,10725.85,0.248658
1551376800000,0.2487,0.2496,0.2467,0.2468,47204.93,11671.96,0.248198
1551380400000,0.2468,0.2496,0.2465,0.2467,38686.44,9552.91,0.24805
1551384000000,0.2468,0.2486,0.2467,0.2471,38342.05,9475.87,0.247654
1551387600000,0.2474,0.2492,0.2472,0.248,16734.67,4148.79,0.248212
1551391200000,0.2494,0.2494,0.2474,0.2477,17625.06,4374.6,0.248367
1551394800000,0.2477,0.2478,0.2474,0.2477,29705.72,7356.08,0.2476
1551398400000,0.2478,0.2508,0.2476,0.2497,27937.75,6934.64,0.249243
1551402000000,0.2497,0.2509,0.2484,0.2484,1970.31,492.47,0.249694
1551405600000,0.2484,0.2484,0.2465,0.2465,26609.89,6580.34,0.24745
1551409200000,0.2464,0.2484,0.2455,0.2484,63135.05,15600.87,0.246889
1551412800000,0.2475,0.2477,0.246,0.2471,14579.99,3604.89,0.246844
1551416400000,0.2471,0.2471,0.2451,0.246,15004.25,3686.63,0.246063
1551420000000,0.2462,0.2466,0.2452,0.2464,9446.96,2321.51,0.245898
1551423600000,0.2459,0.2478,0.2458,0.2478,24853.74,6113.54,0.246785
1551427200000,0.2472,0.2485,0.2465,0.2465,36659.57,9064.35,0.247521
1551430800000,0.2485,0.2486,0.2467,0.2467,10393.78,2569.65,0.247664
1551434400000,0.2467,0.2477,0.246,0.2474,82511.8,20373.69,0.246841
1551438000000,0.2474,0.2474,0.245,0.2466,22349.41,5493.85,0.246177
1551441600000,0.2466,0.2468,0.2451,0.2451,6874.12,1693.76,0.245974
1551445200000,0.2455,0.2469,0.245,0.2464,27813.64,6820.52,0.24595
1551448800000,0.2464,0.2477,0.245,0.2474,37651.69,9276.53,0.24633
1551452400000,0.2473,0.2481,0.245,0.2456,21902.86,5386.43,0.246558
1551456000000,0.2453,0.2475,0.2453,0.2474,10071.95,2484.22,0.246415
1551459600000,0.2474,0.25,0.2474,0.2486,51555.94,12871.2,0.248739
1551463200000,0.2485,0.2486,0.2464,0.247,52899.99,13084.77,0.247467
1551466800000,0.2473,0.2487,0.2461,0.2471,17508.41,4332.22,0.2474
1551470400000,0.2471,0.2491,0.2471,0.2472,10715.56,2659.98,0.248101
1551474000000,0.2472,0.2498,0.2471,0.248,3253.68,809.37,0.248469
1551477600000,0.2493,0.2493,0.2462,0.2468,11141.52,2753.79,0.247692
1551481200000,0.2472,0.2484,0.2463,0.2483,2399.71,594.1,0.247321
1551484800000,0.2477,0.2498,0.2472,0.248,45453.09,11290.69,0.248502
1551488400000,0.248,0.2588,0.2471,0.2518,115496.75,29068.7,0.253033
1551492000000,0.252,0.2556,0.2512,0.2548,64674.27,16407.24,0.2534
1551495600000,0.2548,0.2557,0.2515,0.2523,18721.2,4746.61,0.253605
