Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1656633600000,7.57,7.77,7.49,7.71,466191.64,3560656.52,7.629333
1656637200000,7.71,7.78,7.68,7.75,202292.49,1564080.07,7.73
1656640800000,7.76,7.77,7.69,7.71,125295.13,967914.33,7.729459
1656644400000,7.7,7.73,7.53,7.53,158434.39,1210082.61,7.633307
1656648000000,7.53,7.58,7.42,7.45,185531.13,1392267.88,7.500667
1656651600000,7.45,7.6,7.44,7.5,177693.44,1336709.34,7.521126
1656655200000,7.49,7.53,7.38,7.41,241803.97,1799216.22,7.455383
1656658800000,7.42,7.59,7.37,7.58,192794.96,1445619.02,7.476952
1656662400000,7.58,7.63,7.48,7.5,210048.95,1590029.79,7.556148
1656666000000,7.49,7.55,7.43,7.46,109928.71,823488.26,7.490238
1656669600000,7.46,7.48,7.18,7.23,214276.83,1567510.06,7.327416
1656673200000,7.23,7.34,7.19,7.34,153115.2,1116259.3,7.261893
1656676800000,7.34,7.38,7.26,7.28,123288.81,903639.87,7.320667
1656680400000,7.27,7.9,7.27,7.73,1267649.74,9627223.0,7.598071
1656684000000,7.72,7.78,7.54,7.69,369141.77,2822570.26,7.659824
1656687600000,7.68,7.87,7.65,7.73,470890.79,3656273.9,7.76072
1656691200000,7.72,8.12,7.72,8.0,806130.62,6424730.5,7.928376
1656694800000,7.99,8.2,7.95,8.05,286491.68,2309089.63,8.075804
1656698400000,8.05,8.17,8.02,8.12,195719.4,1586966.72,8.095576
1656702000000,8.12,8.19,8.06,8.17,243149.66,1974519.27,8.124232
1656705600000,8.17,8.38,8.15,8.27,542293.51,4492330.96,8.267232
1656709200000,8.27,8.29,8.08,8.16,225717.5,1844502.47,8.182791
1656712800000,8.17,8.18,8.08,8.12,140235.87,1140871.67,8.129
1656716400000,8.13,8.27,8.06,8.09,290332.55,2372746.6,8.165503
1656720000000,8.1,8.23,8.03,8.04,340178.61,2770099.98,8.131381
1656723600000,8.05,8.36,8.04,8.19,339508.69,2794000.4,8.204021
1656727200000,8.19,8.26,8.1,8.22,322526.68,2639601.83,8.179778
1656730800000,8.21,8.27,8.07,8.08,277927.36,2268110.75,8.172952
1656734400000,8.09,8.15,8.03,8.06,108344.07,876034.49,8.090238
1656738000000,8.06,8.19,8.05,8.07,113543.36,922788.05,8.12007
1656741600000,8.07,8.14,7.97,8.02,126173.84,1015836.82,8.055221
1656745200000,8.02,8.1,7.93,7.97,126883.49,1016303.21,8.015442
1656748800000,7.97,8.02,7.96,8.0,95553.83,763408.52,7.990333
1656752400000,8.01,8.18,7.97,8.14,160618.73,1296687.6,8.075
1656756000000,8.14,8.18,8.06,8.11,125575.78,1020714.89,8.119921
1656759600000,8.12,8.15,8.03,8.07,100314.14,810283.44,8.089773
1656763200000,8.07,8.2,8.04,8.12,215046.86,1746948.46,8.120626
1656766800000,8.12,8.14,8.04,8.07,92032.76,744324.78,8.089667
1656770400000,8.06,8.17,8.05,8.12,109230.18,886544.26,8.111333
1656774000000,8.12,8.17,8.06,8.16,104672.39,850653.32,8.114145
