Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1656633600000,7.06,7.26,6.98,7.14,883942.73,6301626.45,7.120417
1656637200000,7.13,7.2,7.08,7.12,333614.1,2380791.15,7.140026
1656640800000,7.13,7.14,7.05,7.05,266398.64,1887941.06,7.096231
1656644400000,7.05,7.08,6.84,6.85,405095.67,2829680.3,6.962101
1656648000000,6.85,6.87,6.74,6.77,347011.51,2364210.43,6.804477
1656651600000,6.77,6.79,6.54,6.6,1043214.03,6922202.62,6.662386
1656655200000,6.61,6.71,6.6,6.7,408970.79,2721935.2,6.655
1656658800000,6.7,6.81,6.67,6.79,241770.78,1632444.5,6.739424
1656662400000,6.8,6.89,6.74,6.79,278186.21,1899231.97,6.815022
1656666000000,6.79,6.82,6.75,6.78,149913.1,1016775.15,6.785
1656669600000,6.78,6.8,6.64,6.66,289711.76,1943188.46,6.72
1656673200000,6.67,6.72,6.63,6.71,213633.6,1428936.96,6.674221
1656676800000,6.7,6.74,6.66,6.68,254975.25,1707884.86,6.700159
1656680400000,6.68,6.83,6.66,6.78,433353.64,2923171.48,6.74642
1656684000000,6.78,6.8,6.65,6.72,332869.55,2235561.08,6.723958
1656687600000,6.72,6.77,6.68,6.71,253584.95,1704090.41,6.725031
1656691200000,6.71,6.81,6.68,6.74,267387.83,1804361.89,6.74527
1656694800000,6.74,6.82,6.7,6.81,235072.08,1591463.7,6.758605
1656698400000,6.8,6.83,6.75,6.78,169944.87,1153519.08,6.79
1656702000000,6.79,6.85,6.76,6.83,133661.95,909516.14,6.80474
1656705600000,6.83,6.94,6.81,6.84,209726.57,1443591.49,6.875059
1656709200000,6.83,6.87,6.76,6.83,60687.7,414702.14,6.815
1656712800000,6.82,6.84,6.76,6.76,139435.57,948291.07,6.801636
1656716400000,6.77,6.83,6.7,6.75,125712.55,851796.87,6.76503
1656720000000,6.75,6.81,6.67,6.68,332281.43,2242462.12,6.741667
1656723600000,6.68,6.75,6.66,6.71,140251.1,940864.14,6.705286
1656727200000,6.71,6.76,6.62,6.66,201350.9,1344780.08,6.690165
1656730800000,6.66,6.71,6.64,6.66,133928.88,893127.97,6.675
1656734400000,6.67,6.73,6.66,6.71,105335.18,704855.31,6.695444
1656738000000,6.71,6.76,6.69,6.69,102115.96,686826.37,6.725521
1656741600000,6.7,6.75,6.67,6.7,68571.36,459852.85,6.71
1656745200000,6.7,6.75,6.68,6.69,67702.36,454423.33,6.715103
