Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1656633600000,3.338,3.459,3.299,3.389,2181787.5,7388139.65,3.379404
1656640800000,3.39,3.414,3.289,3.295,1286574.6,4335385.82,3.353019
1656648000000,3.295,3.302,3.234,3.275,1133377.7,3708320.74,3.267624
1656655200000,3.274,3.363,3.261,3.354,837452.3,2773645.76,3.311637
1656662400000,3.354,3.378,3.315,3.326,827326.2,2767973.42,3.346838
1656669600000,3.327,3.353,3.24,3.278,973445.4,3201014.22,3.296204
1656676800000,3.278,3.353,3.26,3.332,1050448.6,3464117.61,3.306638
1656684000000,3.331,3.346,3.267,3.282,813394.0,2684664.98,3.3065
1656691200000,3.279,3.375,3.269,3.362,691885.9,2301447.02,3.322272
1656698400000,3.362,3.393,3.341,3.388,622456.0,2093560.19,3.366467
1656705600000,3.386,3.453,3.367,3.382,686378.9,2347103.31,3.410014
1656712800000,3.382,3.4,3.335,3.352,486292.2,1637622.02,3.367528
1656720000000,3.353,3.427,3.33,3.333,956806.7,3227191.3,3.378881
1656727200000,3.333,3.353,3.248,3.267,925167.3,3039783.38,3.300555
1656734400000,3.267,3.313,3.259,3.291,460481.2,1514851.3,3.286364
1656741600000,3.293,3.318,3.277,3.279,318148.2,1047681.77,3.297845
1656748800000,3.279,3.288,3.219,3.268,550943.4,1794606.57,3.253372
1656756000000,3.269,3.31,3.254,3.296,501312.2,1648120.23,3.281969
1656763200000,3.297,3.342,3.285,3.305,553624.4,1835702.86,3.313562
1656770400000,3.305,3.325,3.254,3.285,513605.3,1688993.77,3.289389
1656777600000,3.286,3.327,3.267,3.319,423142.4,1397085.7,3.29655
1656784800000,3.319,3.371,3.309,3.341,475648.8,1587965.98,3.340325
1656792000000,3.342,3.367,3.321,3.363,219343.0,733334.61,3.343533
1656799200000,3.363,3.365,3.307,3.312,219223.3,731128.83,3.335641
1656806400000,3.313,3.333,3.26,3.263,522693.9,1718760.38,3.297629
1656813600000,3.262,3.307,3.26,3.3,346047.1,1139460.7,3.283988
1656820800000,3.3,3.334,3.21,3.251,1398865.2,4587196.52,3.271858
1656828000000,3.252,3.279,3.242,3.266,465563.8,1519261.01,3.260556
1656835200000,3.265,3.27,3.228,3.254,488493.5,1586073.97,3.248817
1656842400000,3.254,3.283,3.252,3.27,312156.9,1019791.46,3.267892
1656849600000,3.27,3.274,3.202,3.211,526285.4,1702813.33,3.237496
1656856800000,3.211,3.245,3.202,3.23,288823.2,932916.54,3.223654
1656864000000,3.229,3.274,3.218,3.265,372004.7,1208270.21,3.245885
1656871200000,3.266,3.327,3.254,3.325,482278.8,1586336.55,3.289524
1656878400000,3.324,3.349,3.303,3.315,748059.5,2490636.47,3.326063
1656885600000,3.314,3.347,3.292,3.323,514183.9,1707204.62,3.319507
1656892800000,3.322,3.335,3.284,3.304,520357.7,1723073.42,3.309387
1656900000000,3.302,3.304,3.21,3.215,651064.4,2111423.62,3.256591
1656907200000,3.214,3.253,3.213,3.24,280486.3,907468.98,3.233709
1656914400000,3.24,3.278,3.23,3.245,386999.2,1258249.94,3.254031
1656921600000,3.245,3.3,3.236,3.292,507547.5,1660068.27,3.267922
1656928800000,3.292,3.4,3.29,3.392,1294274.6,4316645.03,3.345781
1656936000000,3.393,3.42,3.362,3.367,1139191.8,3859302.43,3.391582
1656943200000,3.368,3.49,3.368,3.42,1143771.3,3915968.15,3.430665
1656950400000,3.42,3.474,3.397,3.449,673018.6,2310980.93,3.435537
1656957600000,3.449,3.474,3.429,3.441,338107.1,1165517.34,3.451552
1656964800000,3.442,3.519,3.413,3.489,496576.9,1716770.96,3.466026
1656972000000,3.489,3.559,3.473,3.521,1225540.3,4307200.29,3.516394
1656979200000,3.521,3.554,3.485,3.535,1075445.9,3785195.63,3.519412
1656986400000,3.533,3.539,3.47,3.513,618895.8,2166373.55,3.504103
1656993600000,3.513,3.581,3.472,3.546,793877.3,2805117.09,3.52643
1657000800000,3.545,3.593,3.53,3.567,928210.8,3306244.92,3.561673
1657008000000,3.567,3.567,3.388,3.399,1957220.6,6774321.37,3.475947
1657015200000,3.399,3.429,3.339,3.349,1131805.0,3837094.4,3.384836
1657022400000,3.349,3.355,3.262,3.307,1344688.8,4449940.07,3.307452
1657029600000,3.306,3.349,3.281,3.334,794267.2,2632982.84,3.314779
1657036800000,3.334,3.368,3.311,3.34,603069.3,2013801.77,3.339507
1657044000000,3.34,3.479,3.328,3.453,1169121.3,3991188.11,3.40464
1657051200000,3.453,3.506,3.427,3.472,881568.0,3062687.59,3.466559
1657058400000,3.473,3.479,3.372,3.393,763150.8,2611364.18,3.424282
1657065600000,3.393,3.42,3.312,3.342,1032644.7,3484988.83,3.365911
1657072800000,3.342,3.425,3.336,3.392,1507715.7,5086954.79,3.381656
1657080000000,3.393,3.443,3.361,3.403,1312777.7,4469292.23,3.402015
1657087200000,3.403,3.452,3.365,3.438,809760.0,2765680.59,3.407994
1657094400000,3.437,3.485,3.419,3.45,893797.5,3088339.43,3.452083
1657101600000,3.451,3.463,3.397,3.407,633245.0,2174645.24,3.430125
1657108800000,3.407,3.491,3.386,3.469,972434.0,3348406.76,3.438548
1657116000000,3.468,3.484,3.414,3.445,787582.1,2713908.42,3.448792
1657123200000,3.446,3.5,3.439,3.465,672141.1,2331682.89,3.469848
1657130400000,3.465,3.547,3.443,3.503,1193793.4,4182255.79,3.49538
